[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x00410294 NONE FUNC VERSION.dll  VerInstallFileA
2   0x00410298 NONE FUNC VERSION.dll  GetFileVersionInfoSizeA
3   0x0041029c NONE FUNC VERSION.dll  GetFileVersionInfoA
4   0x004102a0 NONE FUNC VERSION.dll  VerQueryValueA
1   0x00410058 NONE FUNC KERNEL32.dll GetLastError
2   0x0041005c NONE FUNC KERNEL32.dll SetLastError
3   0x00410060 NONE FUNC KERNEL32.dll lstrcmpiA
4   0x00410064 NONE FUNC KERNEL32.dll lstrlenA
5   0x00410068 NONE FUNC KERNEL32.dll CompareStringW
6   0x0041006c NONE FUNC KERNEL32.dll GetVersionExA
7   0x00410070 NONE FUNC KERNEL32.dll DeleteFileA
8   0x00410074 NONE FUNC KERNEL32.dll CompareStringA
9   0x00410078 NONE FUNC KERNEL32.dll GetWindowsDirectoryA
10  0x0041007c NONE FUNC KERNEL32.dll GetTempPathA
11  0x00410080 NONE FUNC KERNEL32.dll GetFileAttributesA
12  0x00410084 NONE FUNC KERNEL32.dll GetTempFileNameA
13  0x00410088 NONE FUNC KERNEL32.dll GlobalUnlock
14  0x0041008c NONE FUNC KERNEL32.dll GlobalLock
15  0x00410090 NONE FUNC KERNEL32.dll GlobalAlloc
16  0x00410094 NONE FUNC KERNEL32.dll GlobalFree
17  0x00410098 NONE FUNC KERNEL32.dll GetTickCount
18  0x0041009c NONE FUNC KERNEL32.dll LockResource
19  0x004100a0 NONE FUNC KERNEL32.dll LoadResource
20  0x004100a4 NONE FUNC KERNEL32.dll FindResourceA
21  0x004100a8 NONE FUNC KERNEL32.dll lstrcpyA
22  0x004100ac NONE FUNC KERNEL32.dll SetErrorMode
23  0x004100b0 NONE FUNC KERNEL32.dll FreeLibrary
24  0x004100b4 NONE FUNC KERNEL32.dll RemoveDirectoryA
25  0x004100b8 NONE FUNC KERNEL32.dll LeaveCriticalSection
26  0x004100bc NONE FUNC KERNEL32.dll EnterCriticalSection
27  0x004100c0 NONE FUNC KERNEL32.dll CreateThread
28  0x004100c4 NONE FUNC KERNEL32.dll CreateMutexA
29  0x004100c8 NONE FUNC KERNEL32.dll WaitForSingleObject
30  0x004100cc NONE FUNC KERNEL32.dll ReleaseMutex
31  0x004100d0 NONE FUNC KERNEL32.dll InitializeCriticalSection
32  0x004100d4 NONE FUNC KERNEL32.dll DeleteCriticalSection
33  0x004100d8 NONE FUNC KERNEL32.dll SetEvent
34  0x004100dc NONE FUNC KERNEL32.dll OpenEventA
35  0x004100e0 NONE FUNC KERNEL32.dll GetModuleHandleA
36  0x004100e4 NONE FUNC KERNEL32.dll GetCurrentThreadId
37  0x004100e8 NONE FUNC KERNEL32.dll HeapAlloc
38  0x004100ec NONE FUNC KERNEL32.dll GetSystemInfo
39  0x004100f0 NONE FUNC KERNEL32.dll HeapCreate
40  0x004100f4 NONE FUNC KERNEL32.dll lstrcpynA
41  0x004100f8 NONE FUNC KERNEL32.dll lstrcatA
42  0x004100fc NONE FUNC KERNEL32.dll GetPrivateProfileIntA
43  0x00410100 NONE FUNC KERNEL32.dll lstrlenW
44  0x00410104 NONE FUNC KERNEL32.dll FindFirstFileA
45  0x00410108 NONE FUNC KERNEL32.dll SetFilePointer
46  0x0041010c NONE FUNC KERNEL32.dll GetProcAddress
47  0x00410110 NONE FUNC KERNEL32.dll LoadLibraryA
48  0x00410114 NONE FUNC KERNEL32.dll GetShortPathNameA
49  0x00410118 NONE FUNC KERNEL32.dll GetSystemDefaultLangID
50  0x0041011c NONE FUNC KERNEL32.dll MoveFileA
51  0x00410120 NONE FUNC KERNEL32.dll FindResourceExA
52  0x00410124 NONE FUNC KERNEL32.dll GetFileSize
53  0x00410128 NONE FUNC KERNEL32.dll HeapDestroy
54  0x0041012c NONE FUNC KERNEL32.dll UnmapViewOfFile
55  0x00410130 NONE FUNC KERNEL32.dll MapViewOfFile
56  0x00410134 NONE FUNC KERNEL32.dll CreateFileMappingA
57  0x00410138 NONE FUNC KERNEL32.dll SizeofResource
58  0x0041013c NONE FUNC KERNEL32.dll GetStartupInfoA
59  0x00410140 NONE FUNC KERNEL32.dll ExitProcess
