[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000e6 0x000000e6 6   7            ascii   CaRich
2    0x000001f8 0x000001f8 5   6            ascii   .text
3    0x0000021f 0x0000021f 7   8            ascii   `.rdata
4    0x00000247 0x00000247 6   7            ascii   @.data
5    0x00000270 0x00000270 6   7            ascii   .reloc
6    0x000005e0 0x004011e0 5   8    .text   utf8    3ЉE܋E blocks=Basic Latin,Cyrillic,Syriac
7    0x00000628 0x00401228 4   6    .text   utf8    }̉E\b blocks=Basic Latin,Combining Diacritical Marks
8    0x000006eb 0x004012eb 4   5    .text   ascii   nG\bf
9    0x000006f5 0x004012f5 4   5    .text   ascii   nG\ff
10   0x0000073a 0x0040133a 4   5    .text   ascii   nG f
11   0x0000074b 0x0040134b 4   5    .text   ascii   nG$f
12   0x0000075c 0x0040135c 4   5    .text   ascii   nG(f
13   0x000007b4 0x004013b4 5   7    .text   utf8    M܍J@f blocks=Basic Latin,Syriac
14   0x000013d4 0x00401fd4 4   6    .text   utf8    L\n\vU
15   0x000014eb 0x004020eb 4   6    .text   utf8    Dȃ=< blocks=Basic Latin,Latin Extended-B
16   0x00001665 0x00402265 4   7    .text   utf8    KM؉E blocks=Basic Latin,Arabic
17   0x00001831 0x00402431 4   5    .text   ascii   F<;E
18   0x00001993 0x00402593 4   5    .text   ascii   =,0A
19   0x000019c5 0x004025c5 4   5    .text   ascii   t$ j
20   0x000019f0 0x004025f0 4   5    .text   ascii   PPPP
21   0x000019f5 0x004025f5 5   6    .text   ascii   D$,Pj
22   0x00001a1b 0x0040261b 4   5    .text   ascii   D$<P
23   0x00001a47 0x00402647 4   5    .text   ascii   D$$f
24   0x00001a5a 0x0040265a 4   5    .text   ascii   t&Vj
25   0x00001a83 0x00402683 4   5    .text   ascii   D$$G
26   0x00001a8d 0x0040268d 6   7    .text   ascii   D$$;|$
27   0x00001a9b 0x0040269b 4   5    .text   ascii   =,0A
28   0x00001ad5 0x004026d5 4   5    .text   ascii   ]vuj
29   0x00001aee 0x004026ee 6   7    .text   ascii   D$8Pj\r
30   0x00001b5d 0x0040275d 4   5    .text   ascii   Qj P
31   0x00001bce 0x004027ce 6   7    .text   ascii   G@expa
32   0x00001bd5 0x004027d5 6   7    .text   ascii   GDnd 3
33   0x00001bdc 0x004027dc 6   7    .text   ascii   GH2-by
34   0x00001be3 0x004027e3 6   7    .text   ascii   GLte k
35   0x00001c0f 0x0040280f 4   5    .text   ascii   t$4V
36   0x00001cd7 0x004028d7 7   9    .text   utf8    \bH3ʉD$  blocks=Basic Latin,IPA Extensions
37   0x00001ce0 0x004028e0 4   5    .text   ascii   9"F#
38   0x00001cee 0x004028ee 5   7    .text   utf8    y9"F#
39   0x00001cfe 0x004028fe 7   8    .text   ascii   9"F#3O\b
40   0x00001d0c 0x0040290c 5   7    .text   utf8    y9"F#
41   0x00001d17 0x00402917 4   6    .text   utf8    ЋD$  blocks=Cyrillic,Basic Latin
42   0x00001da0 0x004029a0 4   5    .text   ascii   = 0A
43   0x00001dab 0x004029ab 5   6    .text   ascii   D$ PV
44   0x00001dcc 0x004029cc 4   5    .text   ascii   Pj h
45   0x00001ddd 0x004029dd 4   5    .text   ascii   Pj\rh
46   0x00001de7 0x004029e7 4   6    .text   utf8    ס80A blocks=Hebrew,Basic Latin
47   0x00001e89 0x00402a89 4   5    .text   ascii   Y_^[
48   0x00001ea0 0x00402aa0 4   5    .text   ascii   Y_^[
49   0x00001ec4 0x00402ac4 4   5    .text   ascii   Y_^[
50   0x00001ee8 0x00402ae8 4   5    .text   ascii   \fSVW
51   0x00001f3b 0x00402b3b 4   5    .text   ascii   Y_^[
52   0x00001fc1 0x00402bc1 5   6    .text   ascii   aPHu3
53   0x00001fc7 0x00402bc7 7   9    .text   utf8    }ĹTF/u* blocks=Basic Latin,Latin Extended-A
54   0x00001fd0 0x00402bd0 4   6    .text   utf8    }șo% blocks=Basic Latin,Latin Extended-B
55   0x000021f1 0x00402df1 4   5    .text   ascii   h@}A
56   0x00002260 0x00402e60 6   10   .text   utf8    UċE̋Mȁ blocks=Basic Latin,Latin Extended-A,Combining Diacritical Marks,Latin Extended-B
57   0x0000226a 0x00402e6a 6   7    .text   ascii   Genuu?
58   0x00002272 0x00402e72 13  14   .text   ascii   ntelu7=ineIu0
59   0x000022b1 0x00402eb1 5   6    .text   ascii   Authu
60   0x000022b9 0x00402eb9 12  13   .text   ascii   entiu\a=cAMDt
61   0x000022c8 0x00402ec8 6   7    .text   ascii   Hygou}
62   0x000022d0 0x00402ed0 13  14   .text   ascii   uineuu=nGenun
63   0x00002e94 0x00403a94 6   8    .text   utf8    \b\vȊ_\f\v blocks=Basic Latin,Latin Extended-B
64   0x00002ee4 0x00403ae4 4   6    .text   utf8    \vȊG\t blocks=Basic Latin,Latin Extended-B
65   0x000030c9 0x00403cc9 5   7    .text   utf8    M\vJ(S
66   0x00003570 0x00404170 4   6    .text   utf8    \nوF\a blocks=Basic Latin,Arabic
67   0x00003586 0x00404186 4   6    .text   utf8    \nˈF\b blocks=Basic Latin,Spacing Modifier Letters
68   0x000035f6 0x004041f6 4   7    .text   utf8    \nˋÈN blocks=Basic Latin,Spacing Modifier Letters,Latin-1 Supplement
