Metadata Signature: 0x8a8 0x10001424a5342 12
.NET Version: v4.0.30319
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 734
Stream name: #~ 4
DirectoryAddress: 7a0 Size: 1474
Stream name: #Strings 12
DirectoryAddress: 1c14 Size: 308
Stream name: #US 4
DirectoryAddress: 1f1c Size: 10
Stream name: #GUID 8
DirectoryAddress: 1f2c Size: 31c
Stream name: #Blob 8
[Strings]
nth paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1   0x00000178 0x00000178 5   6            ascii   .text
2   0x0000019f 0x0000019f 6   7            ascii   `.rsrc
3   0x000001c7 0x000001c7 7   8            ascii   @.reloc
4   0x000002aa 0x004020aa 4   5    .text   ascii   *.s\v
5   0x000002b6 0x004020b6 4   5    .text   ascii   *Brc
6   0x0000057e 0x0040237e 4   5    .text   ascii   \n+\b+
7   0x000005a3 0x004023a3 5   6    .text   ascii   \n\n+\b+
8   0x000005cf 0x004023cf 5   6    .text   ascii   \n\n+\b+
9   0x00000612 0x00402412 4   5    .text   ascii   \n\v+\t
10  0x00000722 0x00402522 6   7    .text   ascii   \n\r\t\bo;
11  0x0000073f 0x0040253f 4   5    .text   ascii   \r+\t(
12  0x00000800 0x00402600 145 146  .text   ascii   lSystem.Resources.ResourceReader, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089#System.Resources.RuntimeResourceSet
13  0x0000089d 0x0040269d 7   8    .text   ascii   PADPADP
14  0x000008a8 0x004026a8 4   5    .text   ascii   BSJB
15  0x000008b8 0x004026b8 10  11   .text   ascii   v4.0.30319
16  0x000008dc 0x004026dc 8   9    .text   ascii   #Strings
17  0x000008fc 0x004026fc 5   6    .text   ascii   #GUID
18  0x0000090c 0x0040270c 5   6    .text   ascii   #Blob
19  0x00000940 0x00402740 4   20   .text   utf32le \aB\n\n
20  0x000009c4 0x004027c4 5   6    .text   ascii   h\b1\t\n
21  0x00001049 0x00402e49 13  14   .text   ascii   IEnumerable`1
22  0x00001057 0x00402e57 10  11   .text   ascii   CallSite`1
23  0x00001062 0x00402e62 17  18   .text   ascii   ConcurrentStack`1
24  0x00001074 0x00402e74 26  27   .text   ascii   NullableEqualityComparer`1
25  0x0000108f 0x00402e8f 37  38   .text   ascii   get_HMd44nF8bc90dTc73cQ3L9TkZ10m59fe1
26  0x000010b5 0x00402eb5 7   8    .text   ascii   ToInt32
27  0x000010bd 0x00402ebd 6   7    .text   ascii   Func`3
28  0x000010c4 0x00402ec4 6   7    .text   ascii   Func`4
29  0x000010cb 0x00402ecb 8   9    .text   ascii   Action`4
30  0x000010d4 0x00402ed4 20  21   .text   ascii   <GetEnumerator>d__37
31  0x000010e9 0x00402ee9 22  23   .text   ascii   get_AOf080P6ebuSc405C9
32  0x00001100 0x00402f00 49  50   .text   ascii   get_Hcd5v45PcbyC0dJ2ol7dg5Su7833bfIAc2e7dqdf0V34M
33  0x00001132 0x00402f32 49  50   .text   ascii   set_Hcd5v45PcbyC0dJ2ol7dg5Su7833bfIAc2e7dqdf0V34M
34  0x00001164 0x00402f64 9   10   .text   ascii   System.IO
35  0x0000116e 0x00402f6e 8   9    .text   ascii   mscorlib
36  0x00001177 0x00402f77 26  27   .text   ascii   System.Collections.Generic
37  0x00001196 0x00402f96 30  31   .text   ascii   System.Collections.Specialized
38  0x000011b5 0x00402fb5 12  13   .text   ascii   Synchronized
39  0x000011c2 0x00402fc2 6   7    .text   ascii   Append
40  0x000011c9 0x00402fc9 17  18   .text   ascii   set_AutoScaleMode
41  0x000011db 0x00402fdb 6   7    .text   ascii   Invoke
42  0x000011e2 0x00402fe2 11  12   .text   ascii   IDisposable
43  0x000011ee 0x00402fee 17  18   .text   ascii   RuntimeTypeHandle
44  0x00001200 0x00403000 17  18   .text   ascii   GetTypeFromHandle
45  0x00001212 0x00403012 14  15   .text   ascii   SafeWaitHandle
46  0x00001221 0x00403021 4   5    .text   ascii   File
47  0x00001226 0x00403026 8   9    .text   ascii   ReadLine
48  0x0000122f 0x0040302f 20  21   .text   ascii   SecurityProtocolType
49  0x00001244 0x00403044 11  12   .text   ascii   System.Core
50  0x00001250 0x00403050 7   8    .text   ascii   Capture
51  0x00001258 0x00403058 23  24   .text   ascii   ApplicationSettingsBase
52  0x00001270 0x00403070 5   6    .text   ascii   Close
53  0x00001276 0x00403076 7   8    .text   ascii   Dispose
54  0x0000127e 0x0040307e 15  16   .text   ascii   X509Certificate
55  0x0000128e 0x0040308e 6   7    .text   ascii   Create
56  0x00001295 0x00403095 20  21   .text   ascii   EditorBrowsableState
57  0x000012aa 0x004030aa 8   9    .text   ascii   CallSite
58  0x000012b3 0x004030b3 5   6    .text   ascii   Write
59  0x000012b9 0x004030b9 18  19   .text   ascii   STAThreadAttribute
60  0x000012cc 0x004030cc 26  27   .text   ascii   CompilerGeneratedAttribute
61  0x000012e7 0x004030e7 22  23   .text   ascii   GeneratedCodeAttribute
62  0x000012fe 0x004030fe 28  29   .text   ascii   DebuggerNonUserCodeAttribute
63  0x0000131b 0x0040311b 24  25   .text   ascii   EditorBrowsableAttribute
64  0x00001334 0x00403134 23  24   .text   ascii   TypeIdentifierAttribute
65  0x0000134c 0x0040314c 9   10   .text   ascii   WriteByte
66  0x00001356 0x00403156 6   7    .text   ascii   ToByte
67  0x0000135d 0x0040315d 9   10   .text   ascii   get_Value
68  0x00001367 0x00403167 5   6    .text   ascii   value
69  0x0000136d 0x0040316d 21  22   .text   ascii   set_Expect100Continue
70  0x00001383 0x00403183 15  48   .text   utf8    ꛄꛆ꛷꛵ꛇꛊꛉꛜꛇꛌꛃ꜆ꛥꛅꛅ blocks=Bamum,Modifier Tone Letters
71  0x000013b3 0x004031b3 5   18   .text   utf8    ꛴꛷ꛊ꜋ꛬ blocks=Bamum,Modifier Tone Letters
72  0x000013c5 0x004031c5 6   11   .text   utf8    ꛷꛵.exe blocks=Bamum,Basic Latin
