[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d0 0x000000d0 6   7            ascii   RichLc
2    0x000001e0 0x000001e0 5   6            ascii   .text
3    0x00000207 0x00000207 7   8            ascii   `.rdata
4    0x0000022f 0x0000022f 6   7            ascii   @.data
5    0x00000258 0x00000258 5   6            ascii   .rsrc
6    0x0000027f 0x0000027f 7   8            ascii   @.reloc
7    0x000004bd 0x100010bd 5   6    .text   ascii   Vj$h?
8    0x0000060b 0x1000120b 4   5    .text   ascii   L$\fj
9    0x00000643 0x10001243 4   5    .text   ascii   L$\fj
10   0x0000067c 0x1000127c 4   5    .text   ascii   L$\fj
11   0x000007da 0x100013da 6   7    .text   ascii   t\tAA@f
12   0x00000944 0x10001544 6   9    .text   utf8    ]ĉ]ȋu\f blocks=Basic Latin,Latin Extended-A,Latin Extended-B
13   0x00000a07 0x10001607 4   5    .text   ascii   SVW3
14   0x00000a0e 0x1000160e 5   6    .text   ascii   D$4h\b
15   0x00000a25 0x10001625 5   6    .text   ascii   D$4Ph
16   0x00000a76 0x10001676 5   7    .text   utf8    3\t\$ 
17   0x00000aa1 0x100016a1 8   11   .text   utf8    [뾍D$$Ph< blocks=Basic Latin,Hangul Syllables
18   0x00000ace 0x100016ce 5   6    .text   ascii   D$,PS
19   0x00000b12 0x10001712 6   7    .text   ascii   PQRWSV
20   0x00000b6c 0x1000176c 4   5    .text   ascii   tL=O
21   0x00000b73 0x10001773 4   5    .text   ascii   u/h|
22   0x00000bc6 0x100017c6 11  13   .text   utf8    u܉\$\f9\$\ft\t blocks=Basic Latin,Syriac
23   0x00000bdc 0x100017dc 4   5    .text   ascii   D$\fP
24   0x00000c8e 0x1000188e 4   5    .text   ascii   D$4h
25   0x00000d22 0x10001922 4   5    .text   ascii   D$Lh
26   0x00000e83 0x10001a83 5   6    .text   ascii   |$ SW
27   0x00001070 0x10001c70 4   5    .text   ascii   ,Vh4
28   0x000011e2 0x10001de2 5   6    .text   ascii   Y9\$\f
29   0x0000126f 0x10001e6f 6   7    .text   ascii   9\$\ft\t
30   0x00001276 0x10001e76 4   7    .text   utf8    t$\f訶 blocks=Basic Latin,CJK Unified Ideographs
31   0x0000154f 0x1000214f 4   6    .text   utf8    Y3ɉN blocks=Basic Latin,Latin Extended-B
32   0x000015f1 0x100021f1 4   7    .text   utf8    3҅҉W blocks=Basic Latin,Cyrillic
33   0x00001657 0x10002257 8   9    .text   ascii   \vf;M\bt\ff
34   0x000016b2 0x100022b2 4   5    .text   ascii   Y_^[
35   0x000016c1 0x100022c1 4   5    .text   ascii   j(Xf
36   0x000016c8 0x100022c8 4   5    .text   ascii   jNXf
37   0x000016cf 0x100022cf 4   5    .text   ascii   jUXf
38   0x000016d6 0x100022d6 4   5    .text   ascii   jLXf
39   0x000016e1 0x100022e1 4   5    .text   ascii   j)Xf
40   0x0000170f 0x1000230f 5   6    .text   ascii   M\bW;u
41   0x000017d4 0x100023d4 5   6    .text   ascii   \bj%Xf
42   0x00001812 0x10002412 6   7    .text   ascii   f;T$\bu
43   0x0000183f 0x1000243f 4   5    .text   ascii   \fj\n3
44   0x00001879 0x10002479 4   5    .text   ascii   M\b^[
45   0x00001881 0x10002481 4   5    .text   ascii   j-Xf
46   0x000018d0 0x100024d0 4   5    .text   ascii   D$ ;
47   0x000018eb 0x100024eb 6   7    .text   ascii   D$DPh`
48   0x00001918 0x10002518 7   8    .text   ascii   f9t$@t=
49   0x00001936 0x10002536 5   6    .text   ascii   DDFPW
50   0x0000194b 0x1000254b 4   5    .text   ascii   Lt@f
51   0x00001952 0x10002552 5   7    .text   utf8    u։t$( blocks=Basic Latin,Armenian
52   0x0000195f 0x1000255f 4   7    .text   utf8    t$ 迯 blocks=Basic Latin,CJK Unified Ideographs
53   0x00001975 0x10002575 4   5    .text   ascii   DDBP
54   0x000019b7 0x100025b7 4   5    .text   ascii   t$(3
55   0x00001a22 0x10002622 4   5    .text   ascii   D8\b=
56   0x00001a7d 0x1000267d 4   5    .text   ascii   D$,P
57   0x00001a88 0x10002688 4   5    .text   ascii   D$,P
58   0x00001aca 0x100026ca 4   6    .text   utf8    3ۉ\$ blocks=Basic Latin,Arabic
59   0x00001b5c 0x1000275c 4   5    .text   ascii   D$,P
60   0x00001b61 0x10002761 5   6    .text   ascii   t$ VW
61   0x00001b85 0x10002785 4   5    .text   ascii   Y9\$
62   0x00001bed 0x100027ed 5   7    .text   utf8    ȍ~tWj blocks=Latin Extended-B,Basic Latin
63   0x00001c27 0x10002827 5   6    .text   ascii   \a;Fxt
64   0x00001c5d 0x1000285d 4   5    .text   ascii   UVW3
65   0x00001c66 0x10002866 5   6    .text   ascii   F\bjBP
66   0x00001c72 0x10002872 5   6    .text   ascii   FLj0P
67   0x00001cef 0x100028ef 6   7    .text   ascii   ^tSUh4
68   0x00001d2d 0x1000292d 5   6    .text   ascii   F"9D$
69   0x00001d51 0x10002951 4   5    .text   ascii   FLPj
70   0x00001d72 0x10002972 5   8    .text   utf8    3Ʌ\vD$ blocks=Basic Latin,Latin Extended-B
71   0x00001d84 0x10002984 4   5    .text   ascii   FLPj
72   0x00001dbd 0x100029bd 4   5    .text   ascii   [t\rj
73   0x00001dcc 0x100029cc 4   6    .text   utf8    ׃|$\f blocks=Hebrew,Basic Latin
74   0x00001e3d 0x10002a3d 4   5    .text   ascii   PSj\n
75   0x00001e55 0x10002a55 6   8    .text   utf8    Nl+ˉN\ blocks=Basic Latin,Spacing Modifier Letters
76   0x00001eb1 0x10002ab1 4   5    .text   ascii   ;E\fs
77   0x00001eda 0x10002ada 4   5    .text   ascii   ABf9
