[Imports]
nth vaddr      bind type lib              name
――――――――――――――――――――――――――――――――――――――――――――――
1   0x01001000 NONE FUNC KERNEL32.dll     RegisterApplicationRestart
2   0x01001004 NONE FUNC KERNEL32.dll     GetModuleHandleW
3   0x01001008 NONE FUNC KERNEL32.dll     GetCommandLineW
4   0x0100100c NONE FUNC KERNEL32.dll     GetStartupInfoW
5   0x01001010 NONE FUNC KERNEL32.dll     UnhandledExceptionFilter
6   0x01001014 NONE FUNC KERNEL32.dll     GetCurrentProcess
7   0x01001018 NONE FUNC KERNEL32.dll     TerminateProcess
8   0x0100101c NONE FUNC KERNEL32.dll     GetSystemTimeAsFileTime
9   0x01001020 NONE FUNC KERNEL32.dll     GetCurrentProcessId
10  0x01001024 NONE FUNC KERNEL32.dll     GetCurrentThreadId
11  0x01001028 NONE FUNC KERNEL32.dll     GetTickCount
12  0x0100102c NONE FUNC KERNEL32.dll     QueryPerformanceCounter
13  0x01001030 NONE FUNC KERNEL32.dll     GetModuleHandleA
14  0x01001034 NONE FUNC KERNEL32.dll     SetUnhandledExceptionFilter
15  0x01001038 NONE FUNC KERNEL32.dll     GetStartupInfoA
16  0x0100103c NONE FUNC KERNEL32.dll     InterlockedCompareExchange
17  0x01001040 NONE FUNC KERNEL32.dll     Sleep
18  0x01001044 NONE FUNC KERNEL32.dll     InterlockedExchange
1   0x01001054 NONE FUNC msvcrt.dll       _controlfp
2   0x01001058 NONE FUNC msvcrt.dll       _except_handler4_common
3   0x0100105c NONE FUNC msvcrt.dll       sym.imp.void __cdecl terminate(void)
4   0x01001060 NONE FUNC msvcrt.dll       __set_app_type
5   0x01001064 NONE FUNC msvcrt.dll       __p__fmode
6   0x01001068 NONE FUNC msvcrt.dll       __p__commode
7   0x0100106c NONE FUNC msvcrt.dll       __setusermatherr
8   0x01001070 NONE FUNC msvcrt.dll       _amsg_exit
9   0x01001074 NONE FUNC msvcrt.dll       _initterm
10  0x01001078 NONE FUNC msvcrt.dll       _acmdln
11  0x0100107c NONE FUNC msvcrt.dll       exit
12  0x01001080 NONE FUNC msvcrt.dll       _ismbblead
13  0x01001084 NONE FUNC msvcrt.dll       _XcptFilter
14  0x01001088 NONE FUNC msvcrt.dll       _exit
15  0x0100108c NONE FUNC msvcrt.dll       _cexit
16  0x01001090 NONE FUNC msvcrt.dll       __getmainargs
1   0x0100104c NONE FUNC MsCtfMonitor.DLL DoMsCtfMonitor


