Metadata Signature: 0xa21a8 0x10001424a5342 16
.NET Version: v2.0.50727
Number of Metadata Streams: 9
DirectoryAddress: b4 Size: 42c
Stream name: #~ 4
DirectoryAddress: 4e0 Size: 928
Stream name: #Strings 12
DirectoryAddress: e08 Size: 44c
Stream name: #US 4
DirectoryAddress: 1254 Size: 10
Stream name: #GUID 8
DirectoryAddress: 1264 Size: 20c
Stream name: #Blob 8
DirectoryAddress: 1470 Size: 10
Stream name: #GUID 8
DirectoryAddress: 1480 Size: 4
Stream name: #Strings 12
DirectoryAddress: 1484 Size: 4
Stream name: #Blob 8
DirectoryAddress: 1488 Size: 4
Stream name: #Schema 8
[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x00000178 0x00000178 5   6            ascii   .text
2     0x0000019f 0x0000019f 6   7            ascii   `.rsrc
3     0x000001c7 0x000001c7 7   8            ascii   @.reloc
4     0x00000328 0x00402128 4   5    .text   ascii   \a\er=
5     0x000005be 0x004023be 4   5    .text   ascii   p\br?
6     0x000005db 0x004023db 4   5    .text   ascii   p\brI
7     0x00000640 0x00402440 5   6    .text   ascii   ,)\br[
8     0x000006e8 0x004024e8 4   5    .text   ascii   \a\er=
9     0x00000808 0x00402608 4   5    .text   ascii   \a\er9
10    0x0000086b 0x0040266b 4   5    .text   ascii   *\e0\b
11    0x000008e5 0x004026e5 4   5    .text   ascii   p\br_
12    0x0000090e 0x0040270e 4   5    .text   ascii   p\br_
13    0x00000938 0x00402738 4   5    .text   ascii   p\br_
14    0x00000974 0x00402774 4   5    .text   ascii   p\br_
15    0x00000b37 0x00402937 4   5    .text   ascii   \e\n(\t
16    0x00000be0 0x004029e0 145 146  .text   ascii   lSystem.Resources.ResourceReader, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089#System.Resources.RuntimeResourceSet
17    0x00000c7d 0x00402a7d 95  96   .text   ascii   \System.String[], mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089PA
18    0x00000d02 0x00402b02 4   7    .text   utf8    mLjƳ blocks=Basic Latin,Latin Extended-B
19    0x00000d20 0x00402b20 4   6    .text   utf8    10mص blocks=Basic Latin,Arabic
20    0x00000d56 0x00402b56 7   8    .text   ascii   ~%_rs1!
21    0x00000d5f 0x00402b5f 6   7    .text   ascii   4I-p8{
22    0x00000e62 0x00402c62 17  18   .text   ascii   N(NDNmN<N\tN~N>N6N
23    0x00000e74 0x00402c74 25  26   .text   ascii   NONQNnNzN'N-NHNmN2N#NhNNN
24    0x00000e93 0x00402c93 15  16   .text   ascii   0\bN)N:NQNON]NFN
25    0x00000ea3 0x00402ca3 11  12   .text   ascii   NxNFNyNFN%N
26    0x00000eaf 0x00402caf 11  12   .text   ascii   NlN^N/NSN8N
27    0x00000ec1 0x00402cc1 5   6    .text   ascii   NHN,J
28    0x00000ecc 0x00402ccc 17  18   .text   ascii   NBNaN?NjNJN{NxN*N
29    0x00000ee8 0x00402ce8 19  20   .text   ascii   NzN5N=N NvN&NAN;N_N
30    0x00000efc 0x00402cfc 9   10   .text   ascii   N\tN[NeNZN
31    0x00000f06 0x00402d06 7   8    .text   ascii   NPNRN!N
32    0x00000f13 0x00402d13 15  16   .text   ascii   (\rNwN`NRNyN\vNfN
33    0x00000f23 0x00402d23 5   6    .text   ascii   N>NcN
34    0x00000f2b 0x00402d2b 17  18   .text   ascii   NEN/N:NAN;N'N^N9N
35    0x00000f42 0x00402d42 5   6    .text   ascii   NRNEN
36    0x00000f4c 0x00402d4c 11  12   .text   ascii   N)NyNMN/NIN
37    0x00000f5a 0x00402d5a 13  14   .text   ascii   NeN$NRNxNZN8N
38    0x00000f6c 0x00402d6c 7   8    .text   ascii   N(N.N\fN
39    0x00000f79 0x00402d79 9   10   .text   ascii   NhN}NpN=N
40    0x00000f85 0x00402d85 17  18   .text   ascii   NSN|N\nN:NrNgN&NpN
41    0x00000f9f 0x00402d9f 39  40   .text   ascii   N0N4NONzNoNWN'N+NmN,NsN}NfN'N7NKNWNfNrN
42    0x00000fcc 0x00402dcc 31  32   .text   ascii   NdNnNzNCNxNLNRN2N[N/N/NDN|NyNbN
43    0x00000fee 0x00402dee 7   8    .text   ascii   NUNLN{N
44    0x00000ff6 0x00402df6 8   9    .text   ascii   N:NuN,N=
45    0x00001005 0x00402e05 7   8    .text   ascii   NcNQNgN
46    0x0000100d 0x00402e0d 7   8    .text   ascii   NQNJNBN
47    0x00001017 0x00402e17 9   10   .text   ascii   NlNINFNHN
48    0x00001021 0x00402e21 7   8    .text   ascii   N0NXNwN
49    0x00001029 0x00402e29 6   7    .text   ascii   NnN}NT
50    0x0000103a 0x00402e3a 7   8    .text   ascii   N?NzNbN
51    0x00001042 0x00402e42 9   10   .text   ascii   N'N@NjN\bN
52    0x0000104c 0x00402e4c 7   8    .text   ascii   N|NHN[N
53    0x0000105a 0x00402e5a 5   6    .text   ascii   N}NYN
54    0x00001062 0x00402e62 5   6    .text   ascii   NhN7N
55    0x00001068 0x00402e68 7   8    .text   ascii   N$N0NwN
56    0x00001074 0x00402e74 5   6    .text   ascii   NYN\fN
57    0x00001081 0x00402e81 25  26   .text   ascii   N%N!NvNMNVNWNGN>NENTN1N:N
58    0x0000109b 0x00402e9b 5   6    .text   ascii   NWNSN
59    0x000010a1 0x00402ea1 7   8    .text   ascii   NmN:N\aN
60    0x000010a9 0x00402ea9 17  18   .text   ascii   N6N\aN`N=NfN0N/N\vN
61    0x000010bb 0x00402ebb 9   10   .text   ascii   N'NoN0NjN
62    0x000010c5 0x00402ec5 5   6    .text   ascii   N\fN`N
63    0x000010d0 0x00402ed0 5   6    .text   ascii   NKN^N
64    0x000010d8 0x00402ed8 7   8    .text   ascii   NXNXNZN
65    0x000010ea 0x00402eea 7   8    .text   ascii   NSNCN=N
66    0x000010f2 0x00402ef2 5   6    .text   ascii   N#NwN
67    0x00001103 0x00402f03 19  20   .text   ascii   N7N)N`NJNiN:N NUNTN
68    0x00001117 0x00402f17 16  17   .text   ascii   N6N.NYN&NlNmNvN;
69    0x0000112c 0x00402f2c 15  16   .text   ascii   NqN9N!N\eN!NFN9N
70    0x0000113e 0x00402f3e 15  16   .text   ascii   N&N)N\bN(NANqN N
71    0x0000114e 0x00402f4e 7   8    .text   ascii   NmNeN]N
