[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000a8 0x000000a8 4   7            utf8    C\n䪞z blocks=Basic Latin,CJK Unified Ideographs Extension A
2    0x000000b0 0x000000b0 4   7            utf8    C\n媩z blocks=Basic Latin,CJK Unified Ideographs
3    0x000000b8 0x000000b8 4   7            utf8    C\n⪪z blocks=Basic Latin,Supplemental Mathematical Operators
4    0x000000d0 0x000000d0 4   7            utf8    \f\v誹z blocks=Basic Latin,CJK Unified Ideographs
5    0x000000e0 0x000000e0 4   7            utf8    \f\v㪺z blocks=Basic Latin,CJK Unified Ideographs Extension A
6    0x000000e8 0x000000e8 4   5            ascii   Rich
7    0x000001f0 0x000001f0 5   6            ascii   .text
8    0x00000217 0x00000217 7   8            ascii   `.rdata
9    0x0000023f 0x0000023f 6   7            ascii   @.data
10   0x00000268 0x00000268 5   6            ascii   .rsrc
11   0x0000028f 0x0000028f 7   8            ascii   @.reloc
12   0x00000ed3 0x00401ad3 4   6    .text   utf8    \vȉw\f blocks=Basic Latin,Latin Extended-B
13   0x00000fcc 0x00401bcc 4   6    .text   utf8    \vȉw$ blocks=Basic Latin,Latin Extended-B
14   0x00001020 0x00401c20 4   6    .text   utf8    \vʉw( blocks=Basic Latin,IPA Extensions
15   0x00001026 0x00401c26 4   5    .text   ascii   O,$\a
16   0x00001067 0x00401c67 4   6    .text   utf8    \vȉw4 blocks=Basic Latin,Latin Extended-B
17   0x000010c1 0x00401cc1 4   6    .text   utf8    \vȉw< blocks=Basic Latin,Latin Extended-B
18   0x0000115b 0x00401d5b 4   6    .text   utf8    \vȉwL blocks=Basic Latin,Latin Extended-B
19   0x00001161 0x00401d61 5   6    .text   ascii   OH_^[
20   0x0000119b 0x00401d9b 4   5    .text   ascii   J8VW
21   0x000011dd 0x00401ddd 5   9    .text   utf8    ʉ}؋щM blocks=IPA Extensions,Basic Latin,Arabic,Cyrillic
22   0x00001474 0x00402074 4   7    .text   utf8    #ʉMȋ blocks=Basic Latin,IPA Extensions,Latin Extended-B
23   0x00001543 0x00402143 4   6    .text   utf8    !M܋M blocks=Basic Latin,Syriac
24   0x0000154c 0x0040214c 7   11   .text   utf8    #ΉM܋Mԋu blocks=Basic Latin,Greek and Coptic,Syriac,Cyrillic Supplement
25   0x000016dc 0x004022dc 4   7    .text   utf8    \nˋÈ\r blocks=Basic Latin,Spacing Modifier Letters,Latin-1 Supplement
26   0x000017f6 0x004023f6 4   6    .text   utf8    \nr܋M blocks=Basic Latin,Syriac
27   0x000018a4 0x004024a4 7   9    .text   utf8    \eFL3҉NH blocks=Basic Latin,Cyrillic
28   0x000018b2 0x004024b2 4   6    .text   utf8    +ىFL blocks=Basic Latin,Arabic
29   0x00001902 0x00402502 4   6    .text   utf8    \nr܋M blocks=Basic Latin,Syriac
30   0x00002035 0x00402c35 5   7    .text   utf8    F\b3KN
31   0x00002075 0x00402c75 4   6    .text   utf8    3KN 
32   0x00002092 0x00402c92 6   8    .text   utf8    F 3KN(
33   0x000020b1 0x00402cb1 6   8    .text   utf8    F(3KN0
34   0x000020d0 0x00402cd0 6   8    .text   utf8    F03KN8
35   0x000020ef 0x00402cef 6   8    .text   utf8    F83KN@
36   0x0000210e 0x00402d0e 6   8    .text   utf8    F@3KNH
37   0x0000212d 0x00402d2d 5   7    .text   utf8    FH3Y_
38   0x00002137 0x00402d37 4   5    .text   ascii   VL^[
39   0x00002170 0x00402d70 4   5    .text   ascii   SVWf
40   0x000038d4 0x004044d4 4   5    .text   ascii   G@_^
41   0x00003945 0x00404545 4   5    .text   ascii   $?\f@
42   0x00003a32 0x00404632 4   5    .text   ascii   M\fQj
43   0x00003a63 0x00404663 4   5    .text   ascii   5\fpA
44   0x00003ba7 0x004047a7 4   5    .text   ascii   SVWh
45   0x00003bca 0x004047ca 4   5    .text   ascii   5\fpA
