Metadata Signature: 0xfb4 0x10001424a5342 12
.NET Version: v2.0.50727
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: ca0
Stream name: #~ 4
DirectoryAddress: d0c Size: 10e0
Stream name: #Strings 12
DirectoryAddress: 1dec Size: 1384
Stream name: #US 4
DirectoryAddress: 3170 Size: 10
Stream name: #GUID 8
DirectoryAddress: 3180 Size: 2fc
Stream name: #Blob 8
[Strings]
nth paddr      vaddr      len  size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000004d 0x0000004d 44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1   0x00000178 0x00000178 5    6            ascii   .text
2   0x0000019f 0x0000019f 6    7            ascii   `.rsrc
3   0x000001c7 0x000001c7 7    8            ascii   @.reloc
4   0x00000275 0x00402075 4    5    .text   ascii   p\bo\a
5   0x000002e7 0x004020e7 4    5    .text   ascii   ,\n(\r
6   0x00000316 0x00402116 4    5    .text   ascii   -\a\bo
7   0x00000623 0x00402423 5    6    .text   ascii   \n\v\a(!
8   0x0000062f 0x0040242f 4    5    .text   ascii   \n\f+ 
9   0x00000649 0x00402449 5    6    .text   ascii   +\r\t(\t
10  0x0000071e 0x0040251e 4    5    .text   ascii   &\bo&
11  0x0000095b 0x0040275b 6    7    .text   ascii   \a-\a\a(6
12  0x00000980 0x00402780 4    20   .text   utf32le uoä\v blocks=Basic Latin,Latin-1 Supplement
13  0x00000b0e 0x0040290e 4    5    .text   ascii   \n\n~\f
14  0x00000b14 0x00402914 4    5    .text   ascii   \n\v~\f
15  0x00000ce6 0x00402ae6 6    14   .text   utf16le \b\fH\f\bp
16  0x00000d28 0x00402b28 4    10   .text   utf16le \bp \b
17  0x00000fb3 0x00402db3 5    6    .text   ascii   *BSJB
18  0x00000fc4 0x00402dc4 10   11   .text   ascii   v2.0.50727
19  0x00000fe8 0x00402de8 8    9    .text   ascii   #Strings
20  0x00001008 0x00402e08 5    6    .text   ascii   #GUID
21  0x00001018 0x00402e18 5    6    .text   ascii   #Blob
22  0x00001044 0x00402e44 4    20   .text   utf32le W-lD
23  0x0000112e 0x00402f2e 4    5    .text   ascii   C\r9\r
24  0x00001134 0x00402f34 4    5    .text   ascii   N\r9\r
25  0x0000113a 0x00402f3a 4    5    .text   ascii   e\rY\r
26  0x00001b8c 0x0040398c 4    20   .text   utf32le 8𐀓:𐀔 blocks=Basic Latin,Linear B Syllabary
27  0x00001caa 0x00403aaa 4    10   .text   utf16le \v\n\f\n
28  0x00001cc1 0x00403ac1 8    9    .text   ascii   <Module>
29  0x00001cca 0x00403aca 7    8    .text   ascii   ado.exe
30  0x00001cd2 0x00403ad2 9    10   .text   ascii   EfsPotato
31  0x00001cdc 0x00403adc 18   19   .text   ascii   Zcg.Exploits.Local
32  0x00001cef 0x00403aef 16   17   .text   ascii   TOKEN_PRIVILEGES
33  0x00001d00 0x00403b00 19   20   .text   ascii   LUID_AND_ATTRIBUTES
34  0x00001d14 0x00403b14 4    5    .text   ascii   LUID
35  0x00001d19 0x00403b19 19   20   .text   ascii   PROCESS_INFORMATION
36  0x00001d2d 0x00403b2d 11   12   .text   ascii   STARTUPINFO
37  0x00001d39 0x00403b39 19   20   .text   ascii   SECURITY_ATTRIBUTES
38  0x00001d4d 0x00403b4d 17   18   .text   ascii   ProcessWaitHandle
39  0x00001d5f 0x00403b5f 8    9    .text   ascii   EfsrTiny
40  0x00001d68 0x00403b68 11   12   .text   ascii   allocmemory
41  0x00001d74 0x00403b74 10   11   .text   ascii   freememory
42  0x00001d7f 0x00403b7f 18   19   .text   ascii   COMM_FAULT_OFFSETS
43  0x00001d92 0x00403b92 11   12   .text   ascii   RPC_VERSION
44  0x00001d9e 0x00403b9e 21   22   .text   ascii   RPC_SYNTAX_IDENTIFIER
45  0x00001db4 0x00403bb4 20   21   .text   ascii   RPC_CLIENT_INTERFACE
46  0x00001dc9 0x00403bc9 14   15   .text   ascii   MIDL_STUB_DESC
47  0x00001dd8 0x00403bd8 8    9    .text   ascii   mscorlib
48  0x00001de1 0x00403be1 6    7    .text   ascii   System
49  0x00001de8 0x00403be8 6    7    .text   ascii   Object
50  0x00001def 0x00403bef 9    10   .text   ascii   ValueType
51  0x00001df9 0x00403bf9 16   17   .text   ascii   System.Threading
52  0x00001e0a 0x00403c0a 10   11   .text   ascii   WaitHandle
53  0x00001e15 0x00403c15 17   18   .text   ascii   MulticastDelegate
54  0x00001e27 0x00403c27 4    5    .text   ascii   Main
55  0x00001e2c 0x00403c2c 10   11   .text   ascii   ReadThread
56  0x00001e37 0x00403c37 9    10   .text   ascii   RpcThread
57  0x00001e41 0x00403c41 15   16   .text   ascii   NamedPipeThread
58  0x00001e51 0x00403c51 10   11   .text   ascii   CreateFile
59  0x00001e5c 0x00403c5c 15   16   .text   ascii   CreateNamedPipe
60  0x00001e6c 0x00403c6c 16   17   .text   ascii   ConnectNamedPipe
61  0x00001e7d 0x00403c7d 26   27   .text   ascii   ImpersonateNamedPipeClient
62  0x00001e98 0x00403c98 11   12   .text   ascii   CloseHandle
63  0x00001ea4 0x00403ca4 21   22   .text   ascii   AdjustTokenPrivileges
64  0x00001eba 0x00403cba 10   11   .text   ascii   CreatePipe
65  0x00001ec5 0x00403cc5 20   21   .text   ascii   LookupPrivilegeValue
66  0x00001eda 0x00403cda 19   20   .text   ascii   CreateProcessAsUser
67  0x00001eee 0x00403cee 5    6    .text   ascii   .ctor
68  0x00001ef4 0x00403cf4 14   15   .text   ascii   PrivilegeCount
69  0x00001f03 0x00403d03 10   11   .text   ascii   Privileges
70  0x00001f0e 0x00403d0e 4    5    .text   ascii   Luid
71  0x00001f13 0x00403d13 10   11   .text   ascii   Attributes
72  0x00001f1e 0x00403d1e 7    8    .text   ascii   LowPart
73  0x00001f26 0x00403d26 8    9    .text   ascii   HighPart
74  0x00001f2f 0x00403d2f 8    9    .text   ascii   hProcess
75  0x00001f38 0x00403d38 7    8    .text   ascii   hThread
76  0x00001f40 0x00403d40 11   12   .text   ascii   dwProcessId
