[Strings]
nth   paddr      vaddr       len  size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d  44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x000000e8 0x000000e8  4    5            ascii   Rich
2     0x00000200 0x00000200  5    6            ascii   .text
3     0x00000227 0x00000227  7    8            ascii   `.rdata
4     0x0000024f 0x0000024f  6    7            ascii   @.data
5     0x00000278 0x00000278  6    7            ascii   .pdata
6     0x0000029f 0x0000029f  6    7            ascii   @.rsrc
7     0x000002c7 0x000002c7  7    8            ascii   @.reloc
8     0x00000467 0x180001067 4    5    .text   ascii   L$0H
9     0x0000046c 0x18000106c 4    5    .text   ascii   L$xH
10    0x00000471 0x180001071 4    5    .text   ascii   L$(H
11    0x000004a0 0x1800010a0 4    5    .text   ascii   D$@L
12    0x000004b6 0x1800010b6 4    5    .text   ascii   D$(+
13    0x000004bc 0x1800010bc 4    5    .text   ascii   D$ \a
14    0x000004d2 0x1800010d2 5    7    .text   utf8    \vID$0
15    0x000004dd 0x1800010dd 4    5    .text   ascii   D$4H
16    0x000004ea 0x1800010ea 4    5    .text   ascii   D$8H
17    0x00000516 0x180001116 4    5    .text   ascii   T$0A
18    0x00000537 0x180001137 5    6    .text   ascii   L$@H3
19    0x0000069a 0x18000129a 4    5    .text   ascii   D$8H
20    0x0000069f 0x18000129f 4    5    .text   ascii   \$@H
21    0x000006b2 0x1800012b2 4    5    .text   ascii   D$ H
22    0x00000a61 0x180001661 4    5    .text   ascii   \$pH
23    0x00000a82 0x180001682 4    5    .text   ascii   D$(H
24    0x00000a87 0x180001687 4    5    .text   ascii   D$P\a
25    0x00000a92 0x180001692 4    5    .text   ascii   t$Hf
26    0x00000a97 0x180001697 4    5    .text   ascii   t$8D
27    0x00000ad7 0x1800016d7 4    5    .text   ascii   T$8H
28    0x00000ae4 0x1800016e4 5    7    .text   utf8    s E32
29    0x00000b43 0x180001743 5    6    .text   ascii   L$XH3
30    0x00000b50 0x180001750 4    5    .text   ascii   \$pH
31    0x00000c1e 0x18000181e 4    5    .text   ascii   t$PH
32    0x00000c23 0x180001823 4    5    .text   ascii   |$Hf
33    0x00000c28 0x180001828 4    5    .text   ascii   |$8D
34    0x00000c4b 0x18000184b 4    5    .text   ascii   t$xH
35    0x00000c50 0x180001850 4    5    .text   ascii   |$pf
36    0x00000d51 0x180001951 4    5    .text   ascii   |$0H
37    0x00000d62 0x180001962 4    5    .text   ascii   D$ L
38    0x00000d77 0x180001977 4    5    .text   ascii   EHH;
39    0x00000e87 0x180001a87 4    5    .text   ascii   D$ L
40    0x00000e9c 0x180001a9c 4    5    .text   ascii   EWH;
41    0x00000f01 0x180001b01 4    5    .text   ascii   \$@A
42    0x00000fe2 0x180001be2 4    5    .text   ascii   \$@H
43    0x00001054 0x180001c54 4    5    .text   ascii   l$ H
44    0x000010ab 0x180001cab 4    6    .text   utf8    \f2ۈ] blocks=Basic Latin,Arabic
45    0x000010bc 0x180001cbc 4    5    .text   ascii   M\bH3
46    0x00001132 0x180001d32 5    6    .text   ascii   \$\bWH
47    0x0000117b 0x180001d7b 4    5    .text   ascii   \$0H
48    0x0000120b 0x180001e0b 4    5    .text   ascii   A'H;
49    0x000013e1 0x180001fe1 4    5    .text   ascii   T$ H
50    0x000013f8 0x180001ff8 8    9    .text   ascii   Q\bI9Q\bu\n
51    0x00001401 0x180002001 4    5    .text   ascii   \v9\bu
52    0x00001426 0x180002026 10   11   .text   ascii   H\bL9I\bu\vD9
53    0x00001503 0x180002103 4    5    .text   ascii   UVWH
54    0x000016a1 0x1800022a1 4    5    .text   ascii   \$@A
55    0x000016d5 0x1800022d5 4    5    .text   ascii   \$@H
56    0x0000175e 0x18000235e 4    5    .text   ascii   %uy\a
57    0x00001772 0x180002372 5    6    .text   ascii   \$\bWH
58    0x000017bd 0x1800023bd 4    5    .text   ascii   \$0H
59    0x00001882 0x180002482 5    6    .text   ascii   \$\bWH
60    0x000018ab 0x1800024ab 4    5    .text   ascii   \$0H
61    0x000018be 0x1800024be 5    6    .text   ascii   \$\bWH
62    0x0000196c 0x18000256c 4    5    .text   ascii   \$0H
63    0x0000197e 0x18000257e 5    6    .text   ascii   \$\bWH
64    0x00001994 0x180002594 4    5    .text   ascii   A\bH;
65    0x000019e2 0x1800025e2 4    5    .text   ascii   Dw7H
66    0x00001a08 0x180002608 4    5    .text   ascii   \$0H
67    0x00001a0e 0x18000260e 4    6    .text   utf8     _ùW blocks=Basic Latin,Latin-1 Supplement
68    0x00001a45 0x180002645 4    5    .text   ascii   K\bWH
69    0x00001a7a 0x18000267a 4    5    .text   ascii   T$HH
70    0x00001aac 0x1800026ac 4    5    .text   ascii   \$PH
71    0x00001b02 0x180002702 5    6    .text   ascii   \$\bWH
72    0x00001b75 0x180002775 4    5    .text   ascii   \$0H
73    0x00001be8 0x1800027e8 7    8    .text   ascii   @UAVAWH
74    0x00001bf4 0x1800027f4 4    5    .text   ascii   l$0H
75    0x00001c30 0x180002830 5    6    .text   ascii   D$ E3
76    0x00001c36 0x180002836 4    6    .text   utf8    E3\rW
77    0x00001cf4 0x1800028f4 4    5    .text   ascii   D$ D
78    0x00001d72 0x180002972 7    8    .text   ascii   e A_A^]
79    0x00001d82 0x180002982 5    6    .text   ascii   \$\bWH
80    0x00001df2 0x1800029f2 4    5    .text   ascii   D$@H
81    0x00001e02 0x180002a02 4    5    .text   ascii   \$0H
82    0x00001ea2 0x180002aa2 4    5    .text   ascii   L$PA
83    0x00001efe 0x180002afe 4    5    .text   ascii   L$PH
84    0x00001f0e 0x180002b0e 4    6    .text   utf8    \nE3\v
85    0x00001f83 0x180002b83 4    5    .text   ascii   D$PH
86    0x00001f97 0x180002b97 4    5    .text   ascii   \$@H
87    0x00001fd0 0x180002bd0 4    5    .text   ascii   D$0I
88    0x00001ff9 0x180002bf9 4    5    .text   ascii   T$8H
89    0x00001ffe 0x180002bfe 4    5    .text   ascii   \$0H
90    0x0000204a 0x180002c4a 4    5    .text   ascii   T$8H
