[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0041112c NONE FUNC KERNEL32.dll GetModuleHandleA
2   0x00411130 NONE FUNC KERNEL32.dll HeapCreate
1   0x00411138 NONE FUNC USER32.dll   SubtractRect
2   0x0041113c NONE FUNC USER32.dll   PtInRect
3   0x00411140 NONE FUNC USER32.dll   GetClassWord
4   0x00411144 NONE FUNC USER32.dll   GetProcessDefaultLayout
5   0x00411148 NONE FUNC USER32.dll   SetProcessDefaultLayout
6   0x0041114c NONE FUNC USER32.dll   FindWindowExW
7   0x00411150 NONE FUNC USER32.dll   LookupIconIdFromDirectoryEx
8   0x00411154 NONE FUNC USER32.dll   InflateRect
9   0x00411158 NONE FUNC USER32.dll   DlgDirListComboBoxA
10  0x0041115c NONE FUNC USER32.dll   TileWindows
11  0x00411160 NONE FUNC USER32.dll   EnumDisplaySettingsExA
12  0x00411164 NONE FUNC USER32.dll   EnumDisplaySettingsExW
13  0x00411168 NONE FUNC USER32.dll   GetCursorInfo
14  0x0041116c NONE FUNC USER32.dll   GetWindowInfo
15  0x00411170 NONE FUNC USER32.dll   GetScrollBarInfo
16  0x00411174 NONE FUNC USER32.dll   UserHandleGrantAccess
17  0x00411178 NONE FUNC USER32.dll   IntersectRect
18  0x0041117c NONE FUNC USER32.dll   SetRectEmpty
19  0x00411180 NONE FUNC USER32.dll   SetRect
20  0x00411184 NONE FUNC USER32.dll   GetSysColorBrush
21  0x00411188 NONE FUNC USER32.dll   ChildWindowFromPointEx
22  0x0041118c NONE FUNC USER32.dll   MapWindowPoints
23  0x00411190 NONE FUNC USER32.dll   ClientToScreen
24  0x00411194 NONE FUNC USER32.dll   GetCaretPos
25  0x00411198 NONE FUNC USER32.dll   GetCaretBlinkTime
26  0x0041119c NONE FUNC USER32.dll   GetClipCursor
27  0x004111a0 NONE FUNC USER32.dll   SetCursor
28  0x004111a4 NONE FUNC USER32.dll   ShowCursor
29  0x004111a8 NONE FUNC USER32.dll   MessageBoxIndirectA
30  0x004111ac NONE FUNC USER32.dll   SetMenuContextHelpId
31  0x004111b0 NONE FUNC USER32.dll   GetWindowContextHelpId
32  0x004111b4 NONE FUNC USER32.dll   GetClientRect
33  0x004111b8 NONE FUNC USER32.dll   EnumPropsA
34  0x004111bc NONE FUNC USER32.dll   EnableScrollBar
35  0x004111c0 NONE FUNC USER32.dll   GetScrollRange
36  0x004111c4 NONE FUNC USER32.dll   SetScrollPos
37  0x004111c8 NONE FUNC USER32.dll   ScrollDC
38  0x004111cc NONE FUNC USER32.dll   ScrollWindow
39  0x004111d0 NONE FUNC USER32.dll   LockWindowUpdate
40  0x004111d4 NONE FUNC USER32.dll   ValidateRgn
41  0x004111d8 NONE FUNC USER32.dll   InvalidateRgn
42  0x004111dc NONE FUNC USER32.dll   InvalidateRect
43  0x004111e0 NONE FUNC USER32.dll   SetWindowRgn
44  0x004111e4 NONE FUNC USER32.dll   GetUpdateRect
45  0x004111e8 NONE FUNC USER32.dll   GetDCEx
46  0x004111ec NONE FUNC USER32.dll   WindowFromDC
47  0x004111f0 NONE FUNC USER32.dll   SwitchToThisWindow
48  0x004111f4 NONE FUNC USER32.dll   DrawTextExA
49  0x004111f8 NONE FUNC USER32.dll   MenuItemFromPoint
50  0x004111fc NONE FUNC USER32.dll   GetMenuItemRect
51  0x00411200 NONE FUNC USER32.dll   SetMenuDefaultItem
52  0x00411204 NONE FUNC USER32.dll   GetMenuDefaultItem
53  0x00411208 NONE FUNC USER32.dll   GetMenuItemInfoW
54  0x0041120c NONE FUNC USER32.dll   SetMenuInfo
55  0x00411210 NONE FUNC USER32.dll   TrackPopupMenu
56  0x00411214 NONE FUNC USER32.dll   SetMenuItemBitmaps
57  0x00411218 NONE FUNC USER32.dll   GetMenuItemCount
58  0x0041121c NONE FUNC USER32.dll   GetSubMenu
59  0x00411220 NONE FUNC USER32.dll   CheckMenuItem
60  0x00411224 NONE FUNC USER32.dll   GetSystemMenu
61  0x00411228 NONE FUNC USER32.dll   DrawMenuBar
62  0x0041122c NONE FUNC USER32.dll   TranslateAcceleratorW
63  0x00411230 NONE FUNC USER32.dll   TranslateAcceleratorA
64  0x00411234 NONE FUNC USER32.dll   KillTimer
65  0x00411238 NONE FUNC USER32.dll   keybd_event
66  0x0041123c NONE FUNC USER32.dll   ToUnicode
67  0x00411240 NONE FUNC USER32.dll   GetKBCodePage
68  0x00411244 NONE FUNC USER32.dll   IsCharAlphaA
69  0x00411248 NONE FUNC USER32.dll   DefDlgProcA
70  0x0041124c NONE FUNC USER32.dll   GetNextDlgTabItem
71  0x00411250 NONE FUNC USER32.dll   CheckDlgButton
72  0x00411254 NONE FUNC USER32.dll   SetDlgItemTextA
73  0x00411258 NONE FUNC USER32.dll   GetDlgItem
74  0x0041125c NONE FUNC USER32.dll   IsZoomed
75  0x00411260 NONE FUNC USER32.dll   AnyPopup
76  0x00411264 NONE FUNC USER32.dll   IsWindowVisible
77  0x00411268 NONE FUNC USER32.dll   MoveWindow
78  0x0041126c NONE FUNC USER32.dll   ShowOwnedPopups
79  0x00411270 NONE FUNC USER32.dll   ShowWindowAsync
80  0x00411274 NONE FUNC USER32.dll   AnimateWindow
81  0x00411278 NONE FUNC USER32.dll   IsChild
82  0x0041127c NONE FUNC USER32.dll   IsWindow
83  0x00411280 NONE FUNC USER32.dll   SetDoubleClickTime
84  0x00411284 NONE FUNC USER32.dll   CallWindowProcA
85  0x00411288 NONE FUNC USER32.dll   WaitForInputIdle
86  0x0041128c NONE FUNC USER32.dll   DrawAnimatedRects
87  0x00411290 NONE FUNC USER32.dll   DrawFrameControl
88  0x00411294 NONE FUNC USER32.dll   DrawEdge
89  0x00411298 NONE FUNC USER32.dll   GetKeyboardLayout
90  0x0041129c NONE FUNC USER32.dll   ToUnicodeEx
91  0x004112a0 NONE FUNC USER32.dll   DlgDirListW
1   0x00411000 NONE FUNC GDI32.dll    SelectPalette
2   0x00411004 NONE FUNC GDI32.dll    CancelDC
3   0x00411008 NONE FUNC GDI32.dll    GetDCOrgEx
4   0x0041100c NONE FUNC GDI32.dll    GetKerningPairsA
5   0x00411010 NONE FUNC GDI32.dll    GetTextFaceA
6   0x00411014 NONE FUNC GDI32.dll    SetBitmapDimensionEx
7   0x00411018 NONE FUNC GDI32.dll    ScaleViewportExtEx
8   0x0041101c NONE FUNC GDI32.dll    SetViewportExtEx
9   0x00411020 NONE FUNC GDI32.dll    PolylineTo
10  0x00411024 NONE FUNC GDI32.dll    PolyBezier
11  0x00411028 NONE FUNC GDI32.dll    DPtoLP
12  0x0041102c NONE FUNC GDI32.dll    PolyTextOutA
13  0x00411030 NONE FUNC GDI32.dll    MoveToEx
14  0x00411034 NONE FUNC GDI32.dll    GetArcDirection
15  0x00411038 NONE FUNC GDI32.dll    StrokePath
16  0x0041103c NONE FUNC GDI32.dll    PathToRegion
17  0x00411040 NONE FUNC GDI32.dll    FillPath
18  0x00411044 NONE FUNC GDI32.dll    AbortPath
19  0x00411048 NONE FUNC GDI32.dll    GetColorAdjustment
20  0x0041104c NONE FUNC GDI32.dll    SetColorAdjustment
21  0x00411050 NONE FUNC GDI32.dll    SetDIBColorTable
22  0x00411054 NONE FUNC GDI32.dll    GetDIBColorTable
23  0x00411058 NONE FUNC GDI32.dll    AngleArc
24  0x0041105c NONE FUNC GDI32.dll    SetEnhMetaFileBits
25  0x00411060 NONE FUNC GDI32.dll    PlayEnhMetaFileRecord
26  0x00411064 NONE FUNC GDI32.dll    GetWinMetaFileBits
27  0x00411068 NONE FUNC GDI32.dll    GetEnhMetaFileA
28  0x0041106c NONE FUNC GDI32.dll    PlayMetaFileRecord
29  0x00411070 NONE FUNC GDI32.dll    SetTextAlign
30  0x00411074 NONE FUNC GDI32.dll    SetSystemPaletteUse
31  0x00411078 NONE FUNC GDI32.dll    SetStretchBltMode
32  0x0041107c NONE FUNC GDI32.dll    StretchBlt
33  0x00411080 NONE FUNC GDI32.dll    SetPixel
34  0x00411084 NONE FUNC GDI32.dll    SetMetaFileBitsEx
35  0x00411088 NONE FUNC GDI32.dll    SetMapMode
36  0x0041108c NONE FUNC GDI32.dll    SetDIBitsToDevice
37  0x00411090 NONE FUNC GDI32.dll    SetDCBrushColor
38  0x00411094 NONE FUNC GDI32.dll    SetBkColor
39  0x00411098 NONE FUNC GDI32.dll    Arc
40  0x0041109c NONE FUNC GDI32.dll    SelectObject
41  0x004110a0 NONE FUNC GDI32.dll    SetMetaRgn
42  0x004110a4 NONE FUNC GDI32.dll    ExtSelectClipRgn
43  0x004110a8 NONE FUNC GDI32.dll    ResizePalette
44  0x004110ac NONE FUNC GDI32.dll    RemoveFontResourceA
45  0x004110b0 NONE FUNC GDI32.dll    RestoreDC
46  0x004110b4 NONE FUNC GDI32.dll    RectInRegion
47  0x004110b8 NONE FUNC GDI32.dll    PlayMetaFile
48  0x004110bc NONE FUNC GDI32.dll    LineTo
49  0x004110c0 NONE FUNC GDI32.dll    IntersectClipRect
50  0x004110c4 NONE FUNC GDI32.dll    GetWindowExtEx
51  0x004110c8 NONE FUNC GDI32.dll    GetViewportExtEx
52  0x004110cc NONE FUNC GDI32.dll    GetTextExtentExPointI
53  0x004110d0 NONE FUNC GDI32.dll    GetTextExtentPoint32A
54  0x004110d4 NONE FUNC GDI32.dll    GetTextExtentPointA
55  0x004110d8 NONE FUNC GDI32.dll    GetTextAlign
56  0x004110dc NONE FUNC GDI32.dll    GetSystemPaletteUse
57  0x004110e0 NONE FUNC GDI32.dll    GetRasterizerCaps
58  0x004110e4 NONE FUNC GDI32.dll    GetPaletteEntries
59  0x004110e8 NONE FUNC GDI32.dll    GetOutlineTextMetricsA
60  0x004110ec NONE FUNC GDI32.dll    GetObjectType
61  0x004110f0 NONE FUNC GDI32.dll    GetGlyphOutlineW
62  0x004110f4 NONE FUNC GDI32.dll    GetGlyphOutlineA
63  0x004110f8 NONE FUNC GDI32.dll    GetCharABCWidthsFloatW
64  0x004110fc NONE FUNC GDI32.dll    GetCharABCWidthsFloatA
