[Imports]
nth vaddr       bind type lib          name
―――――――――――――――――――――――――――――――――――――――――――
1   0x140009000 NONE FUNC ADVAPI32.dll RegCloseKey
2   0x140009008 NONE FUNC ADVAPI32.dll RegDeleteKeyExW
3   0x140009010 NONE FUNC ADVAPI32.dll RegDeleteValueW
4   0x140009018 NONE FUNC ADVAPI32.dll RegEnumKeyW
5   0x140009020 NONE FUNC ADVAPI32.dll RegEnumValueW
6   0x140009028 NONE FUNC ADVAPI32.dll RegQueryValueExW
7   0x140009030 NONE FUNC ADVAPI32.dll RegSetValueExW
8   0x140009038 NONE FUNC ADVAPI32.dll OpenProcessToken
9   0x140009040 NONE FUNC ADVAPI32.dll AdjustTokenPrivileges
10  0x140009048 NONE FUNC ADVAPI32.dll LookupPrivilegeValueW
11  0x140009050 NONE FUNC ADVAPI32.dll SetFileSecurityW
12  0x140009058 NONE FUNC ADVAPI32.dll RegCreateKeyExW
13  0x140009060 NONE FUNC ADVAPI32.dll RegOpenKeyExW
1   0x1400092e8 NONE FUNC SHELL32.dll  SHFileOperationW
2   0x1400092f0 NONE FUNC SHELL32.dll  ShellExecuteExW
3   0x1400092f8 NONE FUNC SHELL32.dll  SHBrowseForFolderW
4   0x140009300 NONE FUNC SHELL32.dll  SHGetPathFromIDListW
5   0x140009308 NONE FUNC SHELL32.dll  SHGetFileInfoW
147 0x140009310 NONE FUNC SHELL32.dll  SHCLSIDFromString
148 0x140009318 NONE FUNC SHELL32.dll  SHGetSpecialFolderLocation
1   0x140009520 NONE FUNC ole32.dll    OleUninitialize
2   0x140009528 NONE FUNC ole32.dll    OleInitialize
3   0x140009530 NONE FUNC ole32.dll    CoTaskMemFree
4   0x140009538 NONE FUNC ole32.dll    CoCreateInstance
17  0x140009070 NONE FUNC COMCTL32.dll InitCommonControls
18  0x140009078 NONE FUNC COMCTL32.dll ImageList_Destroy
19  0x140009080 NONE FUNC COMCTL32.dll ImageList_AddMasked
20  0x140009088 NONE FUNC COMCTL32.dll ImageList_Create
1   0x140009328 NONE FUNC USER32.dll   SystemParametersInfoW
2   0x140009330 NONE FUNC USER32.dll   LoadCursorW
3   0x140009338 NONE FUNC USER32.dll   GetWindowLongPtrW
4   0x140009340 NONE FUNC USER32.dll   GetSysColor
5   0x140009348 NONE FUNC USER32.dll   ScreenToClient
6   0x140009350 NONE FUNC USER32.dll   SetCursor
7   0x140009358 NONE FUNC USER32.dll   GetWindowRect
8   0x140009360 NONE FUNC USER32.dll   TrackPopupMenu
9   0x140009368 NONE FUNC USER32.dll   AppendMenuW
10  0x140009370 NONE FUNC USER32.dll   EnableMenuItem
11  0x140009378 NONE FUNC USER32.dll   CreatePopupMenu
12  0x140009380 NONE FUNC USER32.dll   GetSystemMenu
13  0x140009388 NONE FUNC USER32.dll   GetSystemMetrics
14  0x140009390 NONE FUNC USER32.dll   IsWindowEnabled
15  0x140009398 NONE FUNC USER32.dll   EmptyClipboard
16  0x1400093a0 NONE FUNC USER32.dll   SetClipboardData
17  0x1400093a8 NONE FUNC USER32.dll   CloseClipboard
18  0x1400093b0 NONE FUNC USER32.dll   OpenClipboard
19  0x1400093b8 NONE FUNC USER32.dll   CheckDlgButton
20  0x1400093c0 NONE FUNC USER32.dll   EndDialog
21  0x1400093c8 NONE FUNC USER32.dll   DialogBoxParamW
22  0x1400093d0 NONE FUNC USER32.dll   IsWindowVisible
23  0x1400093d8 NONE FUNC USER32.dll   SetWindowPos
24  0x1400093e0 NONE FUNC USER32.dll   CreateWindowExW
25  0x1400093e8 NONE FUNC USER32.dll   GetClassInfoW
26  0x1400093f0 NONE FUNC USER32.dll   RegisterClassW
27  0x1400093f8 NONE FUNC USER32.dll   DispatchMessageW
28  0x140009400 NONE FUNC USER32.dll   GetMessagePos
29  0x140009408 NONE FUNC USER32.dll   CharNextW
30  0x140009410 NONE FUNC USER32.dll   ExitWindowsEx
31  0x140009418 NONE FUNC USER32.dll   SetWindowTextW
32  0x140009420 NONE FUNC USER32.dll   SetTimer
33  0x140009428 NONE FUNC USER32.dll   CreateDialogParamW
34  0x140009430 NONE FUNC USER32.dll   DestroyWindow
35  0x140009438 NONE FUNC USER32.dll   LoadImageW
36  0x140009440 NONE FUNC USER32.dll   FindWindowExW
37  0x140009448 NONE FUNC USER32.dll   SetWindowLongPtrW
38  0x140009450 NONE FUNC USER32.dll   InvalidateRect
39  0x140009458 NONE FUNC USER32.dll   ReleaseDC
40  0x140009460 NONE FUNC USER32.dll   GetDC
41  0x140009468 NONE FUNC USER32.dll   SetForegroundWindow
42  0x140009470 NONE FUNC USER32.dll   EnableWindow
43  0x140009478 NONE FUNC USER32.dll   GetDlgItem
44  0x140009480 NONE FUNC USER32.dll   ShowWindow
45  0x140009488 NONE FUNC USER32.dll   IsWindow
46  0x140009490 NONE FUNC USER32.dll   PostQuitMessage
47  0x140009498 NONE FUNC USER32.dll   SendMessageTimeoutW
48  0x1400094a0 NONE FUNC USER32.dll   SendMessageW
49  0x1400094a8 NONE FUNC USER32.dll   wsprintfW
50  0x1400094b0 NONE FUNC USER32.dll   FillRect
51  0x1400094b8 NONE FUNC USER32.dll   GetClientRect
52  0x1400094c0 NONE FUNC USER32.dll   EndPaint
53  0x1400094c8 NONE FUNC USER32.dll   BeginPaint
54  0x1400094d0 NONE FUNC USER32.dll   DrawTextW
55  0x1400094d8 NONE FUNC USER32.dll   DefWindowProcW
56  0x1400094e0 NONE FUNC USER32.dll   PeekMessageW
57  0x1400094e8 NONE FUNC USER32.dll   SetDlgItemTextW
58  0x1400094f0 NONE FUNC USER32.dll   GetDlgItemTextW
59  0x1400094f8 NONE FUNC USER32.dll   CharPrevW
60  0x140009500 NONE FUNC USER32.dll   CallWindowProcW
