[Imports]
nth vaddr       bind type lib          name
―――――――――――――――――――――――――――――――――――――――――――
1   0x14000a000 NONE FUNC ADVAPI32.dll RegCloseKey
2   0x14000a008 NONE FUNC ADVAPI32.dll RegDeleteKeyExW
3   0x14000a010 NONE FUNC ADVAPI32.dll RegDeleteValueW
4   0x14000a018 NONE FUNC ADVAPI32.dll RegEnumKeyW
5   0x14000a020 NONE FUNC ADVAPI32.dll RegEnumValueW
6   0x14000a028 NONE FUNC ADVAPI32.dll RegQueryValueExW
7   0x14000a030 NONE FUNC ADVAPI32.dll RegSetValueExW
8   0x14000a038 NONE FUNC ADVAPI32.dll OpenProcessToken
9   0x14000a040 NONE FUNC ADVAPI32.dll AdjustTokenPrivileges
10  0x14000a048 NONE FUNC ADVAPI32.dll LookupPrivilegeValueW
11  0x14000a050 NONE FUNC ADVAPI32.dll SetFileSecurityW
12  0x14000a058 NONE FUNC ADVAPI32.dll RegCreateKeyExW
13  0x14000a060 NONE FUNC ADVAPI32.dll RegOpenKeyExW
1   0x14000a2e8 NONE FUNC SHELL32.dll  SHFileOperationW
2   0x14000a2f0 NONE FUNC SHELL32.dll  ShellExecuteExW
3   0x14000a2f8 NONE FUNC SHELL32.dll  SHBrowseForFolderW
4   0x14000a300 NONE FUNC SHELL32.dll  SHGetPathFromIDListW
5   0x14000a308 NONE FUNC SHELL32.dll  SHGetFileInfoW
147 0x14000a310 NONE FUNC SHELL32.dll  SHCLSIDFromString
148 0x14000a318 NONE FUNC SHELL32.dll  SHGetSpecialFolderLocation
1   0x14000a520 NONE FUNC ole32.dll    OleUninitialize
2   0x14000a528 NONE FUNC ole32.dll    OleInitialize
3   0x14000a530 NONE FUNC ole32.dll    CoTaskMemFree
4   0x14000a538 NONE FUNC ole32.dll    CoCreateInstance
17  0x14000a070 NONE FUNC COMCTL32.dll InitCommonControls
18  0x14000a078 NONE FUNC COMCTL32.dll ImageList_Destroy
19  0x14000a080 NONE FUNC COMCTL32.dll ImageList_AddMasked
20  0x14000a088 NONE FUNC COMCTL32.dll ImageList_Create
1   0x14000a328 NONE FUNC USER32.dll   SystemParametersInfoW
2   0x14000a330 NONE FUNC USER32.dll   LoadCursorW
3   0x14000a338 NONE FUNC USER32.dll   GetWindowLongPtrW
4   0x14000a340 NONE FUNC USER32.dll   GetSysColor
5   0x14000a348 NONE FUNC USER32.dll   ScreenToClient
6   0x14000a350 NONE FUNC USER32.dll   SetCursor
7   0x14000a358 NONE FUNC USER32.dll   GetWindowRect
8   0x14000a360 NONE FUNC USER32.dll   TrackPopupMenu
9   0x14000a368 NONE FUNC USER32.dll   AppendMenuW
10  0x14000a370 NONE FUNC USER32.dll   EnableMenuItem
11  0x14000a378 NONE FUNC USER32.dll   CreatePopupMenu
12  0x14000a380 NONE FUNC USER32.dll   GetSystemMenu
13  0x14000a388 NONE FUNC USER32.dll   GetSystemMetrics
14  0x14000a390 NONE FUNC USER32.dll   IsWindowEnabled
15  0x14000a398 NONE FUNC USER32.dll   EmptyClipboard
16  0x14000a3a0 NONE FUNC USER32.dll   SetClipboardData
17  0x14000a3a8 NONE FUNC USER32.dll   CloseClipboard
