[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x00409244 NONE FUNC KERNEL32.dll CloseHandle
2   0x0040924c NONE FUNC KERNEL32.dll ConnectNamedPipe
3   0x00409254 NONE FUNC KERNEL32.dll CreateFileA
4   0x0040925c NONE FUNC KERNEL32.dll CreateNamedPipeA
5   0x00409264 NONE FUNC KERNEL32.dll CreateThread
6   0x0040926c NONE FUNC KERNEL32.dll DeleteCriticalSection
7   0x00409274 NONE FUNC KERNEL32.dll EnterCriticalSection
8   0x0040927c NONE FUNC KERNEL32.dll GetCurrentProcess
9   0x00409284 NONE FUNC KERNEL32.dll GetCurrentProcessId
10  0x0040928c NONE FUNC KERNEL32.dll GetCurrentThreadId
11  0x00409294 NONE FUNC KERNEL32.dll GetLastError
12  0x0040929c NONE FUNC KERNEL32.dll GetModuleHandleA
13  0x004092a4 NONE FUNC KERNEL32.dll GetProcAddress
14  0x004092ac NONE FUNC KERNEL32.dll GetStartupInfoA
15  0x004092b4 NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
16  0x004092bc NONE FUNC KERNEL32.dll GetTickCount
17  0x004092c4 NONE FUNC KERNEL32.dll InitializeCriticalSection
18  0x004092cc NONE FUNC KERNEL32.dll LeaveCriticalSection
19  0x004092d4 NONE FUNC KERNEL32.dll LoadLibraryW
20  0x004092dc NONE FUNC KERNEL32.dll QueryPerformanceCounter
21  0x004092e4 NONE FUNC KERNEL32.dll ReadFile
22  0x004092ec NONE FUNC KERNEL32.dll RtlAddFunctionTable
23  0x004092f4 NONE FUNC KERNEL32.dll RtlCaptureContext
24  0x004092fc NONE FUNC KERNEL32.dll RtlLookupFunctionEntry
25  0x00409304 NONE FUNC KERNEL32.dll RtlVirtualUnwind
26  0x0040930c NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
27  0x00409314 NONE FUNC KERNEL32.dll Sleep
28  0x0040931c NONE FUNC KERNEL32.dll TerminateProcess
29  0x00409324 NONE FUNC KERNEL32.dll TlsGetValue
30  0x0040932c NONE FUNC KERNEL32.dll UnhandledExceptionFilter
31  0x00409334 NONE FUNC KERNEL32.dll VirtualAlloc
32  0x0040933c NONE FUNC KERNEL32.dll VirtualProtect
33  0x00409344 NONE FUNC KERNEL32.dll VirtualQuery
34  0x0040934c NONE FUNC KERNEL32.dll WriteFile
1   0x0040935c NONE FUNC msvcrt.dll   __C_specific_handler
2   0x00409364 NONE FUNC msvcrt.dll   __dllonexit
3   0x0040936c NONE FUNC msvcrt.dll   __getmainargs
4   0x00409374 NONE FUNC msvcrt.dll   __initenv
5   0x0040937c NONE FUNC msvcrt.dll   __iob_func
6   0x00409384 NONE FUNC msvcrt.dll   __lconv_init
7   0x0040938c NONE FUNC msvcrt.dll   __set_app_type
8   0x00409394 NONE FUNC msvcrt.dll   __setusermatherr
9   0x0040939c NONE FUNC msvcrt.dll   _acmdln
10  0x004093a4 NONE FUNC msvcrt.dll   _amsg_exit
11  0x004093ac NONE FUNC msvcrt.dll   _cexit
12  0x004093b4 NONE FUNC msvcrt.dll   _fmode
13  0x004093bc NONE FUNC msvcrt.dll   _initterm
14  0x004093c4 NONE FUNC msvcrt.dll   _lock
15  0x004093cc NONE FUNC msvcrt.dll   _onexit
16  0x004093d4 NONE FUNC msvcrt.dll   _unlock
17  0x004093dc NONE FUNC msvcrt.dll   abort
18  0x004093e4 NONE FUNC msvcrt.dll   calloc
19  0x004093ec NONE FUNC msvcrt.dll   exit
20  0x004093f4 NONE FUNC msvcrt.dll   fprintf
21  0x004093fc NONE FUNC msvcrt.dll   free
22  0x00409404 NONE FUNC msvcrt.dll   fwrite
23  0x0040940c NONE FUNC msvcrt.dll   malloc
24  0x00409414 NONE FUNC msvcrt.dll   memcpy
25  0x0040941c NONE FUNC msvcrt.dll   signal
26  0x00409424 NONE FUNC msvcrt.dll   sprintf
27  0x0040942c NONE FUNC msvcrt.dll   strlen
28  0x00409434 NONE FUNC msvcrt.dll   strncmp
29  0x0040943c NONE FUNC msvcrt.dll   vfprintf


