[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0045d1dc NONE FUNC KERNEL32.dll DeleteCriticalSection
2   0x0045d1e4 NONE FUNC KERNEL32.dll EnterCriticalSection
3   0x0045d1ec NONE FUNC KERNEL32.dll GetCurrentProcess
4   0x0045d1f4 NONE FUNC KERNEL32.dll GetCurrentProcessId
5   0x0045d1fc NONE FUNC KERNEL32.dll GetCurrentThreadId
6   0x0045d204 NONE FUNC KERNEL32.dll GetLastError
7   0x0045d20c NONE FUNC KERNEL32.dll GetStartupInfoA
8   0x0045d214 NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
9   0x0045d21c NONE FUNC KERNEL32.dll GetTickCount
10  0x0045d224 NONE FUNC KERNEL32.dll InitializeCriticalSection
11  0x0045d22c NONE FUNC KERNEL32.dll LeaveCriticalSection
12  0x0045d234 NONE FUNC KERNEL32.dll QueryPerformanceCounter
13  0x0045d23c NONE FUNC KERNEL32.dll RtlAddFunctionTable
14  0x0045d244 NONE FUNC KERNEL32.dll RtlCaptureContext
15  0x0045d24c NONE FUNC KERNEL32.dll RtlLookupFunctionEntry
16  0x0045d254 NONE FUNC KERNEL32.dll RtlVirtualUnwind
17  0x0045d25c NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
18  0x0045d264 NONE FUNC KERNEL32.dll Sleep
19  0x0045d26c NONE FUNC KERNEL32.dll TerminateProcess
20  0x0045d274 NONE FUNC KERNEL32.dll TlsGetValue
21  0x0045d27c NONE FUNC KERNEL32.dll UnhandledExceptionFilter
22  0x0045d284 NONE FUNC KERNEL32.dll VirtualAlloc
23  0x0045d28c NONE FUNC KERNEL32.dll VirtualProtect
24  0x0045d294 NONE FUNC KERNEL32.dll VirtualQuery
1   0x0045d2a4 NONE FUNC msvcrt.dll   __C_specific_handler
2   0x0045d2ac NONE FUNC msvcrt.dll   __getmainargs
3   0x0045d2b4 NONE FUNC msvcrt.dll   __initenv
4   0x0045d2bc NONE FUNC msvcrt.dll   __iob_func
5   0x0045d2c4 NONE FUNC msvcrt.dll   __lconv_init
6   0x0045d2cc NONE FUNC msvcrt.dll   __set_app_type
7   0x0045d2d4 NONE FUNC msvcrt.dll   __setusermatherr
8   0x0045d2dc NONE FUNC msvcrt.dll   _acmdln
9   0x0045d2e4 NONE FUNC msvcrt.dll   _amsg_exit
10  0x0045d2ec NONE FUNC msvcrt.dll   _cexit
11  0x0045d2f4 NONE FUNC msvcrt.dll   _fmode
12  0x0045d2fc NONE FUNC msvcrt.dll   _initterm
13  0x0045d304 NONE FUNC msvcrt.dll   _onexit
14  0x0045d30c NONE FUNC msvcrt.dll   abort
15  0x0045d314 NONE FUNC msvcrt.dll   calloc
16  0x0045d31c NONE FUNC msvcrt.dll   clock
17  0x0045d324 NONE FUNC msvcrt.dll   exit
18  0x0045d32c NONE FUNC msvcrt.dll   fprintf
19  0x0045d334 NONE FUNC msvcrt.dll   free
20  0x0045d33c NONE FUNC msvcrt.dll   fwrite
21  0x0045d344 NONE FUNC msvcrt.dll   malloc
22  0x0045d34c NONE FUNC msvcrt.dll   memcpy
23  0x0045d354 NONE FUNC msvcrt.dll   signal
24  0x0045d35c NONE FUNC msvcrt.dll   strlen
25  0x0045d364 NONE FUNC msvcrt.dll   strncmp
26  0x0045d36c NONE FUNC msvcrt.dll   vfprintf


