[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000188 0x00000188 5   6            ascii   .text
2    0x000001ae 0x000001ae 7   8            ascii   P`.data
3    0x000001d8 0x000001d8 6   7            ascii   .rdata
4    0x000001fe 0x000001fe 8   9            ascii   P@.pdata
5    0x00000226 0x00000226 8   9            ascii   0@.xdata
6    0x0000024e 0x0000024e 6   7            ascii   0@.bss
7    0x00000278 0x00000278 6   7            ascii   .idata
8    0x000002a0 0x000002a0 4   5            ascii   .CRT
9    0x000002c8 0x000002c8 4   5            ascii   .tls
10   0x00000401 0x00401001 7   8    .text   ascii   ffffff.
11   0x00000500 0x00401100 4   5    .text   ascii   Hc\r5
12   0x00000510 0x00401110 4   6    .text   utf8    ʁ:PE blocks=IPA Extensions,Basic Latin
13   0x00000561 0x00401161 4   6    .text   utf8    (Ãzt blocks=Basic Latin,Latin-1 Supplement
14   0x00000580 0x00401180 7   8    .text   ascii   ATUWVSH
15   0x0000059d 0x0040119d 4   5    .text   ascii   T$ E
16   0x000005cc 0x004011cc 4   5    .text   ascii   t6H9
17   0x00000652 0x00401252 5   7    .text   utf8    t\fE1:
18   0x00000802 0x00401402 6   7    .text   ascii   [^_]A\
19   0x0000092e 0x0040152e 7   8    .text   ascii   ATUWVSH
20   0x00000982 0x00401582 4   5    .text   ascii   L$<H
21   0x000009c0 0x004015c0 8   10   .text   utf8    @[^_]A\Ð blocks=Basic Latin,Latin-1 Supplement
22   0x000009d0 0x004015d0 5   6    .text   ascii   UWVSH
23   0x00000a51 0x00401651 4   5    .text   ascii   L$LA
24   0x00000a7f 0x0040167f 5   6    .text   ascii   X[^_]
25   0x00000aa2 0x004016a2 5   6    .text   ascii   UWVSH
26   0x00000b0a 0x0040170a 4   5    .text   ascii   L$LA
27   0x00000b3c 0x0040173c 5   6    .text   ascii   X[^_]
28   0x00000b47 0x00401747 4   5    .text   ascii   (Hc\r
29   0x00000bbc 0x004017bc 4   5    .text   ascii   D$P\
30   0x00000bc4 0x004017c4 4   5    .text   ascii   D$He
31   0x00000bcc 0x004017cc 4   5    .text   ascii   D$@p
32   0x00000bd4 0x004017d4 4   5    .text   ascii   D$8i
33   0x00000bdc 0x004017dc 4   5    .text   ascii   D$0p
34   0x00000be4 0x004017e4 4   5    .text   ascii   D$(\
35   0x00000bec 0x004017ec 4   5    .text   ascii   D$ .
36   0x00000bf4 0x004017f4 4   5    .text   ascii   T$XH
37   0x00000c6d 0x0040186d 5   7    .text   utf8    (ÐVSH blocks=Basic Latin,Latin-1 Supplement
38   0x00000c9b 0x0040189b 5   7    .text   utf8    ([^ÐH blocks=Basic Latin,Latin-1 Supplement
39   0x00000d04 0x00401904 4   5    .text   ascii   fff.
40   0x00000d3a 0x0040193a 5   6    .text   ascii   D$ tv
41   0x00000d68 0x00401968 4   5    .text   ascii   D$(H
42   0x00000d6d 0x0040196d 4   5    .text   ascii   T$ H
43   0x00000d7f 0x0040197f 4   5    .text   ascii   L$ H
44   0x00000d8c 0x0040198c 4   5    .text   ascii   L$(H
45   0x00000f90 0x00401b90 7   8    .text   ascii   ATUWVSH
46   0x00000fb0 0x00401bb0 7   8    .text   ascii    [^_]A\
47   0x00001010 0x00401c10 4   6    .text   utf8    I)ܱ  blocks=Basic Latin,Syriac
48   0x00001040 0x00401c40 5   7    .text   utf8    H)؉E\b blocks=Basic Latin,Arabic
49   0x00001093 0x00401c93 5   6    .text   ascii   ffff.
50   0x000010b8 0x00401cb8 4   5    .text   ascii   CCG 
51   0x00001106 0x00401d06 4   5    .text   ascii   8[^H
52   0x000012c2 0x00401ec2 4   5    .text   ascii   T$(H
53   0x000012da 0x00401eda 4   5    .text   ascii   \$8H
54   0x000012df 0x00401edf 4   5    .text   ascii   L$ H
55   0x00001300 0x00401f00 7   8    .text   ascii   ATUWVSH
56   0x00001348 0x00401f48 4   5    .text   ascii   d$0H
57   0x0000134d 0x00401f4d 4   5    .text   ascii   l$(H
58   0x0000135f 0x00401f5f 7   8    .text   ascii   @[^_]A\
59   0x000013f8 0x00401ff8 4   5    .text   ascii   D$XH
60   0x00001400 0x00402000 4   5    .text   ascii   T$XL
61   0x00001405 0x00402005 4   5    .text   ascii   D$`L
62   0x0000140a 0x0040200a 4   5    .text   ascii   L$hH
63   0x00001451 0x00402051 7   8    .text   ascii   ffffff.
64   0x00001460 0x00402060 9   10   .text   ascii   AUATUWVSH
65   0x00001484 0x00402084 8   9    .text   ascii   [^_]A\A]
66   0x000014b2 0x004020b2 4   5    .text   ascii   P\bH9
67   0x00001514 0x00402114 4   5    .text   ascii   T$\fA
68   0x00001522 0x00402122 4   5    .text   ascii   T$PH
69   0x0000155f 0x0040215f 4   5    .text   ascii   T$ H
70   0x00001589 0x00402189 8   9    .text   ascii   [^_]A\A]
71   0x000015b4 0x004021b4 4   5    .text   ascii   T$hH
72   0x000015b9 0x004021b9 4   5    .text   ascii   L$PM
73   0x00001605 0x00402205 4   5    .text   ascii   T$8H
74   0x0000160a 0x0040220a 4   5    .text   ascii   L$ H
75   0x00001644 0x00402244 4   5    .text   ascii   T$8L
76   0x0000165e 0x0040225e 8   9    .text   ascii   [^_]A\A]
77   0x00001686 0x00402286 4   5    .text   ascii   T$\bH
78   0x000016b4 0x004022b4 6   7    .text   ascii   ATWVSH
79   0x000016cd 0x004022cd 6   7    .text   ascii   [^_A\]
80   0x00001717 0x00402317 4   5    .text   ascii   D$ H
81   0x0000187b 0x0040247b 5   6    .text   ascii   \ntXw!
82   0x000019c4 0x004025c4 5   6    .text   ascii   9MZt\a
83   0x000019d0 0x004025d0 5   6    .text   ascii   HcQ<H
84   0x000019d6 0x004025d6 4   6    .text   utf8    с9PE blocks=Cyrillic,Basic Latin
85   0x000019f0 0x004025f0 5   6    .text   ascii   HcA<H
86   0x00001a2c 0x0040262c 4   5    .text   ascii   H\bH9
87   0x00001a40 0x00402640 4   5    .text   ascii   WVSH
88   0x00001a54 0x00402654 4   5    .text   ascii   \bwgH
89   0x00001a65 0x00402665 4   5    .text   ascii   tWHc
90   0x00001ac4 0x004026c4 4   5    .text   ascii    [^_
91   0x00001ad8 0x004026d8 4   5    .text   ascii    [^_
92   0x00001b68 0x00402768 5   6    .text   ascii   tPHc\r
93   0x00001ba1 0x004027a1 6   7    .text   ascii   B' t\tH
94   0x00001bc3 0x004027c3 5   6    .text   ascii   ffff.
95   0x00001c50 0x00402850 5   6    .text   ascii   UWVSH
96   0x00001c6a 0x0040286a 4   5    .text   ascii   tSHc
97   0x00001cc5 0x004028c5 5   6    .text   ascii   ([^_]
98   0x00001cd8 0x004028d8 5   6    .text   ascii   ([^_]
99   0x00001e80 0x00402a80 7   8    .text   ascii   ATUWVSH
100  0x00001eb6 0x00402ab6 7   8    .text   ascii   @[^_]A\
101  0x00001ef3 0x00402af3 6   7    .text   ascii   L3d$0H
102  0x00001f2a 0x00402b2a 7   8    .text   ascii   @[^_]A\
103  0x00001fa5 0x00402ba5 4   5    .text   ascii   D$0H
104  0x00001fae 0x00402bae 4   5    .text   ascii   D$(H
105  0x00002050 0x00402c50 5   6    .text   ascii   UWVSH
106  0x000020b5 0x00402cb5 6   7    .text   ascii   ([^_]H
107  0x000020c0 0x00402cc0 5   6    .text   ascii   UWVSH
108  0x000020de 0x00402cde 6   8    .text   utf8    ([^_]ú blocks=Basic Latin,Latin-1 Supplement
109  0x00002132 0x00402d32 6   8    .text   utf8    ([^_]û blocks=Basic Latin,Latin-1 Supplement
110  0x00002280 0x00402e80 4   5    .text   ascii   QPH=
111  0x00002639 0x00404039 6   8    .data   utf8    ܘ\aym:Q blocks=Syriac,Basic Latin
112  0x00002651 0x00404051 4   5    .data   ascii   i:Qi
113  0x00002656 0x00404056 9   10   .data   ascii   I"t\eL8r\fI
114  0x00002683 0x00404083 4   5    .data   ascii   RE(g
115  0x000026b5 0x004040b5 4   5    .data   ascii   MnpH
116  0x000026c8 0x004040c8 4   5    .data   ascii   .>b+
117  0x0000270c 0x0040410c 5   6    .data   ascii   A,:Qu
118  0x00002719 0x00404119 5   8    .data   utf8    i:QҖŮ blocks=Basic Latin,Cyrillic,Latin Extended-A
119  0x00002731 0x00404131 6   8    .data   utf8    i:Q|!Q
120  0x00002789 0x00404189 6   8    .data   utf8    i:Qݫ;Q blocks=Basic Latin,Arabic Supplement
121  0x00002791 0x00404191 4   5    .data   ascii   i:Qq
122  0x00002796 0x00404196 7   8    .data   ascii   9QCi:Q)
