ii 1168 64
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000000d 42  43   seg_001 ascii   !This program cannot be run in DOS mode.\n$
1    0x00000176 0x00000136 5   6    seg_001 ascii   .text
2    0x0000019d 0x0000015d 6   7    seg_001 ascii   `.rsrc
3    0x000001c5 0x00000185 7   8    seg_001 ascii   @.reloc
4    0x0000028f 0x0000024f 4   6    seg_001 utf8    ̙ +( blocks=Combining Diacritical Marks,Basic Latin
5    0x00000295 0x00000255 4   5    seg_001 ascii   jY S
6    0x0000029a 0x0000025a 4   5    seg_001 ascii   %/a(
7    0x000002ab 0x0000026b 5   6    seg_001 ascii   \n\f\boQ
8    0x000002cd 0x0000028d 5   6    seg_001 ascii   \n\r\to\e
9    0x000002f9 0x000002b9 4   5    seg_001 ascii   YbaZ
10   0x00000338 0x000002f8 5   6    seg_001 ascii   X q>a
11   0x00000346 0x00000306 8   9    seg_001 ascii   %RYX k2f
12   0x00000368 0x00000328 7   8    seg_001 ascii   ogXXaa^
13   0x00000398 0x00000358 4   5    seg_001 ascii   H\Y 
14   0x000003e7 0x000003a7 5   6    seg_001 ascii   \r-h f
15   0x00000427 0x000003e7 4   5    seg_001 ascii   ?X {
16   0x00000440 0x00000400 4   5    seg_001 ascii   \n\aox
17   0x00000463 0x00000423 5   6    seg_001 ascii   \n\v\ao\e
18   0x000004b2 0x00000472 10  11           ascii    \b5$\XYXb`
19   0x000004c8 0x00000488 4   5            ascii   V#&a
20   0x000004d8 0x00000498 9   10           ascii   63 *sSC  
21   0x000004e2 0x000004a2 8   9            ascii   epaYb`o$
22   0x0000054f 0x0000050f 4   5            ascii   \a\ao'
23   0x0000058e 0x0000054e 4   5            ascii   \n\bo-
24   0x0000062f 0x000005ef 11  12           ascii   da P/s&ab`\n
25   0x00000653 0x00000613 4   5            ascii   b`o$
26   0x00000728 0x000006e8 6   7            ascii   \r+%\b~8
27   0x00000730 0x000006f0 4   5            ascii   \n\to-
28   0x0000076b 0x0000072b 4   5            ascii   -\a~=
29   0x0000077f 0x0000073f 4   5            ascii   \n\b~0
30   0x000007a0 0x00000760 4   5            ascii   \n*\e0
31   0x000007ff 0x000007bf 5   6            ascii   .YY y
32   0x00000814 0x000007d4 6   7            ascii   4maYXa
33   0x0000081d 0x000007dd 7   8            ascii   \f+X\a\b\a\b
34   0x00000825 0x000007e5 7   9            utf8    \taҜ\t HI blocks=Basic Latin,Cyrillic
35   0x00000838 0x000007f8 5   6            ascii   OY t1
36   0x0000083f 0x000007ff 4   5            ascii   aaZ 
37   0x00000855 0x00000815 5   6            ascii   "YY k
38   0x0000085b 0x0000081b 4   5            ascii   \\vY 
39   0x00000865 0x00000825 6   7            ascii   k4hYY 
40   0x00000876 0x00000836 4   5            ascii   X\f\b\a
41   0x000008a0 0x00000860 5   6            ascii   \n\v\a(C
42   0x00000933 0x000008f3 5   6            ascii   F!;\e~
43   0x00000982 0x00000942 5   6            ascii   ,N\b~I
44   0x00000998 0x00000958 4   5            ascii   \r\t~I
45   0x000009ad 0x0000096d 4   5            ascii   ,"~N
46   0x000009b8 0x00000978 4   5            ascii   @!"\r
47   0x00000a47 0x00000a07 6   7            ascii   ^QG!$9
48   0x00000aa1 0x00000a61 4   5            ascii   \t&~I
49   0x00000ca3 0x00000c63 5   6            ascii    j]Yi
50   0x00000ebf 0x00000e7f 5   6            ascii    j]Yi
51   0x00001077 0x00001037 7   8            ascii    j]Yi\f+
52   0x0000111e 0x000010de 7   8            ascii    j]Yi\v+
53   0x00001175 0x00001135 4   5            ascii   *.s%
54   0x0000123f 0x000011ff 4   5            ascii   jX}\f
55   0x0000124c 0x0000120c 4   5            ascii   %\v:l
56   0x00001542 0x00001502 4   5            ascii   \n\r+@
57   0x0000155d 0x0000151d 4   5            ascii   &^!b
58   0x00001562 0x00001522 5   6            ascii   N+E=F
59   0x0000156c 0x0000152c 4   5            ascii   +\ao\r
60   0x000015e6 0x000015a6 4   5            ascii   \n\f+Z
61   0x000015f0 0x000015b0 5   6            ascii   \n\v\ao\v
62   0x00001602 0x000015c2 5   6            ascii   ,+\ao\r
63   0x00001615 0x000015d5 4   5            ascii   O\a\a(
64   0x000016b5 0x00001675 4   5            ascii   \n\f8y
65   0x000016c2 0x00001682 5   6            ascii   \n\v\ao\v
66   0x000016d4 0x00001694 5   6            ascii   ,$\ao\r
67   0x00001795 0x00001755 5   6            ascii   (0_(\t
68   0x000017a7 0x00001767 4   5            ascii   f!2c
69   0x000017c0 0x00001780 4   5            ascii   y!p~
70   0x000017f1 0x000017b1 6   8            utf8    \f-!6˕y blocks=Basic Latin,Spacing Modifier Letters
71   0x000017fa 0x000017ba 4   5            ascii   2i(\v
72   0x00001839 0x000017f9 6   7            ascii    #J!\v!
73   0x00001852 0x00001812 6   7            ascii    `a5U!
74   0x00001875 0x00001835 4   5            ascii   \n\v\a 
75   0x0000187a 0x0000183a 4   5            ascii   BJ^!
76   0x0000187f 0x0000183f 4   6            utf8    ә3-b blocks=Cyrillic,Basic Latin
77   0x0000189c 0x0000185c 4   5            ascii   >fc(
78   0x000018ac 0x0000186c 4   6            utf8    ڭ\n!# blocks=Arabic,Basic Latin
79   0x000018da 0x0000189a 5   6            ascii   \n\a ~J
80   0x000018f3 0x000018b3 4   5            ascii   \n\a \n
81   0x0000190c 0x000018cc 4   5            ascii   \n\a N
82   0x00001912 0x000018d2 4   5            ascii   Z!D8
83   0x00001925 0x000018e5 5   6            ascii   \n\a {d
84   0x0000193e 0x000018fe 7   9            utf8    \n\a ƒKp! blocks=Basic Latin,Latin Extended-B
85   0x00001957 0x00001917 10  11           ascii   \n\a y}%{!z/
86   0x00001970 0x00001930 4   5            ascii   \n\a \v
87   0x00001989 0x00001949 5   6            ascii   \n\a HZ
88   0x000019a8 0x00001968 4   5            ascii   \n! f
89   0x000019bb 0x0000197b 8   9            ascii   \n\a L\ne>!
90   0x000019ed 0x000019ad 4   5            ascii   \n\a N
91   0x000019f7 0x000019b7 4   5            ascii   jPq}
92   0x00001a1f 0x000019df 7   9            utf8    \n\a lŲu! blocks=Basic Latin,Latin Extended-A
93   0x00001a2a 0x000019ea 6   8            utf8    z}ţ (\r blocks=Basic Latin,Latin Extended-A
94   0x00001a5a 0x00001a1a 5   6            ascii   9rRge
95   0x00001a88 0x00001a48 4   5            ascii   C\!>
96   0x00001aec 0x00001aac 6   9            utf8    L<!ߠڳ} blocks=Basic Latin,NKo,Arabic
97   0x00001b00 0x00001ac0 4   5            ascii   \n\a S
98   0x00001b0b 0x00001acb 4   7            utf8    ̙ٓ\b( blocks=Arabic,Combining Diacritical Marks,Basic Latin
99   0x00001b19 0x00001ad9 9   10           ascii   \n\a 0I\v8!?
100  0x00001b23 0x00001ae3 8   9            ascii   Z\eouez(\f
101  0x00001b4b 0x00001b0b 4   5            ascii   \n\a U
102  0x00001b70 0x00001b30 5   6            ascii   9bB[(
