[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000e8 0x000000e8 4   5            ascii   Rich
2    0x000001f8 0x000001f8 5   6            ascii   .text
3    0x0000021f 0x0000021f 7   8            ascii   `.rdata
4    0x00000247 0x00000247 6   7            ascii   @.data
5    0x00000270 0x00000270 6   7            ascii   .reloc
6    0x000005c3 0x004011c3 4   5    .text   ascii   E\f;E
7    0x00000616 0x00401216 4   5    .text   ascii   E\f;E
8    0x000006eb 0x004012eb 4   5    .text   ascii   E\f;E
9    0x00000969 0x00401569 4   5    .text   ascii   t\fj\f
10   0x000009b7 0x004015b7 4   5    .text   ascii   t\fj\f
11   0x00000a14 0x00401614 4   5    .text   ascii   t\fj\f
12   0x00000e3c 0x00401a3c 5   6    .text   ascii   ;E\fu\t
13   0x00000e9e 0x00401a9e 4   5    .text   ascii   u\rh,
14   0x0000118e 0x00401d8e 4   5    .text   ascii   t\fj\b
15   0x00001410 0x00402010 4   5    .text   ascii   \bIu\v
16   0x00001690 0x00402290 6   7    .text   ascii   M\b;H\fs
17   0x000016db 0x004022db 6   7    .text   ascii   M\b;H\fs
18   0x000017cc 0x004023cc 6   7    .text   ascii   E\b#E\f]
19   0x000017fe 0x004023fe 6   7    .text   ascii   E\b\vE\f]
20   0x00001830 0x00402430 7   8    .text   ascii   YY;E\fu\t
21   0x00001a5a 0x0040265a 5   6    .text   ascii   E\f+E\b
22   0x00001a8c 0x0040268c 5   6    .text   ascii   E\f+E\b
23   0x00001ae7 0x004026e7 5   6    .text   ascii   E\f+E\b
24   0x00001b1b 0x0040271b 5   6    .text   ascii   E\f+E\b
25   0x00001b73 0x00402773 4   5    .text   ascii   ?t4j
26   0x00001b84 0x00402784 4   5    .text   ascii   .t#j
27   0x00001bb3 0x004027b3 5   6    .text   ascii   E\f+E\b
28   0x00001c64 0x00402864 6   7    .text   ascii   ;E\ft)j
29   0x00001c89 0x00402889 4   5    .text   ascii   E\fHH
30   0x00001ced 0x004028ed 4   5    .text   ascii   E\b;E
31   0x00001d02 0x00402902 4   5    .text   ascii   E\b;E
32   0x00001d1c 0x0040291c 6   7    .text   ascii   HH9E\bu
33   0x00001d4a 0x0040294a 4   5    .text   ascii   E\b;E
34   0x00001d9a 0x0040299a 4   5    .text   ascii   j:Xf
35   0x00001def 0x004029ef 5   6    .text   ascii   E\f+E\b
36   0x000022ef 0x00402eef 4   6    .text   utf8    E̍M\b blocks=Basic Latin,Combining Diacritical Marks
37   0x000022fa 0x00402efa 4   6    .text   utf8    EԍM\b blocks=Basic Latin,Cyrillic Supplement
38   0x0000249a 0x0040309a 4   6    .text   utf8    \t+IE
39   0x000025f6 0x004031f6 4   5    .text   ascii   YY9E
40   0x0000279c 0x0040339c 4   6    .text   utf8    Y3\v}
41   0x000027b8 0x004033b8 4   6    .text   utf8    Y3\r}
42   0x000027d1 0x004033d1 4   5    .text   ascii   u\fQQ
43   0x0000288d 0x0040348d 4   5    .text   ascii   u\fQQ
44   0x00002a47 0x00403647 4   5    .text   ascii   t\fj\
45   0x00002db7 0x004039b7 4   5    .text   ascii   }\b{t
46   0x00002e78 0x00403a78 4   5    .text   ascii   u\fj\n
47   0x00002f52 0x00403b52 6   8    .text   utf8    j\bY3\v}
48   0x00002f5e 0x00403b5e 4   6    .text   utf8    Y3\v}
49   0x00003176 0x00403d76 4   5    .text   ascii   E\b_^
50   0x0000325d 0x00403e5d 5   7    .text   utf8    E\b3ҋ@ blocks=Basic Latin,Cyrillic
51   0x0000327c 0x00403e7c 4   5    .text   ascii   Q\fj\b
52   0x00003292 0x00403e92 5   6    .text   ascii   \fj j\b
53   0x00003832 0x00404432 4   6    .text   utf8    3\vM\b
54   0x00003d94 0x00404994 4   5    .text   ascii   E\b_^
55   0x00003d9f 0x0040499f 4   5    .text   ascii   ,VWj
56   0x00003dee 0x004049ee 4   5    .text   ascii   E\b_^
57   0x00003df9 0x004049f9 4   5    .text   ascii   $VWj
58   0x00003e4c 0x00404a4c 4   5    .text   ascii   E\b_^
59   0x00003fbf 0x00404bbf 5   8    .text   utf8    E\tUċE blocks=Basic Latin,Latin Extended-A
60   0x000041be 0x00404dbe 7   11   .text   utf8    E؉U܋E؉E blocks=Basic Latin,Arabic,Syriac
61   0x000042b9 0x00404eb9 4   5    .text   ascii   \r\a\n\f
62   0x00004390 0x00404f90 4   5    .text   ascii   \t\b\b\a
63   0x000043ba 0x00404fba 4   6    .text   utf8    \a3\bE
64   0x00004514 0x00405114 7   9    .text   utf8    \r\v\r\v3\bE
65   0x0000457c 0x0040517c 4   5    .text   ascii   \n\a\a\f
66   0x00004699 0x00405299 4   5    .text   ascii   \n\a\r\v
67   0x000047a4 0x004053a4 4   6    .text   utf8    \a3\bE
68   0x00004836 0x00405436 4   5    .text   ascii   \b\t\f\f
69   0x00004867 0x00405467 4   5    .text   ascii   \f\v\f\v
70   0x00004b08 0x00405708 4   5    .text   ascii   \r\f\v\n
71   0x00004bfb 0x004057fb 4   5    .text   ascii   \t\a\t\v
72   0x0000503d 0x00405c3d 4   6    .text   utf8    \n3\bE
73   0x000050a5 0x00405ca5 4   5    .text   ascii   \a\a\v\v
74   0x00005262 0x00405e62 4   5    .text   ascii   \r\n\f\t
75   0x00005289 0x00405e89 4   5    .text   ascii   \n\v\r\r
76   0x0000529d 0x00405e9d 4   5    .text   ascii   \f\r\f\v
77   0x000054d8 0x004060d8 4   5    .text   ascii   ~@h4
78   0x000055b0 0x004061b0 4   5    .text   ascii   ~@hh
79   0x00005764 0x00406364 4   5    .text   ascii   ~@hx
80   0x00005ab4 0x004066b4 4   5    .text   ascii   ~@h`
81   0x00005c50 0x00406850 4   5    .text   ascii   ~@hd
82   0x00005d40 0x00406940 4   5    .text   ascii   ~@h(
83   0x00005efc 0x00406afc 4   5    .text   ascii   ~@h\b
84   0x00006448 0x00407048 4   5    .text   ascii   ~@hP
85   0x00006508 0x00407108 4   5    .text   ascii   ~@hh
86   0x0000668c 0x0040728c 4   5    .text   ascii   ~@hp
87   0x00006704 0x00407304 4   5    .text   ascii   RPVQ
88   0x000067a8 0x004073a8 4   5    .text   ascii   h@UI
89   0x00006809 0x00407409 5   8    .text   utf8    EԉẼM blocks=Basic Latin,Cyrillic Supplement,Combining Diacritical Marks
90   0x00006879 0x00407479 6   8    .text   utf8    .3\vM\bf
91   0x00006cdd 0x004078dd 4   5    .text   ascii   t\fj\f
92   0x00006fcc 0x00407bcc 4   5    .text   ascii   E\b;E
93   0x00007129 0x00407d29 4   5    .text   ascii   E\f;E
94   0x00007533 0x00408133 4   5    .text   ascii   ~4hP
95   0x000077f2 0x004083f2 4   5    .text   ascii   t\fj4
96   0x00007982 0x00408582 5   6    .text   ascii   PhD)I
97   0x000079e1 0x004085e1 4   5    .text   ascii   uDku
98   0x00007a19 0x00408619 4   6    .text   utf8    uȋ}\b blocks=Basic Latin,Latin Extended-B
99   0x00007aa0 0x004086a0 4   5    .text   ascii   u\fkE
100  0x00007ade 0x004086de 4   5    .text   ascii   E\b_^
101  0x00007b87 0x00408787 7   11   .text   utf8    E̋ẺE܃} blocks=Basic Latin,Combining Diacritical Marks,Syriac
102  0x00007d47 0x00408947 11  17   .text   utf8    EċEĉE\vE\tEЃ} blocks=Basic Latin,Latin Extended-A,Cyrillic
103  0x00007d85 0x00408985 6   7    .text   ascii   p\bh\n &
104  0x00008313 0x00408f13 4   5    .text   ascii   @j\bX
105  0x0000835c 0x00408f5c 4   5    .text   ascii   @j\tX
106  0x000083a5 0x00408fa5 4   5    .text   ascii   @j\aX
107  0x000083ee 0x00408fee 4   5    .text   ascii   @j\bX
108  0x0000854a 0x0040914a 4   6    .text   utf8    E\bƀ8 blocks=Basic Latin,Latin Extended-B
109  0x00008554 0x00409154 4   6    .text   utf8    E\bƀ9 blocks=Basic Latin,Latin Extended-B
110  0x000086de 0x004092de 4   6    .text   utf8    E̋E\f blocks=Basic Latin,Combining Diacritical Marks
111  0x000086e7 0x004092e7 4   6    .text   utf8    E؋E\f blocks=Basic Latin,Arabic
112  0x000086f0 0x004092f0 4   6    .text   utf8    EЋE\f blocks=Basic Latin,Cyrillic
113  0x000087f1 0x004093f1 5   8    .text   utf8    +E؋M̋ blocks=Basic Latin,Arabic,Combining Diacritical Marks
114  0x0000896a 0x0040956a 4   5    .text   ascii   tIh/
115  0x00008a8a 0x0040968a 4   6    .text   utf8    DEĉE blocks=Basic Latin,Latin Extended-A
116  0x00008adc 0x004096dc 4   6    .text   utf8    EЋE\f blocks=Basic Latin,Cyrillic
117  0x00008b3c 0x0040973c 4   6    .text   utf8    E؋E\b blocks=Basic Latin,Arabic
118  0x00008b4b 0x0040974b 4   6    .text   utf8    E؋M\b blocks=Basic Latin,Arabic
119  0x00008b68 0x00409768 4   6    .text   utf8    \r3\vM
120  0x00008bac 0x004097ac 4   6    .text   utf8    EԋE\b blocks=Basic Latin,Cyrillic Supplement
121  0x00008bbb 0x004097bb 4   6    .text   utf8    EԋM\b blocks=Basic Latin,Cyrillic Supplement
122  0x00008c17 0x00409817 4   6    .text   utf8    +ȋE\b blocks=Basic Latin,Latin Extended-B
123  0x00008c8a 0x0040988a 4   6    .text   utf8    E\vE\b
124  0x00008ce0 0x004098e0 4   6    .text   utf8    E̋E\b blocks=Basic Latin,Combining Diacritical Marks
125  0x00008cef 0x004098ef 4   6    .text   utf8    E̋M\b blocks=Basic Latin,Combining Diacritical Marks
126  0x00008d09 0x00409909 4   6    .text   utf8    EȋE\b blocks=Basic Latin,Latin Extended-B
127  0x00008d18 0x00409918 4   6    .text   utf8    EȋM\b blocks=Basic Latin,Latin Extended-B
128  0x00008e12 0x00409a12 4   6    .text   utf8    EċE\b blocks=Basic Latin,Latin Extended-A
129  0x00008e21 0x00409a21 4   6    .text   utf8    EċM\b blocks=Basic Latin,Latin Extended-A
130  0x000093db 0x00409fdb 4   5    .text   ascii   }0h/
131  0x00009419 0x0040a019 4   5    .text   ascii   E\fHP
132  0x000094af 0x0040a0af 4   5    .text   ascii   YYh/
133  0x000094cd 0x0040a0cd 4   5    .text   ascii   YYh/
134  0x000096f1 0x0040a2f1 4   6    .text   utf8    KM\b;
135  0x000098f2 0x0040a4f2 4   6    .text   utf8    \vȋE\b blocks=Basic Latin,Latin Extended-B
136  0x0000994f 0x0040a54f 4   6    .text   utf8    E\bƀ8 blocks=Basic Latin,Latin Extended-B
137  0x00009959 0x0040a559 4   6    .text   utf8    E\bƀ9 blocks=Basic Latin,Latin Extended-B
138  0x0000a321 0x0040af21 4   6    .text   utf8    E\bǀx blocks=Basic Latin,Latin Extended-B
139  0x0000a32e 0x0040af2e 4   6    .text   utf8    E\bǀp blocks=Basic Latin,Latin Extended-B
140  0x0000a3cf 0x0040afcf 4   5    .text   ascii   }\f\b|
141  0x0000a80f 0x0040b40f 4   5    .text   ascii   E\f;E
142  0x0000aff2 0x0040bbf2 4   6    .text   utf8    E؋E\b blocks=Basic Latin,Arabic
143  0x0000b01b 0x0040bc1b 4   6    .text   utf8    EԋE\b blocks=Basic Latin,Cyrillic Supplement
144  0x0000b030 0x0040bc30 4   6    .text   utf8    +ȋE\b blocks=Basic Latin,Latin Extended-B
145  0x0000b147 0x0040bd47 4   6    .text   utf8    EЋE\b blocks=Basic Latin,Cyrillic
146  0x0000b1de 0x0040bdde 4   6    .text   utf8    E̋E\b blocks=Basic Latin,Combining Diacritical Marks
147  0x0000b2da 0x0040beda 4   6    .text   utf8    EȋE\b blocks=Basic Latin,Latin Extended-B
148  0x0000c10b 0x0040cd0b 4   5    .text   ascii   M\b;A
149  0x0000c140 0x0040cd40 7   8    .text   ascii   M\b;A u5
150  0x0000c175 0x0040cd75 6   7    .text   ascii   M\b;A$t
151  0x0000c47a 0x0040d07a 4   5    .text   ascii   3E\b%
152  0x0000c4a5 0x0040d0a5 4   5    .text   ascii   3E\b%
153  0x0000c4d0 0x0040d0d0 4   5    .text   ascii   3E\b%
154  0x0000c4fb 0x0040d0fb 4   5    .text   ascii   3E\b%
155  0x0000c526 0x0040d126 4   5    .text   ascii   3E\b%
156  0x0000c551 0x0040d151 4   5    .text   ascii   3E\b%
157  0x0000c57c 0x0040d17c 4   5    .text   ascii   3E\b%
158  0x0000c5a7 0x0040d1a7 4   5    .text   ascii   3E\b%
159  0x0000c5e6 0x0040d1e6 4   5    .text   ascii   3E\b%
160  0x0000c5fc 0x0040d1fc 5   7    .text   utf8    M܋E\f@ blocks=Basic Latin,Syriac
161  0x0000c606 0x0040d206 4   6    .text   utf8    E܉E\b blocks=Basic Latin,Syriac
162  0x0000c612 0x0040d212 4   6    .text   utf8    űE\b blocks=Basic Latin,Combining Diacritical Marks
163  0x0000c62a 0x0040d22a 4   5    .text   ascii   U\b3\f
164  0x0000c68e 0x0040d28e 4   5    .text   ascii   \b\b@j
165  0x0000c6b2 0x0040d2b2 4   5    .text   ascii   U\b3\f
166  0x0000c72f 0x0040d32f 4   5    .text   ascii   E\f3E
167  0x0000c74d 0x0040d34d 4   5    .text   ascii   ;E\bv
168  0x0000c769 0x0040d369 4   5    .text   ascii   ;E\bu
169  0x0000c776 0x0040d376 4   5    .text   ascii   .t\a2
170  0x0000c780 0x0040d380 4   5    .text   ascii   hH)I
171  0x0000c79a 0x0040d39a 4   5    .text   ascii   hL)I
172  0x0000c7b4 0x0040d3b4 4   5    .text   ascii   hT)I
173  0x0000c7ca 0x0040d3ca 5   6    .text   ascii   uh\)I
174  0x0000c7e1 0x0040d3e1 5   6    .text   ascii   ^hd)I
175  0x0000c7f8 0x0040d3f8 5   6    .text   ascii   Ghl)I
176  0x0000c80f 0x0040d40f 5   6    .text   ascii   0ht)I
177  0x0000c827 0x0040d427 4   5    .text   ascii   hx)I
178  0x0000c8af 0x0040d4af 4   6    .text   utf8    \t\vȋE blocks=Basic Latin,Latin Extended-B
179  0x0000c8c7 0x0040d4c7 4   6    .text   utf8    \t\vȋE blocks=Basic Latin,Latin Extended-B
180  0x0000c8f2 0x0040d4f2 4   6    .text   utf8    \t\vȋE blocks=Basic Latin,Latin Extended-B
181  0x0000c90c 0x0040d50c 4   6    .text   utf8    \t\vȋE blocks=Basic Latin,Latin Extended-B
182  0x0000ced0 0x0040dad0 6   7    .text   ascii   @@;E\fs
183  0x0000cf3f 0x0040db3f 5   6    .text   ascii   ;E\fs0
184  0x0000cf92 0x0040db92 4   5    .text   ascii   ;A(r
185  0x0000d03a 0x0040dc3a 6   7    .text   ascii   M\b;H(r
186  0x0000d60d 0x0040e20d 4   5    .text   ascii   ;E\fv
187  0x0000d730 0x0040e330 7   8    .text   ascii   @p;Att\t
188  0x0000dc0f 0x0040e80f 4   5    .text   ascii   j\bXf
189  0x0000dc27 0x0040e827 6   7    .text   ascii   u\nj\tXf
190  0x0000debe 0x0040eabe 4   5    .text   ascii   0xV4
191  0x0000ded1 0x0040ead1 4   5    .text   ascii   gE#j
192  0x0000df61 0x0040eb61 4   6    .text   utf8    M؈D\r blocks=Basic Latin,Arabic
193  0x0000dfc2 0x0040ebc2 4   5    .text   ascii   u j\f
194  0x0000e2c9 0x0040eec9 4   7    .text   utf8    EЋEЃ blocks=Basic Latin,Cyrillic
195  0x0000e4cc 0x0040f0cc 5   8    .text   utf8    EԋEԉE blocks=Basic Latin,Cyrillic Supplement
196  0x0000e6bc 0x0040f2bc 5   6    .text   ascii   E\b#E\f
197  0x0000e6d1 0x0040f2d1 4   5    .text   ascii   E\b#E
198  0x0000e6db 0x0040f2db 4   5    .text   ascii   #M\f\v
