[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x00423000 NONE FUNC KERNEL32.dll CloseHandle
2   0x00423004 NONE FUNC KERNEL32.dll WriteConsoleW
3   0x00423008 NONE FUNC KERNEL32.dll CreateFileW
4   0x0042300c NONE FUNC KERNEL32.dll SetFilePointerEx
5   0x00423010 NONE FUNC KERNEL32.dll UnhandledExceptionFilter
6   0x00423014 NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
7   0x00423018 NONE FUNC KERNEL32.dll GetCurrentProcess
8   0x0042301c NONE FUNC KERNEL32.dll TerminateProcess
9   0x00423020 NONE FUNC KERNEL32.dll IsProcessorFeaturePresent
10  0x00423024 NONE FUNC KERNEL32.dll IsDebuggerPresent
11  0x00423028 NONE FUNC KERNEL32.dll GetStartupInfoW
12  0x0042302c NONE FUNC KERNEL32.dll GetModuleHandleW
13  0x00423030 NONE FUNC KERNEL32.dll QueryPerformanceCounter
14  0x00423034 NONE FUNC KERNEL32.dll GetCurrentProcessId
15  0x00423038 NONE FUNC KERNEL32.dll GetCurrentThreadId
16  0x0042303c NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
17  0x00423040 NONE FUNC KERNEL32.dll InitializeSListHead
18  0x00423044 NONE FUNC KERNEL32.dll RaiseException
19  0x00423048 NONE FUNC KERNEL32.dll GetLastError
20  0x0042304c NONE FUNC KERNEL32.dll SetLastError
21  0x00423050 NONE FUNC KERNEL32.dll EnterCriticalSection
22  0x00423054 NONE FUNC KERNEL32.dll LeaveCriticalSection
23  0x00423058 NONE FUNC KERNEL32.dll DeleteCriticalSection
24  0x0042305c NONE FUNC KERNEL32.dll InitializeCriticalSectionAndSpinCount
25  0x00423060 NONE FUNC KERNEL32.dll TlsAlloc
26  0x00423064 NONE FUNC KERNEL32.dll TlsGetValue
27  0x00423068 NONE FUNC KERNEL32.dll TlsSetValue
28  0x0042306c NONE FUNC KERNEL32.dll TlsFree
29  0x00423070 NONE FUNC KERNEL32.dll FreeLibrary
30  0x00423074 NONE FUNC KERNEL32.dll GetProcAddress
31  0x00423078 NONE FUNC KERNEL32.dll LoadLibraryExW
32  0x0042307c NONE FUNC KERNEL32.dll RtlUnwind
33  0x00423080 NONE FUNC KERNEL32.dll ExitProcess
34  0x00423084 NONE FUNC KERNEL32.dll GetModuleHandleExW
35  0x00423088 NONE FUNC KERNEL32.dll GetModuleFileNameW
36  0x0042308c NONE FUNC KERNEL32.dll GetStdHandle
37  0x00423090 NONE FUNC KERNEL32.dll WriteFile
38  0x00423094 NONE FUNC KERNEL32.dll HeapAlloc
39  0x00423098 NONE FUNC KERNEL32.dll HeapFree
40  0x0042309c NONE FUNC KERNEL32.dll FindClose
41  0x004230a0 NONE FUNC KERNEL32.dll FindFirstFileExW
42  0x004230a4 NONE FUNC KERNEL32.dll FindNextFileW
43  0x004230a8 NONE FUNC KERNEL32.dll IsValidCodePage
44  0x004230ac NONE FUNC KERNEL32.dll GetACP
45  0x004230b0 NONE FUNC KERNEL32.dll GetOEMCP
46  0x004230b4 NONE FUNC KERNEL32.dll GetCPInfo
47  0x004230b8 NONE FUNC KERNEL32.dll GetCommandLineA
48  0x004230bc NONE FUNC KERNEL32.dll GetCommandLineW
49  0x004230c0 NONE FUNC KERNEL32.dll MultiByteToWideChar
50  0x004230c4 NONE FUNC KERNEL32.dll WideCharToMultiByte
51  0x004230c8 NONE FUNC KERNEL32.dll GetEnvironmentStringsW
52  0x004230cc NONE FUNC KERNEL32.dll FreeEnvironmentStringsW
53  0x004230d0 NONE FUNC KERNEL32.dll GetFileType
54  0x004230d4 NONE FUNC KERNEL32.dll LCMapStringW
55  0x004230d8 NONE FUNC KERNEL32.dll GetProcessHeap
56  0x004230dc NONE FUNC KERNEL32.dll SetStdHandle
57  0x004230e0 NONE FUNC KERNEL32.dll GetStringTypeW
58  0x004230e4 NONE FUNC KERNEL32.dll HeapSize
59  0x004230e8 NONE FUNC KERNEL32.dll HeapReAlloc
60  0x004230ec NONE FUNC KERNEL32.dll FlushFileBuffers
61  0x004230f0 NONE FUNC KERNEL32.dll GetConsoleCP
62  0x004230f4 NONE FUNC KERNEL32.dll GetConsoleMode
63  0x004230f8 NONE FUNC KERNEL32.dll DecodePointer
1   0x00423108 NONE FUNC USER32.dll   wsprintfW
1   0x00423100 NONE FUNC SHLWAPI.dll  PathIsDirectoryW


