[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000f0 0x000000f0 4   5            ascii   Rich
2    0x00000208 0x00000208 5   6            ascii   .text
3    0x0000022f 0x0000022f 7   8            ascii   `.rdata
4    0x00000257 0x00000257 6   7            ascii   @.data
5    0x00000280 0x00000280 5   6            ascii   .rsrc
6    0x000002a7 0x000002a7 7   8            ascii   @.reloc
7    0x00000401 0x00401001 4   5    .text   ascii   =`)D
8    0x0000044f 0x0040104f 5   7    .text   utf8    ̃=|6D blocks=Combining Diacritical Marks,Basic Latin
9    0x00000462 0x00401062 5   6    .text   ascii   C\rh6D
10   0x00000469 0x00401069 5   7    .text   utf8    C=|6D
11   0x00000477 0x00401077 5   6    .text   ascii   C\rh6D
12   0x0000049f 0x0040109f 4   6    .text   utf8    ̸X6D blocks=Combining Diacritical Marks,Basic Latin
13   0x0000054a 0x0040114a 5   6    .text   ascii   t\vj\fV
14   0x00000622 0x00401222 5   6    .text   ascii   DSUVW
15   0x0000062a 0x0040122a 4   5    .text   ascii   T$43
16   0x00000641 0x00401241 5   6    .text   ascii   twSSj
17   0x00000662 0x00401262 5   6    .text   ascii   D$@PU
18   0x00000675 0x00401275 12  13   .text   ascii   t@9\$Du:9\$@
19   0x00000687 0x00401287 4   5    .text   ascii   SSSj
20   0x0000069e 0x0040129e 4   5    .text   ascii   SSSj
21   0x000006ab 0x004012ab 4   6    .text   utf8    ؉\$8 blocks=Arabic,Basic Latin
22   0x000006bc 0x004012bc 4   5    .text   ascii   _^][
23   0x000006c2 0x004012c2 5   7    .text   utf8    DÉ\$( blocks=Basic Latin,Latin-1 Supplement
24   0x000006dd 0x004012dd 8   10   .text   utf8    D$(3ҍL$( blocks=Basic Latin,Cyrillic
25   0x000007c9 0x004013c9 5   6    .text   ascii   t\n<$t
26   0x00000810 0x00401410 4   5    .text   ascii   \nT$\e
27   0x00000817 0x00401417 4   6    .text   utf8    \nȈT$ blocks=Basic Latin,Latin Extended-B
28   0x00000846 0x00401446 4   5    .text   ascii   D$ j
29   0x0000087d 0x0040147d 4   9    .text   utf16le jjjj
30   0x0000088a 0x0040148a 4   5    .text   ascii   \$4P
31   0x000008a1 0x004014a1 4   5    .text   ascii   |$H;
32   0x00000962 0x00401562 5   6    .text   ascii   SVWh\b
33   0x000009eb 0x004015eb 5   7    .text   utf8    SPhЮC blocks=Basic Latin,Cyrillic
34   0x00000d36 0x00401936 4   6    .text   utf8    Ph0C
35   0x00000d44 0x00401944 4   6    .text   utf8    Ph̰C blocks=Basic Latin,Combining Diacritical Marks
36   0x00000d85 0x00401985 5   7    .text   utf8    QPh0C
37   0x00000d94 0x00401994 4   6    .text   utf8    Ph̰C blocks=Basic Latin,Combining Diacritical Marks
38   0x00000dd6 0x004019d6 4   6    .text   utf8    Ph0C
39   0x00000de4 0x004019e4 4   6    .text   utf8    Ph̰C blocks=Basic Latin,Combining Diacritical Marks
40   0x00000e23 0x00401a23 4   6    .text   utf8    Ph0C
41   0x00000e73 0x00401a73 4   6    .text   utf8    Ph0C
42   0x00000ec3 0x00401ac3 4   6    .text   utf8    Ph0C
43   0x00000f13 0x00401b13 4   6    .text   utf8    Ph0C
44   0x00000f60 0x00401b60 4   6    .text   utf8    Ph0C
45   0x00001278 0x00401e78 4   5    .text   ascii   w]RQ
46   0x000012ba 0x00401eba 4   5    .text   ascii   w\eRQ
47   0x0000142e 0x0040202e 4   5    .text   ascii   L$\f;
48   0x00001455 0x00402055 4   5    .text   ascii   _^[Y
49   0x00001529 0x00402129 5   6    .text   ascii   ]_^[Y
50   0x00001575 0x00402175 4   5    .text   ascii   h\b1C
51   0x0000160c 0x0040220c 4   5    .text   ascii   _^[d
52   0x0000163e 0x0040223e 4   5    .text   ascii   \$\f;
53   0x000016e8 0x004022e8 4   6    .text   utf8    3ۋD$ blocks=Basic Latin,Arabic
54   0x00001749 0x00402349 5   6    .text   ascii   ]_^[Y
55   0x00001764 0x00402364 5   6    .text   ascii   ]_^[Y
56   0x000017bf 0x004023bf 5   6    .text   ascii   ]_^[Y
57   0x00001851 0x00402451 4   6    .text   utf8    +Ɖt$ blocks=Basic Latin,Latin Extended-B
58   0x00001871 0x00402471 4   5    .text   ascii   l$\f;
59   0x0000194d 0x0040254d 4   5    .text   ascii   _]^[
60   0x00001972 0x00402572 6   8    .text   utf8    É;_]^[ blocks=Latin-1 Supplement,Basic Latin
61   0x00001a58 0x00402658 4   5    .text   ascii   hx1C
62   0x00001aaf 0x004026af 4   6    .text   utf8    EЋC0 blocks=Basic Latin,Cyrillic
63   0x00001b42 0x00402742 5   7    .text   utf8    K0+ƉM blocks=Basic Latin,Latin Extended-B
64   0x00001c56 0x00402856 5   6    .text   ascii   ;G\bt"
65   0x00001d5c 0x0040295c 4   5    .text   ascii   wnRQ
66   0x00001da6 0x004029a6 4   5    .text   ascii   w$RQ
67   0x00001dfa 0x004029fa 4   5    .text   ascii   @SVW
68   0x00001e16 0x00402a16 5   7    .text   utf8    j4hԲC blocks=Basic Latin,Armenian
69   0x00001e66 0x00402a66 4   5    .text   ascii   =`)D
70   0x00001ea3 0x00402aa3 5   7    .text   utf8    B\f3ҍN blocks=Basic Latin,Cyrillic
71   0x00001f5c 0x00402b5c 4   5    .text   ascii   w^QS
72   0x0000214d 0x00402d4d 4   5    .text   ascii   w~RQ
73   0x00002197 0x00402d97 4   5    .text   ascii   w4RQ
74   0x000021fe 0x00402dfe 4   5    .text   ascii   SVWj
75   0x00002320 0x00402f20 4   5    .text   ascii   PPPP
76   0x00002432 0x00403032 5   11   .text   utf16le Cjjjj
77   0x00002491 0x00403091 4   5    .text   ascii   w"RQ
78   0x000024c7 0x004030c7 5   6    .text   ascii   D$ h\b
79   0x000025d2 0x004031d2 4   5    .text   ascii   woRQ
80   0x00002656 0x00403256 5   6    .text   ascii   SUVWh
81   0x00002664 0x00403264 5   6    .text   ascii   D$T-j
82   0x00002680 0x00403280 4   5    .text   ascii   &|\r2
83   0x00002685 0x00403285 4   5    .text   ascii   _^][
84   0x00002695 0x00403295 4   5    .text   ascii   =`)D
85   0x000026cd 0x004032cd 4   5    .text   ascii   =`)D
86   0x0000272a 0x0040332a 4   5    .text   ascii   _^][
87   0x0000275e 0x0040335e 5   8    .text   utf8    D$$P胘 blocks=Basic Latin,CJK Unified Ideographs
88   0x0000279c 0x0040339c 5   6    .text   ascii   D$Ph@
89   0x000027d5 0x004033d5 4   9    .text   utf16le jjjj
90   0x000027fa 0x004033fa 4   5    .text   ascii   jPUP
91   0x0000283c 0x0040343c 5   6    .text   ascii   D$XPW
92   0x0000284b 0x0040344b 4   5    .text   ascii   D$((
93   0x0000285c 0x0040345c 4   5    .text   ascii   D$,f
94   0x0000286b 0x0040346b 4   5    .text   ascii   D$<f
95   0x00002897 0x00403497 5   6    .text   ascii   +T$ j
96   0x000028a5 0x004034a5 4   5    .text   ascii   L$ A
97   0x000028aa 0x004034aa 4   6    .text   utf8    ID$P
98   0x000028b0 0x004034b0 5   6    .text   ascii   D$4PW
99   0x000028ed 0x004034ed 4   5    .text   ascii   t$ W
100  0x000029a2 0x004035a2 4   7    .text   utf8    Eċ̉e blocks=Basic Latin,Latin Extended-A,Combining Diacritical Marks
101  0x00002b06 0x00403706 4   6    .text   utf8    CM̋E blocks=Basic Latin,Combining Diacritical Marks
102  0x00002efe 0x00403afe 4   7    .text   utf8    E̋Uč blocks=Basic Latin,Combining Diacritical Marks,Latin Extended-A
103  0x000031c0 0x00403dc0 4   6    .text   utf8    S ǅ| blocks=Basic Latin,Latin Extended-B
104  0x000034f2 0x004040f2 4   7    .text   utf8    E̋Uč blocks=Basic Latin,Combining Diacritical Marks,Latin Extended-A
105  0x000038a9 0x004044a9 4   6    .text   utf8    S ǅ@ blocks=Basic Latin,Latin Extended-B
106  0x00003cd8 0x004048d8 4   7    .text   utf8    E̋Uč blocks=Basic Latin,Combining Diacritical Marks,Latin Extended-A
107  0x00003dd4 0x004049d4 4   5    .text   ascii   f;\nu
108  0x00003e04 0x00404a04 5   6    .text   ascii   f;\nu\r
109  0x000046bd 0x004052bd 4   7    .text   utf8    E̋Uč blocks=Basic Latin,Combining Diacritical Marks,Latin Extended-A
110  0x0000528f 0x00405e8f 4   7    .text   utf8    E̋Uč blocks=Basic Latin,Combining Diacritical Marks,Latin Extended-A
111  0x00005d19 0x00406919 5   6    .text   ascii   \aj\ah\b
112  0x00009a46 0x0040a646 4   5    .text   ascii   =`)D
113  0x00009a98 0x0040a698 4   5    .text   ascii   =`)D
114  0x00009c48 0x0040a848 5   8    .text   utf8    ]؋}؋E blocks=Basic Latin,Arabic
115  0x00009c5f 0x0040a85f 5   8    .text   utf8    PjXS蘇 blocks=Basic Latin,CJK Unified Ideographs
116  0x00009cb6 0x0040a8b6 4   5    .text   ascii   PjXQ
117  0x00009cf4 0x0040a8f4 4   5    .text   ascii   w~QW
118  0x00009e79 0x0040aa79 4   5    .text   ascii   =`)D
119  0x00009f5d 0x0040ab5d 4   5    .text   ascii   =`)D
120  0x00009fca 0x0040abca 4   7    .text   utf8    2ۋUă blocks=Basic Latin,Arabic,Latin Extended-A
121  0x00009ff6 0x0040abf6 4   5    .text   ascii   weRQ
122  0x0000a03a 0x0040ac3a 4   5    .text   ascii   w!RQ
123  0x0000c6ee 0x0040d2ee 4   7    .text   utf8    3\v̉e blocks=Basic Latin,Combining Diacritical Marks
124  0x0000c751 0x0040d351 4   7    .text   utf8    3\v̉e blocks=Basic Latin,Combining Diacritical Marks
125  0x0000c7b4 0x0040d3b4 4   7    .text   utf8    3\v̉e blocks=Basic Latin,Combining Diacritical Marks
126  0x0000c7e6 0x0040d3e6 4   5    .text   ascii   j4h\b
127  0x0000c817 0x0040d417 4   7    .text   utf8    3\v̉e blocks=Basic Latin,Combining Diacritical Marks
128  0x0000cdfd 0x0040d9fd 4   5    .text   ascii   \fF;u
129  0x0000cf6b 0x0040db6b 4   5    .text   ascii   =\fPC
130  0x0000d15f 0x0040dd5f 4   5    .text   ascii   =`)D
131  0x0000d165 0x0040dd65 4   5    .text   ascii   SVWt
132  0x0000d1a7 0x0040dda7 4   5    .text   ascii   =`)D
133  0x0000d7eb 0x0040e3eb 4   5    .text   ascii   =`)D
134  0x0000d836 0x0040e436 4   5    .text   ascii   =`)D
135  0x0000d8fe 0x0040e4fe 4   5    .text   ascii   =`)D
136  0x0000d946 0x0040e546 4   5    .text   ascii   =`)D
137  0x0000da54 0x0040e654 4   5    .text   ascii   wtRQ
138  0x0000da99 0x0040e699 4   5    .text   ascii   w/RQ
139  0x0000dcd2 0x0040e8d2 4   5    .text   ascii   _^][
140  0x0000dcef 0x0040e8ef 8   10   .text   utf8    ̋D$\bSUVW blocks=Combining Diacritical Marks,Basic Latin
141  0x0000dd26 0x0040e926 4   5    .text   ascii   _^][
142  0x0000ddb9 0x0040e9b9 4   6    .text   utf8    3ۋD$ blocks=Basic Latin,Arabic
143  0x0000de12 0x0040ea12 4   5    .text   ascii   _^][
144  0x0000de42 0x0040ea42 6   7    .text   ascii   D$\bUVW
145  0x0000e03c 0x0040ec3c 4   5    .text   ascii   _^[d
146  0x0000e18d 0x0040ed8d 4   5    .text   ascii   _^[d
147  0x0000e1a3 0x0040eda3 4   5    .text   ascii   \$\fV
148  0x0000e32a 0x0040ef2a 5   7    .text   utf8    \fƋD$  blocks=Basic Latin,Latin Extended-B
149  0x0000e38a 0x0040ef8a 4   5    .text   ascii   L$ P
150  0x0000e3d5 0x0040efd5 4   6    .text   utf8    #+ڍC blocks=Basic Latin,Arabic
151  0x0000e401 0x0040f001 4   5    .text   ascii   \f7_^
