[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
17  0x00417010 NONE FUNC COMCTL32.dll InitCommonControls
1   0x00417274 NONE FUNC SHELL32.dll  ShellExecuteExW
2   0x00417278 NONE FUNC SHELL32.dll  ShellExecuteW
3   0x0041727c NONE FUNC SHELL32.dll  SHGetMalloc
4   0x00417280 NONE FUNC SHELL32.dll  SHGetPathFromIDListW
5   0x00417284 NONE FUNC SHELL32.dll  SHBrowseForFolderW
6   0x00417288 NONE FUNC SHELL32.dll  SHGetFileInfoW
7   0x0041728c NONE FUNC SHELL32.dll  SHGetSpecialFolderPathW
1   0x00417018 NONE FUNC GDI32.dll    CreateCompatibleDC
2   0x0041701c NONE FUNC GDI32.dll    CreateFontIndirectW
3   0x00417020 NONE FUNC GDI32.dll    DeleteObject
4   0x00417024 NONE FUNC GDI32.dll    DeleteDC
5   0x00417028 NONE FUNC GDI32.dll    GetCurrentObject
6   0x0041702c NONE FUNC GDI32.dll    StretchBlt
7   0x00417030 NONE FUNC GDI32.dll    GetDeviceCaps
8   0x00417034 NONE FUNC GDI32.dll    CreateCompatibleBitmap
9   0x00417038 NONE FUNC GDI32.dll    SelectObject
10  0x0041703c NONE FUNC GDI32.dll    SetStretchBltMode
11  0x00417040 NONE FUNC GDI32.dll    GetObjectW
1   0x00417000 NONE FUNC ADVAPI32.dll FreeSid
2   0x00417004 NONE FUNC ADVAPI32.dll AllocateAndInitializeSid
3   0x00417008 NONE FUNC ADVAPI32.dll CheckTokenMembership
1   0x00417294 NONE FUNC USER32.dll   GetWindowRect
2   0x00417298 NONE FUNC USER32.dll   SetWindowPos
3   0x0041729c NONE FUNC USER32.dll   GetWindowLongW
4   0x004172a0 NONE FUNC USER32.dll   GetMessageW
5   0x004172a4 NONE FUNC USER32.dll   DispatchMessageW
6   0x004172a8 NONE FUNC USER32.dll   KillTimer
7   0x004172ac NONE FUNC USER32.dll   GetDesktopWindow
8   0x004172b0 NONE FUNC USER32.dll   SendMessageW
