[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x000000d0 0x000000d0 4   5            ascii   Rich
2     0x000001e8 0x000001e8 5   6            ascii   .text
3     0x0000020f 0x0000020f 7   8            ascii   `.rdata
4     0x00000237 0x00000237 6   7            ascii   @.data
5     0x00000419 0x00401019 4   5    .text   ascii   D$\fd
6     0x00000449 0x00401049 5   7    .text   utf8    ƋL$\fd blocks=Latin Extended-B,Basic Latin
7     0x00000478 0x00401078 4   5    .text   ascii   D$\bd
8     0x00000499 0x00401099 4   5    .text   ascii   L$\bd
9     0x000004c9 0x004010c9 4   5    .text   ascii   D$\fd
10    0x000004fc 0x004010fc 5   7    .text   utf8    ƋL$\fd blocks=Latin Extended-B,Basic Latin
11    0x00000529 0x00401129 4   5    .text   ascii   D$\fd
12    0x0000053d 0x0040113d 4   6    .text   utf8    3\tD$
13    0x0000055d 0x0040115d 4   5    .text   ascii   D$$P
14    0x0000056f 0x0040116f 5   7    .text   utf8    ƋL$\fd blocks=Latin Extended-B,Basic Latin
15    0x000005a9 0x004011a9 4   5    .text   ascii   D$\fd
16    0x000005fa 0x004011fa 4   5    .text   ascii   L$\fd
17    0x0000061d 0x0040121d 4   7    .text   utf8    t\tV蹬 blocks=Basic Latin,CJK Unified Ideographs
18    0x00000648 0x00401248 4   5    .text   ascii   D$\bd
19    0x00000669 0x00401269 4   5    .text   ascii   L$\bd
20    0x00000699 0x00401299 4   5    .text   ascii   D$\fd
21    0x000006cc 0x004012cc 5   7    .text   utf8    ƋL$\fd blocks=Latin Extended-B,Basic Latin
22    0x000006f9 0x004012f9 4   5    .text   ascii   D$\fd
23    0x0000070d 0x0040130d 4   6    .text   utf8    3\tD$
24    0x0000072d 0x0040132d 4   5    .text   ascii   D$$P
25    0x0000073f 0x0040133f 5   7    .text   utf8    ƋL$\fd blocks=Latin Extended-B,Basic Latin
26    0x00000779 0x00401379 4   5    .text   ascii   D$\fd
27    0x000007ca 0x004013ca 4   5    .text   ascii   L$\fd
28    0x0000082c 0x0040142c 4   5    .text   ascii   D$\d
29    0x00000885 0x00401485 4   5    .text   ascii   L$l;
30    0x0000088a 0x0040148a 4   5    .text   ascii   u=Ph
31    0x000008c0 0x004014c0 5   8    .text   utf8    L$4Q訵 blocks=Basic Latin,CJK Unified Ideographs
32    0x000008dc 0x004014dc 5   7    .text   utf8    ƋL$\d blocks=Latin Extended-B,Basic Latin
33    0x0000090d 0x0040150d 6   7    .text   ascii   PQSUVW
34    0x00000946 0x00401546 5   6    .text   ascii   9npr\f
35    0x0000094c 0x0040154c 4   7    .text   utf8    F\P芩 blocks=Basic Latin,CJK Unified Ideographs
36    0x0000096c 0x0040156c 5   6    .text   ascii   9nTr\f
37    0x0000098b 0x0040158b 5   6    .text   ascii   9n8r\f
38    0x000009a6 0x004015a6 5   6    .text   ascii   \$ 9n
39    0x000009dd 0x004015dd 5   6    .text   ascii   Y_^][
40    0x000009fd 0x004015fd 4   5    .text   ascii   PQVW
41    0x00000a1a 0x0040161a 4   5    .text   ascii   |$ W
42    0x00000a23 0x00401623 4   6    .text   utf8    3҉T$ blocks=Basic Latin,Cyrillic
43    0x00000a89 0x00401689 4   5    .text   ascii   D$\fd
44    0x00000ad4 0x004016d4 4   5    .text   ascii   L$\fd
45    0x00000b09 0x00401709 4   5    .text   ascii   D$\fd
46    0x00000b17 0x00401717 4   7    .text   utf8    L$\f藛 blocks=Basic Latin,CJK Unified Ideographs
