[Strings]
nth paddr      vaddr      len  size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000004d 0x0000004d 44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1   0x000000a8 0x000000a8 5    7            utf8    Rich̓ blocks=Basic Latin,Combining Diacritical Marks
2   0x000001b8 0x000001b8 5    6            ascii   .text
3   0x000001df 0x000001df 7    8            ascii   `.rdata
4   0x00000207 0x00000207 6    7            ascii   @.data
5   0x00000230 0x00000230 5    6            ascii   .rsrc
6   0x00000485 0x00401085 4    5    .text   ascii   SPh=
7   0x00000652 0x00401252 6    7    .text   ascii   ;\\uJS
8   0x0000066c 0x0040126c 4    5    .text   ascii   \*.*
9   0x00000b31 0x00401731 4    5    .text   ascii   t/PQ
10  0x00000b60 0x00401760 6    8    .text   utf8    YXI}ÍE blocks=Basic Latin,Latin-1 Supplement
11  0x00000c08 0x00401808 4    5    .text   ascii   \\?\
12  0x00000c12 0x00401812 4    5    .text   ascii   :\*.
13  0x00000c88 0x00401888 4    5    .text   ascii   NONO
14  0x00000e48 0x00401a48 4    6    .text   utf8    3\vu\b
15  0x00000e98 0x00401a98 7    8    .text   ascii   \a<Ar\f,W
16  0x00000efb 0x00401afb 5    8    .text   utf8    3ҋI\ro blocks=Basic Latin,Cyrillic
17  0x00001032 0x00401c32 5    6    .text   ascii   PQRVW
18  0x000010ad 0x00401cad 7    9    .text   utf8    3*_^ZYX
19  0x0000119f 0x00401d9f 12   13   .text   ascii   <Zr\b<av\f<zs\b
20  0x0000126a 0x00401e6a 4    5    .text   ascii   \a','
21  0x000012a2 0x00401ea2 7    8    .text   ascii   \a|GjdWj
22  0x000012d1 0x00401ed1 4    5    .text   ascii   /SPh
23  0x000012f3 0x00401ef3 4    5    .text   ascii   \r\n\r\n
24  0x0000145c 0x0040205c 4    5    .text   ascii   @SPh
25  0x000014bb 0x004020bb 4    5    .text   ascii   hi!@
26  0x0000159f 0x0040219f 4    5    .text   ascii   u\nhM
27  0x000015b2 0x004021b2 4    5    .text   ascii   u\fh>
28  0x000015c7 0x004021c7 4    5    .text   ascii   u\nh.
29  0x00001663 0x00402263 6    7    .text   ascii       h=
30  0x000016a8 0x004022a8 6    7    .text   ascii       h*
31  0x000016cc 0x004022cc 6    7    .text   ascii       hJ
32  0x000016f1 0x004022f1 4    5    .text   ascii   nu\fj
33  0x00001833 0x00402433 4    5    .text   ascii   %00@
34  0x00001839 0x00402439 4    5    .text   ascii   % 0@
35  0x0000183f 0x0040243f 4    5    .text   ascii   %$0@
36  0x00001845 0x00402445 4    5    .text   ascii   %(0@
37  0x0000184b 0x0040244b 4    5    .text   ascii   %,0@
38  0x00001851 0x00402451 4    5    .text   ascii   %H0@
39  0x00001857 0x00402457 4    5    .text   ascii   %40@
40  0x0000185d 0x0040245d 4    5    .text   ascii   %80@
41  0x00001863 0x00402463 4    5    .text   ascii   %<0@
42  0x00001869 0x00402469 4    5    .text   ascii   %@0@
43  0x0000186f 0x0040246f 4    5    .text   ascii   %D0@
44  0x0000187b 0x0040247b 4    5    .text   ascii   %L0@
45  0x00001881 0x00402481 4    5    .text   ascii   %P0@
46  0x00001887 0x00402487 4    5    .text   ascii   %T0@
47  0x0000188d 0x0040248d 4    5    .text   ascii   %X0@
48  0x00001893 0x00402493 4    5    .text   ascii   %\0@
49  0x00001899 0x00402499 4    5    .text   ascii   %`0@
50  0x0000189f 0x0040249f 4    5    .text   ascii   %d0@
51  0x000018a5 0x004024a5 4    5    .text   ascii   %h0@
52  0x000018ab 0x004024ab 4    5    .text   ascii   %l0@
53  0x000018b1 0x004024b1 4    5    .text   ascii   %p0@
54  0x000018b7 0x004024b7 4    5    .text   ascii   %t0@
55  0x000018bd 0x004024bd 4    5    .text   ascii   %x0@
56  0x000018c3 0x004024c3 4    5    .text   ascii   %|0@
57  0x00001935 0x00402535 4    5    .text   ascii   %\b0@
58  0x00001941 0x00402541 4    5    .text   ascii   %\f0@
59  0x00001977 0x00402577 4    5    .text   ascii   %\b1@
60  0x0000197d 0x0040257d 4    5    .text   ascii   %\f1@
61  0x00001cf6 0x004032f6 15   16   .rdata  ascii   DialogBoxParamA
62  0x00001d08 0x00403308 9    10   .rdata  ascii   EndDialog
63  0x00001d14 0x00403314 10   11   .rdata  ascii   GetDlgItem
64  0x00001d22 0x00403322 12   13   .rdata  ascii   SendMessageA
65  0x00001d32 0x00403332 8    9    .rdata  ascii   SetTimer
66  0x00001d3e 0x0040333e 10   11   .rdata  ascii   ShowWindow
67  0x00001d4a 0x0040334a 10   11   .rdata  ascii   user32.dll
68  0x00001d58 0x00403358 11   12   .rdata  ascii   CloseHandle
69  0x00001d66 0x00403366 9    10   .rdata  ascii   CopyFileA
70  0x00001d72 0x00403372 11   12   .rdata  ascii   CreateFileA
71  0x00001d80 0x00403380 18   19   .rdata  ascii   CreateFileMappingA
72  0x00001d96 0x00403396 11   12   .rdata  ascii   CreateFileW
73  0x00001da4 0x004033a4 12   13   .rdata  ascii   CreateThread
74  0x00001db4 0x004033b4 11   12   .rdata  ascii   DeleteFileA
75  0x00001dc2 0x004033c2 11   12   .rdata  ascii   ExitProcess
76  0x00001dd0 0x004033d0 9    10   .rdata  ascii   FindClose
77  0x00001ddc 0x004033dc 14   15   .rdata  ascii   FindFirstFileW
78  0x00001dee 0x004033ee 13   14   .rdata  ascii   FindNextFileW
79  0x00001dfe 0x004033fe 19   20   .rdata  ascii   GetCurrentProcessId
80  0x00001e14 0x00403414 23   24   .rdata  ascii   GetEnvironmentVariableA
81  0x00001e2e 0x0040342e 18   19   .rdata  ascii   GetFileAttributesW
82  0x00001e44 0x00403444 16   17   .rdata  ascii   GetLogicalDrives
83  0x00001e58 0x00403458 18   19   .rdata  ascii   GetModuleFileNameA
84  0x00001e6e 0x0040346e 16   17   .rdata  ascii   GetModuleHandleA
85  0x00001e82 0x00403482 12   13   .rdata  ascii   GetTickCount
86  0x00001e92 0x00403492 11   12   .rdata  ascii   GlobalAlloc
