[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0042f000 NONE FUNC KERNEL32.dll GetLastError
2   0x0042f004 NONE FUNC KERNEL32.dll SetLastError
3   0x0042f008 NONE FUNC KERNEL32.dll GetCurrentProcess
4   0x0042f00c NONE FUNC KERNEL32.dll DeviceIoControl
5   0x0042f010 NONE FUNC KERNEL32.dll SetFileTime
6   0x0042f014 NONE FUNC KERNEL32.dll CloseHandle
7   0x0042f018 NONE FUNC KERNEL32.dll CreateDirectoryW
8   0x0042f01c NONE FUNC KERNEL32.dll RemoveDirectoryW
9   0x0042f020 NONE FUNC KERNEL32.dll CreateFileW
10  0x0042f024 NONE FUNC KERNEL32.dll DeleteFileW
11  0x0042f028 NONE FUNC KERNEL32.dll CreateHardLinkW
12  0x0042f02c NONE FUNC KERNEL32.dll GetShortPathNameW
13  0x0042f030 NONE FUNC KERNEL32.dll GetLongPathNameW
14  0x0042f034 NONE FUNC KERNEL32.dll MoveFileW
15  0x0042f038 NONE FUNC KERNEL32.dll GetFileType
16  0x0042f03c NONE FUNC KERNEL32.dll GetStdHandle
17  0x0042f040 NONE FUNC KERNEL32.dll WriteFile
18  0x0042f044 NONE FUNC KERNEL32.dll ReadFile
19  0x0042f048 NONE FUNC KERNEL32.dll FlushFileBuffers
20  0x0042f04c NONE FUNC KERNEL32.dll SetEndOfFile
21  0x0042f050 NONE FUNC KERNEL32.dll SetFilePointer
22  0x0042f054 NONE FUNC KERNEL32.dll SetFileAttributesW
23  0x0042f058 NONE FUNC KERNEL32.dll GetFileAttributesW
24  0x0042f05c NONE FUNC KERNEL32.dll FindClose
25  0x0042f060 NONE FUNC KERNEL32.dll FindFirstFileW
26  0x0042f064 NONE FUNC KERNEL32.dll FindNextFileW
27  0x0042f068 NONE FUNC KERNEL32.dll GetVersionExW
28  0x0042f06c NONE FUNC KERNEL32.dll GetCurrentDirectoryW
29  0x0042f070 NONE FUNC KERNEL32.dll GetFullPathNameW
30  0x0042f074 NONE FUNC KERNEL32.dll FoldStringW
31  0x0042f078 NONE FUNC KERNEL32.dll GetModuleFileNameW
32  0x0042f07c NONE FUNC KERNEL32.dll GetModuleHandleW
33  0x0042f080 NONE FUNC KERNEL32.dll FindResourceW
34  0x0042f084 NONE FUNC KERNEL32.dll FreeLibrary
35  0x0042f088 NONE FUNC KERNEL32.dll GetProcAddress
36  0x0042f08c NONE FUNC KERNEL32.dll GetCurrentProcessId
37  0x0042f090 NONE FUNC KERNEL32.dll ExitProcess
38  0x0042f094 NONE FUNC KERNEL32.dll SetThreadExecutionState
39  0x0042f098 NONE FUNC KERNEL32.dll Sleep
40  0x0042f09c NONE FUNC KERNEL32.dll LoadLibraryW
41  0x0042f0a0 NONE FUNC KERNEL32.dll GetSystemDirectoryW
42  0x0042f0a4 NONE FUNC KERNEL32.dll CompareStringW
43  0x0042f0a8 NONE FUNC KERNEL32.dll AllocConsole
44  0x0042f0ac NONE FUNC KERNEL32.dll FreeConsole
45  0x0042f0b0 NONE FUNC KERNEL32.dll AttachConsole
46  0x0042f0b4 NONE FUNC KERNEL32.dll WriteConsoleW
47  0x0042f0b8 NONE FUNC KERNEL32.dll GetProcessAffinityMask
48  0x0042f0bc NONE FUNC KERNEL32.dll CreateThread
49  0x0042f0c0 NONE FUNC KERNEL32.dll SetThreadPriority
50  0x0042f0c4 NONE FUNC KERNEL32.dll InitializeCriticalSection
51  0x0042f0c8 NONE FUNC KERNEL32.dll EnterCriticalSection
52  0x0042f0cc NONE FUNC KERNEL32.dll LeaveCriticalSection
53  0x0042f0d0 NONE FUNC KERNEL32.dll DeleteCriticalSection
54  0x0042f0d4 NONE FUNC KERNEL32.dll SetEvent
55  0x0042f0d8 NONE FUNC KERNEL32.dll ResetEvent
56  0x0042f0dc NONE FUNC KERNEL32.dll ReleaseSemaphore
57  0x0042f0e0 NONE FUNC KERNEL32.dll WaitForSingleObject
58  0x0042f0e4 NONE FUNC KERNEL32.dll CreateEventW
59  0x0042f0e8 NONE FUNC KERNEL32.dll CreateSemaphoreW
60  0x0042f0ec NONE FUNC KERNEL32.dll GetSystemTime
61  0x0042f0f0 NONE FUNC KERNEL32.dll SystemTimeToTzSpecificLocalTime
62  0x0042f0f4 NONE FUNC KERNEL32.dll TzSpecificLocalTimeToSystemTime
63  0x0042f0f8 NONE FUNC KERNEL32.dll SystemTimeToFileTime
64  0x0042f0fc NONE FUNC KERNEL32.dll FileTimeToLocalFileTime
65  0x0042f100 NONE FUNC KERNEL32.dll LocalFileTimeToFileTime
66  0x0042f104 NONE FUNC KERNEL32.dll FileTimeToSystemTime
67  0x0042f108 NONE FUNC KERNEL32.dll GetCPInfo
68  0x0042f10c NONE FUNC KERNEL32.dll IsDBCSLeadByte
69  0x0042f110 NONE FUNC KERNEL32.dll MultiByteToWideChar
70  0x0042f114 NONE FUNC KERNEL32.dll WideCharToMultiByte
71  0x0042f118 NONE FUNC KERNEL32.dll GlobalAlloc
72  0x0042f11c NONE FUNC KERNEL32.dll GetTickCount
73  0x0042f120 NONE FUNC KERNEL32.dll SetCurrentDirectoryW
74  0x0042f124 NONE FUNC KERNEL32.dll GetExitCodeProcess
75  0x0042f128 NONE FUNC KERNEL32.dll GetLocalTime
76  0x0042f12c NONE FUNC KERNEL32.dll MapViewOfFile
77  0x0042f130 NONE FUNC KERNEL32.dll UnmapViewOfFile
78  0x0042f134 NONE FUNC KERNEL32.dll CreateFileMappingW
