Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000c8 0x000000c8 5   6            ascii   Richu
2    0x000001e8 0x000001e8 5   6            ascii   .text
3    0x0000020f 0x0000020f 7   8            ascii   h.rdata
4    0x00000237 0x00000237 6   7            ascii   H.data
5    0x00000260 0x00000260 6   7            ascii   .pdata
6    0x00000287 0x00000287 5   6            ascii   HINIT
7    0x000002b0 0x000002b0 5   6            ascii   .rsrc
8    0x000004aa 0x000110aa 7   8    .text   ascii   l$(!T$ 
9    0x000004df 0x000110df 4   5    .text   ascii   \$@H
10   0x000004e4 0x000110e4 4   5    .text   ascii   l$HH
11   0x000004e9 0x000110e9 4   5    .text   ascii   t$PH
12   0x000004fa 0x000110fa 4   5    .text   ascii   \$ L
13   0x00000507 0x00011107 12  13   .text   ascii   UVWATAUAVAWH
14   0x0000052a 0x0001112a 4   5    .text   ascii   t$PL
15   0x0000052f 0x0001112f 4   5    .text   ascii   t$XH
16   0x00000554 0x00011154 5   7    .text   utf8    IL$DL
17   0x00000562 0x00011162 4   5    .text   ascii   L$`I
18   0x0000057d 0x0001117d 4   5    .text   ascii   L$pA
19   0x0000058b 0x0001118b 4   5    .text   ascii   T$@E
20   0x00000593 0x00011193 4   5    .text   ascii   L$HD
21   0x00000598 0x00011198 5   6    .text   ascii   D$0I;
22   0x000005dd 0x000111dd 4   5    .text   ascii   T$@D
23   0x000005e2 0x000111e2 4   5    .text   ascii   D$0L
24   0x000005e7 0x000111e7 4   5    .text   ascii   L$HD
25   0x00000628 0x00011228 4   5    .text   ascii   L$4L
26   0x0000062d 0x0001122d 4   5    .text   ascii   L$HH
27   0x0000064c 0x0001124c 4   5    .text   ascii   T$@L
28   0x00000655 0x00011255 5   6    .text   ascii   L$4E;
29   0x0000067c 0x0001127c 4   5    .text   ascii   D$DH
30   0x00000681 0x00011281 4   5    .text   ascii   L$pA
31   0x00000694 0x00011294 4   5    .text   ascii   u4M;
32   0x000006ab 0x000112ab 4   5    .text   ascii   D$PH
33   0x000006c4 0x000112c4 4   5    .text   ascii   |$PL
34   0x000006e4 0x000112e4 4   5    .text   ascii   L$`H
35   0x00000718 0x00011318 11  12   .text   ascii   A_A^A]A\_^]
36   0x00000726 0x00011326 5   6    .text   ascii   \$8I;
37   0x0000073f 0x0001133f 4   5    .text   ascii   D$XH
38   0x0000074e 0x0001134e 4   5    .text   ascii   |$XL
39   0x0000076a 0x0001136a 4   5    .text   ascii   \$\bD
40   0x00000772 0x00011372 12  13   .text   ascii   UVWATAUAVAWH
41   0x00000797 0x00011397 8   9    .text   ascii   L$xH9h(t
42   0x000007ce 0x000113ce 5   6    .text   ascii   3H9C 
43   0x00000822 0x00011422 4   5    .text   ascii   L$xL
44   0x0000082b 0x0001142b 4   5    .text   ascii   (uEM
45   0x00000870 0x00011470 4   5    .text   ascii   \$xI
46   0x00000886 0x00011486 4   5    .text   ascii   D$0H
47   0x000008a0 0x000114a0 4   5    .text   ascii   \$pH
48   0x000008a6 0x000114a6 12  13   .text   ascii   0A_A^A]A\_^]
49   0x000008c9 0x000114c9 4   5    .text   ascii   p WH
50   0x000008f0 0x000114f0 5   6    .text   ascii   H9H(t
51   0x00000919 0x00011519 7   8    .text   ascii   I9B u\bI
52   0x0000092e 0x0001152e 4   5    .text   ascii   D$0H
53   0x00000933 0x00011533 4   5    .text   ascii   T$XI
54   0x00000949 0x00011549 4   5    .text   ascii   T$XH
55   0x0000095f 0x0001155f 4   5    .text   ascii   T$0H
56   0x000009a0 0x000115a0 4   5    .text   ascii   \$PH
57   0x000009a5 0x000115a5 4   5    .text   ascii   l$`H
58   0x000009aa 0x000115aa 4   5    .text   ascii   t$hH
59   0x000009c7 0x000115c7 5   6    .text   ascii   VWATH
60   0x000009ec 0x000115ec 5   6    .text   ascii   H9x(t
61   0x00000a21 0x00011621 4   6    .text   utf8    ωD$  blocks=Greek and Coptic,Basic Latin
62   0x00000a3b 0x0001163b 5   7    .text   utf8    ƉL$ L blocks=Latin Extended-B,Basic Latin
63   0x00000a42 0x00011642 4   5    .text   ascii   D$0"
64   0x00000a49 0x00011649 4   5    .text   ascii   T$hD
65   0x00000a67 0x00011667 4   5    .text   ascii   T$hH
66   0x00000a77 0x00011677 5   7    .text   utf8    ωt$ A blocks=Greek and Coptic,Basic Latin
67   0x00000a87 0x00011687 4   5    .text   ascii   T$0H
68   0x00000a9e 0x0001169e 4   5    .text   ascii   \$`H
69   0x00000aa3 0x000116a3 4   5    .text   ascii   l$pH
70   0x00000aa9 0x000116a9 5   6    .text   ascii   @A\_^
71   0x00000ac4 0x000116c4 5   6    .text   ascii   t$ WH
72   0x00000ad7 0x000116d7 4   5    .text   ascii   L$ H
73   0x00000ae5 0x000116e5 4   5    .text   ascii   D$@H
74   0x00000b0f 0x0001170f 4   5    .text   ascii   f9+u
75   0x00000b14 0x00011714 5   6    .text   ascii   f9+t\b
76   0x00000b23 0x00011723 4   5    .text   ascii   \$HH
77   0x00000b2f 0x0001172f 4   5    .text   ascii   t$XH
78   0x00000b52 0x00011752 15  16   .text   ascii   \$ UVWATAUAVAWH
79   0x00000b74 0x00011774 4   5    .text   ascii   D9%}
80   0x00000c58 0x00011858 4   5    .text   ascii   CdA;
81   0x00000c89 0x00011889 4   5    .text   ascii   CdA;
82   0x00000cba 0x000118ba 4   5    .text   ascii   \bs?H
83   0x00000cf4 0x000118f4 7   8    .text   ascii   4NfD9&u
84   0x00000cfe 0x000118fe 4   5    .text   ascii   {XI;
85   0x00000d13 0x00011913 4   5    .text   ascii   D$PH
86   0x00000d24 0x00011924 4   5    .text   ascii   D$(@
87   0x00000d37 0x00011937 4   5    .text   ascii   D$P0
88   0x00000d44 0x00011944 4   5    .text   ascii   D$h@
89   0x00000d4d 0x0001194d 4   5    .text   ascii   t$`L
90   0x00000d52 0x00011952 4   5    .text   ascii   d$pL
91   0x00000d97 0x00011997 4   5    .text   ascii   D$0H
92   0x00000e23 0x00011a23 4   5    .text   ascii   t`E3
93   0x00000e38 0x00011a38 4   5    .text   ascii   \bsBH
94   0x00000e75 0x00011a75 7   8    .text   ascii   4NfD9>u
95   0x00000f07 0x00011b07 4   5    .text   ascii   @\bI;
96   0x00000f10 0x00011b10 4   5    .text   ascii   R\bI;
97   0x00000f34 0x00011b34 4   5    .text   ascii   C(Hc
98   0x00000f43 0x00011b43 4   5    .text   ascii   K0I;
99   0x00000f58 0x00011b58 4   5    .text   ascii   C8I;
100  0x00000f91 0x00011b91 4   5    .text   ascii   ,(I;
101  0x00000fd4 0x00011bd4 11  12   .text   ascii   A_A^A]A\_^]
102  0x00000fed 0x00011bed 5   6    .text   ascii   VWATH
103  0x0000101d 0x00011c1d 5   6    .text   ascii   GXD;A
104  0x00001028 0x00011c28 8   9    .text   ascii   G\fD;A\nu
105  0x00001047 0x00011c47 5   6    .text   ascii   W\f;Q
106  0x00001069 0x00011c69 4   5    .text   ascii   l$HH
107  0x0000106f 0x00011c6f 9   11   .text   utf8     A\_^ËGXH blocks=Basic Latin,Latin-1 Supplement
108  0x00001080 0x00011c80 4   5    .text   ascii   lbnm
109  0x0000109e 0x00011c9e 4   5    .text   ascii   D$@H
110  0x000010b7 0x00011cb7 4   5    .text   ascii   L$PH
111  0x000010d9 0x00011cd9 4   5    .text   ascii   L$xH
112  0x00001102 0x00011d02 4   5    .text   ascii   \$\bH
113  0x0000111c 0x00011d1c 4   5    .text   ascii   T$0H
114  0x00001188 0x00011d88 4   5    .text   ascii   l$@H
115  0x000011b4 0x00011db4 7   8    .text   ascii   \bH9\vv1H
116  0x000011f8 0x00011df8 4   6    .text   utf8    +ύA\b blocks=Basic Latin,Greek and Coptic
117  0x00001211 0x00011e11 5   6    .text   ascii   H9+v\f
118  0x00001217 0x00011e17 4   5    .text   ascii   D$HH
119  0x00001241 0x00011e41 7   8    .text   ascii   \bH9\vv/H
120  0x0000125d 0x00011e5d 6   7    .text   ascii   K\bH;\bv
121  0x00001268 0x00011e68 6   7    .text   ascii   u\fH9\vt
122  0x0000134c 0x00011f4c 4   5    .text   ascii   T$ H
123  0x00001354 0x00011f54 4   5    .text   ascii   D$ H
124  0x0000137b 0x00011f7b 7   8    .text   ascii   D$(plbn
125  0x00001406 0x00012006 4   5    .text   ascii   L$1D
126  0x00001420 0x00012020 4   5    .text   ascii   D$`L
127  0x00001425 0x00012025 4   5    .text   ascii   D$0D
128  0x0000151a 0x0001211a 5   6    .text   ascii   \$\bWH
129  0x00001521 0x00012121 4   5    .text   ascii   @Lc\r
130  0x00001637 0x00012237 4   5    .text   ascii   D$X3
131  0x0000164f 0x0001224f 4   5    .text   ascii   D$`H
132  0x000017c1 0x000123c1 4   5    .text   ascii   \$PH
133  0x00001816 0x00012416 4   5    .text   ascii   \$\bH
134  0x00001843 0x00012443 4   5    .text   ascii   MKCS
135  0x0000187b 0x0001247b 5   6    .text   ascii   MKCSH
136  0x000018cc 0x000124cc 4   5    .text   ascii   \$0H
137  0x000018d1 0x000124d1 4   5    .text   ascii   t$8H
138  0x000018e3 0x000124e3 4   5    .text   ascii   t?SH
139  0x0000192e 0x0001252e 5   6    .text   ascii   \$\bWH
140  0x0000196e 0x0001256e 8   10   .text   utf8    O(E3\bG\bD
141  0x000019b6 0x000125b6 5   7    .text   utf8    ۶m[%I blocks=Arabic,Basic Latin
142  0x000019bd 0x000125bd 4   6    .text   utf8    $\t+ȸ blocks=Basic Latin,Latin Extended-B
143  0x00001a42 0x00012642 4   5    .text   ascii   \$0H
144  0x00001a5b 0x0001265b 4   5    .text   ascii   \$\bH
