Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000c8 0x000000c8 4   5            ascii   Rich
2    0x000001e0 0x000001e0 5   6            ascii   .text
3    0x00000207 0x00000207 7   8            ascii   h.rdata
4    0x0000022f 0x0000022f 6   7            ascii   H.data
5    0x00000258 0x00000258 6   7            ascii   .pdata
6    0x0000027f 0x0000027f 5   6            ascii   HINIT
7    0x000002a8 0x000002a8 5   6            ascii   .rsrc
8    0x000002cf 0x000002cf 7   8            ascii   B.reloc
9    0x00000421 0x00011021 4   5    .text   ascii   D$(@
10   0x00000459 0x00011059 7   9    .text   utf8    E3\vT$HH
11   0x00000470 0x00011070 4   5    .text   ascii   D$XH
12   0x000004af 0x000110af 4   5    .text   ascii   D$PI
13   0x000004bc 0x000110bc 4   5    .text   ascii   D$HI
14   0x000004cb 0x000110cb 5   6    .text   ascii   \$XH\t
15   0x000004da 0x000110da 4   5    .text   ascii   t\tSZ
16   0x000004ff 0x000110ff 4   5    .text   ascii   D$HH
17   0x00000504 0x00011104 4   5    .text   ascii   T$PH
18   0x00000536 0x00011136 4   5    .text   ascii   D$8H
19   0x0000055a 0x0001115a 4   5    .text   ascii   D$0H
20   0x0000055f 0x0001115f 4   5    .text   ascii   T$8A
21   0x000005b7 0x000111b7 4   5    .text   ascii   H\bWH
22   0x0000064d 0x0001124d 4   5    .text   ascii   T$ H
23   0x0000068e 0x0001128e 4   5    .text   ascii   T$1D
24   0x000006e2 0x000112e2 4   5    .text   ascii   L$0A
25   0x00000793 0x00011393 4   5    .text   ascii   L$T)
26   0x000007dd 0x000113dd 5   6    .text   ascii   \$XE)
27   0x000007fd 0x000113fd 4   5    .text   ascii   L\f@A
28   0x00000821 0x00011421 4   5    .text   ascii   L$PD
29   0x00000840 0x00011440 4   5    .text   ascii   T\fXA
30   0x00000852 0x00011452 4   5    .text   ascii   D\fXB
31   0x00000867 0x00011467 5   6    .text   ascii   XA0\vI
32   0x00000875 0x00011475 4   5    .text   ascii   L$Q3
33   0x000008b8 0x000114b8 4   5    .text   ascii   \$8H
34   0x000008c2 0x000114c2 4   5    .text   ascii   \$(H
35   0x000008cf 0x000114cf 5   6    .text   ascii   L$@E3
36   0x00000991 0x00011591 4   5    .text   ascii   D$8H
37   0x000009af 0x000115af 4   5    .text   ascii   L$ H
38   0x00000a0f 0x0001160f 12  13   .text   ascii   UVWATAUAVAWH
39   0x00000a60 0x00011660 4   5    .text   ascii   t$`A
40   0x00000a6a 0x0001166a 4   5    .text   ascii   snA;
41   0x00000a87 0x00011687 4   5    .text   ascii   T$hH
42   0x00000abe 0x000116be 4   5    .text   ascii   \$pH
43   0x00000ac4 0x000116c4 14  16   .text   utf8     A_A^A]A\_^]Ë\ blocks=Basic Latin,Latin-1 Supplement
44   0x00000aef 0x000116ef 5   6    .text   ascii   VWATH
45   0x00000b1d 0x0001171d 4   5    .text   ascii   mplh
46   0x00000b28 0x00011728 4   5    .text   ascii   P[H\t
47   0x00000b31 0x00011731 5   6    .text   ascii   D$PE3
48   0x00000b44 0x00011744 5   6    .text   ascii   93vPH
49   0x00000ba7 0x000117a7 4   5    .text   ascii   \$@H
50   0x00000bac 0x000117ac 4   5    .text   ascii   l$HH
51   0x00000bb2 0x000117b2 6   8    .text   utf8     A\_^Ë blocks=Basic Latin,Latin-1 Supplement
52   0x00000bd4 0x000117d4 4   6    .text   utf8    )ҐSY blocks=Basic Latin,Cyrillic
53   0x00000bee 0x000117ee 4   5    .text   ascii   \$\bH
54   0x00000bfb 0x000117fb 6   7    .text   ascii   WATAUH
55   0x00000c0e 0x0001180e 5   6    .text   ascii   Hcp89
56   0x00000cbc 0x000118bc 5   6    .text   ascii   HcG<H
57   0x00000ce6 0x000118e6 4   5    .text   ascii   \$@H
58   0x00000ceb 0x000118eb 4   5    .text   ascii   l$HH
59   0x00000cf0 0x000118f0 4   5    .text   ascii   t$PH
60   0x00000cf6 0x000118f6 6   7    .text   ascii    A]A\_
61   0x00000d12 0x00011912 15  16   .text   ascii   \$ UVWATAUAVAWH
62   0x00000d3e 0x0001193e 5   6    .text   ascii   C\fD9\b
63   0x00000d79 0x00011979 4   5    .text   ascii   M9\f$
64   0x00000dab 0x000119ab 5   6    .text   ascii   T$@H#
65   0x00000dd2 0x000119d2 4   5    .text   ascii   T$0H
66   0x00000dd7 0x000119d7 4   5    .text   ascii   L$ A
67   0x00000df0 0x000119f0 4   5    .text   ascii   L$ L
68   0x00000e6f 0x00011a6f 5   6    .text   ascii   B\fD9\b
69   0x00000e8b 0x00011a8b 11  12   .text   ascii   A_A^A]A\_^]
70   0x00000f6f 0x00011b6f 4   5    .text   ascii   HcJ<
71   0x00000fb3 0x00011bb3 5   6    .text   ascii   $"<"u
72   0x00000fc2 0x00011bc2 8   10   .text   utf8    tϋA<9A8r blocks=Basic Latin,Greek and Coptic
73   0x0000105b 0x00011c5b 4   5    .text   ascii   \$8H
74   0x00001060 0x00011c60 4   5    .text   ascii   t$@H
75   0x00001072 0x00011c72 4   5    .text   ascii   \$\bH
76   0x0000107f 0x00011c7f 6   7    .text   ascii   WATAUH
77   0x00001112 0x00011d12 4   5    .text   ascii   \$@H
78   0x00001117 0x00011d17 4   5    .text   ascii   l$HH
79   0x0000111c 0x00011d1c 4   5    .text   ascii   t$PH
80   0x00001122 0x00011d22 6   7    .text   ascii    A]A\_
81   0x0000113b 0x00011d3b 15  16   .text   ascii   L$\bUVWATAUAVAWH
82   0x000011fe 0x00011dfe 4   5    .text   ascii   L$\bF
83   0x00001206 0x00011e06 4   5    .text   ascii   p $A
84   0x00001220 0x00011e20 4   5    .text   ascii   L$\fF
85   0x000012b8 0x00011eb8 4   5    .text   ascii   l$0D
86   0x000012c1 0x00011ec1 4   5    .text   ascii   t$8E
87   0x000012da 0x00011eda 4   5    .text   ascii   L$ F
88   0x00001338 0x00011f38 4   5    .text   ascii   L$,F
89   0x000013b3 0x00011fb3 8   10   .text   utf8    A#ˋ|$<A# blocks=Basic Latin,Spacing Modifier Letters
90   0x0000141e 0x0001201e 4   5    .text   ascii   L$,B
91   0x00001425 0x00012025 5   6    .text   ascii   QZ^&A
92   0x000014e7 0x000120e7 4   5    .text   ascii   L$$F
93   0x00001525 0x00012125 4   5    .text   ascii   L$\fF
94   0x00001586 0x00012186 4   5    .text   ascii   L$\bF
95   0x000015f8 0x000121f8 4   5    .text   ascii   D$ F
96   0x00001616 0x00012216 4   5    .text   ascii   D$,F
97   0x000016e4 0x000122e4 4   5    .text   ascii   D$\fF
98   0x00001718 0x00012318 4   5    .text   ascii   L$$F
99   0x0000175e 0x0001235e 4   5    .text   ascii   D$\bD
100  0x00001780 0x00012380 4   5    .text   ascii   \bD")
101  0x00001802 0x00012402 4   5    .text   ascii   D$\fB
102  0x00001855 0x00012455 4   5    .text   ascii   D$ F
103  0x000018e2 0x000124e2 4   5    .text   ascii   D$,B
104  0x000018fd 0x000124fd 4   5    .text   ascii   D$\bB
105  0x0000192d 0x0001252d 4   5    .text   ascii   D$$A
106  0x00001968 0x00012568 11  12   .text   ascii   A_A^A]A\_^]
107  0x00001a21 0x00012621 7   8    .text   ascii   fffffff
108  0x00001a46 0x00012646 4   5    .text   ascii   T\n\bH
109  0x00001a96 0x00012696 4   5    .text   ascii   D\n@H
110  0x00001ab6 0x000126b6 4   5    .text   ascii   T\n\bL
111  0x00001ad8 0x000126d8 4   5    .text   ascii   L\n L
112  0x00001add 0x000126dd 4   5    .text   ascii   T\n(H
113  0x00001b24 0x00012724 4   5    .text   ascii   ffff
114  0x00001bc1 0x000127c1 7   8    .text   ascii   fffffff
115  0x00001bf8 0x000127f8 4   5    .text   ascii   D\n\bL
116  0x00001c14 0x00012814 4   5    .text   ascii   ffff
117  0x00001c92 0x00012892 4   5    .text   ascii   L\n\bL
118  0x00001dd0 0x000129d0 8   9    .text   ascii   ndis.sys
119  0x00001de0 0x000129e0 32  33   .text   ascii   NdisIMInitializeDeviceInstanceEx
120  0x00001e10 0x00012a10 14  30   .text   utf16le \Driver\NDLink
121  0x00002108 0x00013108 14  15   .rdata  ascii   COM_DESCRIPTOR
122  0x00002118 0x00013118 12  13   .rdata  ascii   DELAY_IMPORT
123  0x00002130 0x00013130 12  13   .rdata  ascii   BOUND_IMPORT
124  0x00002140 0x00013140 11  12   .rdata  ascii   LOAD_CONFIG
125  0x00002150 0x00013150 9   10   .rdata  ascii   GLOBALPTR
126  0x00002160 0x00013160 9   10   .rdata  ascii   COPYRIGHT
127  0x0000216c 0x0001316c 5   6    .rdata  ascii   DEBUG
128  0x00002178 0x00013178 9   10   .rdata  ascii   BASERELOC
129  0x00002188 0x00013188 8   9    .rdata  ascii   SECURITY
130  0x00002198 0x00013198 9   10   .rdata  ascii   EXCEPTION
131  0x000021a8 0x000131a8 8   9    .rdata  ascii   RESOURCE
132  0x000021b4 0x000131b4 6   7    .rdata  ascii   IMPORT
133  0x000021bc 0x000131bc 6   7    .rdata  ascii   EXPORT
134  0x000021e8 0x000131e8 4   5    .rdata  ascii   \rp\f`
135  0x000021ff 0x000131ff 5   6    .rdata  ascii   p\r`\fP
136  0x00002240 0x00013240 6   7    .rdata  ascii   \rp\f`\vP
137  0x00002284 0x00013284 4   5    .rdata  ascii   \bp\a`
138  0x000022b8 0x000132b8 6   7    .rdata  ascii   \np\t`\bP
139  0x000025d0 0x000141d0 7   8    .data   ascii   _"xE2[,
140  0x000025da 0x000141da 4   5    .data   ascii   Q {S
141  0x00002619 0x00014219 4   5    .data   ascii   I\aUJ
142  0x0000261f 0x0001421f 5   6    .data   ascii   _GA}u
143  0x00002675 0x00014275 4   5    .data   ascii   Bf\n^
144  0x0000267a 0x0001427a 7   9    .data   utf8    +V_ם\eq7 blocks=Basic Latin,Hebrew
145  0x000026c7 0x000142c7 4   5    .data   ascii   m}\'
146  0x000026ef 0x000142ef 5   7    .data   utf8    \t7\vɼ% blocks=Basic Latin,IPA Extensions
147  0x000026fd 0x000142fd 4   5    .data   ascii   }Z9:
148  0x0000273f 0x0001433f 4   6    .data   utf8    \A|¾ blocks=Basic Latin,Latin-1 Supplement
149  0x00002759 0x00014359 4   5    .data   ascii   FiO,
150  0x0000277b 0x0001437b 5   6    .data   ascii   IQvmv
151  0x000027bb 0x000143bb 5   6    .data   ascii   yWsZ\n
152  0x000027c6 0x000143c6 6   7    .data   ascii   sL(/"u
153  0x000027ef 0x000143ef 5   6    .data   ascii   {\vhTJ
154  0x00002808 0x00014408 5   6    .data   ascii   tSxx!
155  0x00002885 0x00014485 7   9    .data   utf8    >\jcک6# blocks=Basic Latin,Arabic
156  0x00002891 0x00014491 4   5    .data   ascii   "j{R
157  0x000028d3 0x000144d3 4   5    .data   ascii   X|)b
158  0x000028d8 0x000144d8 7   8    .data   ascii   5 f`%(*
159  0x000028eb 0x000144eb 7   8    .data   ascii   e\eCAU|'
160  0x00002916 0x00014516 5   6    .data   ascii   Aj(% 
161  0x00002949 0x00014549 4   5    .data   ascii   29Y\
162  0x00002a24 0x00014624 4   5    .data   ascii   ?*;U
163  0x00002a2b 0x0001462b 4   5    .data   ascii   w?6r
164  0x00002a7e 0x0001467e 5   7    .data   utf8    2>\!ĳ blocks=Basic Latin,Latin Extended-A
165  0x00002ab0 0x000146b0 4   5    .data   ascii   >1E6
166  0x00002b1a 0x0001471a 5   7    .data   utf8    gy%7\n
167  0x00002b22 0x00014722 4   5    .data   ascii   mR/\e
168  0x00002b3a 0x0001473a 9   12   .data   utf8    ݫE[9b[N<  blocks=Arabic Supplement,Basic Latin
169  0x00002b5a 0x0001475a 7   9    .data   utf8    ̂O#GEOn blocks=Combining Diacritical Marks,Basic Latin
170  0x00002b7b 0x0001477b 4   5    .data   ascii   c\r,0
171  0x00002bca 0x000147ca 5   6    .data   ascii   w>@H5
172  0x00002bd7 0x000147d7 4   6    .data   utf8    H)wƣ blocks=Basic Latin,Latin Extended-B
173  0x00002c0f 0x0001480f 4   5    .data   ascii   r\f\td
174  0x00002c2a 0x0001482a 4   5    .data   ascii   Q\fa-
175  0x00002c67 0x00014867 4   5    .data   ascii   zmW\e
176  0x00002c86 0x00014886 4   6    .data   utf8    z}ښb blocks=Basic Latin,Arabic
177  0x00002c9f 0x0001489f 4   5    .data   ascii   _jn|
178  0x00002cbc 0x000148bc 6   8    .data   utf8    WҨI'[p blocks=Basic Latin,Cyrillic
179  0x00002cd7 0x000148d7 5   6    .data   ascii   !#n*L
180  0x00002ce8 0x000148e8 4   5    .data   ascii   _$9V
181  0x00002d30 0x00014930 6   7    .data   ascii   h*&+}R
182  0x00002d3e 0x0001493e 4   5    .data   ascii   v?fi
183  0x00002d47 0x00014947 4   5    .data   ascii   UM'W
184  0x00002d57 0x00014957 5   7    .data   utf8    ,w75э blocks=Basic Latin,Cyrillic
185  0x00002de1 0x000149e1 4   5    .data   ascii   q?n=
186  0x00002e77 0x00014a77 5   8    .data   utf8    DqiSW
187  0x00002e8d 0x00014a8d 6   7    .data   ascii   'KiEv-
188  0x00002eaa 0x00014aaa 6   7    .data   ascii   -.)1Pj
189  0x00002ef7 0x00014af7 4   5    .data   ascii   _U4C
190  0x00002f48 0x00014b48 4   5    .data   ascii   \>tc
191  0x00002f6f 0x00014b6f 4   5    .data   ascii   > 'C
192  0x00002f78 0x00014b78 4   5    .data   ascii   +t~e
193  0x00002f7d 0x00014b7d 4   5    .data   ascii   +kY!
194  0x00002faa 0x00014baa 4   7    .data   utf8    rk*뻶 blocks=Basic Latin,Hangul Syllables
195  0x00002fce 0x00014bce 6   7    .data   ascii   Q.;\t 1
196  0x00002ff1 0x00014bf1 5   6    .data   ascii   t*48=
197  0x00003018 0x00014c18 4   5    .data   ascii   `W#\b
