[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000a0 0x000000a0 5   7            utf8    Jq#˸\a blocks=Basic Latin,Spacing Modifier Letters
2    0x000000e0 0x000000e0 6   7            ascii   Rich%\a
3    0x000001f8 0x000001f8 5   6            ascii   .text
4    0x0000021f 0x0000021f 7   8            ascii   `.rdata
5    0x00000247 0x00000247 6   7            ascii   @.data
6    0x00000270 0x00000270 5   6            ascii   .rsrc
7    0x00000297 0x00000297 7   8            ascii   @.reloc
8    0x000010ba 0x00401cba 4   5    .text   ascii   h\bBB
9    0x000011a4 0x00401da4 4   5    .text   ascii   E\bVP
10   0x000012c3 0x00401ec3 4   5    .text   ascii   (SVW
11   0x000012d9 0x00401ed9 5   7    .text   utf8    }\b3ۉ] blocks=Basic Latin,Arabic
12   0x00001360 0x00401f60 4   5    .text   ascii   Y_^[
13   0x000013b9 0x00401fb9 4   7    .text   utf8    RPQ诔 blocks=Basic Latin,CJK Unified Ideographs
14   0x0000148f 0x0040208f 4   6    .text   utf8    \b;KE
15   0x00001555 0x00402155 4   5    .text   ascii   ]\bVW
16   0x000015f7 0x004021f7 4   5    .text   ascii   E\bSV
17   0x00001626 0x00402226 4   5    .text   ascii   U\bVR
18   0x00001640 0x00402240 6   7    .text   ascii   f9E\bu\e
19   0x000016b3 0x004022b3 4   5    .text   ascii   <SVW
20   0x000016c9 0x004022c9 5   7    .text   utf8    }\b3ۉ] blocks=Basic Latin,Arabic
21   0x00001772 0x00402372 4   5    .text   ascii   Y_^[
22   0x00001789 0x00402389 4   7    .text   utf8    \bQP襍 blocks=Basic Latin,CJK Unified Ideographs
23   0x00001953 0x00402553 4   5    .text   ascii   ,SVW
24   0x00001969 0x00402569 5   7    .text   utf8    }\b3ۉ] blocks=Basic Latin,Arabic
25   0x00001976 0x00402576 4   5    .text   ascii   uXj 
26   0x000019df 0x004025df 4   5    .text   ascii   Y_^[
27   0x00001a2e 0x0040262e 5   6    .text   ascii   M\fPQR
28   0x00001d6a 0x0040296a 5   6    .text   ascii   VWt\tj
29   0x00001d95 0x00402995 5   6    .text   ascii   E\b0!B
30   0x00001da0 0x004029a0 4   5    .text   ascii   hdBB
31   0x00001dce 0x004029ce 5   6    .text   ascii   E\bH!B
32   0x00001dd9 0x004029d9 4   5    .text   ascii   hdBB
33   0x00001e03 0x00402a03 5   6    .text   ascii   E\b`!B
34   0x00001e0e 0x00402a0e 4   5    .text   ascii   hdBB
35   0x00001e75 0x00402a75 4   5    .text   ascii   \bSW3
36   0x00001ee3 0x00402ae3 4   5    .text   ascii   ^0_[
37   0x00001ee9 0x00402ae9 6   8    .text   utf8    ]É~0_[ blocks=Basic Latin,Latin-1 Supplement
38   0x0000206e 0x00402c6e 4   5    .text   ascii   \r(zB
39   0x000020a2 0x00402ca2 4   5    .text   ascii   hx!B
40   0x000020bc 0x00402cbc 4   5    .text   ascii   h("B
41   0x000020c9 0x00402cc9 4   5    .text   ascii   hp"B
42   0x000020f0 0x00402cf0 4   5    .text   ascii   hH#B
43   0x00002117 0x00402d17 4   5    .text   ascii   h0$B
44   0x00002124 0x00402d24 4   5    .text   ascii   hp$B
45   0x0000214c 0x00402d4c 6   7    .text   ascii   D$, +B
46   0x00002154 0x00402d54 6   7    .text   ascii   D$<p*B
47   0x00002167 0x00402d67 4   5    .text   ascii   T$DR
48   0x000021f5 0x00402df5 4   5    .text   ascii   9y8u
49   0x000022bc 0x00402ebc 4   5    .text   ascii   B(j\n
