[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0040300c NONE FUNC KERNEL32.dll GetLastError
2   0x00403010 NONE FUNC KERNEL32.dll ExitProcess
1   0x00403018 NONE FUNC USER32.dll   DispatchMessageA
2   0x0040301c NONE FUNC USER32.dll   EndPaint
3   0x00403020 NONE FUNC USER32.dll   DefWindowProcA
4   0x00403024 NONE FUNC USER32.dll   GetMessageA
5   0x00403028 NONE FUNC USER32.dll   MessageBoxA
6   0x0040302c NONE FUNC USER32.dll   RegisterClassExA
7   0x00403030 NONE FUNC USER32.dll   TranslateMessage
8   0x00403034 NONE FUNC USER32.dll   CreateWindowExA
9   0x00403038 NONE FUNC USER32.dll   BeginPaint
10  0x0040303c NONE FUNC USER32.dll   EnumWindows
1   0x00403000 NONE FUNC GDI32.dll    GetStockObject
2   0x00403004 NONE FUNC GDI32.dll    TextOutA


