[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x00406000 NONE FUNC msvcrt.dll   fread
2   0x00406004 NONE FUNC msvcrt.dll   fopen
1   0x0040600c NONE FUNC oleaut32.dll RegisterTypeLibForUser
2   0x00406010 NONE FUNC oleaut32.dll RevokeActiveObject
3   0x00406014 NONE FUNC oleaut32.dll SafeArrayAccessData
4   0x00406018 NONE FUNC oleaut32.dll SafeArrayAllocData
5   0x0040601c NONE FUNC oleaut32.dll SafeArrayAllocDescriptor
6   0x00406020 NONE FUNC oleaut32.dll SafeArrayAllocDescriptorEx
7   0x00406024 NONE FUNC oleaut32.dll SafeArrayCopy
8   0x00406028 NONE FUNC oleaut32.dll SafeArrayCopyData
9   0x0040602c NONE FUNC oleaut32.dll SafeArrayCreate
10  0x00406030 NONE FUNC oleaut32.dll SafeArrayCreateEx
11  0x00406034 NONE FUNC oleaut32.dll SafeArrayCreateVector
12  0x00406038 NONE FUNC oleaut32.dll SafeArrayCreateVectorEx
13  0x0040603c NONE FUNC oleaut32.dll SafeArrayDestroy
14  0x00406040 NONE FUNC oleaut32.dll SafeArrayDestroyData
15  0x00406044 NONE FUNC oleaut32.dll SafeArrayDestroyDescriptor
16  0x00406048 NONE FUNC oleaut32.dll SafeArrayGetDim
17  0x0040604c NONE FUNC oleaut32.dll SafeArrayGetElement
18  0x00406050 NONE FUNC oleaut32.dll SafeArrayGetElemsize
19  0x00406054 NONE FUNC oleaut32.dll SafeArrayGetIID
20  0x00406058 NONE FUNC oleaut32.dll SafeArrayGetLBound
21  0x0040605c NONE FUNC oleaut32.dll SafeArrayGetRecordInfo
22  0x00406060 NONE FUNC oleaut32.dll SafeArrayGetUBound
23  0x00406064 NONE FUNC oleaut32.dll SafeArrayGetVartype
24  0x00406068 NONE FUNC oleaut32.dll SafeArrayLock
25  0x0040606c NONE FUNC oleaut32.dll SafeArrayPtrOfIndex
26  0x00406070 NONE FUNC oleaut32.dll SafeArrayPutElement
27  0x00406074 NONE FUNC oleaut32.dll SafeArrayRedim
28  0x00406078 NONE FUNC oleaut32.dll SafeArraySetIID
29  0x0040607c NONE FUNC oleaut32.dll SafeArraySetRecordInfo
30  0x00406080 NONE FUNC oleaut32.dll SafeArrayUnaccessData
1   0x00406088 NONE FUNC kernel32.dll GetSystemTime
2   0x0040608c NONE FUNC kernel32.dll GetACP
3   0x00406090 NONE FUNC kernel32.dll GetSystemDirectoryA
4   0x00406094 NONE FUNC kernel32.dll GetVersionExA
5   0x00406098 NONE FUNC kernel32.dll PeekConsoleInputW
6   0x0040609c NONE FUNC kernel32.dll EnumCalendarInfoA
7   0x004060a0 NONE FUNC kernel32.dll CallNamedPipeW
8   0x004060a4 NONE FUNC kernel32.dll _lread
9   0x004060a8 NONE FUNC kernel32.dll _lopen
1   0x004060b0 NONE FUNC ole32.dll    CoRegisterInitializeSpy
2   0x004060b4 NONE FUNC ole32.dll    CoRegisterMallocSpy
3   0x004060b8 NONE FUNC ole32.dll    CoRegisterMessageFilter
4   0x004060bc NONE FUNC ole32.dll    CoRegisterPSClsid
5   0x004060c0 NONE FUNC ole32.dll    CoRegisterSurrogate
6   0x004060c4 NONE FUNC ole32.dll    CoRegisterSurrogateEx
7   0x004060c8 NONE FUNC ole32.dll    CoReleaseMarshalData
8   0x004060cc NONE FUNC ole32.dll    CoReleaseServerProcess
9   0x004060d0 NONE FUNC ole32.dll    CoResumeClassObjects
1   0x004060d8 NONE FUNC rasman.dll   RasRpcGetSystemDirectory
2   0x004060dc NONE FUNC rasman.dll   RasRpcGetUserPreferences
3   0x004060e0 NONE FUNC rasman.dll   RasRpcGetVersion
4   0x004060e4 NONE FUNC rasman.dll   RasRpcPortEnum
5   0x004060e8 NONE FUNC rasman.dll   RasRpcPortGetInfo
6   0x004060ec NONE FUNC rasman.dll   RasRpcRemoteRasDeleteEntry
7   0x004060f0 NONE FUNC rasman.dll   RasRpcRemoteSetUserPreferences
8   0x004060f4 NONE FUNC rasman.dll   RasRpcSetUserPreferences
9   0x004060f8 NONE FUNC rasman.dll   RasRpcUnloadDll
10  0x004060fc NONE FUNC rasman.dll   RasSecurityDialogGetInfo
1   0x004060d8 NONE FUNC rasman.dll   RasRpcGetSystemDirectory
2   0x004060dc NONE FUNC rasman.dll   RasRpcGetUserPreferences
3   0x004060e0 NONE FUNC rasman.dll   RasRpcGetVersion
4   0x004060e4 NONE FUNC rasman.dll   RasRpcPortEnum
5   0x004060e8 NONE FUNC rasman.dll   RasRpcPortGetInfo
6   0x004060ec NONE FUNC rasman.dll   RasRpcRemoteRasDeleteEntry
7   0x004060f0 NONE FUNC rasman.dll   RasRpcRemoteSetUserPreferences
8   0x004060f4 NONE FUNC rasman.dll   RasRpcSetUserPreferences
9   0x004060f8 NONE FUNC rasman.dll   RasRpcUnloadDll
10  0x004060fc NONE FUNC rasman.dll   RasSecurityDialogGetInfo


