[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x0000008d 0x0000008d 5   6            ascii   \a^H^H
2    0x000000a3 0x000000a3 5   6            ascii   Hp\a^H
3    0x000000ad 0x000000ad 5   6            ascii   \a^H \b
4    0x000000b5 0x000000b5 5   6            ascii   \a^H \b
5    0x000000c1 0x000000c1 7   8            ascii   \a_HM\a^H
6    0x000000dd 0x000000dd 7   8            ascii   \a^HRich
7    0x000001f8 0x000001f8 5   6            ascii   .text
8    0x0000021f 0x0000021f 7   8            ascii   `.rdata
9    0x00000247 0x00000247 6   7            ascii   @.data
10   0x00000270 0x00000270 5   6            ascii   .rsrc
11   0x0000040a 0x0040100a 5   6    .text   ascii   9]\brj
12   0x00000440 0x00401040 4   5    .text   ascii   )]\bA
13   0x000004f8 0x004010f8 5   6    .text   ascii   <\ru\a3
14   0x0000058d 0x0040118d 4   5    .text   ascii   t\t9M
15   0x000005d9 0x004011d9 4   5    .text   ascii   =Yt+
16   0x0000065d 0x0040125d 5   6    .text   ascii   @XvT2
17   0x0000069d 0x0040129d 5   6    .text   ascii   HSVWj
18   0x000008eb 0x004014eb 4   5    .text   ascii   QZ^&
19   0x00000aed 0x004016ed 4   7    .text   utf8    M͌1p blocks=Basic Latin,Combining Diacritical Marks
20   0x00000baa 0x004017aa 4   5    .text   ascii   \aD")
21   0x00000c30 0x00401830 4   7    .text   utf8    }ʹ7} blocks=Basic Latin,Greek and Coptic
22   0x00000d05 0x00401905 4   6    .text   utf8    E܉YL blocks=Basic Latin,Syriac
23   0x00000d38 0x00401938 4   5    .text   ascii   NDSW
24   0x00000d56 0x00401956 4   5    .text   ascii   FHj@
25   0x00000d60 0x00401960 4   5    .text   ascii   NH[+
26   0x00000de1 0x004019e1 5   6    .text   ascii   ~Dj\bZ
27   0x00000dff 0x004019ff 4   5    .text   ascii   jxX+
28   0x00000e11 0x00401a11 4   5    .text   ascii   Pj\bX
29   0x00000e84 0x00401a84 5   6    .text   ascii   D>\Ph
30   0x00000feb 0x00401beb 4   5    .text   ascii   9U\br
31   0x00000ffc 0x00401bfc 4   5    .text   ascii   ;M\bv
32   0x00001041 0x00401c41 4   5    .text   ascii   ;E\fs
33   0x0000106e 0x00401c6e 5   6    .text   ascii   ]\fPS+
34   0x0000109b 0x00401c9b 5   6    .text   ascii   E\fSVW
35   0x0000122f 0x00401e2f 4   5    .text   ascii   E\b@j
36   0x000012ce 0x00401ece 4   5    .text   ascii   u\fWj
37   0x000013e8 0x00401fe8 5   6    .text   ascii   u\fWQP
38   0x00001549 0x00402149 4   6    .text   utf8    i9y7
39   0x000015ba 0x004021ba 4   6    .text   utf8    3؋E\b blocks=Basic Latin,Arabic
40   0x000015fa 0x004021fa 7   8    .text   ascii   E\bSVWj!
41   0x00001628 0x00402228 5   6    .text   ascii   |\tj\bY
42   0x000016f3 0x004022f3 4   5    .text   ascii   \u\a3
43   0x0000171b 0x0040231b 5   6    .text   ascii   Y9}\bt
44   0x00001746 0x00402346 4   5    .text   ascii   9}\bt
45   0x00001875 0x00402475 7   8    .text   ascii   PSVhW+@
46   0x000018ce 0x004024ce 4   5    .text   ascii   L$(3
47   0x000018de 0x004024de 5   6    .text   ascii   A@;D$
48   0x00001933 0x00402533 5   7    .text   utf8    NpPƄ$ blocks=Basic Latin,Latin Extended-B
49   0x00001975 0x00402575 6   7    .text   ascii   D$ 9^h
50   0x0000198d 0x0040258d 5   7    .text   utf8    L$XǄ$ blocks=Basic Latin,Latin Extended-B
51   0x000019a4 0x004025a4 4   5    .text   ascii   D$xP
52   0x000019b5 0x004025b5 4   6    .text   utf8    NTƄ$ blocks=Basic Latin,Latin Extended-B
53   0x000019d3 0x004025d3 4   5    .text   ascii   L$(P
54   0x00001a4d 0x0040264d 5   7    .text   utf8    ̉d$4P blocks=Combining Diacritical Marks,Basic Latin
55   0x00001a6f 0x0040266f 4   5    .text   ascii   PSVh
56   0x00001a87 0x00402687 5   7    .text   utf8    ̉d$4P blocks=Combining Diacritical Marks,Basic Latin
57   0x00001aa9 0x004026a9 7   8    .text   ascii   PSVh\,@
58   0x00001ac1 0x004026c1 5   7    .text   utf8    ̉d$4P blocks=Combining Diacritical Marks,Basic Latin
59   0x00001ae3 0x004026e3 7   8    .text   ascii   PSVhc-@
60   0x00001afb 0x004026fb 5   7    .text   utf8    ̉d$4P blocks=Combining Diacritical Marks,Basic Latin
61   0x00001b1d 0x0040271d 4   5    .text   ascii   PSVh
62   0x00001b35 0x00402735 5   7    .text   utf8    ̉d$4P blocks=Combining Diacritical Marks,Basic Latin
63   0x00001b57 0x00402757 4   5    .text   ascii   PSVh
64   0x00001b6f 0x0040276f 5   7    .text   utf8    ̉d$4P blocks=Combining Diacritical Marks,Basic Latin
65   0x00001b91 0x00402791 7   8    .text   ascii   PSVh$2@
66   0x00001ba6 0x004027a6 5   7    .text   utf8    ̉d$4P blocks=Combining Diacritical Marks,Basic Latin
67   0x00001bc8 0x004027c8 4   5    .text   ascii   PSVh
68   0x00001bdd 0x004027dd 5   7    .text   utf8    ̉d$4P blocks=Combining Diacritical Marks,Basic Latin
69   0x00001bf7 0x004027f7 4   6    .text   utf8    :ÍD$ blocks=Basic Latin,Latin-1 Supplement
70   0x00001bfd 0x004027fd 6   7    .text   ascii   PSVt\ah
71   0x00001c09 0x00402809 4   5    .text   ascii   h%-@
72   0x00001c4c 0x0040284c 4   5    .text   ascii   Y_^[
73   0x00001d5a 0x0040295a 4   5    .text   ascii   YSVP
74   0x00001e7f 0x00402a7f 5   7    .text   utf8    EԍN8P blocks=Basic Latin,Cyrillic Supplement
75   0x00001f83 0x00402b83 4   6    .text   utf8    ̉e\bP blocks=Combining Diacritical Marks,Basic Latin
76   0x00001ff1 0x00402bf1 4   5    .text   ascii   SVW3
77   0x00002004 0x00402c04 4   5    .text   ascii   u\bY9
78   0x0000203d 0x00402c3d 5   6    .text   ascii   WhpcC
79   0x00002055 0x00402c55 4   5    .text   ascii   _^[]
80   0x0000205f 0x00402c5f 4   5    .text   ascii   SVW3
81   0x00002072 0x00402c72 4   5    .text   ascii   }\bY9
82   0x00002108 0x00402d08 5   6    .text   ascii   VhpcC
83   0x0000211e 0x00402d1e 4   5    .text   ascii   _^[]
84   0x00002137 0x00402d37 4   5    .text   ascii   }\bYY
85   0x00002169 0x00402d69 4   5    .text   ascii   SVW3
86   0x00002380 0x00402f80 4   6    .text   utf8    u\bƃE blocks=Basic Latin,Latin Extended-B
87   0x000023a4 0x00402fa4 5   6    .text   ascii   ShpcC
88   0x00002489 0x00403089 6   7    .text   ascii   Ht\vHHt
89   0x0000249f 0x0040309f 11  12   .text   ascii   C@Ht4Ht*HHt
90   0x000024b2 0x004030b2 5   6    .text   ascii   \bt\ah|
91   0x000024e3 0x004030e3 5   6    .text   ascii   9sXtL
92   0x00002591 0x00403191 4   5    .text   ascii   SVW3
93   0x000025ec 0x004031ec 4   5    .text   ascii   hPdC
94   0x000025fe 0x004031fe 4   5    .text   ascii   hldC
95   0x00002607 0x00403207 5   6    .text   ascii   ShpcC
96   0x0000261d 0x0040321d 4   5    .text   ascii   _^[]
97   0x0000263f 0x0040323f 5   6    .text   ascii   }\bYY9
98   0x000026bf 0x004032bf 5   6    .text   ascii   VhpcC
99   0x000026e0 0x004032e0 4   5    .text   ascii   SVW3
100  0x000026f3 0x004032f3 4   5    .text   ascii   }\bY9
101  0x00002700 0x00403300 5   6    .text   ascii   VhpcC
102  0x00002776 0x00403376 4   5    .text   ascii   _^[]
103  0x000027fa 0x004033fa 4   5    .text   ascii   j\n^3
104  0x00002848 0x00403448 4   5    .text   ascii   G\bSP
105  0x0000288c 0x0040348c 5   8    .text   utf8    3\vM\vU
106  0x000028a8 0x004034a8 4   7    .text   utf8    U؋E̋ blocks=Basic Latin,Arabic,Combining Diacritical Marks
107  0x00002914 0x00403514 4   5    .text   ascii   FY;u
108  0x00002955 0x00403555 4   5    .text   ascii   w\e9F
109  0x000029b4 0x004035b4 4   5    .text   ascii   D$\bd
110  0x000029c7 0x004035c7 4   5    .text   ascii   \rXPC
111  0x000029e8 0x004035e8 4   5    .text   ascii   L$\bd
112  0x000029fc 0x004035fc 4   5    .text   ascii   ]\fVW
113  0x00002a8b 0x0040368b 4   5    .text   ascii   _^[]
114  0x00002abd 0x004036bd 5   7    .text   utf8    EȋE\f3 blocks=Basic Latin,Latin Extended-B
115  0x00002b1b 0x0040371b 4   7    .text   utf8    ЋEăx blocks=Cyrillic,Basic Latin,Latin Extended-A
116  0x00002b39 0x00403739 5   8    .text   utf8    t̋UЃ} blocks=Basic Latin,Combining Diacritical Marks,Cyrillic
117  0x00002b52 0x00403752 5   8    .text   utf8    ŰEċ@ blocks=Basic Latin,Combining Diacritical Marks,Latin Extended-A
118  0x00002e63 0x00403a63 5   6    .text   ascii   u\rF;u
119  0x00002f33 0x00403b33 4   5    .text   ascii   ;M\bs
120  0x00002f82 0x00403b82 5   6    .text   ascii   ;}\ftm
121  0x00002fa7 0x00403ba7 4   5    .text   ascii   U\bS+
122  0x00003078 0x00403c78 4   5    .text   ascii   M\bQP
123  0x000030cf 0x00403ccf 4   6    .text   utf8    ]ËM\b blocks=Basic Latin,Latin-1 Supplement
124  0x000030e8 0x00403ce8 4   5    .text   ascii   E\f+E
125  0x00003141 0x00403d41 4   5    .text   ascii   M\bSV
126  0x000032f5 0x00403ef5 4   5    .text   ascii   E\bY[
127  0x0000331f 0x00403f1f 4   5    .text   ascii   E\bYY
128  0x00003377 0x00403f77 4   5    .text   ascii   Wj\bP
129  0x00003414 0x00404014 4   5    .text   ascii   vc9]
130  0x000034f3 0x004040f3 4   5    .text   ascii   ;E\bs
131  0x00003500 0x00404100 4   5    .text   ascii   +E\b;
132  0x00003615 0x00404215 6   10   .text   utf8    MԉEȉuċ blocks=Basic Latin,Cyrillic Supplement,Latin Extended-B,Latin Extended-A
133  0x0000364d 0x0040424d 4   5    .text   ascii   9]\ft
134  0x000036cb 0x004042cb 4   5    .text   ascii   9]\ft
135  0x00003728 0x00404328 5   6    .text   ascii   \bt\vSj
136  0x00003736 0x00404336 4   5    .text   ascii   9]\ft
137  0x00003762 0x00404362 5   8    .text   utf8    }̋MċA blocks=Basic Latin,Combining Diacritical Marks,Latin Extended-A
138  0x000037b0 0x004043b0 5   7    .text   utf8    _^[Ã' blocks=Basic Latin,Latin-1 Supplement
139  0x00003ee4 0x00404ae4 4   7    .text   utf8    3ҍ}ԍ blocks=Basic Latin,Cyrillic,Cyrillic Supplement
140  0x00004022 0x00404c22 4   6    .text   utf8    ȋU\fS blocks=Latin Extended-B,Basic Latin
141  0x0000405f 0x00404c5f 4   5    .text   ascii   M SV
142  0x0000408f 0x00404c8f 4   5    .text   ascii   7FY;
143  0x00004097 0x00404c97 5   6    .text   ascii   E\b_^[
144  0x000040dd 0x00404cdd 4   5    .text   ascii   h}'A
145  0x000041b7 0x00404db7 4   5    .text   ascii   9U\br
146  0x000041c8 0x00404dc8 5   6    .text   ascii   H;E\bv
147  0x0000420b 0x00404e0b 4   5    .text   ascii   ;E\bs
148  0x0000426b 0x00404e6b 5   7    .text   utf8    ؋E\bVW blocks=Arabic,Basic Latin
149  0x00004285 0x00404e85 4   5    .text   ascii   9}\fs
150  0x000042d2 0x00404ed2 4   5    .text   ascii   SRQP
151  0x0000439e 0x00404f9e 4   7    .text   utf8    E츦O@ blocks=Basic Latin,Hangul Syllables
152  0x0000442a 0x0040502a 4   6    .text   utf8    u\t3ɋ blocks=Basic Latin,Latin Extended-B
153  0x000044fa 0x004050fa 6   8    .text   utf8    G(^3ɉp blocks=Basic Latin,Latin Extended-B
154  0x00004508 0x00405108 5   7    .text   utf8    GD3ɉp blocks=Basic Latin,Latin Extended-B
155  0x00004515 0x00405115 5   7    .text   utf8    G`3ɉp blocks=Basic Latin,Latin Extended-B
156  0x000045fb 0x004051fb 4   5    .text   ascii   yG;}
157  0x0000465b 0x0040525b 4   5    .text   ascii   PSSS
158  0x0000479a 0x0040539a 4   5    .text   ascii   RSSP
159  0x000047a5 0x004053a5 4   5    .text   ascii   }9hL
