[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000a1 0x000000a1 5   7            utf8    U݈p\a^ blocks=Basic Latin,Syriac
2    0x000000e0 0x000000e0 4   5            ascii   Rich
3    0x000001f0 0x000001f0 5   6            ascii   .text
4    0x00000217 0x00000217 7   8            ascii   `.rdata
5    0x0000023f 0x0000023f 6   7            ascii   @.data
6    0x00000268 0x00000268 5   6            ascii   .rsrc
7    0x0000040a 0x0040100a 5   6    .text   ascii   9]\brj
8    0x00000440 0x00401040 4   5    .text   ascii   )]\bA
9    0x000004f8 0x004010f8 5   6    .text   ascii   <\ru\a3
10   0x0000058d 0x0040118d 4   5    .text   ascii   t\t9M
11   0x000005d9 0x004011d9 4   5    .text   ascii   =Yt+
12   0x0000065d 0x0040125d 5   6    .text   ascii   @XvT2
13   0x0000069d 0x0040129d 5   6    .text   ascii   HSVWj
14   0x000008eb 0x004014eb 4   5    .text   ascii   QZ^&
15   0x00000aed 0x004016ed 4   7    .text   utf8    M͌1p blocks=Basic Latin,Combining Diacritical Marks
16   0x00000baa 0x004017aa 4   5    .text   ascii   \aD")
17   0x00000c30 0x00401830 4   7    .text   utf8    }ʹ7} blocks=Basic Latin,Greek and Coptic
18   0x00000d05 0x00401905 4   6    .text   utf8    E܉YL blocks=Basic Latin,Syriac
19   0x00000d38 0x00401938 4   5    .text   ascii   NDSW
20   0x00000d56 0x00401956 4   5    .text   ascii   FHj@
21   0x00000d60 0x00401960 4   5    .text   ascii   NH[+
22   0x00000de1 0x004019e1 5   6    .text   ascii   ~Dj\bZ
23   0x00000dff 0x004019ff 4   5    .text   ascii   jxX+
24   0x00000e11 0x00401a11 4   5    .text   ascii   Pj\bX
25   0x00000e84 0x00401a84 6   7    .text   ascii   D>\Ph|
26   0x00000feb 0x00401beb 4   5    .text   ascii   9U\br
27   0x00000ffc 0x00401bfc 4   5    .text   ascii   ;M\bv
28   0x00001041 0x00401c41 4   5    .text   ascii   ;E\fs
29   0x0000106e 0x00401c6e 5   6    .text   ascii   ]\fPS+
30   0x0000109b 0x00401c9b 5   6    .text   ascii   E\fSVW
31   0x0000122f 0x00401e2f 4   5    .text   ascii   E\b@j
32   0x000012ce 0x00401ece 4   5    .text   ascii   u\fWj
33   0x000013e8 0x00401fe8 5   6    .text   ascii   u\fWQP
34   0x00001549 0x00402149 4   6    .text   utf8    i9y7
35   0x000015ba 0x004021ba 4   6    .text   utf8    3؋E\b blocks=Basic Latin,Arabic
36   0x000015fa 0x004021fa 7   8    .text   ascii   E\bSVWj!
37   0x00001628 0x00402228 5   6    .text   ascii   |\tj\bY
38   0x000016f3 0x004022f3 4   5    .text   ascii   \u\a3
39   0x0000171b 0x0040231b 5   6    .text   ascii   Y9}\bt
40   0x00001746 0x00402346 4   5    .text   ascii   9}\bt
41   0x00001875 0x00402475 7   8    .text   ascii   PSVhJ+@
