[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000df 0x000000df 5   8            utf8    Yx״Xâ blocks=Basic Latin,Hebrew,Latin-1 Supplement
2    0x000000ef 0x000000ef 5   8            utf8    Y¢#Yâ blocks=Basic Latin,Latin-1 Supplement
3    0x000000ff 0x000000ff 6   8            utf8    YRich¢ blocks=Basic Latin,Latin-1 Supplement
4    0x00000210 0x00000210 5   6            ascii   .text
5    0x00000237 0x00000237 7   8            ascii   `.rdata
6    0x0000025f 0x0000025f 6   7            ascii   @.data
7    0x00000288 0x00000288 5   6            ascii   .rsrc
8    0x000002af 0x000002af 7   8            ascii   @.reloc
9    0x0000052f 0x1000112f 4   6    .text   utf8    Y_^ù blocks=Basic Latin,Latin-1 Supplement
10   0x0000080c 0x1000140c 5   6    .text   ascii   t\vj\fV
11   0x000009f4 0x100015f4 5   6    .text   ascii   ;E\fu\a
12   0x00000b21 0x10001721 4   6    .text   utf8    uԋC\b blocks=Basic Latin,Cyrillic Supplement
13   0x00000b4d 0x1000174d 4   6    .text   utf8    Eк:  blocks=Basic Latin,Cyrillic
14   0x00000bbc 0x100017bc 4   6    .text   utf8    CE\r4
15   0x00000c99 0x10001899 4   5    .text   ascii   wHRQ
16   0x00000e5a 0x10001a5a 5   6    .text   ascii   t\vj\bV
17   0x00001188 0x10001d88 7   8    .text   ascii   u\b;q\fs\f
18   0x000011a8 0x10001da8 5   6    .text   ascii   ;p\fs\v
19   0x000013ec 0x10001fec 4   5    .text   ascii   w&RQ
20   0x0000140a 0x1000200a 4   5    .text   ascii   Y_^[
21   0x0000147e 0x1000207e 5   6    .text   ascii   L$\fPV
22   0x0000150e 0x1000210e 4   5    .text   ascii   SVWP
23   0x00001641 0x10002241 5   8    .text   utf8    t)+ًC blocks=Basic Latin,Arabic
24   0x00001660 0x10002260 4   5    .text   ascii   w(SQ
25   0x0000166b 0x1000226b 4   6    .text   utf8    \b3\vM
26   0x00001678 0x10002278 4   5    .text   ascii   Y_^[
27   0x00001695 0x10002295 4   5    .text   ascii   $SVW
28   0x000016a5 0x100022a5 4   7    .text   utf8    ڋȺKY blocks=Arabic,Latin Extended-B,Basic Latin
29   0x00001733 0x10002333 4   5    .text   ascii   (SVW
30   0x00001755 0x10002355 5   8    .text   utf8    }܉uԋB blocks=Basic Latin,Syriac,Cyrillic Supplement
31   0x000018b8 0x100024b8 4   5    .text   ascii   Y_^[
32   0x000018e3 0x100024e3 4   5    .text   ascii   (SVW
33   0x00001905 0x10002505 5   8    .text   utf8    }܉uԋB blocks=Basic Latin,Syriac,Cyrillic Supplement
34   0x00001a69 0x10002669 4   5    .text   ascii   Y_^[
35   0x00001a8a 0x1000268a 4   6    .text   utf8    N\b+ȃ blocks=Basic Latin,Latin Extended-B
36   0x00001b5e 0x1000275e 5   7    .text   utf8    3ĉD$H blocks=Basic Latin,Latin Extended-A
37   0x00001b6f 0x1000276f 5   6    .text   ascii   WPh(l
38   0x00001b86 0x10002786 4   5    .text   ascii   D$$P
39   0x00001b92 0x10002792 4   5    .text   ascii   u\fSW
40   0x00001ba7 0x100027a7 4   5    .text   ascii   _^[3
41   0x00001beb 0x100027eb 7   10   .text   utf8    M\vE\b3ҋu blocks=Basic Latin,Cyrillic
42   0x00001da3 0x100029a3 4   5    .text   ascii   w)RQ
43   0x00001e0b 0x10002a0b 7   10   .text   utf8    M\vE\b3ҋu blocks=Basic Latin,Cyrillic
44   0x00001fc3 0x10002bc3 4   5    .text   ascii   w)RQ
45   0x0000200e 0x10002c0e 5   7    .text   utf8    3ĉD$X blocks=Basic Latin,Latin Extended-A
46   0x00002016 0x10002c16 5   6    .text   ascii   D$\rSV
47   0x00002027 0x10002c27 4   5    .text   ascii   D$\f+
48   0x000020a4 0x10002ca4 4   5    .text   ascii   D$ P
49   0x000020a9 0x10002ca9 6   7    .text   ascii   D$,j@P
50   0x000020b9 0x10002cb9 4   5    .text   ascii   D$$P
51   0x000020c5 0x10002cc5 4   5    .text   ascii   u\fWS
52   0x000020da 0x10002cda 4   5    .text   ascii   _^[3
53   0x000020fe 0x10002cfe 5   7    .text   utf8    3ĉD$X blocks=Basic Latin,Latin Extended-A
54   0x00002106 0x10002d06 5   6    .text   ascii   D$\rSV
55   0x00002117 0x10002d17 4   5    .text   ascii   D$\f+
56   0x00002194 0x10002d94 4   5    .text   ascii   D$ P
57   0x00002199 0x10002d99 6   7    .text   ascii   D$,j@P
58   0x000021a9 0x10002da9 4   5    .text   ascii   D$$P
59   0x000021b5 0x10002db5 4   5    .text   ascii   u\fWS
60   0x000021ca 0x10002dca 4   5    .text   ascii   _^[3
61   0x000021ee 0x10002dee 5   7    .text   utf8    3ĉD$X blocks=Basic Latin,Latin Extended-A
62   0x000021f6 0x10002df6 5   6    .text   ascii   D$\rSV
63   0x00002207 0x10002e07 4   5    .text   ascii   D$\f+
64   0x00002280 0x10002e80 6   7    .text   ascii   D$(j@P
65   0x0000228d 0x10002e8d 4   5    .text   ascii   D$4P
66   0x00002299 0x10002e99 4   5    .text   ascii   u\fWS
67   0x000022ae 0x10002eae 4   5    .text   ascii   _^[3
68   0x000022ce 0x10002ece 5   7    .text   utf8    3ĉD$X blocks=Basic Latin,Latin Extended-A
69   0x000022d6 0x10002ed6 5   6    .text   ascii   D$\rSV
70   0x000022e7 0x10002ee7 4   5    .text   ascii   D$\f+
71   0x00002360 0x10002f60 6   7    .text   ascii   D$(j@P
72   0x0000236d 0x10002f6d 4   5    .text   ascii   D$4P
73   0x00002379 0x10002f79 4   5    .text   ascii   u\fWS
