[Strings]
nth  paddr      vaddr      len  size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000ce 0x000000ce 6    7            ascii   {5Rich
2    0x000001d8 0x000001d8 5    6            ascii   .text
3    0x000001ff 0x000001ff 7    8            ascii   `.rdata
4    0x00000227 0x00000227 6    7            ascii   @.data
5    0x00000250 0x00000250 4    5            ascii   .CRT
6    0x00000277 0x00000277 6    7            ascii   @.rsrc
7    0x0000042f 0x0040102f 4    6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
8    0x00000438 0x00401038 7    9    .text   utf8    \vȋL$\fu\t blocks=Basic Latin,Latin Extended-B
9    0x0000044d 0x0040104d 4    6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
10   0x00000457 0x00401057 4    6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
11   0x00000470 0x00401070 4    5    .text   ascii   WVS3
12   0x000004fb 0x004010fb 7    8    .text   ascii   w\br\a;D$
13   0x00000520 0x00401120 4    5    .text   ascii   WVU3
14   0x000005c6 0x004011c6 6    7    .text   ascii   v\tN+D$
15   0x000005e6 0x004011e6 4    9    .text   utf8    ʋӋًȋ blocks=IPA Extensions,Cyrillic,Arabic,Latin Extended-B
16   0x00000632 0x00401232 4    5    .text   ascii   :Ru+
17   0x00000651 0x00401251 5    6    .text   ascii   \au\r8B
18   0x000006ad 0x004012ad 4    5    .text   ascii   |$\fW
19   0x0000072b 0x0040132b 4    5    .text   ascii   ~\b_^
20   0x0000074c 0x0040134c 4    6    .text   utf8    ^ËD$ blocks=Basic Latin,Latin-1 Supplement
21   0x0000078e 0x0040138e 4    5    .text   ascii   ~\b_^
22   0x000007b6 0x004013b6 4    5    .text   ascii   \at\a2
23   0x00000826 0x00401426 6    8    .text   utf8    ǀ8RuCP blocks=Latin Extended-B,Basic Latin
24   0x0000086c 0x0040146c 6    7    .text   ascii   Xt\bG;}
25   0x000008ec 0x004014ec 4    5    .text   ascii   t!j|
26   0x000009f2 0x004015f2 4    5    .text   ascii   zuWh
27   0x00000b04 0x00401704 7    8    .text   ascii   ;A\bv\v+A
28   0x00000b1e 0x0040171e 7    8    .text   ascii   ;A\bv\v+A
29   0x00000b85 0x00401785 5    8    .text   utf8    u"jx讍 blocks=Basic Latin,CJK Unified Ideographs
30   0x00000cc0 0x004018c0 4    7    .text   utf8    tGS腕 blocks=Basic Latin,CJK Unified Ideographs
31   0x00000d12 0x00401912 4    5    .text   ascii   SUVW
32   0x00000e12 0x00401a12 4    5    .text   ascii   j\rXf
33   0x00000f21 0x00401b21 4    5    .text   ascii   WSPP
34   0x00000f8b 0x00401b8b 4    5    .text   ascii   D\b\aP
35   0x00000fff 0x00401bff 4    5    .text   ascii   v"jg
36   0x0000111a 0x00401d1a 4    5    .text   ascii   j\Yf
37   0x00001126 0x00401d26 4    5    .text   ascii   j_Yf
38   0x0000112b 0x00401d2b 4    5    .text   ascii   \b@@f
39   0x0000119d 0x00401d9d 4    5    .text   ascii   r(j\b
40   0x000011d8 0x00401dd8 6    7    .text   ascii   f90u2h
41   0x000012a1 0x00401ea1 4    5    .text   ascii   \as8h
42   0x00001337 0x00401f37 5    6    .text   ascii   txIt/
43   0x0000149e 0x0040209e 4    6    .text   utf8    Mċ\t3 blocks=Basic Latin,Latin Extended-A
44   0x00001508 0x00402108 6    8    .text   utf8    F0QPƄ= blocks=Basic Latin,Latin Extended-B
45   0x00001644 0x00402244 4    5    .text   ascii   f!F\b
46   0x000016f4 0x004022f4 5    7    .text   utf8    E(\btv
47   0x000018ec 0x004024ec 5    6    .text   ascii   Wj\a^+
48   0x000019d4 0x004025d4 4    5    .text   ascii   t*ho
49   0x00001a61 0x00402661 5    6    .text   ascii   9]\fu 
50   0x00001b3c 0x0040273c 5    6    .text   ascii   Su\tPW
51   0x00001be9 0x004027e9 4    5    .text   ascii   SUVW
52   0x00001c0b 0x0040280b 4    5    .text   ascii   {t'C
53   0x00001c37 0x00402837 4    5    .text   ascii   _^][
54   0x00001d66 0x00402966 4    5    .text   ascii   h\b3A
55   0x00001db3 0x004029b3 5    8    .text   utf8    uĉ}ȉE blocks=Basic Latin,Latin Extended-A,Latin Extended-B
56   0x00001e3e 0x00402a3e 4    5    .text   ascii   SVW3
57   0x00001e78 0x00402a78 6    7    .text   ascii   8]\ft!:
58   0x00001ea2 0x00402aa2 4    5    .text   ascii   h\f3A
59   0x00001ece 0x00402ace 4    5    .text   ascii   t"WV
60   0x00001f9f 0x00402b9f 4    5    .text   ascii   9H t
61   0x000022ad 0x00402ead 5    7    .text   utf8    _^[Ã= blocks=Basic Latin,Latin-1 Supplement
62   0x000023aa 0x00402faa 5    7    .text   utf8    ulW3ۋ blocks=Basic Latin,Arabic
63   0x000023b2 0x00402fb2 4    5    .text   ascii   }\f9
64   0x000023d8 0x00402fd8 8    9    .text   ascii   u<9Epu\n8
65   0x000023f0 0x00402ff0 4    5    .text   ascii   t$j\b
66   0x000024ad 0x004030ad 4    5    .text   ascii   y\aH\r
67   0x000024b5 0x004030b5 6    7    .text   ascii   @u?j'Y
68   0x00002538 0x00403138 4    5    .text   ascii   }x |
69   0x00002541 0x00403141 5    7    .text   utf8    |ޡhzA blocks=Basic Latin,Thaana
70   0x000025e2 0x004031e2 4    5    .text   ascii   8EtW
71   0x00002631 0x00403231 4    5    .text   ascii   D$\fP
72   0x00002676 0x00403276 5    6    .text   ascii   }\f0t$
73   0x000026cc 0x004032cc 5    8    .text   utf8    u\f3ҋي blocks=Basic Latin,Cyrillic,Arabic
74   0x00002742 0x00403342 4    5    .text   ascii   ~?;E
75   0x000027a4 0x004033a4 5    6    .text   ascii   \fG_^[
76   0x000027b4 0x004033b4 5    7    .text   utf8    sЋ]\bf blocks=Basic Latin,Cyrillic
77   0x000027e6 0x004033e6 5    6    .text   ascii   \fG@BB
78   0x00002808 0x00403408 4    5    .text   ascii   \fG@B
