[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000001f8 0x000001f8 5   6            ascii   .text
2    0x0000021f 0x0000021f 6   7            ascii   `.data
3    0x00000248 0x00000248 6   7            ascii   .reloc
4    0x000010db 0x100010db 6   8    .text   utf8    |#ˁ|0% blocks=Basic Latin,Spacing Modifier Letters
5    0x000012f8 0x100012f8 5   7    .text   utf8    [۠|\tI blocks=Basic Latin,Arabic
6    0x00001334 0x10001334 4   5    .text   ascii   i#C~
7    0x00001341 0x10001341 4   5    .text   ascii   \rC~w
8    0x00001352 0x10001352 6   7    .text   ascii   C~?gF~
9    0x00001359 0x10001359 4   5    .text   ascii   aE~f
10   0x00001369 0x10001369 4   5    .text   ascii   gF~~
11   0x0000137a 0x1000137a 6   8    .text   utf8    C~ȘB~_ blocks=Basic Latin,Latin Extended-B
12   0x0000139a 0x1000139a 6   7    .text   ascii   A~@}B~
13   0x000013aa 0x100013aa 7   8    .text   ascii   A~,}B~/
14   0x000013b6 0x100013b6 6   8    .text   utf8    B~ƳB~# blocks=Basic Latin,Latin Extended-B
15   0x000013be 0x100013be 6   7    .text   ascii   B~k!C~
16   0x000013ce 0x100013ce 6   7    .text   ascii   A~+wB~
17   0x000013de 0x100013de 5   7    .text   utf8    A~ٞB~ blocks=Basic Latin,Arabic
18   0x000013f5 0x100013f5 4   5    .text   ascii   BB~k
19   0x0000140e 0x1000140e 9   11   .text   utf8    B~9|B~ǆA~ blocks=Basic Latin,Latin Extended-B
20   0x00001472 0x10001472 6   7    .text   ascii   OwS*Pw
21   0x0000149d 0x1000149d 5   6    .text   ascii   0\aw,a
22   0x000014fc 0x100014fc 4   6    .text   utf8    (kdz
23   0x00001519 0x10001519 4   5    .text   ascii    n;^
24   0x0000156b 0x1000156b 4   6    .text   utf8    !#ĳV blocks=Basic Latin,Latin Extended-A
25   0x000015cc 0x100015cc 4   5    .text   ascii   -=m\b
26   0x000015d9 0x100015d9 6   7    .text   ascii   Qkkbal
27   0x00001611 0x10001611 4   6    .text   utf8    |ӌeL blocks=Basic Latin,Cyrillic
28   0x0000164f 0x1000164f 4   5    .text   ascii   3_L\n
29   0x000016a5 0x100016a5 4   6    .text   utf8    ұt9G blocks=Cyrillic,Basic Latin
30   0x000016c0 0x100016c0 4   5    .text   ascii   >jm\r
31   0x000016c5 0x100016c5 4   5    .text   ascii   Zjz\v
32   0x000016e7 0x100016e7 4   5    .text   ascii   i]Wb
33   0x000016f6 0x100016f6 4   5    .text   ascii   knv\e
