[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0040a010 NONE FUNC KERNEL32.dll LocalAlloc
2   0x0040a014 NONE FUNC KERNEL32.dll AddAtomA
3   0x0040a018 NONE FUNC KERNEL32.dll CloseHandle
4   0x0040a01c NONE FUNC KERNEL32.dll CompareStringA
5   0x0040a020 NONE FUNC KERNEL32.dll CreateEventA
6   0x0040a024 NONE FUNC KERNEL32.dll CreateProcessA
7   0x0040a028 NONE FUNC KERNEL32.dll FormatMessageW
8   0x0040a02c NONE FUNC KERNEL32.dll FreeLibrary
9   0x0040a030 NONE FUNC KERNEL32.dll GetComputerNameA
10  0x0040a034 NONE FUNC KERNEL32.dll GetCurrentProcess
11  0x0040a038 NONE FUNC KERNEL32.dll GetCurrentProcessId
12  0x0040a03c NONE FUNC KERNEL32.dll GetCurrentThreadId
13  0x0040a040 NONE FUNC KERNEL32.dll GetLastError
14  0x0040a044 NONE FUNC KERNEL32.dll GetModuleFileNameA
15  0x0040a048 NONE FUNC KERNEL32.dll GetModuleFileNameW
16  0x0040a04c NONE FUNC KERNEL32.dll GetModuleHandleA
17  0x0040a050 NONE FUNC KERNEL32.dll GetProcAddress
18  0x0040a054 NONE FUNC KERNEL32.dll GetStartupInfoA
19  0x0040a058 NONE FUNC KERNEL32.dll GetSystemDirectoryA
20  0x0040a05c NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
21  0x0040a060 NONE FUNC KERNEL32.dll GetTickCount
22  0x0040a064 NONE FUNC KERNEL32.dll WriteFile
23  0x0040a068 NONE FUNC KERNEL32.dll GetVersionExA
24  0x0040a06c NONE FUNC KERNEL32.dll InterlockedDecrement
25  0x0040a070 NONE FUNC KERNEL32.dll InterlockedIncrement
26  0x0040a074 NONE FUNC KERNEL32.dll LoadLibraryExA
27  0x0040a078 NONE FUNC KERNEL32.dll MultiByteToWideChar
28  0x0040a07c NONE FUNC KERNEL32.dll OpenEventA
29  0x0040a080 NONE FUNC KERNEL32.dll OpenProcess
30  0x0040a084 NONE FUNC KERNEL32.dll QueryPerformanceCounter
31  0x0040a088 NONE FUNC KERNEL32.dll SetConsoleCtrlHandler
32  0x0040a08c NONE FUNC KERNEL32.dll SetCurrentDirectoryA
33  0x0040a090 NONE FUNC KERNEL32.dll SetEvent
34  0x0040a094 NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
35  0x0040a098 NONE FUNC KERNEL32.dll Sleep
36  0x0040a09c NONE FUNC KERNEL32.dll TerminateProcess
37  0x0040a0a0 NONE FUNC KERNEL32.dll UnhandledExceptionFilter
38  0x0040a0a4 NONE FUNC KERNEL32.dll WideCharToMultiByte
39  0x0040a0a8 NONE FUNC KERNEL32.dll lstrcatA
40  0x0040a0ac NONE FUNC KERNEL32.dll lstrcmpW
41  0x0040a0b0 NONE FUNC KERNEL32.dll lstrcpyA
42  0x0040a0b4 NONE FUNC KERNEL32.dll lstrcpynA
43  0x0040a0b8 NONE FUNC KERNEL32.dll lstrlenA
44  0x0040a0bc NONE FUNC KERNEL32.dll CreateFileA
45  0x0040a0c0 NONE FUNC KERNEL32.dll GetCurrentThread
46  0x0040a0c4 NONE FUNC KERNEL32.dll GetUserDefaultLangID
47  0x0040a0c8 NONE FUNC KERNEL32.dll VirtualAlloc
1   0x0040a0d0 NONE FUNC USER32.dll   LoadCursorW
2   0x0040a0d4 NONE FUNC USER32.dll   LoadCursorA
3   0x0040a0d8 NONE FUNC USER32.dll   ShowWindow
1   0x0040a008 NONE FUNC GDI32.dll    GetStockObject
1   0x0040a000 NONE FUNC ADVAPI32.dll RegOpenKeyExW


