[Strings]
nth   paddr      vaddr       len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d  44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x000000d6 0x000000d6  6   7            ascii   tLRich
2     0x000001f8 0x000001f8  5   6            ascii   .text
3     0x0000021f 0x0000021f  7   8            ascii   `.rdata
4     0x00000247 0x00000247  6   7            ascii   @.data
5     0x00000270 0x00000270  6   7            ascii   .pdata
6     0x00000297 0x00000297  6   7            ascii   @.rsrc
7     0x000002bf 0x000002bf  7   8            ascii   @.reloc
8     0x00000402 0x140001002 4   5    .text   ascii   \$\bH
9     0x00000482 0x140001082 4   5    .text   ascii   \$0H
10    0x00000487 0x140001087 4   5    .text   ascii   t$8H
11    0x00000490 0x140001090 10  11   .text   ascii   @USVWATAUH
12    0x00000567 0x140001167 6   8    .text   utf8    wSOCǅ4 blocks=Basic Latin,Latin Extended-B
13    0x0000057b 0x14000117b 5   7    .text   utf8    DLL ǅ blocks=Basic Latin,Latin Extended-B
14    0x000005aa 0x1400011aa 6   8    .text   utf8    uSERǅD blocks=Basic Latin,Latin Extended-B
15    0x000005be 0x1400011be 6   8    .text   utf8    DLL ǅ8 blocks=Basic Latin,Latin Extended-B
16    0x000005c8 0x1400011c8 5   8    .text   utf8    ̓8)ǅ< blocks=Combining Diacritical Marks,Basic Latin,Latin Extended-B
17    0x000005dc 0x1400011dc 7   9    .text   utf8    gZwWfǅD blocks=Basic Latin,Latin Extended-B
18    0x0000060d 0x14000120d 5   7    .text   utf8    fREEǅ blocks=Basic Latin,Latin Extended-B
19    0x00000617 0x140001217 5   7    .text   utf8    lIBRǅ blocks=Basic Latin,Latin Extended-B
20    0x00000621 0x140001221 5   7    .text   utf8    ARY ǅ blocks=Basic Latin,Latin Extended-B
21    0x00000698 0x140001298 7   9    .text   utf8    l]`Afǅ$ blocks=Basic Latin,Latin Extended-B
22    0x0000072b 0x14000132b 6   8    .text   utf8    5f5"ǅt blocks=Basic Latin,Latin Extended-B
23    0x0000074b 0x14000134b 4   6    .text   utf8    cNǅx blocks=Basic Latin,Latin Extended-B
24    0x00000753 0x140001353 6   8    .text   utf8    6a2,ǅ| blocks=Basic Latin,Latin Extended-B
25    0x0000075d 0x14000135d 4   7    .text   utf8    +"ڞǅ blocks=Basic Latin,Arabic,Latin Extended-B
26    0x0000077b 0x14000137b 6   8    .text   utf8    6b.;ǅL blocks=Basic Latin,Latin Extended-B
27    0x0000079a 0x14000139a 5   7    .text   utf8    :rWǅX blocks=Basic Latin,Latin Extended-B
28    0x000007a8 0x1400013a8 6   7    .text   ascii   EpcLOS
29    0x000007af 0x1400013af 6   7    .text   ascii   EtEhAN
30    0x000007b6 0x1400013b6 7   9    .text   utf8    ExDLE ǅ blocks=Basic Latin,Latin Extended-B
31    0x000007c2 0x1400013c2 5   7    .text   utf8    6j)\nǅ blocks=Basic Latin,Latin Extended-B
32    0x000007d1 0x1400013d1 6   7    .text   ascii   E`cREA
33    0x000007d8 0x1400013d8 6   7    .text   ascii   EdTEfI
34    0x000007df 0x1400013df 6   7    .text   ascii   EhLEa 
35    0x00000813 0x140001413 5   7    .text   utf8    gETfǅ blocks=Basic Latin,Latin Extended-B
36    0x0000081d 0x14000141d 5   7    .text   utf8    ILEsǅ blocks=Basic Latin,Latin Extended-B
37    0x00000827 0x140001427 6   8    .text   utf8    IZE ǅ( blocks=Basic Latin,Latin Extended-B
38    0x00000831 0x140001431 5   8    .text   utf8    ؓ8?ǅ, blocks=Arabic,Basic Latin,Latin Extended-B
39    0x00000845 0x140001445 7   9    .text   utf8    lWkFfǅ4 blocks=Basic Latin,Latin Extended-B
40    0x00000858 0x140001458 5   7    .text   utf8    dELEǅ blocks=Basic Latin,Latin Extended-B
41    0x00000862 0x140001462 5   7    .text   utf8    TEfIǅ blocks=Basic Latin,Latin Extended-B
42    0x0000086c 0x14000146c 6   8    .text   utf8    LEa ǅH blocks=Basic Latin,Latin Extended-B
43    0x0000088a 0x14000148a 5   8    .text   utf8    yĹTǅT blocks=Basic Latin,Latin Extended-A,Latin Extended-B
44    0x000008a8 0x1400014a8 5   7    .text   utf8    @"Dǅt blocks=Basic Latin,Latin Extended-B
45    0x000008f7 0x1400014f7 7   9    .text   utf8    1xl@fǅT blocks=Basic Latin,Latin Extended-B
46    0x00000907 0x140001507 4   5    .text   ascii   1q(,
