[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d0 0x000000d0 5   6            ascii   Rich(
2    0x000001f8 0x000001f8 5   6            ascii   .text
3    0x0000021f 0x0000021f 6   7            ascii   `.data
4    0x00000248 0x00000248 6   7            ascii   .pdata
5    0x0000026f 0x0000026f 5   6            ascii   @.tls
6    0x00000298 0x00000298 4   5            ascii   .CRT
7    0x000002bf 0x000002bf 6   7            ascii   @.rsrc
8    0x000002e7 0x000002e7 7   8            ascii   @.reloc
9    0x000004e8 0x100010e8 8   9    .text   ascii   kernel32
10   0x00000565 0x10001165 4   5    .text   ascii   L$\bH
11   0x0000057b 0x1000117b 4   6    .text   utf8    \tD$D
12   0x00000590 0x10001190 4   5    .text   ascii   D$h}
13   0x0000059c 0x1000119c 4   6    .text   utf8    \tD$H
14   0x000005b3 0x100011b3 4   5    .text   ascii   D$(%
15   0x000005bc 0x100011bc 4   5    .text   ascii   D$(H
16   0x000005c1 0x100011c1 4   5    .text   ascii   D$0H
17   0x000005c6 0x100011c6 4   5    .text   ascii   D$(H
18   0x000005cb 0x100011cb 4   5    .text   ascii   D$ H
19   0x000005d0 0x100011d0 4   5    .text   ascii   D$0H
20   0x000005ff 0x100011ff 5   7    .text   utf8    ̉L$\bH blocks=Combining Diacritical Marks,Basic Latin
21   0x0000063b 0x1000123b 4   5    .text   ascii   D$0&
22   0x0000066e 0x1000126e 9   12   .text   utf8    L$0+ȋID$0 blocks=Basic Latin,Latin Extended-B
23   0x0000067f 0x1000127f 4   6    .text   utf8    D$Hľ blocks=Basic Latin,Latin Extended-A
24   0x00000687 0x10001287 5   6    .text   ascii   |$H>n
25   0x00000699 0x10001299 5   6    .text   ascii   D$P\t}
26   0x000006bc 0x100012bc 5   7    .text   utf8    D$TǄ$ blocks=Basic Latin,Latin Extended-B
27   0x000006d6 0x100012d6 5   8    .text   utf8    ȋKL$4 blocks=Latin Extended-B,Basic Latin
28   0x000006de 0x100012de 5   8    .text   utf8    ȋID$4 blocks=Latin Extended-B,Basic Latin
29   0x00000713 0x10001313 11  14   .text   utf8    L$X+ȋID$XE3 blocks=Basic Latin,Latin Extended-B
30   0x00000734 0x10001334 4   5    .text   ascii   D$La
31   0x0000073d 0x1000133d 4   5    .text   ascii   D$LH
32   0x00000742 0x10001342 4   5    .text   ascii   D$`H
33   0x0000074d 0x1000134d 11  15   .text   utf8    L$\+ȋID$hǄ$ blocks=Basic Latin,Latin Extended-B
34   0x00000764 0x10001364 4   5    .text   ascii   D$49
35   0x00000789 0x10001389 5   8    .text   utf8    ȋKL$4 blocks=Latin Extended-B,Basic Latin
36   0x00000791 0x10001391 7   10   .text   utf8    ȋID$4E3 blocks=Latin Extended-B,Basic Latin
37   0x000007b4 0x100013b4 4   5    .text   ascii   D$4H
38   0x000007ce 0x100013ce 5   8    .text   utf8    ȋKL$4 blocks=Latin Extended-B,Basic Latin
39   0x000007d6 0x100013d6 7   11   .text   utf8    ȋID$4Ǆ$ blocks=Latin Extended-B,Basic Latin
40   0x000007ea 0x100013ea 4   5    .text   ascii   D$LH
41   0x00000827 0x10001427 9   12   .text   utf8    L$4+ȋID$4 blocks=Basic Latin,Latin Extended-B
42   0x0000083d 0x1000143d 9   12   .text   utf8    L$H+ȋID$0 blocks=Basic Latin,Latin Extended-B
43   0x00000849 0x10001449 4   5    .text   ascii   D$$v
44   0x0000085a 0x1000145a 4   5    .text   ascii   D$$H
45   0x00000886 0x10001486 7   11   .text   utf8    ȋID$$Ǆ$ blocks=Latin Extended-B,Basic Latin
46   0x00000899 0x10001499 4   5    .text   ascii   D$09
47   0x000008b4 0x100014b4 4   5    .text   ascii   D$ ,
48   0x000008c5 0x100014c5 9   12   .text   utf8    L$0+ȋID$0 blocks=Basic Latin,Latin Extended-B
49   0x00000903 0x10001503 4   5    .text   ascii   +D$4
50   0x00000908 0x10001508 9   12   .text   utf8    L$4+ȋID$4 blocks=Basic Latin,Latin Extended-B
51   0x00000914 0x10001514 4   5    .text   ascii   D$ \r
52   0x00000941 0x10001541 9   12   .text   utf8    L$ +ȋKL$$ blocks=Basic Latin,Latin Extended-B
53   0x0000094e 0x1000154e 6   9    .text   utf8    ȋID$$H blocks=Latin Extended-B,Basic Latin
54   0x00000957 0x10001557 4   5    .text   ascii   D$4H
55   0x00000983 0x10001583 5   8    .text   utf8    ȋID$$ blocks=Latin Extended-B,Basic Latin
56   0x000009e8 0x100015e8 5   6    .text   ascii   D$ \r1
57   0x00000a0f 0x1000160f 4   5    .text   ascii   D$0H
58   0x00000a65 0x10001665 4   5    .text   ascii   L$\bH
59   0x00000a6d 0x1000166d 4   5    .text   ascii   D$P!
60   0x00000a7e 0x1000167e 4   5    .text   ascii   D$PH
61   0x00000a95 0x10001695 5   7    .text   utf8    \tD$4H
62   0x00000ac0 0x100016c0 8   11   .text   utf8    \f$\vȋKL$  blocks=Basic Latin,Latin Extended-B
63   0x00000acb 0x100016cb 4   7    .text   utf8    ȋID$ blocks=Latin Extended-B,Basic Latin
64   0x00000ae1 0x100016e1 4   6    .text   utf8    \tD$$
65   0x00000afc 0x100016fc 4   6    .text   utf8    \tD$0
66   0x00000b0f 0x1000170f 5   8    .text   utf8    \vȋKL$ blocks=Basic Latin,Latin Extended-B
67   0x00000b19 0x10001719 4   7    .text   utf8    ȋKL$ blocks=Latin Extended-B,Basic Latin
68   0x00000b20 0x10001720 5   8    .text   utf8    +ȋID$ blocks=Basic Latin,Latin Extended-B
69   0x00000b3b 0x1000173b 4   7    .text   utf8    ȋKL$ blocks=Latin Extended-B,Basic Latin
70   0x00000b43 0x10001743 4   7    .text   utf8    ȋID$ blocks=Latin Extended-B,Basic Latin
71   0x00000b4a 0x1000174a 4   7    .text   utf8    됋D$  blocks=Hangul Syllables,Basic Latin
72   0x00000b51 0x10001751 16  21   .text   utf8    L$X+ȋKL$X+ȋID$XH blocks=Basic Latin,Latin Extended-B
73   0x00000b75 0x10001775 4   5    .text   ascii   L$\bH
74   0x00000b99 0x10001799 4   6    .text   utf8    \tD$@
75   0x00000bae 0x100017ae 4   5    .text   ascii   D$(U
76   0x00000bbe 0x100017be 10  11   .text   ascii   D$,9D$(u+H
77   0x00000bc9 0x100017c9 4   5    .text   ascii   D$,H
78   0x00000bd6 0x100017d6 4   6    .text   utf8    \tD$D
79   0x00000be7 0x100017e7 9   12   .text   utf8    L$h+ȋID$h blocks=Basic Latin,Latin Extended-B
80   0x00000bfa 0x100017fa 4   5    .text   ascii   D$,H
81   0x00000bff 0x100017ff 4   5    .text   ascii   D$0H
82   0x00000c0d 0x1000180d 5   7    .text   utf8    +KL$h
83   0x00000c15 0x10001815 6   9    .text   utf8    ȋID$hH blocks=Latin Extended-B,Basic Latin
84   0x00000c35 0x10001835 4   5    .text   ascii   D$\fu
85   0x00000c49 0x10001849 6   9    .text   utf8    L$\f+ȋI blocks=Basic Latin,Latin Extended-B
86   0x00000c71 0x10001871 5   8    .text   utf8    \f$+ȋI blocks=Basic Latin,Latin Extended-B
87   0x00000c89 0x10001889 4   7    .text   utf8    ȋKL$ blocks=Latin Extended-B,Basic Latin
88   0x00000c90 0x10001890 5   8    .text   utf8    +ȋID$ blocks=Basic Latin,Latin Extended-B
89   0x00000c9c 0x1000189c 5   7    .text   utf8    L$\f\vȋ blocks=Basic Latin,Latin Extended-B
90   0x00000caa 0x100018aa 5   8    .text   utf8    +ȋID$ blocks=Basic Latin,Latin Extended-B
91   0x00000cc8 0x100018c8 5   6    .text   ascii   D$0[0
92   0x00000cd1 0x100018d1 4   5    .text   ascii   D$0H
93   0x00000cea 0x100018ea 11  15   .text   utf8    +KL$0+ȋID$0 blocks=Basic Latin,Latin Extended-B
