[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
17  0x00419010 NONE FUNC COMCTL32.dll InitCommonControls
1   0x00419260 NONE FUNC SHELL32.dll  SHGetSpecialFolderPathW
2   0x00419264 NONE FUNC SHELL32.dll  ShellExecuteW
3   0x00419268 NONE FUNC SHELL32.dll  SHGetMalloc
4   0x0041926c NONE FUNC SHELL32.dll  SHGetPathFromIDListW
5   0x00419270 NONE FUNC SHELL32.dll  SHBrowseForFolderW
6   0x00419274 NONE FUNC SHELL32.dll  SHGetFileInfoW
7   0x00419278 NONE FUNC SHELL32.dll  ShellExecuteExW
1   0x00419018 NONE FUNC GDI32.dll    CreateCompatibleDC
2   0x0041901c NONE FUNC GDI32.dll    CreateFontIndirectW
3   0x00419020 NONE FUNC GDI32.dll    DeleteObject
4   0x00419024 NONE FUNC GDI32.dll    DeleteDC
5   0x00419028 NONE FUNC GDI32.dll    GetCurrentObject
6   0x0041902c NONE FUNC GDI32.dll    StretchBlt
7   0x00419030 NONE FUNC GDI32.dll    GetDeviceCaps
8   0x00419034 NONE FUNC GDI32.dll    CreateCompatibleBitmap
9   0x00419038 NONE FUNC GDI32.dll    SelectObject
10  0x0041903c NONE FUNC GDI32.dll    SetStretchBltMode
11  0x00419040 NONE FUNC GDI32.dll    GetObjectW
1   0x00419000 NONE FUNC ADVAPI32.dll FreeSid
2   0x00419004 NONE FUNC ADVAPI32.dll AllocateAndInitializeSid
3   0x00419008 NONE FUNC ADVAPI32.dll CheckTokenMembership
1   0x00419280 NONE FUNC USER32.dll   ScreenToClient
2   0x00419284 NONE FUNC USER32.dll   CreateWindowExW
3   0x00419288 NONE FUNC USER32.dll   GetClassNameA
4   0x0041928c NONE FUNC USER32.dll   GetMessageW
5   0x00419290 NONE FUNC USER32.dll   DispatchMessageW
6   0x00419294 NONE FUNC USER32.dll   GetWindowRect
7   0x00419298 NONE FUNC USER32.dll   DestroyWindow
8   0x0041929c NONE FUNC USER32.dll   CharUpperW
9   0x004192a0 NONE FUNC USER32.dll   EndDialog
10  0x004192a4 NONE FUNC USER32.dll   SendMessageW
11  0x004192a8 NONE FUNC USER32.dll   wsprintfW
12  0x004192ac NONE FUNC USER32.dll   MessageBoxW
13  0x004192b0 NONE FUNC USER32.dll   GetParent
14  0x004192b4 NONE FUNC USER32.dll   CopyImage
15  0x004192b8 NONE FUNC USER32.dll   ReleaseDC
16  0x004192bc NONE FUNC USER32.dll   GetWindowDC
17  0x004192c0 NONE FUNC USER32.dll   SetWindowPos
18  0x004192c4 NONE FUNC USER32.dll   GetMenu
19  0x004192c8 NONE FUNC USER32.dll   KillTimer
20  0x004192cc NONE FUNC USER32.dll   wsprintfA
21  0x004192d0 NONE FUNC USER32.dll   GetWindowTextW
22  0x004192d4 NONE FUNC USER32.dll   GetWindowTextLengthW
23  0x004192d8 NONE FUNC USER32.dll   SetWindowTextW
24  0x004192dc NONE FUNC USER32.dll   GetSysColor
25  0x004192e0 NONE FUNC USER32.dll   MessageBoxA
