[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 6   7            ascii   !This 
1    0x00000059 0x00000059 32  33           ascii   m cannot be run in DOS mode.\r\r\n$
2    0x000000d8 0x000000d8 4   5            ascii   Rich
3    0x000001e8 0x000001e8 5   6            ascii   .text
4    0x0000020f 0x0000020f 7   8            ascii   `.rdata
5    0x00000238 0x00000238 5   6            ascii   .data
6    0x00000260 0x00000260 4   5            ascii   .CRT
7    0x00000287 0x00000287 6   7            ascii   @.rsrc
8    0x000002af 0x000002af 7   8            ascii   @.reloc
9    0x00000481 0x00000481 4   5            ascii   Yt2d
10   0x00000492 0x00000492 5   6            ascii   u\e\v\r>
11   0x000004a4 0x000004a4 4   6            utf8    F,طg blocks=Basic Latin,Arabic
12   0x000004bc 0x000004bc 4   5            ascii   /Zo*
13   0x000004e0 0x000004e0 4   8            utf8    Ь訍Uy blocks=Cyrillic,CJK Unified Ideographs,Basic Latin
14   0x0000050e 0x0000050e 5   6            ascii   /yC"M
15   0x0000052e 0x0000052e 5   8            utf8    oӲ0ԿC blocks=Basic Latin,Cyrillic,Armenian
16   0x0000053c 0x0000053c 5   8            utf8    iҭԟZ+ blocks=Basic Latin,Cyrillic,Cyrillic Supplement
17   0x00000560 0x00000560 5   6            ascii   dX.GY
18   0x00000572 0x00000572 4   5            ascii    c.+
19   0x0000058f 0x0000058f 5   6            ascii   -qj5\t
20   0x000005ab 0x000005ab 4   7            utf8    ̎Θ?c blocks=Combining Diacritical Marks,Greek and Coptic,Basic Latin
21   0x000005f0 0x000005f0 6   8            utf8    -qؚ\x~ blocks=Basic Latin,Arabic
22   0x000005fa 0x000005fa 5   6            ascii   :hR8v
23   0x00000653 0x00401053 6   7    .text   ascii   3M\b3U\f
24   0x0000074c 0x0040114c 4   5    .text   ascii   ,$3E
25   0x0000081d 0x0040121d 4   5    .text   ascii   ,$3E
26   0x000008ee 0x004012ee 4   5    .text   ascii   ,$3E
27   0x000009bf 0x004013bf 4   5    .text   ascii   ,$3E
28   0x00000a90 0x00401490 4   5    .text   ascii   ,$3E
29   0x00000b61 0x00401561 4   5    .text   ascii   ,$3E
30   0x00000c32 0x00401632 4   5    .text   ascii   ,$3E
31   0x00000d03 0x00401703 4   5    .text   ascii   ,$3E
32   0x00000dd4 0x004017d4 4   5    .text   ascii   ,$3E
33   0x00000ea5 0x004018a5 4   5    .text   ascii   ,$3E
34   0x00000f76 0x00401976 4   5    .text   ascii   ,$3E
35   0x00001047 0x00401a47 4   5    .text   ascii   ,$3E
36   0x00001118 0x00401b18 4   5    .text   ascii   ,$3E
37   0x000011e5 0x00401be5 4   5    .text   ascii   ,$3E
38   0x000011fa 0x00401bfa 6   8    .text   utf8    z\f1\vl$
39   0x00001256 0x00401c56 6   7    .text   ascii   3M\b3U\f
40   0x00001350 0x00401d50 4   5    .text   ascii   ,$3E
41   0x00001422 0x00401e22 4   5    .text   ascii   ,$3E
42   0x000014f4 0x00401ef4 4   5    .text   ascii   ,$3E
43   0x000015c6 0x00401fc6 4   5    .text   ascii   ,$3E
44   0x00001698 0x00402098 4   5    .text   ascii   ,$3E
45   0x0000176a 0x0040216a 4   5    .text   ascii   ,$3E
46   0x0000183c 0x0040223c 4   5    .text   ascii   ,$3E
47   0x0000190e 0x0040230e 4   5    .text   ascii   ,$3E
48   0x000019e0 0x004023e0 4   5    .text   ascii   ,$3E
49   0x00001ab2 0x004024b2 4   5    .text   ascii   ,$3E
50   0x00001b84 0x00402584 4   5    .text   ascii   ,$3E
51   0x00001c56 0x00402656 4   5    .text   ascii   ,$3E
52   0x00001d28 0x00402728 4   5    .text   ascii   ,$3E
53   0x00001df6 0x004027f6 4   5    .text   ascii   ,$3E
54   0x00001e0c 0x0040280c 6   8    .text   utf8    }\f1\vl$
55   0x00001e33 0x00402833 5   6    .text   ascii   QSVWj
56   0x00001e65 0x00402865 4   5    .text   ascii   u\bSW
57   0x00001e96 0x00402896 6   8    .text   utf8    SVW3ۉU blocks=Basic Latin,Arabic
58   0x00001eb6 0x004028b6 4   5    .text   ascii   tASW
59   0x00001ee1 0x004028e1 4   5    .text   ascii   \bPSW
60   0x000020d9 0x00402ad9 6   7    .text   ascii   SVWj@h
61   0x00002164 0x00402b64 4   5    .text   ascii   D$$Q
62   0x0000216d 0x00402b6d 4   5    .text   ascii   D$ I
63   0x00002176 0x00402b76 4   5    .text   ascii   D$(U
64   0x00002298 0x00402c98 4   5    .text   ascii   D$0P
65   0x000022c4 0x00402cc4 4   5    .text   ascii   D$0P
66   0x00002338 0x00402d38 4   5    .text   ascii   \SV3
67   0x0000234b 0x00402d4b 4   5    .text   ascii   D$ i
68   0x00002353 0x00402d53 4   5    .text   ascii   D$$.
69   0x0000235b 0x00402d5b 4   5    .text   ascii   D$(y
70   0x00002368 0x00402d68 4   5    .text   ascii   D$\fk
71   0x000023aa 0x00402daa 4   5    .text   ascii   D$ d
72   0x000023b2 0x00402db2 4   5    .text   ascii   D$$w
73   0x000023ba 0x00402dba 4   5    .text   ascii   D$(s
74   0x000023c2 0x00402dc2 4   5    .text   ascii   D$,s
75   0x000023f2 0x00402df2 4   5    .text   ascii   D$<0
76   0x00002402 0x00402e02 6   7    .text   ascii   D$DP,@
77   0x00002464 0x00402e64 4   5    .text   ascii   D$8P
78   0x00002533 0x00402f33 4   5    .text   ascii   D$(P
79   0x00002635 0x00403035 4   5    .text   ascii   $SV3
80   0x000026a5 0x004030a5 4   5    .text   ascii   \SV3
81   0x000027a2 0x004031a2 9   10   .text   ascii   <}tK<=tBF
