[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x10027000 NONE FUNC KERNEL32.dll WaitForSingleObject
2   0x10027004 NONE FUNC KERNEL32.dll DeleteFileW
3   0x10027008 NONE FUNC KERNEL32.dll CreateMutexW
4   0x1002700c NONE FUNC KERNEL32.dll Sleep
5   0x10027010 NONE FUNC KERNEL32.dll GetCurrentProcessId
6   0x10027014 NONE FUNC KERNEL32.dll VirtualAlloc
7   0x10027018 NONE FUNC KERNEL32.dll LoadLibraryW
8   0x1002701c NONE FUNC KERNEL32.dll CreateThread
9   0x10027020 NONE FUNC KERNEL32.dll DisableThreadLibraryCalls
10  0x10027024 NONE FUNC KERNEL32.dll CloseHandle
11  0x10027028 NONE FUNC KERNEL32.dll VirtualFree
12  0x1002702c NONE FUNC KERNEL32.dll GetCurrentProcess
13  0x10027030 NONE FUNC KERNEL32.dll GetModuleHandleA
14  0x10027034 NONE FUNC KERNEL32.dll FlushFileBuffers
15  0x10027038 NONE FUNC KERNEL32.dll CreateFileA
16  0x1002703c NONE FUNC KERNEL32.dll ReleaseMutex
17  0x10027040 NONE FUNC KERNEL32.dll GetModuleFileNameW
18  0x10027044 NONE FUNC KERNEL32.dll MoveFileExW
19  0x10027048 NONE FUNC KERNEL32.dll OpenProcess
20  0x1002704c NONE FUNC KERNEL32.dll GetLastError
21  0x10027050 NONE FUNC KERNEL32.dll GetFileSize
22  0x10027054 NONE FUNC KERNEL32.dll ReadFile
23  0x10027058 NONE FUNC KERNEL32.dll CreateFileW
24  0x1002705c NONE FUNC KERNEL32.dll GetPrivateProfileStringW
25  0x10027060 NONE FUNC KERNEL32.dll FreeLibrary
26  0x10027064 NONE FUNC KERNEL32.dll GetProcAddress
27  0x10027068 NONE FUNC KERNEL32.dll SetErrorMode
28  0x1002706c NONE FUNC KERNEL32.dll GetSystemTime
29  0x10027070 NONE FUNC KERNEL32.dll CreateEventW
30  0x10027074 NONE FUNC KERNEL32.dll OpenEventW
31  0x10027078 NONE FUNC KERNEL32.dll DuplicateHandle
32  0x1002707c NONE FUNC KERNEL32.dll MultiByteToWideChar
33  0x10027080 NONE FUNC KERNEL32.dll LoadResource
34  0x10027084 NONE FUNC KERNEL32.dll SizeofResource
35  0x10027088 NONE FUNC KERNEL32.dll LockResource
