[Strings]
nth  paddr      vaddr      len  size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d6 0x000000d6 6    7            ascii   ;IRich
2    0x000001e8 0x000001e8 5    6            ascii   .text
3    0x0000020f 0x0000020f 7    8            ascii   `.rdata
4    0x00000238 0x00000238 5    6            ascii   .data
5    0x00000260 0x00000260 5    6            ascii   .rsrc
6    0x00000287 0x00000287 7    8            ascii   @.reloc
7    0x00001121 0x10001121 5    7    .text   utf8    3\tD$\f
8    0x00001141 0x10001141 4    5    .text   ascii   D$ P
9    0x000011cf 0x100011cf 5    6    .text   ascii   L$\b^d
10   0x000012d8 0x100012d8 5    6    .text   ascii   9npr\f
11   0x000012fe 0x100012fe 5    6    .text   ascii   9nTr\f
12   0x0000131d 0x1000131d 5    6    .text   ascii   9n8r\f
13   0x00001368 0x10001368 4    5    .text   ascii   _^]d
14   0x000013a8 0x100013a8 4    6    .text   utf8    3҉T$ blocks=Basic Latin,Cyrillic
15   0x000013d9 0x100013d9 4    5    .text   ascii   L$\f_
16   0x000014ac 0x100014ac 5    6    .text   ascii   L$\b^d
17   0x0000151c 0x1000151c 4    5    .text   ascii   L$\f_
18   0x00001583 0x10001583 4    5    .text   ascii   SUV3
19   0x000015b1 0x100015b1 4    5    .text   ascii   D$$P
20   0x00001613 0x10001613 4    5    .text   ascii   QRSW
21   0x00001727 0x10001727 4    5    .text   ascii   D$\bP
22   0x0000174c 0x1000174c 4    5    .text   ascii   L$\bQ
23   0x0000179f 0x1000179f 4    5    .text   ascii   u.j 
24   0x0000189f 0x1000189f 4    6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
25   0x000018ae 0x100018ae 5    6    .text   ascii   f#D$\f
26   0x000018cd 0x100018cd 6    7    .text   ascii   L$\fPQR
27   0x00001982 0x10001982 4    5    .text   ascii   \$\fV
28   0x00001987 0x10001987 4    5    .text   ascii   t$\f;
29   0x000019e2 0x100019e2 4    5    .text   ascii   \$\fV
30   0x000019e7 0x100019e7 4    5    .text   ascii   t$\f;
31   0x00001a2c 0x10001a2c 5    6    .text   ascii   L$\bQj
32   0x00001a6f 0x10001a6f 4    6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
33   0x00001aa2 0x10001aa2 4    5    .text   ascii   \$\fV
34   0x00001acc 0x10001acc 5    6    .text   ascii   T$$Rj
35   0x00001ad7 0x10001ad7 4    5    .text   ascii   L$$P
36   0x00001adc 0x10001adc 4    5    .text   ascii   L$$Q
37   0x00001b5f 0x10001b5f 4    6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
38   0x00001ba3 0x10001ba3 5    6    .text   ascii   9D$$W
39   0x00001bc5 0x10001bc5 5    6    .text   ascii   L$$QP
40   0x00001be3 0x10001be3 4    5    .text   ascii   D$$u
41   0x00001d04 0x10001d04 5    6    .text   ascii   t4h$g
42   0x00001d22 0x10001d22 4    5    .text   ascii   L$$Q
43   0x00001d31 0x10001d31 4    5    .text   ascii   T$$R
44   0x00001d41 0x10001d41 5    6    .text   ascii   t0h<g
45   0x00001d5b 0x10001d5b 4    5    .text   ascii   L$$Q
46   0x00001d6a 0x10001d6a 4    5    .text   ascii   T$$R
47   0x00001d8b 0x10001d8b 4    5    .text   ascii   L$$Q
48   0x00001d9a 0x10001d9a 4    5    .text   ascii   T$$R
49   0x00001da4 0x10001da4 4    5    .text   ascii   L$Ld
50   0x00001e7f 0x10001e7f 5    6    .text   ascii   ~$_[Y
51   0x00001e87 0x10001e87 4    5    .text   ascii   ^$[Y
52   0x00001fa1 0x10001fa1 5    7    .text   utf8    3\tD$\f
53   0x00001ffd 0x10001ffd 4    5    .text   ascii   D$\bP
54   0x00002136 0x10002136 5    6    .text   ascii   ~$\br\f
55   0x0000216b 0x1000216b 5    6    .text   ascii   L$\b^d
56   0x000021ff 0x100021ff 4    5    .text   ascii   D$,3
57   0x00002232 0x10002232 5    6    .text   ascii   V,hlg
58   0x0000223b 0x1000223b 4    5    .text   ascii   D$<P
59   0x0000225e 0x1000225e 6    7    .text   ascii   |$(\br\r
60   0x0000227e 0x1000227e 4    5    .text   ascii   D$,\a
61   0x00002286 0x10002286 4    5    .text   ascii   \$(f
62   0x000023b0 0x100023b0 5    6    .text   ascii   L$\f_^
63   0x000023ee 0x100023ee 4    5    .text   ascii   D$,3
64   0x0000240b 0x1000240b 5    6    .text   ascii   N,hlg
65   0x00002414 0x10002414 4    5    .text   ascii   T$<R
66   0x00002448 0x10002448 4    5    .text   ascii   N<QP
67   0x00002476 0x10002476 6    7    .text   ascii   V0Qhlg
68   0x0000247e 0x1000247e 4    5    .text   ascii   Rhlg
69   0x000024c6 0x100024c6 6    7    .text   ascii   9^@v-U
70   0x000024d5 0x100024d5 6    7    .text   ascii   L$@hlg
71   0x000024f2 0x100024f2 4    5    .text   ascii   ;~@r
72   0x0000250d 0x1000250d 4    5    .text   ascii   L$8Q
73   0x00002524 0x10002524 7    8    .text   ascii   |$,\b_r\r
74   0x00002545 0x10002545 4    5    .text   ascii   D$,\a
75   0x0000254d 0x1000254d 4    5    .text   ascii   \$(f
76   0x0000257d 0x1000257d 5    7    .text   utf8    D$\fǄ$ blocks=Basic Latin,Latin Extended-B
77   0x00002615 0x10002615 6    7    .text   ascii   M\bSVPQ
78   0x0000261c 0x1000261c 4    5    .text   ascii   T$0R
79   0x0000263b 0x1000263b 4    5    .text   ascii   D$$\a
80   0x00002643 0x10002643 4    5    .text   ascii   \$ f
81   0x00002676 0x10002676 4    6    .text   utf8    ƍL$< blocks=Latin Extended-B,Basic Latin
82   0x00002690 0x10002690 6    7    .text   ascii   |$$\br\r
83   0x000026a4 0x100026a4 4    5    .text   ascii   L$(Q
84   0x000026b0 0x100026b0 4    5    .text   ascii   D$(\a
85   0x000026b8 0x100026b8 4    5    .text   ascii   \$$f
