[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x0000011c 0x0000011c 4   8            utf8    ƿ䚐P) blocks=Latin Extended-B,CJK Unified Ideographs Extension A,Basic Latin
2    0x00000168 0x00000168 4   5            ascii   Rich
3    0x00000294 0x00000294 5   6            ascii   .text
4    0x000002bb 0x000002bb 7   8            ascii   `.rdata
5    0x000002e3 0x000002e3 5   6            ascii   @.crt
6    0x0000030c 0x0000030c 5   6            ascii   .rsrc
7    0x00000333 0x00000333 7   8            ascii   @.reloc
8    0x00000435 0x10001035 6   8    .text   utf8    !\tD$@f
9    0x0000043d 0x1000103d 4   5    .text   ascii   D$Ff
10   0x00000455 0x10001055 4   5    .text   ascii   t$$f
11   0x0000045a 0x1000105a 4   5    .text   ascii   t$*f
12   0x00000487 0x10001087 4   5    .text   ascii   L$*f
13   0x000004d7 0x100010d7 8   10   .text   utf8    \$ \tۉ\$@ blocks=Basic Latin,Arabic
14   0x000004fc 0x100010fc 8   10   .text   utf8    [_^]ËE\bf blocks=Basic Latin,Latin-1 Supplement
15   0x00000506 0x10001106 4   5    .text   ascii   L$*f
16   0x00000532 0x10001132 5   6    .text   ascii   D$05I
17   0x0000053e 0x1000113e 4   5    .text   ascii   L$L5
18   0x0000054b 0x1000114b 4   5    .text   ascii   t$0)
19   0x000005d4 0x100011d4 5   7    .text   utf8    ^_[]Ð blocks=Basic Latin,Latin-1 Supplement
20   0x0000063b 0x1000123b 4   5    .text   ascii   ?f;E
21   0x00000689 0x10001289 5   6    .text   ascii   xga"%
22   0x000006d7 0x100012d7 5   6    .text   ascii   xga"%
23   0x00000714 0x10001314 8   9    .text   ascii   D$&f\r_&f
24   0x00000766 0x10001366 5   6    .text   ascii   xga"%
25   0x000007cf 0x100013cf 5   6    .text   ascii   xga"%
26   0x00000811 0x10001411 4   5    .text   ascii   L$\v8
27   0x0000084a 0x1000144a 5   6    .text   ascii   xga"%
28   0x00000869 0x10001469 4   5    .text   ascii   D$\f9
29   0x00000879 0x10001479 5   6    .text   ascii   f+D$&
30   0x0000089f 0x1000149f 4   5    .text   ascii   D$<F
31   0x000008d6 0x100014d6 4   6    .text   utf8    D$&o
32   0x000008e7 0x100014e7 4   5    .text   ascii   D$ Y
33   0x000008ec 0x100014ec 6   7    .text   ascii   A5+D$<
34   0x000008fd 0x100014fd 4   5    .text   ascii   t$&f
35   0x00000917 0x10001517 4   5    .text   ascii   |$\f9
36   0x0000091d 0x1000151d 5   6    .text   ascii   D$\bsv
37   0x00000955 0x10001555 4   6    .text   utf8    ҉T$4 blocks=Cyrillic,Basic Latin
38   0x00000963 0x10001563 5   7    .text   utf8    \vD$0\r
39   0x0000099e 0x1000159e 4   5    .text   ascii   D$,@
40   0x000009a4 0x100015a4 4   5    .text   ascii   bf=\a
41   0x00000a27 0x10001627 8   10   .text   utf8    [_^]Á|$l blocks=Basic Latin,Latin-1 Supplement
42   0x00000a3d 0x1000163d 5   6    .text   ascii   D$w3f
43   0x00000a7f 0x1000167f 5   7    .text   utf8    D$`Ƅ$ blocks=Basic Latin,Latin Extended-B
44   0x00000aa6 0x100016a6 4   5    .text   ascii   L$dA
45   0x00000aab 0x100016ab 6   8    .text   utf8    L$dfǄ$ blocks=Basic Latin,Latin Extended-B
46   0x00000ab9 0x100016b9 4   5    .text   ascii   |$dI
47   0x00000b13 0x10001713 8   10   .text   utf8    D$L1\tD$H
48   0x00000b28 0x10001728 5   7    .text   utf8    ߋ\$lC blocks=NKo,Basic Latin
49   0x00000b4e 0x1000174e 4   5    .text   ascii   L$<i
50   0x00000b68 0x10001768 5   7    .text   utf8    \$`Ǆ$ blocks=Basic Latin,Latin Extended-B
51   0x00000b77 0x10001777 8   10   .text   utf8    D$D)ƋD$8 blocks=Basic Latin,Latin Extended-B
52   0x00000b96 0x10001796 6   8    .text   utf8    D$P1ɺ\b blocks=Basic Latin,IPA Extensions
53   0x00000bc7 0x100017c7 4   5    .text   ascii   iB\ap
54   0x00000bfb 0x100017fb 5   6    .text   ascii   D$p\e\t
55   0x00000c12 0x10001812 4   5    .text   ascii   D$\b\b
56   0x00000d23 0x10001923 6   8    .text   utf8    l\r։D$` blocks=Basic Latin,Armenian
57   0x00000d2c 0x1000192c 4   6    .text   utf8    ÉL$\ blocks=Latin-1 Supplement,Basic Latin
58   0x00000d32 0x10001932 8   10   .text   utf8    L$`9ȉt$X blocks=Basic Latin,Latin Extended-B
59   0x00000d40 0x10001940 4   5    .text   ascii   \$Sf
60   0x00000d5d 0x1000195d 4   5    .text   ascii   t$S(
61   0x00000d96 0x10001996 5   6    .text   ascii   |$Pf)
62   0x00000dc8 0x100019c8 4   5    .text   ascii   t$Pf
63   0x00000e7e 0x10001a7e 4   6    .text   utf8    ҋt$T blocks=Cyrillic,Basic Latin
64   0x00000eb5 0x10001ab5 6   9    .text   utf8    D$Pf%་ blocks=Basic Latin,Tibetan
65   0x00000ef7 0x10001af7 4   6    .text   utf8    ȊT$? blocks=Latin Extended-B,Basic Latin
66   0x00000f6d 0x10001b6d 4   5    .text   ascii   O- ;
67   0x00000fd4 0x10001bd4 5   7    .text   utf8    \$S\bۈ blocks=Basic Latin,Arabic
68   0x00000ff0 0x10001bf0 4   5    .text   ascii   D$\b\b
69   0x0000101d 0x10001c1d 5   7    .text   utf8    L$S(ȋ blocks=Basic Latin,Latin Extended-B
70   0x0000109a 0x10001c9a 5   8    .text   utf8    ȯŋD$x blocks=Latin Extended-B,Latin Extended-A,Basic Latin
71   0x000010a2 0x10001ca2 4   5    .text   ascii   L$|f
72   0x000010a7 0x10001ca7 4   5    .text   ascii   T$Pf
73   0x000010cb 0x10001ccb 5   6    .text   ascii   D$S\fd
74   0x0000114c 0x10001d4c 5   7    .text   utf8    T$X!҉ blocks=Basic Latin,Cyrillic
75   0x000011b2 0x10001db2 5   7    .text   utf8    [^_]á blocks=Basic Latin,Latin-1 Supplement
76   0x000011f7 0x10001df7 4   6    .text   utf8    ыT$\ blocks=Cyrillic,Basic Latin
77   0x00001275 0x10001e75 4   5    .text   ascii   1=8l
78   0x00001293 0x10001e93 4   8    .text   utf8    θ騻9q blocks=Greek and Coptic,CJK Unified Ideographs,Basic Latin
79   0x000012a1 0x10001ea1 8   10   .text   utf8    c"}!REX̖ blocks=Basic Latin,Combining Diacritical Marks
80   0x000037cb 0x100043cb 4   5    .text   ascii   t$01
81   0x00003817 0x10004417 4   5    .text   ascii   [_^]
82   0x0000382f 0x1000442f 5   7    .text   utf8    }l؋L$ blocks=Basic Latin,Arabic
83   0x0000385a 0x1000445a 4   6    .text   utf8    ΈT$? blocks=Greek and Coptic,Basic Latin
84   0x0000388d 0x1000448d 4   5    .text   ascii   [_^]
85   0x000038bf 0x100044bf 4   5    .text   ascii   D$\b0
86   0x0000394d 0x1000454d 6   8    .text   utf8    _[^]ËE blocks=Basic Latin,Latin-1 Supplement
87   0x00003955 0x10004555 6   7    .text   ascii   9D$@r\e
88   0x00003981 0x10004581 4   6    .text   utf8    )ыt$ blocks=Basic Latin,Cyrillic
89   0x000039d7 0x100045d7 4   6    .text   utf8    ID$\f
90   0x00003a12 0x10004612 5   6    .text   ascii   D$pn2
91   0x00003ab9 0x100046b9 4   5    .text   ascii   T$|f
92   0x00003ac2 0x100046c2 4   6    .text   utf8    ҉T$| blocks=Cyrillic,Basic Latin
93   0x00003ac8 0x100046c8 4   5    .text   ascii   L$xf
94   0x00003acd 0x100046cd 4   5    .text   ascii   t$Tf
95   0x00003ad2 0x100046d2 4   5    .text   ascii   t$Vf
96   0x00003ad7 0x100046d7 4   5    .text   ascii   t$Vf
97   0x00003b09 0x10004709 8   10   .text   utf8    _^[]ËD$p blocks=Basic Latin,Latin-1 Supplement
98   0x00003b1f 0x1000471f 4   7    .text   utf8    D$xร blocks=Basic Latin,Thai
99   0x00003b34 0x10004734 4   5    .text   ascii   D$`1
100  0x00003b75 0x10004775 4   7    .text   utf8    닊D$# blocks=Hangul Syllables,Basic Latin
101  0x00003c03 0x10004803 4   6    .text   utf8    M\bǄ$ blocks=Basic Latin,Latin Extended-B
102  0x00003c73 0x10004873 4   5    .text   ascii   T$N)
103  0x00003c85 0x10004885 4   6    .text   utf8    ՉT$@ blocks=Armenian,Basic Latin
104  0x00003c93 0x10004893 4   5    .text   ascii   D$XC
105  0x00003c9f 0x1000489f 4   5    .text   ascii   t$X1
106  0x00003cc8 0x100048c8 4   5    .text   ascii   D$~@
107  0x00003cce 0x100048ce 5   7    .text   utf8    D$@Ǆ$ blocks=Basic Latin,Latin Extended-B
108  0x00003d0d 0x1000490d 5   6    .text   ascii   D$~f%
109  0x00003d24 0x10004924 4   7    .text   utf8    뛋D$x blocks=Hangul Syllables,Basic Latin
110  0x00003d39 0x10004939 4   6    .text   utf8    L܉D$ blocks=Basic Latin,Syriac
111  0x00003d41 0x10004941 4   6    .text   utf8    1ɉT$ blocks=Basic Latin,Latin Extended-B
112  0x00003d95 0x10004995 7   8    .text   ascii   D$D;D$4
113  0x00003dbf 0x100049bf 4   5    .text   ascii   D$Nf
114  0x00003dc4 0x100049c4 4   5    .text   ascii   D$~x
115  0x00003e14 0x10004a14 8   9    .text   ascii   @\ffiL$~h
116  0x00003e2a 0x10004a2a 5   7    .text   utf8    D$4Ƅ$ blocks=Basic Latin,Latin Extended-B
117  0x00003e73 0x10004a73 5   7    .text   utf8    L$PǄ$ blocks=Basic Latin,Latin Extended-B
118  0x00003e9a 0x10004a9a 5   7    .text   utf8    D$DǄ$ blocks=Basic Latin,Latin Extended-B
119  0x00003ee6 0x10004ae6 4   5    .text   ascii   D$oG
120  0x00003ef6 0x10004af6 4   5    .text   ascii   D$<i
121  0x00003f25 0x10004b25 4   5    .text   ascii   D$+$
122  0x00003f32 0x10004b32 4   6    .text   utf8    M\fǄ$ blocks=Basic Latin,Latin Extended-B
123  0x00003f70 0x10004b70 5   7    .text   utf8    D$pǄ$ blocks=Basic Latin,Latin Extended-B
124  0x00003f85 0x10004b85 6   8    .text   utf8    L$d1ҾE blocks=Basic Latin,Cyrillic
125  0x00003f92 0x10004b92 4   6    .text   utf8    ʉt$\b blocks=IPA Extensions,Basic Latin
126  0x00003fa7 0x10004ba7 5   7    .text   utf8    L$xǄ$ blocks=Basic Latin,Latin Extended-B
127  0x0000400f 0x10004c0f 4   5    .text   ascii   _[^]
128  0x00004072 0x10004c72 4   5    .text   ascii   D$\b5
129  0x000040a4 0x10004ca4 5   6    .text   ascii   D$*gp
130  0x000040eb 0x10004ceb 7   9    .text   utf8    r]ڸ#D$\f blocks=Basic Latin,Arabic
131  0x000040ff 0x10004cff 7   9    .text   utf8    [^_]ËD$ blocks=Basic Latin,Latin-1 Supplement
132  0x0000413d 0x10004d3d 4   6    .text   utf8    ܋D$  blocks=Syriac,Basic Latin
133  0x00004149 0x10004d49 4   6    .text   utf8    щL$$ blocks=Cyrillic,Basic Latin
134  0x00004166 0x10004d66 4   5    .text   ascii   T$*f
135  0x00004185 0x10004d85 4   5    .text   ascii   \$\ef
136  0x000041a2 0x10004da2 4   5    .text   ascii   t$*)
137  0x000041b2 0x10004db2 5   6    .text   ascii   |$\ff9
138  0x00004262 0x10004e62 5   7    .text   utf8    )Ɖt$` blocks=Basic Latin,Latin Extended-B
139  0x0000429d 0x10004e9d 4   5    .text   ascii   T\fhf
140  0x000042fe 0x10004efe 8   10   .text   utf8    [^_]ÍD$  blocks=Basic Latin,Latin-1 Supplement
141  0x00004308 0x10004f08 4   5    .text   ascii   D$db
142  0x0000431d 0x10004f1d 4   5    .text   ascii   XUJt
143  0x00004322 0x10004f22 6   10   .text   utf8    뭋D$`Ƅ$ blocks=Hangul Syllables,Basic Latin,Latin Extended-B
144  0x00004354 0x10004f54 4   5    .text   ascii   T$"f
145  0x0000436c 0x10004f6c 4   6    .text   utf8    ъ\$+ blocks=Cyrillic,Basic Latin
146  0x000043cc 0x10004fcc 4   5    .text   ascii   [^_]
147  0x000043e5 0x10004fe5 5   6    .text   ascii   D$+Bf
148  0x00004446 0x10005046 4   6    .text   utf8    U\bǄ$ blocks=Basic Latin,Latin Extended-B
149  0x000044aa 0x100050aa 4   5    .text   ascii   L$8f
150  0x00004516 0x10005116 4   5    .text   ascii   D$'4
151  0x00004682 0x10005282 4   5    .text   ascii   T$48
152  0x000046c7 0x100052c7 9   11   .text   utf8    ^[_]ÊD$'$ blocks=Basic Latin,Latin-1 Supplement
153  0x0000474a 0x1000534a 5   7    .text   utf8    D$0Ƅ$ blocks=Basic Latin,Latin Extended-B
