[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0040302c NONE FUNC KERNEL32.dll CopyFileA
2   0x00403030 NONE FUNC KERNEL32.dll SetFileAttributesA
3   0x00403034 NONE FUNC KERNEL32.dll WinExec
4   0x00403038 NONE FUNC KERNEL32.dll ExpandEnvironmentStringsA
5   0x0040303c NONE FUNC KERNEL32.dll CreateDirectoryA
6   0x00403040 NONE FUNC KERNEL32.dll LoadLibraryA
7   0x00403044 NONE FUNC KERNEL32.dll GetProcAddress
8   0x00403048 NONE FUNC KERNEL32.dll CreateProcessA
9   0x0040304c NONE FUNC KERNEL32.dll ExitProcess
10  0x00403050 NONE FUNC KERNEL32.dll DeleteFileA
11  0x00403054 NONE FUNC KERNEL32.dll Sleep
12  0x00403058 NONE FUNC KERNEL32.dll CloseHandle
13  0x0040305c NONE FUNC KERNEL32.dll GetModuleFileNameA
14  0x00403060 NONE FUNC KERNEL32.dll GetLastError
15  0x00403064 NONE FUNC KERNEL32.dll GetModuleHandleA
16  0x00403068 NONE FUNC KERNEL32.dll GetStartupInfoA
1   0x00403000 NONE FUNC ADVAPI32.dll RegDeleteValueA
2   0x00403004 NONE FUNC ADVAPI32.dll RegCloseKey
3   0x00403008 NONE FUNC ADVAPI32.dll RegOpenKeyExA
4   0x0040300c NONE FUNC ADVAPI32.dll CryptAcquireContextA
5   0x00403010 NONE FUNC ADVAPI32.dll CryptCreateHash
6   0x00403014 NONE FUNC ADVAPI32.dll CryptHashData
7   0x00403018 NONE FUNC ADVAPI32.dll CryptDeriveKey
8   0x0040301c NONE FUNC ADVAPI32.dll CryptDestroyHash
9   0x00403020 NONE FUNC ADVAPI32.dll CryptDecrypt
10  0x00403024 NONE FUNC ADVAPI32.dll RegSetValueExA
1   0x00403070 NONE FUNC LZ32.dll     LZOpenFileA
2   0x00403074 NONE FUNC LZ32.dll     LZCopy
3   0x00403078 NONE FUNC LZ32.dll     LZClose
1   0x00403080 NONE FUNC MSVCRT.dll   fwrite
2   0x00403084 NONE FUNC MSVCRT.dll   fread
3   0x00403088 NONE FUNC MSVCRT.dll   malloc
4   0x0040308c NONE FUNC MSVCRT.dll   fopen
5   0x00403090 NONE FUNC MSVCRT.dll   _beginthreadex
6   0x00403094 NONE FUNC MSVCRT.dll   strstr
7   0x00403098 NONE FUNC MSVCRT.dll   ftell
8   0x0040309c NONE FUNC MSVCRT.dll   fseek
9   0x004030a0 NONE FUNC MSVCRT.dll   strncmp
10  0x004030a4 NONE FUNC MSVCRT.dll   strncpy
11  0x004030a8 NONE FUNC MSVCRT.dll   _mbsnbcmp
12  0x004030ac NONE FUNC MSVCRT.dll   _exit
13  0x004030b0 NONE FUNC MSVCRT.dll   fclose
14  0x004030b4 NONE FUNC MSVCRT.dll   exit
15  0x004030b8 NONE FUNC MSVCRT.dll   _acmdln
16  0x004030bc NONE FUNC MSVCRT.dll   __getmainargs
17  0x004030c0 NONE FUNC MSVCRT.dll   _initterm
18  0x004030c4 NONE FUNC MSVCRT.dll   __setusermatherr
19  0x004030c8 NONE FUNC MSVCRT.dll   _adjust_fdiv
20  0x004030cc NONE FUNC MSVCRT.dll   __p__commode
21  0x004030d0 NONE FUNC MSVCRT.dll   __p__fmode
22  0x004030d4 NONE FUNC MSVCRT.dll   __set_app_type
23  0x004030d8 NONE FUNC MSVCRT.dll   _except_handler3
24  0x004030dc NONE FUNC MSVCRT.dll   _controlfp
25  0x004030e0 NONE FUNC MSVCRT.dll   _XcptFilter
26  0x004030e4 NONE FUNC MSVCRT.dll   free


