[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x00404010 NONE FUNC KERNEL32.dll lstrcpyA
2   0x00404014 NONE FUNC KERNEL32.dll lstrlenA
3   0x00404018 NONE FUNC KERNEL32.dll FindClose
4   0x0040401c NONE FUNC KERNEL32.dll FindNextFileA
5   0x00404020 NONE FUNC KERNEL32.dll FindFirstFileA
6   0x00404024 NONE FUNC KERNEL32.dll lstrcatA
7   0x00404028 NONE FUNC KERNEL32.dll DeleteFileA
8   0x0040402c NONE FUNC KERNEL32.dll Sleep
9   0x00404030 NONE FUNC KERNEL32.dll CloseHandle
10  0x00404034 NONE FUNC KERNEL32.dll GetShortPathNameA
11  0x00404038 NONE FUNC KERNEL32.dll GetModuleFileNameA
12  0x0040403c NONE FUNC KERNEL32.dll CreateEventA
13  0x00404040 NONE FUNC KERNEL32.dll SetErrorMode
14  0x00404044 NONE FUNC KERNEL32.dll GetTickCount
15  0x00404048 NONE FUNC KERNEL32.dll ExitProcess
16  0x0040404c NONE FUNC KERNEL32.dll SetProcessPriorityBoost
17  0x00404050 NONE FUNC KERNEL32.dll SetThreadPriority
18  0x00404054 NONE FUNC KERNEL32.dll GetCurrentThread
19  0x00404058 NONE FUNC KERNEL32.dll GetFileAttributesA
20  0x0040405c NONE FUNC KERNEL32.dll GetCurrentProcess
21  0x00404060 NONE FUNC KERNEL32.dll GetEnvironmentVariableA
22  0x00404064 NONE FUNC KERNEL32.dll GlobalMemoryStatus
23  0x00404068 NONE FUNC KERNEL32.dll GetSystemInfo
24  0x0040406c NONE FUNC KERNEL32.dll GetVersionExA
25  0x00404070 NONE FUNC KERNEL32.dll GetComputerNameA
26  0x00404074 NONE FUNC KERNEL32.dll ReadFile
27  0x00404078 NONE FUNC KERNEL32.dll GetFileSize
28  0x0040407c NONE FUNC KERNEL32.dll TerminateProcess
29  0x00404080 NONE FUNC KERNEL32.dll WaitForSingleObject
30  0x00404084 NONE FUNC KERNEL32.dll CreateProcessA
31  0x00404088 NONE FUNC KERNEL32.dll GetSystemDirectoryA
32  0x0040408c NONE FUNC KERNEL32.dll GetStartupInfoA
33  0x00404090 NONE FUNC KERNEL32.dll FlushFileBuffers
34  0x00404094 NONE FUNC KERNEL32.dll WriteFile
35  0x00404098 NONE FUNC KERNEL32.dll CreateFileA
36  0x0040409c NONE FUNC KERNEL32.dll SetFilePointer
37  0x004040a0 NONE FUNC KERNEL32.dll CreateDirectoryA
38  0x004040a4 NONE FUNC KERNEL32.dll GetLastError
39  0x004040a8 NONE FUNC KERNEL32.dll SetPriorityClass
40  0x004040ac NONE FUNC KERNEL32.dll SetCurrentDirectoryA
1   0x0040415c NONE FUNC USER32.dll   CharNextA
1   0x004040bc NONE FUNC MSVCRT.dll   memcpy
2   0x004040c0 NONE FUNC MSVCRT.dll   sym.imp.void * __cdecl operator new(unsigned int)
3   0x004040c4 NONE FUNC MSVCRT.dll   fclose
4   0x004040c8 NONE FUNC MSVCRT.dll   fread
5   0x004040cc NONE FUNC MSVCRT.dll   fseek
6   0x004040d0 NONE FUNC MSVCRT.dll   memset
7   0x004040d4 NONE FUNC MSVCRT.dll   free
8   0x004040d8 NONE FUNC MSVCRT.dll   sprintf
9   0x004040dc NONE FUNC MSVCRT.dll   fprintf
10  0x004040e0 NONE FUNC MSVCRT.dll   fwrite
11  0x004040e4 NONE FUNC MSVCRT.dll   _stat
12  0x004040e8 NONE FUNC MSVCRT.dll   atoi
13  0x004040ec NONE FUNC MSVCRT.dll   strchr
14  0x004040f0 NONE FUNC MSVCRT.dll   strcpy
15  0x004040f4 NONE FUNC MSVCRT.dll   strstr
16  0x004040f8 NONE FUNC MSVCRT.dll   strlen
17  0x004040fc NONE FUNC MSVCRT.dll   _except_handler3
18  0x00404100 NONE FUNC MSVCRT.dll   rand
19  0x00404104 NONE FUNC MSVCRT.dll   srand
20  0x00404108 NONE FUNC MSVCRT.dll   time
21  0x0040410c NONE FUNC MSVCRT.dll   strrchr
22  0x00404110 NONE FUNC MSVCRT.dll   setlocale
23  0x00404114 NONE FUNC MSVCRT.dll   __CxxFrameHandler
24  0x00404118 NONE FUNC MSVCRT.dll   strcat
