[Strings]
nth  paddr      vaddr      len  size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d8 0x000000d8 6    7            ascii   Richx\t
2    0x00000150 0x00000150 4    5            ascii   DUMP
3    0x000001f0 0x000001f0 5    6            ascii   .text
4    0x00000217 0x00000217 7    8            ascii   `.rdata
5    0x0000023f 0x0000023f 6    7            ascii   @.data
6    0x00000268 0x00000268 5    6            ascii   .rsrc
7    0x0000028f 0x0000028f 7    8            ascii   @.reloc
8    0x00001001 0x10001001 5    6    .text   ascii   D$\bHu
9    0x00001038 0x10001038 4    5    .text   ascii   t$\bV
10   0x00001079 0x10001079 5    7    .text   utf8    MԍFpQ blocks=Basic Latin,Cyrillic Supplement
11   0x00001149 0x10001149 4    5    .text   ascii   u\bWV
12   0x00001244 0x10001244 4    5    .text   ascii   t\nWS
13   0x0000126c 0x1000126c 4    5    .text   ascii   PWWh
14   0x00001290 0x10001290 4    5    .text   ascii   Y_^[
15   0x000012bc 0x100012bc 4    5    .text   ascii   PVVh
16   0x00001354 0x10001354 4    5    .text   ascii   t$\b+
17   0x0000139b 0x1000139b 5    6    .text   ascii   }\bYY;
18   0x000013b4 0x100013b4 4    5    .text   ascii   +F\fj
19   0x000013f3 0x100013f3 6    8    .text   utf8    N\f3\r}\f
20   0x000014ac 0x100014ac 4    5    .text   ascii   \$\bW
21   0x000015c8 0x100015c8 4    6    .text   utf8    ^ËF\f blocks=Basic Latin,Latin-1 Supplement
22   0x0000168c 0x1000168c 5    6    .text   ascii   u\fWQP
23   0x000016be 0x100016be 5    6    .text   ascii   ;t$\bu
24   0x0000175a 0x1000175a 4    5    .text   ascii   +F\fj
25   0x00001938 0x10001938 6    7    .text   ascii   t\n9_\fw
26   0x0000199d 0x1000199d 4    5    .text   ascii   t$\bk
27   0x000019b4 0x100019b4 4    5    .text   ascii   ;H\fs
28   0x000019de 0x100019de 5    6    .text   ascii   ;t$\bu
29   0x00001a16 0x10001a16 4    5    .text   ascii   Y;|$
30   0x00001a7e 0x10001a7e 5    6    .text   ascii   ;u\bt2
31   0x00001aa9 0x10001aa9 4    5    .text   ascii   ;u\fu
32   0x00001afb 0x10001afb 5    6    .text   ascii   t>SVW
33   0x00001cd7 0x10001cd7 5    6    .text   ascii   9T$\br
34   0x00001ce9 0x10001ce9 6    7    .text   ascii   H;D$\bv
35   0x00001d00 0x10001d00 4    5    .text   ascii   t$\bP
36   0x00001d81 0x10001d81 5    6    .text   ascii   9T$\br
37   0x00001d93 0x10001d93 5    6    .text   ascii   ;L$\bv
38   0x00001df6 0x10001df6 5    6    .text   ascii   u\fWQP
39   0x00001ee4 0x10001ee4 4    5    .text   ascii   ;E\fs
40   0x00001f11 0x10001f11 5    6    .text   ascii   ]\fPS+
41   0x00001fe6 0x10001fe6 4    5    .text   ascii   E\b@j
42   0x0000214b 0x1000214b 5    6    .text   ascii   E\fSVW
43   0x00002259 0x10002259 4    5    .text   ascii   ;E\fs
44   0x000022c1 0x100022c1 4    5    .text   ascii   D$\bP
45   0x000023d1 0x100023d1 4    5    .text   ascii   E\b@j
46   0x000024c4 0x100024c4 5    6    .text   ascii   E\fSVW
47   0x00002536 0x10002536 4    5    .text   ascii   WRQP
48   0x000025f3 0x100025f3 4    5    .text   ascii   Wj\bP
49   0x0000279c 0x1000279c 4    5    .text   ascii   D$,P
50   0x000027a1 0x100027a1 5    6    .text   ascii   D$LPh
51   0x000027cf 0x100027cf 5    7    .text   utf8    L$4Ƅ$ blocks=Basic Latin,Latin Extended-B
52   0x00002820 0x10002820 4    5    .text   ascii   D$dP
53   0x0000287a 0x1000287a 4    5    .text   ascii   Y_^[
54   0x000028ab 0x100028ab 6    8    .text   utf8    j\a^3ۉ] blocks=Basic Latin,Arabic
55   0x00002a06 0x10002a06 5    7    .text   utf8    YY|܍E blocks=Basic Latin,Syriac
56   0x00002b1c 0x10002b1c 4    5    .text   ascii   G4SU
57   0x00002b60 0x10002b60 4    5    .text   ascii   +F\fj
58   0x00002b7c 0x10002b7c 4    5    .text   ascii   +C\fj
59   0x00002ce9 0x10002ce9 6    9    .text   utf8    ƋH(;ˍ] blocks=Latin Extended-B,Basic Latin,Spacing Modifier Letters
60   0x00002d15 0x10002d15 5    7    .text   utf8    R 3ۉ] blocks=Basic Latin,Arabic
61   0x00002d48 0x10002d48 4    6    .text   utf8    Ëu\b3 blocks=Latin-1 Supplement,Basic Latin
62   0x00002e04 0x10002e04 6    9    .text   utf8    ƋH(;ˍ] blocks=Latin Extended-B,Basic Latin,Spacing Modifier Letters
63   0x00002f28 0x10002f28 4    5    .text   ascii   +F\fj
64   0x00002f86 0x10002f86 4    5    .text   ascii   +F\fj
65   0x00002f8f 0x10002f8f 4    6    .text   utf8    3ɉO\f blocks=Basic Latin,Latin Extended-B
66   0x00002fd6 0x10002fd6 4    5    .text   ascii   +G\fj
67   0x00002fdf 0x10002fdf 5    6    .text   ascii   9E\bv-
68   0x00002ff9 0x10002ff9 4    5    .text   ascii   +G\fj
69   0x00003060 0x10003060 4    5    .text   ascii   +F\fj
70   0x0000309b 0x1000309b 4    5    .text   ascii   F\b(~
71   0x00003105 0x10003105 4    5    .text   ascii   G\b(~
72   0x000031c3 0x100031c3 4    6    .text   utf8    [YËA blocks=Basic Latin,Latin-1 Supplement
73   0x0000323d 0x1000323d 4    5    .text   ascii   QQSV
74   0x00003244 0x10003244 6    7    .text   ascii   F@\bWt#
75   0x00003353 0x10003353 4    5    .text   ascii   F uW
76   0x00003395 0x10003395 4    6    .text   utf8    +KN4
77   0x000033cc 0x100033cc 5    7    .text   utf8    \fO+I;
78   0x00003426 0x10003426 4    5    .text   ascii   t$\bW
79   0x0000342f 0x1000342f 6    7    .text   ascii   _t\ff;r
80   0x00003470 0x10003470 5    7    .text   utf8    _ËQ0S blocks=Basic Latin,Latin-1 Supplement
81   0x0000349a 0x1000349a 4    5    .text   ascii   9y<v
