[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0046c564 NONE FUNC ADVAPI32.dll AdjustTokenPrivileges
2   0x0046c56c NONE FUNC ADVAPI32.dll AllocateAndInitializeSid
3   0x0046c574 NONE FUNC ADVAPI32.dll CloseServiceHandle
4   0x0046c57c NONE FUNC ADVAPI32.dll ControlService
5   0x0046c584 NONE FUNC ADVAPI32.dll EnumDependentServicesW
6   0x0046c58c NONE FUNC ADVAPI32.dll EnumServicesStatusW
7   0x0046c594 NONE FUNC ADVAPI32.dll FreeSid
8   0x0046c59c NONE FUNC ADVAPI32.dll ImpersonateLoggedOnUser
9   0x0046c5a4 NONE FUNC ADVAPI32.dll LogonUserW
10  0x0046c5ac NONE FUNC ADVAPI32.dll LookupPrivilegeValueW
11  0x0046c5b4 NONE FUNC ADVAPI32.dll OpenProcessToken
12  0x0046c5bc NONE FUNC ADVAPI32.dll OpenSCManagerW
13  0x0046c5c4 NONE FUNC ADVAPI32.dll OpenServiceW
14  0x0046c5cc NONE FUNC ADVAPI32.dll SetEntriesInAclW
15  0x0046c5d4 NONE FUNC ADVAPI32.dll SetNamedSecurityInfoW
16  0x0046c5dc NONE FUNC ADVAPI32.dll StartServiceW
1   0x0046c5ec NONE FUNC KERNEL32.dll AcquireSRWLockExclusive
2   0x0046c5f4 NONE FUNC KERNEL32.dll AcquireSRWLockShared
3   0x0046c5fc NONE FUNC KERNEL32.dll AddVectoredExceptionHandler
4   0x0046c604 NONE FUNC KERNEL32.dll CloseHandle
5   0x0046c60c NONE FUNC KERNEL32.dll CompareStringOrdinal
6   0x0046c614 NONE FUNC KERNEL32.dll CreateFileMappingA
7   0x0046c61c NONE FUNC KERNEL32.dll CreateFileW
8   0x0046c624 NONE FUNC KERNEL32.dll CreateMutexA
9   0x0046c62c NONE FUNC KERNEL32.dll CreateNamedPipeW
10  0x0046c634 NONE FUNC KERNEL32.dll CreateProcessW
11  0x0046c63c NONE FUNC KERNEL32.dll CreateThread
12  0x0046c644 NONE FUNC KERNEL32.dll CreateToolhelp32Snapshot
13  0x0046c64c NONE FUNC KERNEL32.dll DeviceIoControl
14  0x0046c654 NONE FUNC KERNEL32.dll DuplicateHandle
15  0x0046c65c NONE FUNC KERNEL32.dll EnterCriticalSection
16  0x0046c664 NONE FUNC KERNEL32.dll ExitProcess
17  0x0046c66c NONE FUNC KERNEL32.dll FindClose
18  0x0046c674 NONE FUNC KERNEL32.dll FindFirstFileW
19  0x0046c67c NONE FUNC KERNEL32.dll FindFirstVolumeW
20  0x0046c684 NONE FUNC KERNEL32.dll FindNextFileW
21  0x0046c68c NONE FUNC KERNEL32.dll FindNextVolumeW
22  0x0046c694 NONE FUNC KERNEL32.dll FindVolumeClose
23  0x0046c69c NONE FUNC KERNEL32.dll FormatMessageW
24  0x0046c6a4 NONE FUNC KERNEL32.dll FreeEnvironmentStringsW
25  0x0046c6ac NONE FUNC KERNEL32.dll GetCommandLineW
26  0x0046c6b4 NONE FUNC KERNEL32.dll GetConsoleMode
27  0x0046c6bc NONE FUNC KERNEL32.dll GetCurrentDirectoryW
28  0x0046c6c4 NONE FUNC KERNEL32.dll GetCurrentProcess
29  0x0046c6cc NONE FUNC KERNEL32.dll GetCurrentProcessId
30  0x0046c6d4 NONE FUNC KERNEL32.dll GetCurrentThread
31  0x0046c6dc NONE FUNC KERNEL32.dll GetDriveTypeW
32  0x0046c6e4 NONE FUNC KERNEL32.dll GetEnvironmentStringsW
33  0x0046c6ec NONE FUNC KERNEL32.dll GetEnvironmentVariableW
34  0x0046c6f4 NONE FUNC KERNEL32.dll GetFileInformationByHandle
35  0x0046c6fc NONE FUNC KERNEL32.dll GetFullPathNameW
36  0x0046c704 NONE FUNC KERNEL32.dll GetLastError
37  0x0046c70c NONE FUNC KERNEL32.dll GetLogicalDriveStringsW
38  0x0046c714 NONE FUNC KERNEL32.dll GetModuleFileNameW
39  0x0046c71c NONE FUNC KERNEL32.dll GetModuleHandleA
40  0x0046c724 NONE FUNC KERNEL32.dll GetModuleHandleW
41  0x0046c72c NONE FUNC KERNEL32.dll GetProcAddress
42  0x0046c734 NONE FUNC KERNEL32.dll GetProcessHeap
43  0x0046c73c NONE FUNC KERNEL32.dll GetStartupInfoA
44  0x0046c744 NONE FUNC KERNEL32.dll GetStdHandle
45  0x0046c74c NONE FUNC KERNEL32.dll GetSystemDirectoryW
46  0x0046c754 NONE FUNC KERNEL32.dll GetSystemInfo
47  0x0046c75c NONE FUNC KERNEL32.dll GetVolumePathNamesForVolumeNameW
48  0x0046c764 NONE FUNC KERNEL32.dll GetWindowsDirectoryW
