[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000188 0x00000188 5   6            ascii   .text
2    0x000001ae 0x000001ae 7   8            ascii   P`.data
3    0x000001d8 0x000001d8 6   7            ascii   .rdata
4    0x000001fe 0x000001fe 8   9            ascii   `@.pdata
5    0x00000226 0x00000226 8   9            ascii   0@.xdata
6    0x0000024e 0x0000024e 6   7            ascii   0@.bss
7    0x00000278 0x00000278 6   7            ascii   .idata
8    0x000002a0 0x000002a0 4   5            ascii   .CRT
9    0x000002c8 0x000002c8 4   5            ascii   .tls
10   0x000002f0 0x000002f0 6   7            ascii   .reloc
11   0x00000453 0x00401053 4   5    .text   ascii   8MZu
12   0x00000458 0x00401058 5   6    .text   ascii   HcP<H
13   0x0000045e 0x0040105e 4   6    .text   utf8    Ё8PE blocks=Cyrillic,Basic Latin
14   0x00000561 0x00401161 4   5    .text   ascii   D$ H
15   0x00000580 0x00401180 9   10   .text   ascii   AUATUWVSH
16   0x00000598 0x00401198 4   5    .text   ascii   D$ L
17   0x0000063e 0x0040123e 5   7    .text   utf8    t\fE1:
18   0x000007dd 0x004013dd 8   9    .text   ascii   [^_]A\A]
19   0x00000882 0x00401482 8   9    .text   ascii   [^_]A\A]
20   0x000009ad 0x004015ad 4   5    .text   ascii   \bu\bH
21   0x00000a09 0x00401609 4   5    .text   ascii   \bubH
22   0x00000a24 0x00401624 4   5    .text   ascii   \buGH
23   0x00000a3f 0x0040163f 4   5    .text   ascii   \bu,H
24   0x00000b60 0x00401760 13  14   .text   ascii   AWAVAUATVWUSH
25   0x00000bbd 0x004017bd 4   5    .text   ascii   \$ H
26   0x00000bcf 0x004017cf 4   5    .text   ascii   L$ H
27   0x00000d5f 0x0040195f 4   5    .text   ascii   t$ H
28   0x00000da6 0x004019a6 13  14   .text   ascii   ([]_^A\A]A^A_
29   0x00000dbc 0x004019bc 13  14   .text   ascii   ([]_^A\A]A^A_
30   0x00000e46 0x00401a46 4   5    .text   ascii   \bu\tH
31   0x00000ece 0x00401ace 4   5    .text   ascii   \buBH
32   0x00000ee1 0x00401ae1 4   5    .text   ascii   \bu/H
33   0x00000f07 0x00401b07 4   5    .text   ascii   \bu\tH
34   0x00000fc7 0x00401bc7 4   5    .text   ascii   L$PH
35   0x00000fcf 0x00401bcf 4   5    .text   ascii   T$XH
36   0x00000fe9 0x00401be9 4   5    .text   ascii   L$ H
37   0x00001021 0x00401c21 4   5    .text   ascii   H H9
38   0x0000103f 0x00401c3f 4   5    .text   ascii   L$ H
39   0x000010d8 0x00401cd8 12  13   .text   ascii   AWAVAUATVWSH
40   0x00001178 0x00401d78 4   5    .text   ascii   t$0L
41   0x000011eb 0x00401deb 4   5    .text   ascii   t$8L
42   0x000011f0 0x00401df0 4   5    .text   ascii   d$0L
43   0x00001236 0x00401e36 4   5    .text   ascii   t$0H
44   0x00001250 0x00401e50 4   5    .text   ascii   \$@H
45   0x00001295 0x00401e95 5   6    .text   ascii   )D$0H
46   0x000012bd 0x00401ebd 4   5    .text   ascii   L$0H
47   0x000012f5 0x00401ef5 4   5    .text   ascii   D$pH
48   0x0000130a 0x00401f0a 4   5    .text   ascii   D$PL
49   0x0000130f 0x00401f0f 4   5    .text   ascii   t$XH
50   0x0000134a 0x00401f4a 4   5    .text   ascii   |$PH
51   0x0000135d 0x00401f5d 4   5    .text   ascii   t$pH
52   0x00001372 0x00401f72 4   5    .text   ascii   D$PH
53   0x00001394 0x00401f94 4   5    .text   ascii   L$PL
54   0x000013c3 0x00401fc3 11  12   .text   ascii   [_^A\A]A^A_
55   0x000013d9 0x00401fd9 4   5    .text   ascii   L$@L
56   0x000013de 0x00401fde 4   5    .text   ascii   D$PI
57   0x000013f1 0x00401ff1 4   5    .text   ascii   D$ H
58   0x000014bc 0x004020bc 4   5    .text   ascii   VWSH
59   0x000014fe 0x004020fe 4   5    .text   ascii    [_^
60   0x0000151c 0x0040211c 4   5    .text   ascii   \bu\tH
61   0x0000152f 0x0040212f 4   5    .text   ascii   \bu\tH
62   0x00001586 0x00402186 4   5    .text   ascii   VWSH
63   0x000015e1 0x004021e1 5   8    .text   utf8     [_^閅 blocks=Basic Latin,CJK Unified Ideographs
64   0x000015ee 0x004021ee 4   5    .text   ascii    [_^
65   0x00001669 0x00402269 4   5    .text   ascii   \bu\tH
66   0x00001676 0x00402276 13  14   .text   ascii   AWAVAUATVWUSH
67   0x00001695 0x00402295 4   5    .text   ascii   L$PH
68   0x00001702 0x00402302 4   5    .text   ascii   D$@H
69   0x00001707 0x00402307 4   5    .text   ascii   l$HH
70   0x00001710 0x00402310 5   6    .text   ascii   D$8E1
71   0x00001727 0x00402327 5   6    .text   ascii   D$PI9
72   0x00001758 0x00402358 4   5    .text   ascii   D$HN
73   0x000018f2 0x004024f2 4   5    .text   ascii   t\v\fH
74   0x00001a81 0x00402681 4   5    .text   ascii   l$8H
