[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0041501c NONE FUNC KERNEL32.DLL GetEnvironmentVariableA
2   0x00415020 NONE FUNC KERNEL32.DLL CreatePipe
3   0x00415024 NONE FUNC KERNEL32.DLL GetStartupInfoA
4   0x00415028 NONE FUNC KERNEL32.DLL CreateProcessA
5   0x0041502c NONE FUNC KERNEL32.DLL WaitForSingleObject
6   0x00415030 NONE FUNC KERNEL32.DLL PeekNamedPipe
7   0x00415034 NONE FUNC KERNEL32.DLL ReadFile
8   0x00415038 NONE FUNC KERNEL32.DLL GetVersionExA
9   0x0041503c NONE FUNC KERNEL32.DLL GetComputerNameA
10  0x00415040 NONE FUNC KERNEL32.DLL GetLogicalDriveStringsA
11  0x00415044 NONE FUNC KERNEL32.DLL CopyFileA
12  0x00415048 NONE FUNC KERNEL32.DLL Sleep
13  0x0041504c NONE FUNC KERNEL32.DLL CreateMutexA
14  0x00415050 NONE FUNC KERNEL32.DLL GetLastError
15  0x00415054 NONE FUNC KERNEL32.DLL ExitProcess
16  0x00415058 NONE FUNC KERNEL32.DLL MultiByteToWideChar
17  0x0041505c NONE FUNC KERNEL32.DLL SetFilePointer
18  0x00415060 NONE FUNC KERNEL32.DLL DeleteCriticalSection
19  0x00415064 NONE FUNC KERNEL32.DLL EnterCriticalSection
20  0x00415068 NONE FUNC KERNEL32.DLL FlushFileBuffers
21  0x0041506c NONE FUNC KERNEL32.DLL LeaveCriticalSection
22  0x00415070 NONE FUNC KERNEL32.DLL CreateFileW
23  0x00415074 NONE FUNC KERNEL32.DLL CreateDirectoryA
24  0x00415078 NONE FUNC KERNEL32.DLL WriteFile
25  0x0041507c NONE FUNC KERNEL32.DLL CloseHandle
26  0x00415080 NONE FUNC KERNEL32.DLL CreateFileA
27  0x00415084 NONE FUNC KERNEL32.DLL GetProcAddress
28  0x00415088 NONE FUNC KERNEL32.DLL GetExitCodeThread
29  0x0041508c NONE FUNC KERNEL32.DLL LoadLibraryA
30  0x00415090 NONE FUNC KERNEL32.DLL GetProcessHeap
31  0x00415094 NONE FUNC KERNEL32.DLL SetEndOfFile
32  0x00415098 NONE FUNC KERNEL32.DLL WriteConsoleW
33  0x0041509c NONE FUNC KERNEL32.DLL SetStdHandle
34  0x004150a0 NONE FUNC KERNEL32.DLL HeapAlloc
35  0x004150a4 NONE FUNC KERNEL32.DLL HeapFree
36  0x004150a8 NONE FUNC KERNEL32.DLL EncodePointer
37  0x004150ac NONE FUNC KERNEL32.DLL DecodePointer
38  0x004150b0 NONE FUNC KERNEL32.DLL GetModuleHandleW
39  0x004150b4 NONE FUNC KERNEL32.DLL GetSystemTimeAsFileTime
40  0x004150b8 NONE FUNC KERNEL32.DLL GetCommandLineA
41  0x004150bc NONE FUNC KERNEL32.DLL HeapSetInformation
42  0x004150c0 NONE FUNC KERNEL32.DLL GetStartupInfoW
43  0x004150c4 NONE FUNC KERNEL32.DLL RaiseException
44  0x004150c8 NONE FUNC KERNEL32.DLL TerminateProcess
45  0x004150cc NONE FUNC KERNEL32.DLL GetCurrentProcess
46  0x004150d0 NONE FUNC KERNEL32.DLL UnhandledExceptionFilter
47  0x004150d4 NONE FUNC KERNEL32.DLL SetUnhandledExceptionFilter
48  0x004150d8 NONE FUNC KERNEL32.DLL IsDebuggerPresent
49  0x004150dc NONE FUNC KERNEL32.DLL IsProcessorFeaturePresent
50  0x004150e0 NONE FUNC KERNEL32.DLL GetStdHandle
51  0x004150e4 NONE FUNC KERNEL32.DLL GetModuleFileNameW
52  0x004150e8 NONE FUNC KERNEL32.DLL HeapCreate
53  0x004150ec NONE FUNC KERNEL32.DLL HeapSize
54  0x004150f0 NONE FUNC KERNEL32.DLL GetCPInfo
55  0x004150f4 NONE FUNC KERNEL32.DLL InterlockedIncrement
56  0x004150f8 NONE FUNC KERNEL32.DLL InterlockedDecrement
57  0x004150fc NONE FUNC KERNEL32.DLL GetACP
58  0x00415100 NONE FUNC KERNEL32.DLL GetOEMCP
59  0x00415104 NONE FUNC KERNEL32.DLL IsValidCodePage
60  0x00415108 NONE FUNC KERNEL32.DLL TlsAlloc
61  0x0041510c NONE FUNC KERNEL32.DLL TlsGetValue
62  0x00415110 NONE FUNC KERNEL32.DLL TlsSetValue
63  0x00415114 NONE FUNC KERNEL32.DLL TlsFree
64  0x00415118 NONE FUNC KERNEL32.DLL SetLastError
65  0x0041511c NONE FUNC KERNEL32.DLL GetCurrentThreadId
66  0x00415120 NONE FUNC KERNEL32.DLL InitializeCriticalSectionAndSpinCount
67  0x00415124 NONE FUNC KERNEL32.DLL RtlUnwind
68  0x00415128 NONE FUNC KERNEL32.DLL WideCharToMultiByte
69  0x0041512c NONE FUNC KERNEL32.DLL GetConsoleCP
70  0x00415130 NONE FUNC KERNEL32.DLL GetConsoleMode
71  0x00415134 NONE FUNC KERNEL32.DLL SetHandleCount
72  0x00415138 NONE FUNC KERNEL32.DLL GetFileType
73  0x0041513c NONE FUNC KERNEL32.DLL LoadLibraryW
74  0x00415140 NONE FUNC KERNEL32.DLL GetModuleFileNameA
75  0x00415144 NONE FUNC KERNEL32.DLL FreeEnvironmentStringsW
76  0x00415148 NONE FUNC KERNEL32.DLL GetEnvironmentStringsW
77  0x0041514c NONE FUNC KERNEL32.DLL QueryPerformanceCounter
78  0x00415150 NONE FUNC KERNEL32.DLL GetTickCount
79  0x00415154 NONE FUNC KERNEL32.DLL GetCurrentProcessId
80  0x00415158 NONE FUNC KERNEL32.DLL HeapReAlloc
81  0x0041515c NONE FUNC KERNEL32.DLL LCMapStringW
82  0x00415160 NONE FUNC KERNEL32.DLL GetStringTypeW
1   0x00415000 NONE FUNC ADVAPI32.dll RegSetValueExA
2   0x00415004 NONE FUNC ADVAPI32.dll RegCloseKey
3   0x00415008 NONE FUNC ADVAPI32.dll RegQueryValueExA
4   0x0041500c NONE FUNC ADVAPI32.dll RegEnumKeyExA
5   0x00415010 NONE FUNC ADVAPI32.dll RegOpenKeyExA
6   0x00415014 NONE FUNC ADVAPI32.dll GetUserNameA
1   0x00415170 NONE FUNC ole32.dll    CoCreateInstance
2   0x00415174 NONE FUNC ole32.dll    CoInitialize
3   0x00415178 NONE FUNC ole32.dll    CoUninitialize
1   0x00415168 NONE FUNC USER32.dll   GetSystemMetrics


