[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0044c0a0 NONE FUNC ADVAPI32.dll EqualSid
1   0x0044c0a8 NONE FUNC GDI32.dll    BitBlt
1   0x0044c0b0 NONE FUNC KERNEL32.DLL LoadLibraryA
2   0x0044c0b4 NONE FUNC KERNEL32.DLL ExitProcess
3   0x0044c0b8 NONE FUNC KERNEL32.DLL GetProcAddress
4   0x0044c0bc NONE FUNC KERNEL32.DLL VirtualProtect
1   0x0044c0c4 NONE FUNC PSAPI.DLL    EnumProcessModules
1   0x0044c0cc NONE FUNC SHLWAPI.dll  PathAppendA
1   0x0044c0d4 NONE FUNC USER32.dll   GetDC
19  0x0044c0dc NONE FUNC WS2_32.dll   send


