[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x00432258 NONE FUNC ADVAPI32.dll FreeSid
1   0x00432260 NONE FUNC GDI32.dll    BitBlt
1   0x00432268 NONE FUNC KERNEL32.DLL LoadLibraryA
2   0x0043226c NONE FUNC KERNEL32.DLL ExitProcess
3   0x00432270 NONE FUNC KERNEL32.DLL GetProcAddress
4   0x00432274 NONE FUNC KERNEL32.DLL VirtualProtect
1   0x0043227c NONE FUNC PSAPI.DLL    EnumProcessModules
1   0x00432284 NONE FUNC SHELL32.dll  ShellExecuteA
1   0x0043228c NONE FUNC USER32.dll   GetDC
57  0x00432294 NONE FUNC WS2_32.dll   gethostname


