[Strings]
nth  paddr      vaddr      len  size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000097 0x00000097 4    6            utf8    \f\rװ\f blocks=Basic Latin,Hebrew
2    0x000000bf 0x000000bf 4    6            utf8    \fǠC\f blocks=Basic Latin,Latin Extended-B
3    0x000000df 0x000000df 5    6            ascii   \fRich
4    0x000001f8 0x000001f8 5    6            ascii   .flat
5    0x0000021f 0x0000021f 6    7            ascii   `.text
6    0x00000247 0x00000247 7    8            ascii   `.rdata
7    0x0000026f 0x0000026f 6    7            ascii   @.data
8    0x00000298 0x00000298 5    6            ascii   .rsrc
9    0x000002bf 0x000002bf 7    8            ascii   @.reloc
10   0x00000403 0x10001003 5    6    .flat   ascii   SVWj3
11   0x00000443 0x10001043 4    5    .flat   ascii   T$\bL
12   0x00000483 0x10001083 4    5    .flat   ascii   VWj3
13   0x000004f1 0x100010f1 4    5    .flat   ascii   VWj3
14   0x0000051d 0x1000111d 4    6    .flat   utf8    Ё8PE blocks=Cyrillic,Basic Latin
15   0x000005d1 0x100011d1 4    5    .flat   ascii   VWj3
16   0x00000616 0x10001216 4    5    .flat   ascii   VWj3
17   0x00000627 0x10001227 4    5    .flat   ascii   u\bgH
18   0x00000804 0x10002004 4    5    .text   ascii   M\bSW
19   0x00000888 0x10002088 5    6    .text   ascii   t v\nW
20   0x0000089a 0x1000209a 5    6    .text   ascii   N\fWPQ
21   0x000008e6 0x100020e6 4    6    .text   utf8    ^[ËN blocks=Basic Latin,Latin-1 Supplement
22   0x000008f1 0x100020f1 5    6    .text   ascii   F\f+F\b
23   0x00000949 0x10002149 5    6    .text   ascii   V\fWSR
24   0x00000957 0x10002157 5    6    .text   ascii   ~\f_^[
25   0x0000096c 0x1000216c 4    5    .text   ascii   +F\f;
26   0x00000981 0x10002181 5    6    .text   ascii   V\fWQR
27   0x000009b1 0x100021b1 7    9    .text   utf8    ]\f+щM\f; blocks=Basic Latin,Cyrillic
28   0x000009ba 0x100021ba 4    5    .text   ascii   ryV3
29   0x00000a53 0x10002253 4    5    .text   ascii   QSVW
30   0x00000a73 0x10002273 4    5    .text   ascii   +N\fG
31   0x00000a89 0x10002289 4    5    .text   ascii   V\fWj
32   0x00000ad6 0x100022d6 4    5    .text   ascii   ]\bVW
33   0x00000bb8 0x100023b8 5    7    .text   utf8    ~\b+ȉM blocks=Basic Latin,Latin Extended-B
34   0x00000c27 0x10002427 4    5    .text   ascii   P\bVW
35   0x00000c77 0x10002477 4    5    .text   ascii   u\bWV
36   0x00000c9d 0x1000249d 5    7    .text   utf8    ^\b+ȉM blocks=Basic Latin,Latin Extended-B
37   0x00000d1b 0x1000251b 7    9    .text   utf8    ^\b+ȉM\b3 blocks=Basic Latin,Latin Extended-B
38   0x00000d8d 0x1000258d 5    6    .text   ascii   V\fWSR
39   0x00000dda 0x100025da 4    6    .text   utf8    W\f+Ѐ blocks=Basic Latin,Cyrillic
40   0x00000df3 0x100025f3 4    6    .text   utf8    W\f+Ѐ blocks=Basic Latin,Cyrillic
41   0x00000e03 0x10002603 4    5    .text   ascii   G\bVW
42   0x00000e77 0x10002677 4    6    .text   utf8    W\f+у blocks=Basic Latin,Cyrillic
43   0x00000e8a 0x1000268a 4    5    .text   ascii   O\bPW
44   0x00000ed3 0x100026d3 4    5    .text   ascii   SVW3
45   0x00000fe9 0x100027e9 4    5    .text   ascii   \f\eQR
46   0x00000ff7 0x100027f7 4    5    .text   ascii   \fh\fS
47   0x0000110a 0x1000290a 4    5    .text   ascii   u0j\b
48   0x00001371 0x10002b71 7    9    .text   utf8    p\b3ҍx\ff blocks=Basic Latin,Cyrillic
49   0x000013ea 0x10002bea 4    5    .text   ascii   \tt\nf
50   0x0000189e 0x1000309e 4    5    .text   ascii   t\v9~
51   0x000018eb 0x100030eb 6    7    .text   ascii   4HSVWt
52   0x00001977 0x10003177 4    5    .text   ascii   T$,R
53   0x0000199d 0x1000319d 4    5    .text   ascii   L$ P
54   0x000019bd 0x100031bd 7    8    .text   ascii   9t$,u\nP
55   0x00001b9b 0x1000339b 4    5    .text   ascii   ?PSQ
56   0x00001c26 0x10003426 4    5    .text   ascii   ?SRP
57   0x00001ce8 0x100034e8 5    6    .text   ascii   U\bSVW
58   0x00001d32 0x10003532 4    5    .text   ascii   :VSW
59   0x00001d52 0x10003552 5    6    .text   ascii   E\b_^[
60   0x00001d84 0x10003584 5    6    .text   ascii   ;~\b~m
61   0x00001ef5 0x100036f5 4    5    .text   ascii   ]\bW3
62   0x00001efa 0x100036fa 6    7    .text   ascii   9}\fv+V
63   0x00001f23 0x10003723 5    6    .text   ascii   G;}\fr
64   0x00001f29 0x10003729 4    5    .text   ascii   ^_[]
65   0x00001f7a 0x1000377a 4    6    .text   utf8    ]ËM\b blocks=Basic Latin,Latin-1 Supplement
66   0x00001f90 0x10003790 4    5    .text   ascii   PSWj
67   0x00001fe2 0x100037e2 4    6    .text   utf8    ~v3ɺ blocks=Basic Latin,IPA Extensions
68   0x00001ffd 0x100037fd 4    5    .text   ascii   VPSW
69   0x00002095 0x10003895 4    5    .text   ascii   ]\bVW
70   0x000020c5 0x100038c5 4    6    .text   utf8    ]ËM\f blocks=Basic Latin,Latin-1 Supplement
71   0x000020df 0x100038df 4    5    .text   ascii   PVSj
72   0x00002122 0x10003922 4    9    .text   utf16le jjjj
73   0x00002147 0x10003947 5    6    .text   ascii   WPVSj
74   0x0000221c 0x10003a1c 4    5    .text   ascii   3</u
75   0x0000225c 0x10003a5c 4    5    .text   ascii   3</u
76   0x000022a5 0x10003aa5 5    7    .text   utf8    ^\b+ȉM blocks=Basic Latin,Latin Extended-B
77   0x00002314 0x10003b14 4    5    .text   ascii   /</u
78   0x00002359 0x10003b59 5    7    .text   utf8    ^\b+ȉM blocks=Basic Latin,Latin Extended-B
79   0x000023c8 0x10003bc8 4    5    .text   ascii   /</u
