[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
693 0x00401000 NONE FUNC MSVBVM60.DLL rtcByteValueBstr
586 0x00401004 NONE FUNC MSVBVM60.DLL rtcExp
587 0x00401008 NONE FUNC MSVBVM60.DLL rtcLog
588 0x0040100c NONE FUNC MSVBVM60.DLL rtcRgb
698 0x00401010 NONE FUNC MSVBVM60.DLL rtcVarBstrFromChar
699 0x00401014 NONE FUNC MSVBVM60.DLL MethCallEngine
516 0x00401018 NONE FUNC MSVBVM60.DLL rtcAnsiValueBstr
662 0x0040101c NONE FUNC MSVBVM60.DLL rtcDateDiff
595 0x00401020 NONE FUNC MSVBVM60.DLL rtcMsgBox
596 0x00401024 NONE FUNC MSVBVM60.DLL EVENT_SINK_AddRef
597 0x00401028 NONE FUNC MSVBVM60.DLL DllFunctionCall
676 0x0040102c NONE FUNC MSVBVM60.DLL rtcPMT
677 0x00401030 NONE FUNC MSVBVM60.DLL EVENT_SINK_Release
678 0x00401034 NONE FUNC MSVBVM60.DLL EVENT_SINK_QueryInterface
679 0x00401038 NONE FUNC MSVBVM60.DLL __vbaExceptHandler
609 0x0040103c NONE FUNC MSVBVM60.DLL rtcGetDateBstr
648 0x00401040 NONE FUNC MSVBVM60.DLL rtcFreeFile
100 0x00401044 NONE FUNC MSVBVM60.DLL ThunRTMain
545 0x00401048 NONE FUNC MSVBVM60.DLL rtcGetMonthOfYear
546 0x0040104c NONE FUNC MSVBVM60.DLL rtcGetPresentDate


