[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
151 0x0048d7b0 NONE FUNC WSOCK32.dll  __WSAFDIsSet
16  0x0048d7b4 NONE FUNC WSOCK32.dll  recv
19  0x0048d7b8 NONE FUNC WSOCK32.dll  send
21  0x0048d7bc NONE FUNC WSOCK32.dll  setsockopt
15  0x0048d7c0 NONE FUNC WSOCK32.dll  ntohs
17  0x0048d7c4 NONE FUNC WSOCK32.dll  recvfrom
18  0x0048d7c8 NONE FUNC WSOCK32.dll  select
115 0x0048d7cc NONE FUNC WSOCK32.dll  WSAStartup
9   0x0048d7d0 NONE FUNC WSOCK32.dll  htons
1   0x0048d7d4 NONE FUNC WSOCK32.dll  accept
13  0x0048d7d8 NONE FUNC WSOCK32.dll  listen
2   0x0048d7dc NONE FUNC WSOCK32.dll  bind
3   0x0048d7e0 NONE FUNC WSOCK32.dll  closesocket
4   0x0048d7e4 NONE FUNC WSOCK32.dll  connect
116 0x0048d7e8 NONE FUNC WSOCK32.dll  WSACleanup
10  0x0048d7ec NONE FUNC WSOCK32.dll  inet_addr
20  0x0048d7f0 NONE FUNC WSOCK32.dll  sendto
111 0x0048d7f4 NONE FUNC WSOCK32.dll  WSAGetLastError
11  0x0048d7f8 NONE FUNC WSOCK32.dll  inet_ntoa
52  0x0048d7fc NONE FUNC WSOCK32.dll  gethostbyname
57  0x0048d800 NONE FUNC WSOCK32.dll  gethostname
23  0x0048d804 NONE FUNC WSOCK32.dll  socket
1   0x0048d754 NONE FUNC VERSION.dll  GetFileVersionInfoW
2   0x0048d758 NONE FUNC VERSION.dll  VerQueryValueW
3   0x0048d75c NONE FUNC VERSION.dll  GetFileVersionInfoSizeW
1   0x0048d7a0 NONE FUNC WINMM.dll    timeGetTime
2   0x0048d7a4 NONE FUNC WINMM.dll    waveOutSetVolume
3   0x0048d7a8 NONE FUNC WINMM.dll    mciSendStringW
1   0x0048d088 NONE FUNC COMCTL32.dll ImageList_Destroy
2   0x0048d08c NONE FUNC COMCTL32.dll ImageList_Remove
3   0x0048d090 NONE FUNC COMCTL32.dll ImageList_SetDragCursorImage
4   0x0048d094 NONE FUNC COMCTL32.dll ImageList_BeginDrag
5   0x0048d098 NONE FUNC COMCTL32.dll ImageList_DragEnter
6   0x0048d09c NONE FUNC COMCTL32.dll ImageList_DragLeave
7   0x0048d0a0 NONE FUNC COMCTL32.dll ImageList_EndDrag
