[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x1000a000 NONE FUNC KERNEL32.dll LoadLibraryW
2   0x1000a004 NONE FUNC KERNEL32.dll GetTempPathW
3   0x1000a008 NONE FUNC KERNEL32.dll DeleteFileW
4   0x1000a00c NONE FUNC KERNEL32.dll CreateDirectoryW
5   0x1000a010 NONE FUNC KERNEL32.dll GetFileSize
6   0x1000a014 NONE FUNC KERNEL32.dll SetFilePointer
7   0x1000a018 NONE FUNC KERNEL32.dll FreeResource
8   0x1000a01c NONE FUNC KERNEL32.dll FindResourceW
9   0x1000a020 NONE FUNC KERNEL32.dll LoadResource
10  0x1000a024 NONE FUNC KERNEL32.dll WriteFile
11  0x1000a028 NONE FUNC KERNEL32.dll SizeofResource
12  0x1000a02c NONE FUNC KERNEL32.dll ReadFile
13  0x1000a030 NONE FUNC KERNEL32.dll GetModuleFileNameW
14  0x1000a034 NONE FUNC KERNEL32.dll CreateFileW
15  0x1000a038 NONE FUNC KERNEL32.dll LockResource
16  0x1000a03c NONE FUNC KERNEL32.dll CloseHandle
17  0x1000a040 NONE FUNC KERNEL32.dll LCMapStringEx
18  0x1000a044 NONE FUNC KERNEL32.dll GetLastError
19  0x1000a048 NONE FUNC KERNEL32.dll HeapFree
20  0x1000a04c NONE FUNC KERNEL32.dll HeapAlloc
21  0x1000a050 NONE FUNC KERNEL32.dll HeapReAlloc
22  0x1000a054 NONE FUNC KERNEL32.dll GetCommandLineA
23  0x1000a058 NONE FUNC KERNEL32.dll GetCurrentThreadId
24  0x1000a05c NONE FUNC KERNEL32.dll IsDebuggerPresent
25  0x1000a060 NONE FUNC KERNEL32.dll IsProcessorFeaturePresent
26  0x1000a064 NONE FUNC KERNEL32.dll EncodePointer
27  0x1000a068 NONE FUNC KERNEL32.dll DecodePointer
28  0x1000a06c NONE FUNC KERNEL32.dll GetProcessHeap
29  0x1000a070 NONE FUNC KERNEL32.dll InterlockedDecrement
30  0x1000a074 NONE FUNC KERNEL32.dll ExitProcess
31  0x1000a078 NONE FUNC KERNEL32.dll GetModuleHandleExW
32  0x1000a07c NONE FUNC KERNEL32.dll GetProcAddress
33  0x1000a080 NONE FUNC KERNEL32.dll MultiByteToWideChar
34  0x1000a084 NONE FUNC KERNEL32.dll GetStdHandle
35  0x1000a088 NONE FUNC KERNEL32.dll SetLastError
36  0x1000a08c NONE FUNC KERNEL32.dll InterlockedIncrement
37  0x1000a090 NONE FUNC KERNEL32.dll GetFileType
38  0x1000a094 NONE FUNC KERNEL32.dll InitializeCriticalSectionAndSpinCount
39  0x1000a098 NONE FUNC KERNEL32.dll DeleteCriticalSection
40  0x1000a09c NONE FUNC KERNEL32.dll InitOnceExecuteOnce
41  0x1000a0a0 NONE FUNC KERNEL32.dll GetStartupInfoW
42  0x1000a0a4 NONE FUNC KERNEL32.dll GetModuleFileNameA
43  0x1000a0a8 NONE FUNC KERNEL32.dll QueryPerformanceCounter
44  0x1000a0ac NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
45  0x1000a0b0 NONE FUNC KERNEL32.dll GetTickCount64
46  0x1000a0b4 NONE FUNC KERNEL32.dll GetEnvironmentStringsW
47  0x1000a0b8 NONE FUNC KERNEL32.dll FreeEnvironmentStringsW
48  0x1000a0bc NONE FUNC KERNEL32.dll WideCharToMultiByte
49  0x1000a0c0 NONE FUNC KERNEL32.dll UnhandledExceptionFilter
50  0x1000a0c4 NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
51  0x1000a0c8 NONE FUNC KERNEL32.dll FlsAlloc
52  0x1000a0cc NONE FUNC KERNEL32.dll FlsGetValue
53  0x1000a0d0 NONE FUNC KERNEL32.dll FlsSetValue
54  0x1000a0d4 NONE FUNC KERNEL32.dll FlsFree
55  0x1000a0d8 NONE FUNC KERNEL32.dll GetCurrentProcess
56  0x1000a0dc NONE FUNC KERNEL32.dll TerminateProcess
57  0x1000a0e0 NONE FUNC KERNEL32.dll GetModuleHandleW
58  0x1000a0e4 NONE FUNC KERNEL32.dll Sleep
59  0x1000a0e8 NONE FUNC KERNEL32.dll EnterCriticalSection
60  0x1000a0ec NONE FUNC KERNEL32.dll LeaveCriticalSection
61  0x1000a0f0 NONE FUNC KERNEL32.dll GetConsoleCP
62  0x1000a0f4 NONE FUNC KERNEL32.dll GetConsoleMode
63  0x1000a0f8 NONE FUNC KERNEL32.dll SetFilePointerEx
64  0x1000a0fc NONE FUNC KERNEL32.dll IsValidCodePage
65  0x1000a100 NONE FUNC KERNEL32.dll GetACP
66  0x1000a104 NONE FUNC KERNEL32.dll GetOEMCP
67  0x1000a108 NONE FUNC KERNEL32.dll GetCPInfo
68  0x1000a10c NONE FUNC KERNEL32.dll LoadLibraryExW
69  0x1000a110 NONE FUNC KERNEL32.dll OutputDebugStringW
70  0x1000a114 NONE FUNC KERNEL32.dll RtlUnwind
71  0x1000a118 NONE FUNC KERNEL32.dll SetStdHandle
72  0x1000a11c NONE FUNC KERNEL32.dll WriteConsoleW
73  0x1000a120 NONE FUNC KERNEL32.dll GetStringTypeW
74  0x1000a124 NONE FUNC KERNEL32.dll HeapSize
75  0x1000a128 NONE FUNC KERNEL32.dll FlushFileBuffers
1   0x1000a130 NONE FUNC SHELL32.dll  SHGetSpecialFolderPathW
1   0x1000a138 NONE FUNC SHLWAPI.dll  PathFileExistsW


