[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000e0 0x000000e0 4   5            ascii   Rich
2    0x000001e8 0x000001e8 5   6            ascii   .text
3    0x0000020f 0x0000020f 7   8            ascii   `.rdata
4    0x00000237 0x00000237 6   7            ascii   @.data
5    0x00000260 0x00000260 5   6            ascii   .rsrc
6    0x00000287 0x00000287 7   8            ascii   @.reloc
7    0x00000521 0x10001121 4   5    .text   ascii   \tPSj
8    0x0000068f 0x1000128f 5   7    .text   utf8    PVSWǅ blocks=Basic Latin,Latin Extended-B
9    0x00000824 0x10001424 4   5    .text   ascii   M\fu\b
10   0x000009aa 0x100015aa 4   6    .text   utf8    NuՋM blocks=Basic Latin,Armenian
11   0x000009f0 0x100015f0 4   5    .text   ascii   SVWP
12   0x00000af2 0x100016f2 4   5    .text   ascii   ;8}T
13   0x00000b71 0x10001771 4   5    .text   ascii   Y_^[
14   0x00000c15 0x10001815 4   5    .text   ascii   \fSVW
15   0x00000c4a 0x1000184a 4   5    .text   ascii   W@PV
16   0x00000db4 0x100019b4 4   5    .text   ascii   PQWS
17   0x00000e8e 0x10001a8e 4   5    .text   ascii   Wj\a3
18   0x00000fb3 0x10001bb3 4   5    .text   ascii   u\fVh
19   0x000010da 0x10001cda 4   5    .text   ascii   oF f
20   0x00001136 0x10001d36 4   5    .text   ascii   oF f
21   0x0000118e 0x10001d8e 4   5    .text   ascii   oF f
22   0x00001359 0x10001f59 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
23   0x00001365 0x10001f65 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
24   0x00001377 0x10001f77 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
25   0x00001391 0x10001f91 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
26   0x000014f5 0x100020f5 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
27   0x00001503 0x10002103 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
28   0x00001519 0x10002119 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
29   0x00001533 0x10002133 6   8    .text   utf8    D$\f^_Í blocks=Basic Latin,Latin-1 Supplement
30   0x0000156b 0x1000216b 4   5    .text   ascii   oV f
31   0x00001570 0x10002170 4   5    .text   ascii   o^0f
32   0x00001588 0x10002188 4   5    .text   ascii   of@f
33   0x0000158d 0x1000218d 4   5    .text   ascii   onPf
34   0x00001592 0x10002192 4   5    .text   ascii   ov`f
35   0x00001597 0x10002197 4   5    .text   ascii   o~pf
36   0x00001604 0x10002204 5   6    .text   ascii   \aFGIu
37   0x00001610 0x10002210 4   6    .text   utf8    X^_Í blocks=Basic Latin,Latin-1 Supplement
38   0x00001637 0x10002237 4   5    .text   ascii   FGIu
39   0x00001696 0x10002296 4   5    .text   ascii   woSW
40   0x000016d9 0x100022d9 6   7    .text   ascii   u&j\f[9
41   0x0000181e 0x1000241e 4   5    .text   ascii   j\bh0
42   0x000019ad 0x100025ad 4   5    .text   ascii   j\fhP
43   0x000019c1 0x100025c1 4   5    .text   ascii   u\f95
44   0x00001a2b 0x1000262b 4   5    .text   ascii   u$SP
45   0x00001a48 0x10002648 4   5    .text   ascii   t\aSW
46   0x00001a58 0x10002658 4   5    .text   ascii   u*SV
47   0x00001a76 0x10002676 4   5    .text   ascii   t\fSV
48   0x00001b04 0x10002704 5   6    .text   ascii   YYu\bj
49   0x00001d73 0x10002973 5   6    .text   ascii   PPPPP
50   0x00001dc0 0x100029c0 4   5    .text   ascii   u\fWV
51   0x00001ee3 0x10002ae3 4   5    .text   ascii   E\bPW
52   0x00001f01 0x10002b01 5   6    .text   ascii   E\b[_^
53   0x00001f3e 0x10002b3e 4   5    .text   ascii   Bpu\a
54   0x00001f5d 0x10002b5d 4   5    .text   ascii   Apu\b
55   0x00001fa4 0x10002ba4 4   5    .text   ascii   E\bSV
56   0x00002049 0x10002c49 4   8    .text   utf8    3ɋKщ blocks=Basic Latin,Latin Extended-B,Cyrillic
57   0x0000214a 0x10002d4a 4   5    .text   ascii   j Y+
58   0x00002158 0x10002d58 6   7    .text   ascii   \bt/HHt
59   0x0000219c 0x10002d9c 5   6    .text   ascii   j*Xf;
60   0x00002208 0x10002e08 5   6    .text   ascii   j*Xf;
61   0x0000226d 0x10002e6d 7   8    .text   ascii   htHjlY;
62   0x00002297 0x10002e97 4   5    .text   ascii   f9\bu
63   0x000022b8 0x10002eb8 4   5    .text   ascii   j X\v
64   0x000023b0 0x10002fb0 10  11   .text   ascii   HHtXHHt\bHH
65   0x00002418 0x10003018 5   7    .text   utf8    j X\v؉ blocks=Basic Latin,Arabic
66   0x0000242e 0x1000302e 7   9    .text   utf8    u\vj X\v؉ blocks=Basic Latin,Arabic
67   0x00002472 0x10003072 4   8    .text   utf8    3ɋƋщ blocks=Basic Latin,Latin Extended-B,Cyrillic
68   0x000025e6 0x100031e6 4   5    .text   ascii   jiY;
69   0x000025ef 0x100031ef 7   8    .text   ascii   nt'joY;
70   0x0000268f 0x1000328f 5   6    .text   ascii   jgXf;
71   0x00002766 0x10003366 7   8    .text   ascii   YYjgXf9
72   0x000028c4 0x100034c4 4   5    .text   ascii   RPWQ
73   0x0000291c 0x1000351c 8   9    .text   ascii   >0t<Nj0X
74   0x0000297a 0x1000357a 4   5    .text   ascii   j-Xf
75   0x000029fd 0x100035fd 5   6    .text   ascii   Wj0XP
76   0x00002a9a 0x1000369a 4   5    .text   ascii   t\aj+
77   0x00002aac 0x100036ac 4   5    .text   ascii   j Yf
78   0x00002b09 0x10003709 5   6    .text   ascii   Wj XP
79   0x00002bf3 0x100037f3 4   5    .text   ascii   @\f@t
80   0x00002ca5 0x100038a5 4   5    .text   ascii   PWj?
81   0x00002cc2 0x100038c2 4   5    .text   ascii   [_^]
82   0x00002d2d 0x1000392d 5   7    .text   utf8    j\rX]Í blocks=Basic Latin,Latin-1 Supplement
83   0x00002e1c 0x10003a1c 6   7    .text   ascii   Genuu_
84   0x00002e25 0x10003a25 6   7    .text   ascii   ineIuV
85   0x00002e2e 0x10003a2e 7   8    .text   ascii   nteluM3
86   0x00002e53 0x10003a53 4   5    .text   ascii   t#=`
87   0x00002e6f 0x10003a6f 4   5    .text   ascii   t\a=p
88   0x0000308f 0x10003c8f 7   8    .text   ascii   uPVWhjO
89   0x000030c0 0x10003cc0 6   7    .text   ascii   _^t\eh@
90   0x0000313f 0x10003d3f 4   5    .text   ascii   ;u\fr
91   0x00003161 0x10003d61 4   5    .text   ascii   ;u\fr
92   0x0000323c 0x10003e3c 4   7    .text   utf8    ى]ԉE blocks=Arabic,Basic Latin,Cyrillic Supplement
93   0x00003256 0x10003e56 4   5    .text   ascii   YYhx
94   0x00003299 0x10003e99 4   5    .text   ascii   t\bj\b
95   0x0000331c 0x10003f1c 4   5    .text   ascii   u\bWV
96   0x000033d1 0x10003fd1 5   6    .text   ascii   <v5h2
97   0x00003462 0x10004062 5   8    .text   utf8    tD3ۋˊ blocks=Basic Latin,Arabic,Spacing Modifier Letters
98   0x00003475 0x10004075 4   5    .text   ascii   Ot\tA
99   0x000034b7 0x100040b7 5   6    .text   ascii   SSSSS
100  0x000034d2 0x100040d2 8   9    .text   ascii   u\r9M\fu&3
101  0x0000352d 0x1000412d 4   5    .text   ascii   t%Ou
102  0x0000359c 0x1000419c 4   5    .text   ascii   99t\r
103  0x0000361d 0x1000421d 5   7    .text   utf8    \v~du\f
104  0x000036b6 0x100042b6 4   5    .text   ascii   vdj\b
105  0x000036e3 0x100042e3 5   6    .text   ascii   9E\bu\r
106  0x00003819 0x10004419 4   5    .text   ascii   u\bj\r
107  0x00003822 0x10004422 6   8    .text   utf8    YËu\bj\f blocks=Basic Latin,Latin-1 Supplement
108  0x0000390e 0x1000450e 6   7    .text   ascii   ~pjCXf
109  0x00003985 0x10004585 4   5    .text   ascii   u\bj\r
110  0x00003a7a 0x1000467a 4   6    .text   utf8    Y3ۉ] blocks=Basic Latin,Arabic
111  0x00003aa6 0x100046a6 6   7    .text   ascii   j@j _W
112  0x00003b01 0x10004701 4   5    .text   ascii   A%\n\n
113  0x00003b62 0x10004762 5   6    .text   ascii   } j@W
114  0x00003b87 0x10004787 5   8    .text   utf8    }ԋE؋U blocks=Basic Latin,Cyrillic Supplement,Arabic
115  0x00003c38 0x10004838 4   5    .text   ascii   A%\n\n
116  0x00003d99 0x10004999 4   5    .text   ascii   SVWh
117  0x00003dd3 0x100049d3 4   5    .text   ascii   PSSV
118  0x00003e5f 0x10004a5f 6   8    .text   utf8    E\f3ɉM\b blocks=Basic Latin,Latin Extended-B
119  0x00003f0e 0x10004b0e 4   5    .text   ascii   >"u3
120  0x00003f4d 0x10004b4d 4   5    .text   ascii   tA9M
121  0x00003f52 0x10004b52 10  11   .text   ascii   u\b< t8<\tt4
122  0x00003fa0 0x10004ba0 5   6    .text   ascii   U\f_^[
123  0x00003fb1 0x10004bb1 4   6    .text   utf8    ]Ã=P blocks=Basic Latin,Latin-1 Supplement
124  0x0000402e 0x10004c2e 5   6    .text   ascii   t@VSP
125  0x0000406b 0x10004c6b 4   5    .text   ascii   Y[_^
126  0x00004089 0x10004c89 5   6    .text   ascii   PPPPP
127  0x00004144 0x10004d44 4   5    .text   ascii   f9\at
128  0x00004159 0x10004d59 5   6    .text   ascii   SPPP+
129  0x00004162 0x10004d62 5   6    .text   ascii   FVWPP
130  0x00004188 0x10004d88 5   6    .text   ascii   SVWPP
131  0x00004201 0x10004e01 4   6    .text   utf8    y3h,
132  0x00004316 0x10004f16 8   9    .text   ascii   u,9E\ft'9
133  0x000043df 0x10004fdf 5   6    .text   ascii   Y__^[
134  0x000043f8 0x10004ff8 4   5    .text   ascii   ]\fVW
135  0x000043fd 0x10004ffd 4   5    .text   ascii   {\b3=
136  0x00004493 0x10005093 4   5    .text   ascii   8csm
137  0x000044d3 0x100050d3 4   5    .text   ascii   9P\ft
138  0x0000458f 0x1000518f 4   6    .text   utf8    ̋T$\f blocks=Combining Diacritical Marks,Basic Latin
139  0x000045ac 0x100051ac 4   5    .text   ascii   L$\fW
140  0x000045df 0x100051df 5   7    .text   utf8    t\f+ш\a blocks=Basic Latin,Cyrillic
141  0x00004616 0x10005216 7   9    .text   utf8    D$\b_ËD$ blocks=Basic Latin,Latin-1 Supplement
142  0x0000471e 0x1000531e 4   6    .text   utf8    ]ËE\f blocks=Basic Latin,Latin-1 Supplement
143  0x000047e3 0x100053e3 5   6    .text   ascii   x$;5(
144  0x00004929 0x10005529 4   5    .text   ascii   u\bW3
145  0x00004cc7 0x100058c7 6   7    .text   ascii   t$j\rXP
146  0x00004ea2 0x10005aa2 4   5    .text   ascii   j\rYf
147  0x00004f9f 0x10005b9f 4   5    .text   ascii   j\r^f
148  0x00004fc4 0x10005bc4 5   6    .text   ascii   VVhU\r
149  0x00005167 0x10005d67 6   9    .text   utf8    u؉u܋}\b blocks=Basic Latin,Arabic,Syriac
150  0x00005216 0x10005e16 4   7    .text   utf8    މu؉] blocks=Thaana,Basic Latin,Arabic
151  0x00005267 0x10005e67 4   5    .text   ascii   u\bWV
152  0x000053a2 0x10005fa2 4   5    .text   ascii   _^[]
153  0x000053ad 0x10005fad 4   6    .text   utf8    u\b3ۋ blocks=Basic Latin,Arabic
154  0x000054fb 0x100060fb 5   6    .text   ascii   Y_^[]
