[Strings]
nth  paddr      vaddr      len  size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000f6 0x000000f6 6    7            ascii   2pRich
2    0x00000200 0x00000200 5    6            ascii   .text
3    0x00000227 0x00000227 7    8            ascii   `.rdata
4    0x0000024f 0x0000024f 6    7            ascii   @.data
5    0x00000278 0x00000278 6    7            ascii   .gfids
6    0x0000029f 0x0000029f 6    7            ascii   @.rsrc
7    0x000002c7 0x000002c7 7    8            ascii   @.reloc
8    0x0000048c 0x0040108c 5    7    .text   utf8    Yù*AD blocks=Basic Latin,Latin-1 Supplement
9    0x000004a2 0x004010a2 5    7    .text   utf8    Yù0BD blocks=Basic Latin,Latin-1 Supplement
10   0x000004ea 0x004010ea 4    5    .text   ascii   t$rW
11   0x0000053e 0x0040113e 7    8    .text   ascii   D$(^VQP
12   0x0000059e 0x0040119e 5    6    .text   ascii   D$@\f\b
13   0x000005d3 0x004011d3 6    7    .text   ascii   D$\fPt\b
14   0x00000612 0x00401212 6    9    .text   utf8    E\b3ɉE܍ blocks=Basic Latin,Latin Extended-B,Syriac
15   0x00000675 0x00401275 4    5    .text   ascii   D$\fP
16   0x000006ba 0x004012ba 5    6    .text   ascii   }\f0tY
17   0x000006f2 0x004012f2 5    6    .text   ascii   t1h!0
18   0x00000705 0x00401305 6    7    .text   ascii   E \bt\eh
19   0x000008c9 0x004014c9 5    7    .text   utf8    Q3\t\f$
20   0x00000a94 0x00401694 4    5    .text   ascii   F\fSU
21   0x00000b2d 0x0040172d 4    5    .text   ascii   ^\b[^
22   0x00000b4b 0x0040174b 4    5    .text   ascii   F\fSU
23   0x00000b8e 0x0040178e 4    5    .text   ascii   \ePt@
24   0x00000bed 0x004017ed 4    5    .text   ascii   ^\b[^
25   0x00000bf8 0x004017f8 7    8    .text   ascii   ;A\bv\v+A
26   0x00000c9d 0x0040189d 4    7    .text   utf8    3ۋω] blocks=Basic Latin,Arabic,Greek and Coptic
27   0x00000cd2 0x004018d2 4    5    .text   ascii   E\b9X
28   0x00000d35 0x00401935 4    5    .text   ascii   $SVW
29   0x00000d59 0x00401959 4    5    .text   ascii   \at\a2
30   0x00000dbe 0x004019be 4    7    .text   utf8    uЋωE blocks=Basic Latin,Cyrillic,Greek and Coptic
31   0x00000ddd 0x004019dd 5    6    .text   ascii   9RuJ+
32   0x00000fa3 0x00401ba3 4    8    .text   utf8    E܉Uˇ blocks=Basic Latin,Syriac,Spacing Modifier Letters
33   0x000010a9 0x00401ca9 4    5    .text   ascii   _^[d
34   0x000010c1 0x00401cc1 5    7    .text   utf8    3Ƀ|$\b blocks=Basic Latin,Latin Extended-B
35   0x000010cf 0x00401ccf 4    5    .text   ascii   8RuA
36   0x000010d4 0x00401cd4 6    7    .text   ascii   |$\b\ar:
37   0x0000110a 0x00401d0a 4    5    .text   ascii   \bv\a<
38   0x00001126 0x00401d26 5    8    .text   utf8    S3ۋIE blocks=Basic Latin,Arabic
39   0x00001167 0x00401d67 4    6    .text   utf8    E܋u\b blocks=Basic Latin,Syriac
40   0x00001220 0x00401e20 5    7    .text   utf8    u%3\tE
41   0x000012ca 0x00401eca 7    8    .text   ascii   ;A\bv\v+A
42   0x00001327 0x00401f27 4    5    .text   ascii   t$\bW
43   0x00001365 0x00401f65 14   15   .text   ascii   f90tCSj\Zj_[f9
44   0x000013a7 0x00401fa7 4    5    .text   ascii   f90u
45   0x00001476 0x00402076 4    6    .text   utf8    ωl$( blocks=Greek and Coptic,Basic Latin
46   0x00001487 0x00402087 5    7    .text   utf8    3ɉD$$ blocks=Basic Latin,Latin Extended-B
47   0x00001594 0x00402194 4    5    .text   ascii   +D$(
48   0x0000172f 0x0040232f 4    6    .text   utf8    D$8ƃ blocks=Basic Latin,Latin Extended-B
49   0x00001745 0x00402345 4    5    .text   ascii   D$0h
50   0x000019a7 0x004025a7 4    5    .text   ascii   D$XP
51   0x000019b4 0x004025b4 4    5    .text   ascii   D$`P
52   0x000019be 0x004025be 4    5    .text   ascii   D$0P
53   0x000019c3 0x004025c3 4    5    .text   ascii   D$\P
54   0x000019cf 0x004025cf 4    5    .text   ascii   D$4P
55   0x000019d4 0x004025d4 4    5    .text   ascii   D$4P
56   0x000019f2 0x004025f2 4    5    .text   ascii   j\bhp
57   0x00001a39 0x00402639 4    5    .text   ascii   ^][_
58   0x00001a61 0x00402661 5    7    .text   utf8    ٍM$WS blocks=Arabic,Basic Latin
59   0x00001aba 0x004026ba 6    8    .text   utf8    \bu=3ɍE blocks=Basic Latin,Latin Extended-B
60   0x00001ac2 0x004026c2 5    6    .text   ascii   QQQQP
61   0x00001e27 0x00402a27 5    8    .text   utf8    3ɋЉUL blocks=Basic Latin,Latin Extended-B,Cyrillic
62   0x00001e45 0x00402a45 4    5    .text   ascii   \rt4J
63   0x00001ee2 0x00402ae2 4    5    .text   ascii   t\n9N
64   0x00001fb4 0x00402bb4 7    9    .text   utf8    uv3ɍ~ f blocks=Basic Latin,Latin Extended-B
65   0x00001fdc 0x00402bdc 5    6    .text   ascii   UP@Y;
66   0x00002006 0x00402c06 4    5    .text   ascii   f9\au
67   0x00002045 0x00402c45 5    6    .text   ascii   ~\f+}X
68   0x0000215e 0x00402d5e 4    5    .text   ascii   ~ h`
69   0x000021d1 0x00402dd1 4    6    .text   utf8    E\f3\v
70   0x000023f1 0x00402ff1 4    5    .text   ascii   j\a_j
71   0x000024cb 0x004030cb 4    5    .text   ascii   _^[d
72   0x000024f5 0x004030f5 5    7    .text   utf8    ٍM(WS blocks=Arabic,Basic Latin
73   0x00002500 0x00403100 4    6    .text   utf8    3ɉMX blocks=Basic Latin,Latin Extended-B
74   0x000025c8 0x004031c8 5    6    .text   ascii   Pu[j{
75   0x00002646 0x00403246 4    5    .text   ascii   Mbj\a
76   0x000026c5 0x004032c5 4    5    .text   ascii   9u@r
77   0x00002761 0x00403361 4    5    .text   ascii   ELt(
