[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0040202c NONE FUNC KERNEL32.dll GetModuleHandleA
2   0x00402030 NONE FUNC KERNEL32.dll SetLastError
3   0x00402034 NONE FUNC KERNEL32.dll GetWindowsDirectoryA
4   0x00402038 NONE FUNC KERNEL32.dll GetFileAttributesA
5   0x0040203c NONE FUNC KERNEL32.dll lstrlenA
6   0x00402040 NONE FUNC KERNEL32.dll lstrcpyA
7   0x00402044 NONE FUNC KERNEL32.dll GetLastError
8   0x00402048 NONE FUNC KERNEL32.dll CreateFileA
9   0x0040204c NONE FUNC KERNEL32.dll WriteFile
10  0x00402050 NONE FUNC KERNEL32.dll GetStartupInfoA
11  0x00402054 NONE FUNC KERNEL32.dll CloseHandle
1   0x004020ac NONE FUNC USER32.dll   wsprintfA
1   0x00402000 NONE FUNC ADVAPI32.dll StartServiceA
2   0x00402004 NONE FUNC ADVAPI32.dll RegOpenKeyExA
3   0x00402008 NONE FUNC ADVAPI32.dll RegQueryValueExA
4   0x0040200c NONE FUNC ADVAPI32.dll RegCloseKey
5   0x00402010 NONE FUNC ADVAPI32.dll OpenSCManagerA
6   0x00402014 NONE FUNC ADVAPI32.dll CreateServiceA
7   0x00402018 NONE FUNC ADVAPI32.dll RegCreateKeyA
8   0x0040201c NONE FUNC ADVAPI32.dll RegSetValueExA
9   0x00402020 NONE FUNC ADVAPI32.dll CloseServiceHandle
10  0x00402024 NONE FUNC ADVAPI32.dll OpenServiceA
1   0x0040205c NONE FUNC MSVCRT.dll   __setusermatherr
2   0x00402060 NONE FUNC MSVCRT.dll   strchr
3   0x00402064 NONE FUNC MSVCRT.dll   __CxxFrameHandler
4   0x00402068 NONE FUNC MSVCRT.dll   _CxxThrowException
5   0x0040206c NONE FUNC MSVCRT.dll   sym.imp.void __cdecl operator delete(void *)
6   0x00402070 NONE FUNC MSVCRT.dll   sym.imp.public virtual: void __thiscall type_info::~destructor(void)
7   0x00402074 NONE FUNC MSVCRT.dll   _exit
8   0x00402078 NONE FUNC MSVCRT.dll   _XcptFilter
9   0x0040207c NONE FUNC MSVCRT.dll   exit
10  0x00402080 NONE FUNC MSVCRT.dll   _acmdln
11  0x00402084 NONE FUNC MSVCRT.dll   __getmainargs
12  0x00402088 NONE FUNC MSVCRT.dll   _initterm
13  0x0040208c NONE FUNC MSVCRT.dll   sym.imp.void * __cdecl operator new(unsigned int)
14  0x00402090 NONE FUNC MSVCRT.dll   _adjust_fdiv
15  0x00402094 NONE FUNC MSVCRT.dll   __p__commode
16  0x00402098 NONE FUNC MSVCRT.dll   __p__fmode
17  0x0040209c NONE FUNC MSVCRT.dll   __set_app_type
18  0x004020a0 NONE FUNC MSVCRT.dll   _except_handler3
19  0x004020a4 NONE FUNC MSVCRT.dll   _controlfp


