[Strings]
nth   paddr      vaddr      len  size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x00000178 0x00000178 5    6            ascii   .text
2     0x0000019e 0x0000019e 7    8            ascii   P`.data
3     0x000001c8 0x000001c8 6    7            ascii   .rdata
4     0x000001ee 0x000001ee 6    7            ascii   `@.bss
5     0x00000218 0x00000218 6    7            ascii   .idata
6     0x00000240 0x00000240 4    5            ascii   .CRT
7     0x00000268 0x00000268 4    5            ascii   .tls
8     0x00000290 0x00000290 5    6            ascii   .rsrc
9     0x00000591 0x00401191 5    7    .text   utf8    )čD$\e blocks=Basic Latin,Latin Extended-A
10    0x000005d5 0x004011d5 4    5    .text   ascii   5xxN
11    0x000007e3 0x004013e3 4    5    .text   ascii   \r\bpN
12    0x0000080c 0x0040140c 5    7    .text   utf8    [^_]á blocks=Basic Latin,Latin-1 Supplement
13    0x000009cc 0x004015cc 5    6    .text   ascii   ,[^_]
14    0x000009fb 0x004015fb 5    6    .text   ascii   ,[^_]
15    0x00000b94 0x00401794 4    6    .text   utf8    B\f]á blocks=Basic Latin,Latin-1 Supplement
16    0x00000d39 0x00401939 5    6    .text   ascii   u\r:T\b
17    0x00000e1c 0x00401a1c 4    5    .text   ascii   [^_]
18    0x00000e2d 0x00401a2d 4    6    .text   utf8    U܋U\b blocks=Basic Latin,Syriac
19    0x00000eec 0x00401aec 5    8    .text   utf8    )ىMЋM blocks=Basic Latin,Arabic,Cyrillic
20    0x00000f0d 0x00401b0d 4    5    .text   ascii   \tw&k
21    0x00000f20 0x00401b20 5    9    .text   utf8    ЉEЋEȃ blocks=Cyrillic,Basic Latin,Latin Extended-B
22    0x00000f7c 0x00401b7c 5    7    .text   utf8    u,1ҋu blocks=Basic Latin,Cyrillic
23    0x00000fe6 0x00401be6 4    5    .text   ascii   u\vkE
24    0x00001005 0x00401c05 4    6    .text   utf8    t\a1ɻ blocks=Basic Latin,IPA Extensions
25    0x0000102d 0x00401c2d 5    6    .text   ascii   4[^_]
26    0x00001101 0x00401d01 4    6    .text   utf8    \a\tΉ2 blocks=Basic Latin,Greek and Coptic
27    0x00001163 0x00401d63 4    6    .text   utf8    \a\tΉ2 blocks=Basic Latin,Greek and Coptic
28    0x000011c1 0x00401dc1 5    7    .text   utf8    [^_]É blocks=Basic Latin,Latin-1 Supplement
29    0x000011eb 0x00401deb 5    6    .text   ascii   <-u\nA
30    0x000011f8 0x00401df8 6    7    .text   ascii   z<+u\nA
31    0x00001218 0x00401e18 4    5    .text   ascii   <XuW
32    0x000012fa 0x00401efa 4    5    .text   ascii   [^_]
33    0x00001354 0x00401f54 4    5    .text   ascii   M|69
34    0x000013aa 0x00401faa 4    5    .text   ascii   [^_]
35    0x000013e0 0x00401fe0 4    6    .text   utf8    w\a1Ƀ blocks=Basic Latin,Latin Extended-B
36    0x0000148e 0x0040208e 4    6    .text   utf8    iұy7 blocks=Basic Latin,Cyrillic
37    0x0000149d 0x0040209d 4    5    .text   ascii   WVSS
38    0x000014f5 0x004020f5 5    6    .text   ascii   Z[^_]
39    0x00001565 0x00402165 5    6    .text   ascii   WVSS1
40    0x0000157c 0x0040217c 4    5    .text   ascii   \f20\v
41    0x00001597 0x00402197 7    8    .text   ascii   X\bX[^_]
42    0x000015a2 0x004021a2 4    6    .text   utf8    S1ۍE blocks=Basic Latin,Arabic
43    0x0000169f 0x0040229f 5    7    .text   utf8    [^_]Å blocks=Basic Latin,Latin-1 Supplement
44    0x000016c6 0x004022c6 7    8    .text   ascii   VSt0;A\b
45    0x00001709 0x00402309 4    6    .text   utf8    ҉P t blocks=Cyrillic,Basic Latin
46    0x00001730 0x00402330 8    10   .text   utf8    A\b[^]ËP\f blocks=Basic Latin,Latin-1 Supplement
47    0x0000179f 0x0040239f 4    6    .text   utf8    [^]É blocks=Basic Latin,Latin-1 Supplement
48    0x000017a5 0x004023a5 4    6    .text   utf8    ËP\ff blocks=Latin-1 Supplement,Basic Latin
49    0x00001814 0x00402414 4    6    .text   utf8    []ËH blocks=Basic Latin,Latin-1 Supplement
50    0x0000190b 0x0040250b 5    7    .text   utf8    0[]ËH blocks=Basic Latin,Latin-1 Supplement
51    0x00001971 0x00402571 5    6    .text   ascii   A8;Y$
52    0x00001986 0x00402586 6    7    .text   ascii   Y$[^_]
53    0x000019ea 0x004025ea 4    5    .text   ascii   [^_]
54    0x00001a2c 0x0040262c 5    7    .text   utf8    [^]Ë\b blocks=Basic Latin,Latin-1 Supplement
55    0x00001a8b 0x0040268b 4    5    .text   ascii   [^_]
56    0x00001aee 0x004026ee 5    8    .text   utf8    1\tր{\r blocks=Basic Latin,Armenian
57    0x00001b14 0x00402714 4    5    .text   ascii   [^_]
58    0x00001b48 0x00402748 5    8    .text   utf8    t$\b蜞\v blocks=Basic Latin,CJK Unified Ideographs
59    0x00001b68 0x00402768 7    9    .text   utf8    [^_]Àx\f blocks=Basic Latin,Latin-1 Supplement
60    0x00001c75 0x00402875 4    5    .text   ascii    tYU
61    0x00001ca9 0x004028a9 4    8    .text   utf8    ȋu䙋E blocks=Latin Extended-B,Basic Latin,CJK Unified Ideographs Extension A
62    0x00001ccb 0x004028cb 5    6    .text   ascii   ,[^_]
63    0x00001ce2 0x004028e2 5    7    .text   utf8    U1Ҁx\r blocks=Basic Latin,Cyrillic
64    0x00001cf9 0x004028f9 4    6    .text   utf8    @<1ҋ blocks=Basic Latin,Cyrillic
65    0x00001d02 0x00402902 6    8    .text   utf8    ~\t1҃x4 blocks=Basic Latin,Cyrillic
66    0x00001d14 0x00402914 4    5    .text   ascii   WVSS
67    0x00001daf 0x004029af 8    10   .text   utf8    X[^_]Àx+ blocks=Basic Latin,Latin-1 Supplement
68    0x00001e5e 0x00402a5e 5    6    .text   ascii   <[^_]
69    0x00001ec8 0x00402ac8 4    5    .text   ascii   WVSS
70    0x00001eda 0x00402ada 5    6    .text   ascii   ;FLt\v
