[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d0 0x000000d0 5   6            ascii   Richs
2    0x000001d8 0x000001d8 5   6            ascii   .text
3    0x000001ff 0x000001ff 7   8            ascii   `.rdata
4    0x00000227 0x00000227 6   7            ascii   @.data
5    0x00000250 0x00000250 5   6            ascii   .rsrc
6    0x00000599 0x00401199 5   7    .text   utf8    A,3ҋE blocks=Basic Latin,Cyrillic
7    0x00000617 0x00401217 6   9    .text   utf8    M܋E܃x( blocks=Basic Latin,Syriac
8    0x00000623 0x00401223 4   6    .text   utf8    M܋Q( blocks=Basic Latin,Syriac
9    0x0000063b 0x0040123b 4   6    .text   utf8    M܋Q( blocks=Basic Latin,Syriac
10   0x00000698 0x00401298 5   8    .text   utf8    E܋M܋Q blocks=Basic Latin,Syriac
11   0x000006d3 0x004012d3 4   6    .text   utf8    M܋Q\b blocks=Basic Latin,Syriac
12   0x00000735 0x00401335 4   6    .text   utf8    U܉B$ blocks=Basic Latin,Syriac
13   0x0000073b 0x0040133b 4   6    .text   utf8    E܃x$ blocks=Basic Latin,Syriac
14   0x00000744 0x00401344 5   7    .text   utf8    M܋Q$3 blocks=Basic Latin,Syriac
15   0x0000074f 0x0040134f 4   6    .text   utf8    M܋Q$ blocks=Basic Latin,Syriac
16   0x00000758 0x00401358 4   6    .text   utf8    E܉P$ blocks=Basic Latin,Syriac
17   0x00000777 0x00401377 4   6    .text   utf8    U܃z$ blocks=Basic Latin,Syriac
18   0x00000822 0x00401422 4   6    .text   utf8    U܉J$ blocks=Basic Latin,Syriac
19   0x0000083a 0x0040143a 4   5    .text   ascii   }]j\b
20   0x00000854 0x00401454 4   6    .text   utf8    M܉A( blocks=Basic Latin,Syriac
21   0x0000086e 0x0040146e 4   5    .text   ascii   ;B\b~
22   0x00000879 0x00401479 4   5    .text   ascii   +Q\bR
23   0x0000087e 0x0040147e 5   7    .text   utf8    E܋H\bQ blocks=Basic Latin,Syriac
24   0x0000089d 0x0040149d 4   5    .text   ascii   }`j 
25   0x000008da 0x004014da 4   6    .text   utf8    M܃y$ blocks=Basic Latin,Syriac
26   0x000008e3 0x004014e3 4   6    .text   utf8    U܋B$ blocks=Basic Latin,Syriac
27   0x000008ec 0x004014ec 4   6    .text   utf8    M܉A$ blocks=Basic Latin,Syriac
28   0x000008f2 0x004014f2 4   6    .text   utf8    U܋B$ blocks=Basic Latin,Syriac
29   0x00000915 0x00401515 4   5    .text   ascii   ;Q\b~
30   0x00000920 0x00401520 4   5    .text   ascii   +H\bQ
31   0x00000925 0x00401525 5   7    .text   utf8    U܋B\bP blocks=Basic Latin,Syriac
32   0x000009ba 0x004015ba 4   6    .text   utf8    U܃z$ blocks=Basic Latin,Syriac
33   0x000009cf 0x004015cf 4   6    .text   utf8    M܃y$ blocks=Basic Latin,Syriac
34   0x000009d5 0x004015d5 4   5    .text   ascii   t\ej@
