[Imports]
nth vaddr       bind type lib          name
―――――――――――――――――――――――――――――――――――――――――――
15  0x14017c790 NONE FUNC WS2_32.dll   ntohs
112 0x14017c798 NONE FUNC WS2_32.dll   WSASetLastError
115 0x14017c7a0 NONE FUNC WS2_32.dll   WSAStartup
18  0x14017c7a8 NONE FUNC WS2_32.dll   select
19  0x14017c7b0 NONE FUNC WS2_32.dll   WSARecvFrom
2   0x14017c7b8 NONE FUNC WS2_32.dll   bind
3   0x14017c7c0 NONE FUNC WS2_32.dll   WSAIoctl
3   0x14017c7c8 NONE FUNC WS2_32.dll   closesocket
4   0x14017c7d0 NONE FUNC WS2_32.dll   WSASend
22  0x14017c7d8 NONE FUNC WS2_32.dll   shutdown
13  0x14017c7e0 NONE FUNC WS2_32.dll   listen
14  0x14017c7e8 NONE FUNC WS2_32.dll   WSASocketW
5   0x14017c7f0 NONE FUNC WS2_32.dll   getpeername
6   0x14017c7f8 NONE FUNC WS2_32.dll   getsockname
23  0x14017c800 NONE FUNC WS2_32.dll   socket
24  0x14017c808 NONE FUNC WS2_32.dll   WSARecv
7   0x14017c810 NONE FUNC WS2_32.dll   getsockopt
10  0x14017c818 NONE FUNC WS2_32.dll   ioctlsocket
21  0x14017c820 NONE FUNC WS2_32.dll   setsockopt
22  0x14017c828 NONE FUNC WS2_32.dll   FreeAddrInfoW
23  0x14017c830 NONE FUNC WS2_32.dll   GetAddrInfoW
57  0x14017c838 NONE FUNC WS2_32.dll   gethostname
8   0x14017c840 NONE FUNC WS2_32.dll   htonl
111 0x14017c848 NONE FUNC WS2_32.dll   WSAGetLastError
9   0x14017c850 NONE FUNC WS2_32.dll   htons
1   0x14017c728 NONE FUNC PSAPI.DLL    GetProcessMemoryInfo
1   0x14017c060 NONE FUNC IPHLPAPI.DLL GetAdaptersAddresses
1   0x14017c780 NONE FUNC USERENV.dll  GetUserProfileDirectoryW
1   0x14017c070 NONE FUNC KERNEL32.dll GetConsoleCP
2   0x14017c078 NONE FUNC KERNEL32.dll SetStdHandle
3   0x14017c080 NONE FUNC KERNEL32.dll GetFileAttributesExW
4   0x14017c088 NONE FUNC KERNEL32.dll ExitProcess
5   0x14017c090 NONE FUNC KERNEL32.dll GetCommandLineW
6   0x14017c098 NONE FUNC KERNEL32.dll GetCommandLineA
7   0x14017c0a0 NONE FUNC KERNEL32.dll SetFileAttributesW
8   0x14017c0a8 NONE FUNC KERNEL32.dll ExitThread
9   0x14017c0b0 NONE FUNC KERNEL32.dll GetModuleHandleExW
10  0x14017c0b8 NONE FUNC KERNEL32.dll GetDriveTypeW
11  0x14017c0c0 NONE FUNC KERNEL32.dll RaiseException
