[Strings]
nth   paddr      vaddr      len  size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x00000100 0x00000100 5    6            ascii   Richo
2     0x00000208 0x00000208 5    6            ascii   .text
3     0x0000022f 0x0000022f 7    8            ascii   `.rdata
4     0x00000257 0x00000257 6    7            ascii   @.data
5     0x00000280 0x00000280 5    6            ascii   .rsrc
6     0x000002a7 0x000002a7 7    8            ascii   @.reloc
7     0x00000420 0x00401020 4    5    .text   ascii   h@uR
8     0x0000042a 0x0040102a 4    5    .text   ascii   h 7N
9     0x00000440 0x00401040 4    5    .text   ascii   hHuR
10    0x0000052b 0x0040112b 4    5    .text   ascii   h@;N
11    0x00000561 0x00401161 4    5    .text   ascii   h`;N
12    0x0000057c 0x0040117c 4    5    .text   ascii   hp;N
13    0x000005e0 0x004011e0 4    5    .text   ascii   h`=N
14    0x0000079b 0x0040139b 5    6    .text   ascii   _hp?N
15    0x0000080d 0x0040140d 4    5    .text   ascii   hP@N
16    0x000008a6 0x004014a6 4    5    .text   ascii   h$AN
17    0x000008b2 0x004014b2 4    5    .text   ascii   h.AN
18    0x000008d2 0x004014d2 4    5    .text   ascii   h8AN
19    0x000008f1 0x004014f1 4    5    .text   ascii   hBAN
20    0x00000923 0x00401523 4    5    .text   ascii   hLAN
21    0x000009cb 0x004015cb 4    5    .text   ascii   hVAN
22    0x000009ea 0x004015ea 4    5    .text   ascii   h`AN
23    0x00000a1c 0x0040161c 4    5    .text   ascii   hjAN
24    0x00000ab0 0x004016b0 4    5    .text   ascii   htAN
25    0x00000ac6 0x004016c6 4    5    .text   ascii   h~AN
26    0x00000c89 0x00401889 5    6    .text   ascii   F hUN
27    0x00000cc2 0x004018c2 6    7    .text   ascii   D0 \UN
28    0x00000cff 0x004018ff 5    6    .text   ascii   t\vj,V
29    0x00000d59 0x00401959 6    7    .text   ascii   D0 \UN
30    0x00000e09 0x00401a09 5    6    .text   ascii   F xVN
31    0x00000e42 0x00401a42 6    7    .text   ascii   D0 lVN
32    0x00000e7f 0x00401a7f 5    6    .text   ascii   t\vj,V
33    0x00000ed9 0x00401ad9 6    7    .text   ascii   D0 lVN
34    0x00000f70 0x00401b70 4    5    .text   ascii   PQVW
35    0x00000fef 0x00401bef 5    6    .text   ascii   t\vj(V
36    0x00001030 0x00401c30 4    5    .text   ascii   PQVW
37    0x0000108a 0x00401c8a 4    5    .text   ascii   \a WN
38    0x00001118 0x00401d18 4    5    .text   ascii   h(WN
39    0x00001159 0x00401d59 6    7    .text   ascii   j\ahHWN
40    0x0000118b 0x00401d8b 4    5    .text   ascii   hPWN
41    0x0000124c 0x00401e4c 5    6    .text   ascii   t\vj\fV
42    0x000012c7 0x00401ec7 4    6    .text   utf8    W\tF\b
43    0x00001388 0x00401f88 5    6    .text   ascii   t\vj V
44    0x000013d7 0x00401fd7 4    6    .text   utf8    W\tF\b
45    0x00001498 0x00402098 5    6    .text   ascii   t\vj V
46    0x00001515 0x00402115 4    5    .text   ascii   h\erM
47    0x00001520 0x00402120 5    6    .text   ascii   PQSVW
48    0x00001596 0x00402196 5    6    .text   ascii   P\bSSV
49    0x000015af 0x004021af 4    5    .text   ascii   Y_^[
50    0x000015c5 0x004021c5 4    5    .text   ascii   h@rM
51    0x000015d3 0x004021d3 4    5    .text   ascii   \bSVW
52    0x00001636 0x00402236 4    5    .text   ascii   Y_^[
53    0x00001665 0x00402265 4    5    .text   ascii   hvrM
54    0x00001673 0x00402273 4    5    .text   ascii   \bSVW
55    0x000016ea 0x004022ea 4    5    .text   ascii   u\fPQ
56    0x00001701 0x00402301 4    5    .text   ascii   Y_^[
57    0x00001723 0x00402323 4    5    .text   ascii   \bSVW
58    0x00001786 0x00402386 4    5    .text   ascii   Y_^[
59    0x000017c3 0x004023c3 4    5    .text   ascii   $SVW
60    0x00001957 0x00402557 4    5    .text   ascii   Y_^[
61    0x00001975 0x00402575 4    5    .text   ascii   h\bsM
62    0x00001983 0x00402583 4    5    .text   ascii   \bSVW
63    0x000019f3 0x004025f3 4    7    .text   utf8    ыȀx\r blocks=Cyrillic,Latin Extended-B,Basic Latin
64    0x00001a33 0x00402633 4    5    .text   ascii   Y_^[
65    0x00001a55 0x00402655 4    5    .text   ascii   h8sM
66    0x00001a63 0x00402663 4    5    .text   ascii   \bSVW
67    0x00001ad3 0x004026d3 4    7    .text   utf8    ыȀx\r blocks=Cyrillic,Latin Extended-B,Basic Latin
68    0x00001b13 0x00402713 4    5    .text   ascii   Y_^[
69    0x00001b35 0x00402735 4    5    .text   ascii   hhsM
70    0x00001b43 0x00402743 4    5    .text   ascii   \bSVW
71    0x00001bb3 0x004027b3 4    7    .text   utf8    ыȀx\r blocks=Cyrillic,Latin Extended-B,Basic Latin
72    0x00001bf3 0x004027f3 4    5    .text   ascii   Y_^[
73    0x00001c23 0x00402823 4    5    .text   ascii   \bSVW
74    0x00001c86 0x00402886 4    5    .text   ascii   Y_^[
75    0x00001cc3 0x004028c3 4    5    .text   ascii   \bSVW
76    0x00001d26 0x00402926 4    5    .text   ascii   Y_^[
77    0x00001d55 0x00402955 4    5    .text   ascii   h\erM
78    0x00001d60 0x00402960 5    6    .text   ascii   PQSVW
79    0x00001dd6 0x004029d6 5    6    .text   ascii   P\bSSV
80    0x00001def 0x004029ef 4    5    .text   ascii   Y_^[
81    0x00001e13 0x00402a13 4    5    .text   ascii   \bSVW
82    0x00001e76 0x00402a76 4    5    .text   ascii   Y_^[
83    0x00001eb3 0x00402ab3 4    5    .text   ascii   \bSVW
84    0x00001f16 0x00402b16 4    5    .text   ascii   Y_^[
85    0x00001f45 0x00402b45 4    5    .text   ascii   h\etM
86    0x00001f61 0x00402b61 4    5    .text   ascii   SVWP
87    0x0000203a 0x00402c3a 4    5    .text   ascii   =0uR
88    0x000021bc 0x00402dbc 4    5    .text   ascii   Y_^[
89    0x00002205 0x00402e05 4    5    .text   ascii   hXtM
