[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x10002000 NONE FUNC KERNEL32.dll GetCurrentProcessId
2   0x10002004 NONE FUNC KERNEL32.dll GetCurrentThreadId
3   0x10002008 NONE FUNC KERNEL32.dll GetTickCount
4   0x1000200c NONE FUNC KERNEL32.dll QueryPerformanceCounter
5   0x10002010 NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
6   0x10002014 NONE FUNC KERNEL32.dll UnhandledExceptionFilter
7   0x10002018 NONE FUNC KERNEL32.dll GetCurrentProcess
8   0x1000201c NONE FUNC KERNEL32.dll TerminateProcess
9   0x10002020 NONE FUNC KERNEL32.dll InterlockedCompareExchange
10  0x10002024 NONE FUNC KERNEL32.dll Sleep
11  0x10002028 NONE FUNC KERNEL32.dll InterlockedExchange
12  0x1000202c NONE FUNC KERNEL32.dll RtlUnwind
13  0x10002030 NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
1   0x10002060 NONE FUNC pcre-0.dll   pcre_compile2
2   0x10002064 NONE FUNC pcre-0.dll   pcre_info
3   0x10002068 NONE FUNC pcre-0.dll   pcre_free
4   0x1000206c NONE FUNC pcre-0.dll   pcre_exec
1   0x10002038 NONE FUNC msvcrt.dll   strncpy
2   0x1000203c NONE FUNC msvcrt.dll   sprintf
3   0x10002040 NONE FUNC msvcrt.dll   strlen
4   0x10002044 NONE FUNC msvcrt.dll   free
5   0x10002048 NONE FUNC msvcrt.dll   malloc
6   0x1000204c NONE FUNC msvcrt.dll   _XcptFilter
7   0x10002050 NONE FUNC msvcrt.dll   _initterm
8   0x10002054 NONE FUNC msvcrt.dll   _amsg_exit
9   0x10002058 NONE FUNC msvcrt.dll   _adjust_fdiv


