[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0043c380 NONE FUNC PSAPI.DLL    EnumProcesses
2   0x0043c384 NONE FUNC PSAPI.DLL    EnumProcessModules
3   0x0043c388 NONE FUNC PSAPI.DLL    GetModuleFileNameExW
4   0x0043c38c NONE FUNC PSAPI.DLL    GetModuleBaseNameW
141 0x0043c530 NONE FUNC msi.dll      MsiSetPropertyW
160 0x0043c534 NONE FUNC msi.dll      MsiDatabaseIsTablePersistentA
131 0x0043c538 NONE FUNC msi.dll      MsiSetComponentStateW
70  0x0043c53c NONE FUNC msi.dll      MsiGetPropertyW
159 0x0043c540 NONE FUNC msi.dll      MsiViewModify
16  0x0043c544 NONE FUNC msi.dll      MsiDatabaseCommit
92  0x0043c548 NONE FUNC msi.dll      MsiOpenProductW
8   0x0043c54c NONE FUNC msi.dll      MsiConfigureFeatureFromDescriptorA
118 0x0043c550 NONE FUNC msi.dll      MsiRecordSetStreamA
32  0x0043c554 NONE FUNC msi.dll      MsiEnumClientsA
88  0x0043c558 NONE FUNC msi.dll      MsiOpenDatabaseW
205 0x0043c55c NONE FUNC msi.dll      MsiSourceListClearAllW
1   0x0043c508 NONE FUNC USERENV.dll  UnloadUserProfile
2   0x0043c50c NONE FUNC USERENV.dll  CreateEnvironmentBlock
3   0x0043c510 NONE FUNC USERENV.dll  DestroyEnvironmentBlock
1   0x0043c118 NONE FUNC KERNEL32.dll CreateThread
2   0x0043c11c NONE FUNC KERNEL32.dll GetSystemTime
3   0x0043c120 NONE FUNC KERNEL32.dll LocalFree
4   0x0043c124 NONE FUNC KERNEL32.dll lstrcmpA
5   0x0043c128 NONE FUNC KERNEL32.dll FindFirstFileW
6   0x0043c12c NONE FUNC KERNEL32.dll SetFilePointer
7   0x0043c130 NONE FUNC KERNEL32.dll FindResourceExW
8   0x0043c134 NONE FUNC KERNEL32.dll lstrcmpW
9   0x0043c138 NONE FUNC KERNEL32.dll FindClose
10  0x0043c13c NONE FUNC KERNEL32.dll LocalAlloc
11  0x0043c140 NONE FUNC KERNEL32.dll FormatMessageW
12  0x0043c144 NONE FUNC KERNEL32.dll MoveFileW
13  0x0043c148 NONE FUNC KERNEL32.dll GetLocalTime
14  0x0043c14c NONE FUNC KERNEL32.dll GlobalUnlock
15  0x0043c150 NONE FUNC KERNEL32.dll GlobalLock
16  0x0043c154 NONE FUNC KERNEL32.dll GlobalAlloc
17  0x0043c158 NONE FUNC KERNEL32.dll GlobalFree
18  0x0043c15c NONE FUNC KERNEL32.dll WideCharToMultiByte
19  0x0043c160 NONE FUNC KERNEL32.dll SystemTimeToFileTime
20  0x0043c164 NONE FUNC KERNEL32.dll FileTimeToSystemTime
21  0x0043c168 NONE FUNC KERNEL32.dll FileTimeToLocalFileTime
22  0x0043c16c NONE FUNC KERNEL32.dll LoadLibraryW
23  0x0043c170 NONE FUNC KERNEL32.dll FlushFileBuffers
24  0x0043c174 NONE FUNC KERNEL32.dll LockFile
25  0x0043c178 NONE FUNC KERNEL32.dll UnlockFile
26  0x0043c17c NONE FUNC KERNEL32.dll SetEndOfFile
27  0x0043c180 NONE FUNC KERNEL32.dll GetFileSize
