[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x0000008f 0x0000008f 5   6            ascii   y!L<y
2     0x00000097 0x00000097 7   8            ascii   y!L-y34
3     0x000000b7 0x000000b7 5   6            ascii   y!L;y
4     0x000000bf 0x000000bf 7   8            ascii   y!L*y)4
5     0x000000c7 0x000000c7 7   8            ascii   y!L,y)4
6     0x000000cf 0x000000cf 7   8            ascii   y!L)y)4
7     0x000000d7 0x000000d7 7   8            ascii   yRich(4
8     0x000001e8 0x000001e8 5   6            ascii   .text
9     0x0000020f 0x0000020f 7   8            ascii   `.rdata
10    0x00000237 0x00000237 6   7            ascii   @.data
11    0x00000260 0x00000260 5   6            ascii   .rsrc
12    0x00000287 0x00000287 7   8            ascii   @.reloc
13    0x0000042b 0x1100102b 5   6    .text   ascii   D$\bSU
14    0x00000434 0x11001034 5   6    .text   ascii   VWUPh
15    0x000004c4 0x110010c4 4   6    .text   utf8    ][Yã blocks=Basic Latin,Latin-1 Supplement
16    0x0000057e 0x1100117e 4   6    .text   utf8    ][Yã blocks=Basic Latin,Latin-1 Supplement
17    0x000005a6 0x110011a6 6   8    .text   utf8    ][YËT$ blocks=Basic Latin,Latin-1 Supplement
18    0x00000925 0x11001525 5   6    .text   ascii   jAjej
19    0x00000a63 0x11001663 4   5    .text   ascii   |$\f3
20    0x00000a90 0x11001690 4   7    .text   utf8    t%P舏 blocks=Basic Latin,CJK Unified Ideographs
21    0x00000c0f 0x1100180f 4   6    .text   utf8    ̋L$\b blocks=Combining Diacritical Marks,Basic Latin
22    0x00000c21 0x11001821 4   5    .text   ascii   2;1u
23    0x00000c6f 0x1100186f 4   6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
24    0x00000d84 0x11001984 6   7    .text   ascii   L$\fQhX
25    0x00000df0 0x110019f0 6   7    .text   ascii   D$\fj:V
26    0x00000e0c 0x11001a0c 8   10   .text   utf8    t&@3Ҁ8~j blocks=Basic Latin,Cyrillic
27    0x00000e39 0x11001a39 4   5    .text   ascii   L$\b\r
28    0x00000e6f 0x11001a6f 4   6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
29    0x00000e90 0x11001a90 4   6    .text   utf8    A8PE
30    0x00000f74 0x11001b74 4   5    .text   ascii   QVWj
31    0x00001060 0x11001c60 5   6    .text   ascii   L$\bQP
32    0x000010dd 0x11001cdd 5   6    .text   ascii   L$\bQj
33    0x000010ee 0x11001cee 4   5    .text   ascii   D$(V
34    0x0000114f 0x11001d4f 4   6    .text   utf8    ̋D$\f blocks=Combining Diacritical Marks,Basic Latin
35    0x0000115c 0x11001d5c 4   5    .text   ascii   PQRh
36    0x0000119c 0x11001d9c 5   6    .text   ascii   D$\bSV
37    0x00001227 0x11001e27 6   7    .text   ascii   L$\fRVQ
38    0x00001258 0x11001e58 8   9    .text   ascii   |$$WSUj\t
39    0x0000126c 0x11001e6c 8   9    .text   ascii   t$(WSUj\n
40    0x000012a3 0x11001ea3 5   6    .text   ascii   jdjgj
41    0x00001312 0x11001f12 5   6    .text   ascii   jAjgj
42    0x0000135f 0x11001f5f 5   6    .text   ascii   jAjgj
43    0x000013a1 0x11001fa1 5   6    .text   ascii   jAjgj
44    0x0000146f 0x1100206f 4   6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
45    0x00001537 0x11002137 4   5    .text   ascii   t$\f;
46    0x00001658 0x11002258 4   6    .text   utf8    3Ɂ=t blocks=Basic Latin,Latin Extended-B
47    0x00001667 0x11002267 4   5    .text   ascii   I#\rp
48    0x00001678 0x11002278 4   6    .text   utf8    3ҁ=| blocks=Basic Latin,Cyrillic
49    0x000017d2 0x110023d2 4   5    .text   ascii   \$\b3
50    0x0000180f 0x1100240f 5   6    .text   ascii   QVWSQ
51    0x00001832 0x11002432 4   5    .text   ascii   VWSU
52    0x00001892 0x11002492 4   5    .text   ascii   \$\b3
53    0x000018cf 0x110024cf 5   6    .text   ascii   QVWSQ
54    0x000018f2 0x110024f2 4   5    .text   ascii   VWSU
55    0x0000192e 0x1100252e 7   8    .text   ascii   T$\fQR@P
56    0x00001972 0x11002572 6   7    .text   ascii   T$\fPQR
57    0x000019a5 0x110025a5 4   5    .text   ascii   VWSj
58    0x000019b0 0x110025b0 4   5    .text   ascii   VWSU
59    0x000019cd 0x110025cd 5   6    .text   ascii   VWSPU
60    0x000019d3 0x110025d3 4   6    .text   utf8    ыD$, blocks=Cyrillic,Basic Latin
61    0x000019db 0x110025db 4   5    .text   ascii   _^[]
62    0x00001a1d 0x1100261d 4   5    .text   ascii   l$ V
63    0x00001a26 0x11002626 4   5    .text   ascii   L$ j
64    0x00001a2b 0x1100262b 4   5    .text   ascii   UQWj
65    0x00001a37 0x11002637 6   7    .text   ascii   T$ URW
66    0x00001a59 0x11002659 5   6    .text   ascii   L$$QS
67    0x00001a77 0x11002677 4   5    .text   ascii   T$ j
68    0x00001a7c 0x1100267c 5   6    .text   ascii   URWVS
69    0x00001a88 0x11002688 4   5    .text   ascii   ^]_[
70    0x00001b07 0x11002707 4   5    .text   ascii   D$\fh
71    0x00001c2b 0x1100282b 4   5    .text   ascii   j\ej\t
72    0x00001c4f 0x1100284f 5   6    .text   ascii   T$4Rh
73    0x00001c94 0x11002894 4   5    .text   ascii   j\ej\n
74    0x00001db4 0x110029b4 4   7    .text   utf8    VP腾\f blocks=Basic Latin,CJK Unified Ideographs
75    0x00001e15 0x11002a15 5   6    .text   ascii   L$\bQR
76    0x00001ef8 0x11002af8 4   5    .text   ascii   j\ej\t
77    0x00001f1c 0x11002b1c 5   6    .text   ascii   T$4Rh
78    0x0000200c 0x11002c0c 4   5    .text   ascii   j\ej\n
79    0x00002083 0x11002c83 4   5    .text   ascii   D$\bP
80    0x0000208f 0x11002c8f 4   5    .text   ascii   950t
81    0x00002098 0x11002c98 5   6    .text   ascii   L$\bQh
82    0x000020ca 0x11002cca 4   5    .text   ascii   j\ej\t
83    0x000020ee 0x11002cee 5   6    .text   ascii   T$8Rh
84    0x00002165 0x11002d65 4   5    .text   ascii   j\ej\n
85    0x000021d3 0x11002dd3 4   5    .text   ascii   D$\bP
86    0x000021df 0x11002ddf 4   5    .text   ascii   950t
87    0x000021e8 0x11002de8 5   6    .text   ascii   L$\bQh
88    0x0000221a 0x11002e1a 4   5    .text   ascii   j\ej\t
89    0x0000223e 0x11002e3e 5   6    .text   ascii   T$8Rh
90    0x000022bf 0x11002ebf 4   5    .text   ascii   j\ej\n
91    0x000023cc 0x11002fcc 4   6    .text   utf8    \b3\tF
92    0x00002418 0x11003018 4   5    .text   ascii   L$\bQ
93    0x00002435 0x11003035 5   6    .text   ascii   T$\bRP
94    0x000024b6 0x110030b6 4   5    .text   ascii   j\ej\n
95    0x0000252a 0x1100312a 5   6    .text   ascii   D$\bPQ
96    0x0000259f 0x1100319f 4   5    .text   ascii   j\ej\n
97    0x00002606 0x11003206 4   5    .text   ascii   T$Dh
98    0x0000260e 0x1100320e 4   5    .text   ascii   PQRW
99    0x0000263b 0x1100323b 5   6    .text   ascii   D$\fPQ
100   0x00002651 0x11003251 4   5    .text   ascii   T$DP
101   0x000026aa 0x110032aa 4   5    .text   ascii   j\ej\n
102   0x00002700 0x11003300 4   6    .text   utf8    ډ\$\f blocks=Arabic,Basic Latin
103   0x0000272a 0x1100332a 5   6    .text   ascii   P\bQRh
104   0x000027eb 0x110033eb 5   6    .text   ascii   L$0QR
105   0x00002823 0x11003423 6   7    .text   ascii   T$ j>R
106   0x00002836 0x11003436 4   5    .text   ascii   \fPQV
107   0x00002851 0x11003451 4   5    .text   ascii   D,0P
108   0x000028e7 0x110034e7 5   6    .text   ascii   D$(PR
109   0x00002919 0x11003519 4   5    .text   ascii   _^[3
110   0x0000292f 0x1100352f 4   6    .text   utf8    ̋T$\b blocks=Combining Diacritical Marks,Basic Latin
111   0x0000294d 0x1100354d 4   5    .text   ascii   9=$t
112   0x00002953 0x11003553 6   7    .text   ascii   u\f9=(t
113   0x0000298a 0x1100358a 4   5    .text   ascii   D$\bP
114   0x00002996 0x11003596 4   5    .text   ascii   9=0t
115   0x0000299f 0x1100359f 5   6    .text   ascii   L$\bQh
116   0x000029d1 0x110035d1 4   5    .text   ascii   j\ej\t
117   0x000029f5 0x110035f5 5   6    .text   ascii   T$8Rh
118   0x00002a40 0x11003640 4   5    .text   ascii   Qh05
119   0x00002b07 0x11003707 6   7    .text   ascii   t-9=0t
120   0x00002b2a 0x1100372a 4   5    .text   ascii   j\ej\n
