[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
20  0x100c3210 NONE FUNC WS2_32.dll   sendto
17  0x100c3214 NONE FUNC WS2_32.dll   recvfrom
2   0x100c3218 NONE FUNC WS2_32.dll   bind
13  0x100c321c NONE FUNC WS2_32.dll   listen
1   0x100c3220 NONE FUNC WS2_32.dll   accept
14  0x100c3224 NONE FUNC WS2_32.dll   ntohl
10  0x100c3228 NONE FUNC WS2_32.dll   ioctlsocket
116 0x100c322c NONE FUNC WS2_32.dll   WSACleanup
115 0x100c3230 NONE FUNC WS2_32.dll   WSAStartup
52  0x100c3234 NONE FUNC WS2_32.dll   gethostbyname
7   0x100c3238 NONE FUNC WS2_32.dll   getsockopt
55  0x100c323c NONE FUNC WS2_32.dll   getservbyname
15  0x100c3240 NONE FUNC WS2_32.dll   ntohs
9   0x100c3244 NONE FUNC WS2_32.dll   htons
8   0x100c3248 NONE FUNC WS2_32.dll   htonl
23  0x100c324c NONE FUNC WS2_32.dll   socket
21  0x100c3250 NONE FUNC WS2_32.dll   setsockopt
4   0x100c3254 NONE FUNC WS2_32.dll   connect
19  0x100c3258 NONE FUNC WS2_32.dll   send
112 0x100c325c NONE FUNC WS2_32.dll   WSASetLastError
16  0x100c3260 NONE FUNC WS2_32.dll   recv
111 0x100c3264 NONE FUNC WS2_32.dll   WSAGetLastError
22  0x100c3268 NONE FUNC WS2_32.dll   shutdown
3   0x100c326c NONE FUNC WS2_32.dll   closesocket
1   0x100c3010 NONE FUNC GDI32.dll    CreateCompatibleBitmap
2   0x100c3014 NONE FUNC GDI32.dll    GetObjectA
3   0x100c3018 NONE FUNC GDI32.dll    GetDIBits
4   0x100c301c NONE FUNC GDI32.dll    DeleteObject
5   0x100c3020 NONE FUNC GDI32.dll    GetDeviceCaps
1   0x100c3000 NONE FUNC ADVAPI32.dll ReportEventA
2   0x100c3004 NONE FUNC ADVAPI32.dll DeregisterEventSource
3   0x100c3008 NONE FUNC ADVAPI32.dll RegisterEventSourceA
1   0x100c31f8 NONE FUNC USER32.dll   GetDC
2   0x100c31fc NONE FUNC USER32.dll   ReleaseDC
3   0x100c3200 NONE FUNC USER32.dll   MessageBoxA
4   0x100c3204 NONE FUNC USER32.dll   GetProcessWindowStation
5   0x100c3208 NONE FUNC USER32.dll   GetUserObjectInformationW
1   0x100c30b0 NONE FUNC MSVCR90.dll  _exit
2   0x100c30b4 NONE FUNC MSVCR90.dll  raise
3   0x100c30b8 NONE FUNC MSVCR90.dll  __iob_func
4   0x100c30bc NONE FUNC MSVCR90.dll  free
5   0x100c30c0 NONE FUNC MSVCR90.dll  realloc
6   0x100c30c4 NONE FUNC MSVCR90.dll  malloc
7   0x100c30c8 NONE FUNC MSVCR90.dll  memcpy
8   0x100c30cc NONE FUNC MSVCR90.dll  _localtime64
9   0x100c30d0 NONE FUNC MSVCR90.dll  _time64
10  0x100c30d4 NONE FUNC MSVCR90.dll  memset
11  0x100c30d8 NONE FUNC MSVCR90.dll  _gmtime64_s
12  0x100c30dc NONE FUNC MSVCR90.dll  _strnicmp
13  0x100c30e0 NONE FUNC MSVCR90.dll  _stricmp
14  0x100c30e4 NONE FUNC MSVCR90.dll  strncpy
15  0x100c30e8 NONE FUNC MSVCR90.dll  _errno
16  0x100c30ec NONE FUNC MSVCR90.dll  getenv
17  0x100c30f0 NONE FUNC MSVCR90.dll  memmove
18  0x100c30f4 NONE FUNC MSVCR90.dll  _read
19  0x100c30f8 NONE FUNC MSVCR90.dll  _write
20  0x100c30fc NONE FUNC MSVCR90.dll  _vsnprintf
21  0x100c3100 NONE FUNC MSVCR90.dll  isdigit
22  0x100c3104 NONE FUNC MSVCR90.dll  atoi
23  0x100c3108 NONE FUNC MSVCR90.dll  sprintf
24  0x100c310c NONE FUNC MSVCR90.dll  strstr
25  0x100c3110 NONE FUNC MSVCR90.dll  fputs
26  0x100c3114 NONE FUNC MSVCR90.dll  _wfopen
27  0x100c3118 NONE FUNC MSVCR90.dll  fopen
28  0x100c311c NONE FUNC MSVCR90.dll  fclose
29  0x100c3120 NONE FUNC MSVCR90.dll  ferror
30  0x100c3124 NONE FUNC MSVCR90.dll  fread
31  0x100c3128 NONE FUNC MSVCR90.dll  fwrite
32  0x100c312c NONE FUNC MSVCR90.dll  fflush
33  0x100c3130 NONE FUNC MSVCR90.dll  _setmode
34  0x100c3134 NONE FUNC MSVCR90.dll  _fileno
35  0x100c3138 NONE FUNC MSVCR90.dll  ftell
36  0x100c313c NONE FUNC MSVCR90.dll  feof
37  0x100c3140 NONE FUNC MSVCR90.dll  fseek
38  0x100c3144 NONE FUNC MSVCR90.dll  fgets
39  0x100c3148 NONE FUNC MSVCR90.dll  strchr
40  0x100c314c NONE FUNC MSVCR90.dll  perror
41  0x100c3150 NONE FUNC MSVCR90.dll  qsort
42  0x100c3154 NONE FUNC MSVCR90.dll  strcmp
43  0x100c3158 NONE FUNC MSVCR90.dll  setvbuf
44  0x100c315c NONE FUNC MSVCR90.dll  _stat64i32
45  0x100c3160 NONE FUNC MSVCR90.dll  _chmod
46  0x100c3164 NONE FUNC MSVCR90.dll  _fdopen
47  0x100c3168 NONE FUNC MSVCR90.dll  _open
48  0x100c316c NONE FUNC MSVCR90.dll  strerror
49  0x100c3170 NONE FUNC MSVCR90.dll  isalnum
50  0x100c3174 NONE FUNC MSVCR90.dll  isspace
51  0x100c3178 NONE FUNC MSVCR90.dll  tolower
52  0x100c317c NONE FUNC MSVCR90.dll  strncmp
53  0x100c3180 NONE FUNC MSVCR90.dll  isupper
54  0x100c3184 NONE FUNC MSVCR90.dll  strtoul
55  0x100c3188 NONE FUNC MSVCR90.dll  strrchr
56  0x100c318c NONE FUNC MSVCR90.dll  memchr
57  0x100c3190 NONE FUNC MSVCR90.dll  sscanf
58  0x100c3194 NONE FUNC MSVCR90.dll  fprintf
59  0x100c3198 NONE FUNC MSVCR90.dll  strtol
60  0x100c319c NONE FUNC MSVCR90.dll  signal
61  0x100c31a0 NONE FUNC MSVCR90.dll  _getch
62  0x100c31a4 NONE FUNC MSVCR90.dll  printf
63  0x100c31a8 NONE FUNC MSVCR90.dll  _except_handler4_common
64  0x100c31ac NONE FUNC MSVCR90.dll  _encode_pointer
65  0x100c31b0 NONE FUNC MSVCR90.dll  _malloc_crt
66  0x100c31b4 NONE FUNC MSVCR90.dll  _encoded_null
67  0x100c31b8 NONE FUNC MSVCR90.dll  _decode_pointer
68  0x100c31bc NONE FUNC MSVCR90.dll  _initterm
69  0x100c31c0 NONE FUNC MSVCR90.dll  _initterm_e
70  0x100c31c4 NONE FUNC MSVCR90.dll  _amsg_exit
71  0x100c31c8 NONE FUNC MSVCR90.dll  _adjust_fdiv
72  0x100c31cc NONE FUNC MSVCR90.dll  __CppXcptFilter
73  0x100c31d0 NONE FUNC MSVCR90.dll  _crt_debugger_hook
74  0x100c31d4 NONE FUNC MSVCR90.dll  __clean_type_info_names_internal
75  0x100c31d8 NONE FUNC MSVCR90.dll  _unlock
76  0x100c31dc NONE FUNC MSVCR90.dll  __dllonexit
77  0x100c31e0 NONE FUNC MSVCR90.dll  _lock
78  0x100c31e4 NONE FUNC MSVCR90.dll  _onexit
79  0x100c31e8 NONE FUNC MSVCR90.dll  wcsstr
80  0x100c31ec NONE FUNC MSVCR90.dll  _snprintf
81  0x100c31f0 NONE FUNC MSVCR90.dll  isxdigit
1   0x100c3028 NONE FUNC KERNEL32.dll FlushConsoleInputBuffer
2   0x100c302c NONE FUNC KERNEL32.dll GlobalMemoryStatus
3   0x100c3030 NONE FUNC KERNEL32.dll GetCurrentProcessId
4   0x100c3034 NONE FUNC KERNEL32.dll QueryPerformanceCounter
5   0x100c3038 NONE FUNC KERNEL32.dll GetTickCount
6   0x100c303c NONE FUNC KERNEL32.dll GetSystemTime
7   0x100c3040 NONE FUNC KERNEL32.dll SystemTimeToFileTime
8   0x100c3044 NONE FUNC KERNEL32.dll InterlockedExchange
9   0x100c3048 NONE FUNC KERNEL32.dll SetLastError
10  0x100c304c NONE FUNC KERNEL32.dll CloseHandle
11  0x100c3050 NONE FUNC KERNEL32.dll LoadLibraryA
12  0x100c3054 NONE FUNC KERNEL32.dll FreeLibrary
13  0x100c3058 NONE FUNC KERNEL32.dll FindClose
14  0x100c305c NONE FUNC KERNEL32.dll FindFirstFileA
15  0x100c3060 NONE FUNC KERNEL32.dll FindNextFileA
16  0x100c3064 NONE FUNC KERNEL32.dll Sleep
17  0x100c3068 NONE FUNC KERNEL32.dll InterlockedCompareExchange
18  0x100c306c NONE FUNC KERNEL32.dll TerminateProcess
19  0x100c3070 NONE FUNC KERNEL32.dll GetCurrentProcess
20  0x100c3074 NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
21  0x100c3078 NONE FUNC KERNEL32.dll UnhandledExceptionFilter
22  0x100c307c NONE FUNC KERNEL32.dll IsDebuggerPresent
23  0x100c3080 NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
24  0x100c3084 NONE FUNC KERNEL32.dll MultiByteToWideChar
25  0x100c3088 NONE FUNC KERNEL32.dll GetStdHandle
26  0x100c308c NONE FUNC KERNEL32.dll GetFileType
27  0x100c3090 NONE FUNC KERNEL32.dll WriteFile
28  0x100c3094 NONE FUNC KERNEL32.dll GetVersion
29  0x100c3098 NONE FUNC KERNEL32.dll GetLastError
30  0x100c309c NONE FUNC KERNEL32.dll GetCurrentThreadId
31  0x100c30a0 NONE FUNC KERNEL32.dll GetProcAddress
32  0x100c30a4 NONE FUNC KERNEL32.dll ExitProcess
33  0x100c30a8 NONE FUNC KERNEL32.dll GetModuleHandleA


